Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C),Class
4.93,132123.53,966.71,2.55902439,14.85992683,5
4.7,132123.53,966.71,2.55902439,14.85992683,5
4.69,132123.53,966.71,2.55902439,14.85992683,5
4.62,132123.53,966.71,2.55902439,14.85992683,5
4.58,132123.53,966.71,2.55902439,14.85992683,5
4.56,132123.53,966.71,2.55902439,14.85992683,5
4.56,132123.53,966.71,2.55902439,14.85992683,5
4.48,354427.74,2166.76,2.118117229,14.88994671,5
4.44,354427.74,2166.76,2.118117229,14.88994671,5
4.43,132123.53,966.71,2.55902439,14.85992683,5
4.25,354427.74,2166.76,2.118117229,14.88994671,4
4.21,354427.74,2166.76,2.118117229,14.88994671,4
4.21,354427.74,2166.76,2.118117229,14.88994671,4
4.18,354427.74,2166.76,2.118117229,14.88994671,4
4.18,354427.74,2166.76,2.118117229,14.88994671,4
4.15,360208.29,2598.8,2.781462347,15.17169877,4
4.1,354427.74,2166.76,2.118117229,14.88994671,4
4.08,360208.29,2598.8,2.781462347,15.17169877,4
4.04,354427.74,2166.76,2.118117229,14.88994671,4
4.04,354427.74,2166.76,2.118117229,14.88994671,4
4.04,360208.29,2598.8,2.781462347,15.17169877,4
4.03,354427.74,2166.76,2.118117229,14.88994671,4
3.96,354427.74,2166.76,2.118117229,14.88994671,4
3.96,354427.74,2166.76,2.118117229,14.88994671,4
3.96,360208.29,2598.8,2.781462347,15.17169877,4
3.94,354427.74,2166.76,2.118117229,14.88994671,4
3.93,360208.29,2598.8,2.781462347,15.17169877,4
3.93,360208.29,2598.8,2.781462347,15.17169877,4
3.91,354427.74,2166.76,2.118117229,14.88994671,4
3.91,354427.74,2166.76,2.118117229,14.88994671,4
3.91,360208.29,2598.8,2.781462347,15.17169877,4
3.89,360208.29,2598.8,2.781462347,15.17169877,4
3.89,360208.29,2598.8,2.781462347,15.17169877,4
3.87,354427.74,2166.76,2.118117229,14.88994671,4
3.87,354427.74,2166.76,2.118117229,14.88994671,4
3.85,354427.74,2166.76,2.118117229,14.88994671,4
3.81,354427.74,2166.76,2.118117229,14.88994671,4
3.81,354427.74,2166.76,2.118117229,14.88994671,4
3.8,354427.74,2166.76,2.118117229,14.88994671,4
3.79,360208.29,2598.8,2.781462347,15.17169877,4
3.79,360208.29,2598.8,2.781462347,15.17169877,4
3.78,354427.74,2166.76,2.118117229,14.88994671,4
3.76,360208.29,2598.8,2.781462347,15.17169877,4
3.75,360208.29,2598.8,2.781462347,15.17169877,4
3.75,360208.29,2598.8,2.781462347,15.17169877,4
3.69,354427.74,2166.76,2.118117229,14.88994671,4
3.66,354427.74,2166.76,2.118117229,14.88994671,4
3.64,360208.29,2598.8,2.781462347,15.17169877,4
3.64,134459.5,1136.57,2.798699764,14.49683215,4
3.56,354427.74,2166.76,2.118117229,14.88994671,4
3.55,134459.5,1136.57,2.798699764,14.49683215,4
3.5,134459.5,1136.57,2.798699764,14.49683215,4
3.47,363131.14,2282.19,0.629956897,13.65096552,4
3.44,134459.5,1136.57,2.798699764,14.49683215,4
3.42,134459.5,1136.57,2.798699764,14.49683215,4
3.4,134459.5,1136.57,2.798699764,14.49683215,4
3.38,363131.14,2282.19,0.629956897,13.65096552,4
3.37,134459.5,1136.57,2.798699764,14.49683215,4
3.37,134459.5,1136.57,2.798699764,14.49683215,4
3.36,364625.56,2683.19,2.101702945,14.1400954,4
3.36,363131.14,2282.19,0.629956897,13.65096552,4
3.34,363131.14,2282.19,0.629956897,13.65096552,4
3.33,364625.56,2683.19,2.101702945,14.1400954,4
3.33,363131.14,2282.19,0.629956897,13.65096552,4
3.31,134459.5,1136.57,2.798699764,14.49683215,4
3.3,363131.14,2282.19,0.629956897,13.65096552,4
3.3,363131.14,2282.19,0.629956897,13.65096552,4
3.29,134459.5,1136.57,2.798699764,14.49683215,4
3.28,134459.5,1136.57,2.798699764,14.49683215,4
3.26,363131.14,2282.19,0.629956897,13.65096552,4
3.26,363131.14,2282.19,0.629956897,13.65096552,4
3.24,134459.5,1136.57,2.798699764,14.49683215,4
3.21,144249.23,1019.09,3.370501139,15.76790433,4
3.21,357756.5,1845.79,1.246042216,15.023219,4
3.2,364625.56,2683.19,2.101702945,14.1400954,4
3.17,134459.5,1136.57,2.798699764,14.49683215,4
3.15,357756.5,1845.79,1.246042216,15.023219,4
3.13,357756.5,1845.79,1.246042216,15.023219,4
3.13,121823.22,907.55,1.751365979,13.37131443,4
3.1,364625.56,2683.19,2.101702945,14.1400954,4
3.09,144249.23,1019.09,3.370501139,15.76790433,4
3.08,357756.5,1845.79,1.246042216,15.023219,4
3.07,144249.23,1019.09,3.370501139,15.76790433,4
3.07,357756.5,1845.79,1.246042216,15.023219,4
3.06,121823.22,907.55,1.751365979,13.37131443,4
3.05,364625.56,2683.19,2.101702945,14.1400954,4
3.04,144249.23,1019.09,3.370501139,15.76790433,4
3.03,249300.07,1715.49,2.067003841,14.53441741,4
3.03,364625.56,2683.19,2.101702945,14.1400954,4
3.02,144249.23,1019.09,3.370501139,15.76790433,4
3.02,364625.56,2683.19,2.101702945,14.1400954,4
3.02,121823.22,907.55,1.751365979,13.37131443,4
3.01,121823.22,907.55,1.751365979,13.37131443,4
3,121823.22,907.55,1.751365979,13.37131443,4
2.99,144249.23,1019.09,3.370501139,15.76790433,4
2.99,121823.22,907.55,1.751365979,13.37131443,4
2.97,364625.56,2683.19,2.101702945,14.1400954,4
2.96,144249.23,1019.09,3.370501139,15.76790433,4
2.96,357756.5,1845.79,1.246042216,15.023219,4
2.95,249300.07,1715.49,2.067003841,14.53441741,4
2.95,249300.07,1715.49,2.067003841,14.53441741,4
2.92,357756.5,1845.79,1.246042216,15.023219,3
2.92,121823.22,907.55,1.751365979,13.37131443,3
2.91,372333.99,2651.18,3.080170794,15.50437233,3
2.91,121823.22,907.55,1.751365979,13.37131443,3
2.89,121823.22,907.55,1.751365979,13.37131443,3
2.88,144249.23,1019.09,3.370501139,15.76790433,3
2.86,139474.2,765.06,4.231501155,15.84200924,3
2.85,357756.5,1845.79,1.246042216,15.023219,3
2.85,121823.22,907.55,1.751365979,13.37131443,3
2.85,139474.2,765.06,4.231501155,15.84200924,3
2.85,139474.2,765.06,4.231501155,15.84200924,3
2.84,357756.5,1845.79,1.246042216,15.023219,3
2.84,121823.22,907.55,1.751365979,13.37131443,3
2.84,121823.22,907.55,1.751365979,13.37131443,3
2.84,128317.2,685.33,3.476814815,14.98014815,3
2.83,139474.2,765.06,4.231501155,15.84200924,3
2.82,143767.6,950.08,2.944943052,15.24603645,3
2.82,249300.07,1715.49,2.067003841,14.53441741,3
2.82,126722.9,943.09,1.091831683,13.2044802,3
2.82,139474.2,765.06,4.231501155,15.84200924,3
2.82,139474.2,765.06,4.231501155,15.84200924,3
2.81,372333.99,2651.18,3.080170794,15.50437233,3
2.8,351989.28,2454.17,1.677290837,13.73831843,3
2.8,139474.2,765.06,4.231501155,15.84200924,3
2.79,128317.2,685.33,3.476814815,14.98014815,3
2.78,143767.6,950.08,2.944943052,15.24603645,3
2.78,249300.07,1715.49,2.067003841,14.53441741,3
2.77,143767.6,950.08,2.944943052,15.24603645,3
2.77,143767.6,950.08,2.944943052,15.24603645,3
2.77,126350.46,899.54,2.37478481,15.24318987,3
2.77,249300.07,1715.49,2.067003841,14.53441741,3
2.77,249300.07,1715.49,2.067003841,14.53441741,3
2.76,126722.9,943.09,1.091831683,13.2044802,3
2.75,143767.6,950.08,2.944943052,15.24603645,3
2.73,143767.6,950.08,2.944943052,15.24603645,3
2.73,351467.16,2068.82,0.281737589,13.3341578,3
2.72,351467.16,2068.82,0.281737589,13.3341578,3
2.71,143767.6,950.08,2.944943052,15.24603645,3
2.71,126350.46,899.54,2.37478481,15.24318987,3
2.71,351467.16,2068.82,0.281737589,13.3341578,3
2.7,239849.93,1192.41,1.723591088,15.44668414,3
2.7,351989.28,2454.17,1.677290837,13.73831843,3
2.69,239849.93,1192.41,1.723591088,15.44668414,3
2.69,372333.99,2651.18,3.080170794,15.50437233,3
2.67,126722.9,943.09,1.091831683,13.2044802,3
2.67,114947.27,632.26,2.575967742,13.93206989,3
2.67,226789.1,1274.4,2.21659919,13.60973009,3
2.66,237920.06,1566.72,3.256238532,15.27348624,3
2.66,143767.6,950.08,2.944943052,15.24603645,3
2.66,351467.16,2068.82,0.281737589,13.3341578,3
2.66,351467.16,2068.82,0.281737589,13.3341578,3
2.66,128317.2,685.33,3.476814815,14.98014815,3
2.65,143767.6,950.08,2.944943052,15.24603645,3
2.65,126722.9,943.09,1.091831683,13.2044802,3
2.65,128317.2,685.33,3.476814815,14.98014815,3
2.64,249300.07,1715.49,2.067003841,14.53441741,3
2.64,351467.16,2068.82,0.281737589,13.3341578,3
2.64,128317.2,685.33,3.476814815,14.98014815,3
2.63,143767.6,950.08,2.944943052,15.24603645,3
2.63,143767.6,950.08,2.944943052,15.24603645,3
2.63,126350.46,899.54,2.37478481,15.24318987,3
2.63,128317.2,685.33,3.476814815,14.98014815,3
2.63,241741.32,1389.41,2.707297297,14.2043758,3
2.62,253166.79,1848.36,2.933244949,15.6917298,3
2.62,351989.28,2454.17,1.677290837,13.73831843,3
2.62,351467.16,2068.82,0.281737589,13.3341578,3
2.61,126722.9,943.09,1.091831683,13.2044802,3
2.6,126350.46,899.54,2.37478481,15.24318987,3
2.6,351989.28,2454.17,1.677290837,13.73831843,3
2.59,143767.6,950.08,2.944943052,15.24603645,3
2.59,119018.19,851.59,2.516356488,16.01863874,3
2.59,351989.28,2454.17,1.677290837,13.73831843,3
2.59,351989.28,2454.17,1.677290837,13.73831843,3
2.58,372333.99,2651.18,3.080170794,15.50437233,3
2.58,372333.99,2651.18,3.080170794,15.50437233,3
2.58,126722.9,943.09,1.091831683,13.2044802,3
2.56,143767.6,950.08,2.944943052,15.24603645,3
2.56,126350.46,899.54,2.37478481,15.24318987,3
2.56,121823.22,907.55,1.751365979,13.37131443,3
2.56,148724.01,1381.99,4.038398268,15.7288961,3
2.55,148724.01,1381.99,4.038398268,15.7288961,3
2.55,148724.01,1381.99,4.038398268,15.7288961,3
2.55,128317.2,685.33,3.476814815,14.98014815,3
2.54,143767.6,950.08,2.944943052,15.24603645,3
2.54,130014.47,935.81,1.9165,13.81821429,3
2.54,130014.47,935.81,1.9165,13.81821429,3
2.54,372333.99,2651.18,3.080170794,15.50437233,3
2.54,357756.5,1845.79,1.246042216,15.023219,3
2.54,226789.1,1274.4,2.21659919,13.60973009,3
2.53,143767.6,950.08,2.944943052,15.24603645,3
2.53,148724.01,1381.99,4.038398268,15.7288961,3
2.53,351467.16,2068.82,0.281737589,13.3341578,3
2.53,126722.9,943.09,1.091831683,13.2044802,3
2.53,139474.2,765.06,4.231501155,15.84200924,3
2.52,143767.6,950.08,2.944943052,15.24603645,3
2.52,143767.6,950.08,2.944943052,15.24603645,3
2.52,143767.6,950.08,2.944943052,15.24603645,3
2.52,126350.46,899.54,2.37478481,15.24318987,3
2.52,126350.46,899.54,2.37478481,15.24318987,3
2.52,253166.79,1848.36,2.933244949,15.6917298,3
2.52,130014.47,935.81,1.9165,13.81821429,3
2.52,239849.93,1192.41,1.723591088,15.44668414,3
2.52,351989.28,2454.17,1.677290837,13.73831843,3
2.51,130014.47,935.81,1.9165,13.81821429,3
2.51,239849.93,1192.41,1.723591088,15.44668414,3
2.51,357756.5,1845.79,1.246042216,15.023219,3
2.51,126722.9,943.09,1.091831683,13.2044802,3
2.51,265871.16,1544.44,3.591038961,15.16651712,3
2.5,126350.46,899.54,2.37478481,15.24318987,3
2.5,126350.46,899.54,2.37478481,15.24318987,3
2.5,130014.47,935.81,1.9165,13.81821429,3
2.5,130014.47,935.81,1.9165,13.81821429,3
2.5,239849.93,1192.41,1.723591088,15.44668414,3
2.5,148724.01,1381.99,4.038398268,15.7288961,3
2.49,139549.54,1029.27,3.117523364,15.97182243,3
2.49,357756.5,1845.79,1.246042216,15.023219,3
2.49,126722.9,943.09,1.091831683,13.2044802,3
2.48,126350.46,899.54,2.37478481,15.24318987,3
2.48,239849.93,1192.41,1.723591088,15.44668414,3
2.48,372333.99,2651.18,3.080170794,15.50437233,3
2.47,349550.92,1728.11,2.475465269,15.27306684,3
2.47,119018.19,851.59,2.516356488,16.01863874,3
2.47,372333.99,2651.18,3.080170794,15.50437233,3
2.47,372333.99,2651.18,3.080170794,15.50437233,3
2.47,357756.5,1845.79,1.246042216,15.023219,3
2.47,148724.01,1381.99,4.038398268,15.7288961,3
2.46,126350.46,899.54,2.37478481,15.24318987,3
