Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
5,132123.53,966.71,2.55902439,14.85992683
5,132123.53,966.71,2.55902439,14.85992683
5,132123.53,966.71,2.55902439,14.85992683
5,132123.53,966.71,2.55902439,14.85992683
5,132123.53,966.71,2.55902439,14.85992683
5,132123.53,966.71,2.55902439,14.85992683
5,132123.53,966.71,2.55902439,14.85992683
4,354427.74,2166.76,2.118117229,14.88994671
4,354427.74,2166.76,2.118117229,14.88994671
4,354427.74,2166.76,2.118117229,14.88994671
4,354427.74,2166.76,2.118117229,14.88994671
4,354427.74,2166.76,2.118117229,14.88994671
4,354427.74,2166.76,2.118117229,14.88994671
4,354427.74,2166.76,2.118117229,14.88994671
4,354427.74,2166.76,2.118117229,14.88994671
4,354427.74,2166.76,2.118117229,14.88994671
4,354427.74,2166.76,2.118117229,14.88994671
4,354427.74,2166.76,2.118117229,14.88994671
4,354427.74,2166.76,2.118117229,14.88994671
4,354427.74,2166.76,2.118117229,14.88994671
4,354427.74,2166.76,2.118117229,14.88994671
4,354427.74,2166.76,2.118117229,14.88994671
4,354427.74,2166.76,2.118117229,14.88994671
4,354427.74,2166.76,2.118117229,14.88994671
4,354427.74,2166.76,2.118117229,14.88994671
4,354427.74,2166.76,2.118117229,14.88994671
4,354427.74,2166.76,2.118117229,14.88994671
4,354427.74,2166.76,2.118117229,14.88994671
4,354427.74,2166.76,2.118117229,14.88994671
4,354427.74,2166.76,2.118117229,14.88994671
4,354427.74,2166.76,2.118117229,14.88994671
4,354427.74,2166.76,2.118117229,14.88994671
4,354427.74,2166.76,2.118117229,14.88994671
4,360208.29,2598.8,2.781462347,15.17169877
4,360208.29,2598.8,2.781462347,15.17169877
4,360208.29,2598.8,2.781462347,15.17169877
4,360208.29,2598.8,2.781462347,15.17169877
4,360208.29,2598.8,2.781462347,15.17169877
4,360208.29,2598.8,2.781462347,15.17169877
4,360208.29,2598.8,2.781462347,15.17169877
4,360208.29,2598.8,2.781462347,15.17169877
4,360208.29,2598.8,2.781462347,15.17169877
4,360208.29,2598.8,2.781462347,15.17169877
