Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C),Class
2.17,337149.01,1912.09,0.88358371,11.96707692,2
2.18,337149.01,1912.09,0.88358371,11.96707692,2
2.25,337149.01,1912.09,0.88358371,11.96707692,2
2.24,337149.01,1912.09,0.88358371,11.96707692,2
1.96,337149.01,1912.09,0.88358371,11.96707692,1
2.08,337149.01,1912.09,0.88358371,11.96707692,2
2.06,337149.01,1912.09,0.88358371,11.96707692,2
2.08,337149.01,1912.09,0.88358371,11.96707692,2
1.97,337149.01,1912.09,0.88358371,11.96707692,1
2.01,337149.01,1912.09,0.88358371,11.96707692,2
1.91,337149.01,1912.09,0.88358371,11.96707692,1
1.98,337149.01,1912.09,0.88358371,11.96707692,2
1.95,337149.01,1912.09,0.88358371,11.96707692,1
1.93,337149.01,1912.09,0.88358371,11.96707692,1
1.84,337149.01,1912.09,0.88358371,11.96707692,1
1.97,337149.01,1912.09,0.88358371,11.96707692,1
1.96,337149.01,1912.09,0.88358371,11.96707692,1
1.89,337149.01,1912.09,0.88358371,11.96707692,1
1.78,337149.01,1912.09,0.88358371,11.96707692,1
1.77,337149.01,1912.09,0.88358371,11.96707692,1
1.94,337149.01,1912.09,0.88358371,11.96707692,1
1.77,337149.01,1912.09,0.88358371,11.96707692,1
1.85,337149.01,1912.09,0.88358371,11.96707692,1
1.76,337149.01,1912.09,0.88358371,11.96707692,1
1.75,337149.01,1912.09,0.88358371,11.96707692,1
1.8,337149.01,1912.09,0.88358371,11.96707692,1
1.66,337149.01,1912.09,0.88358371,11.96707692,1
1.73,337149.01,1912.09,0.88358371,11.96707692,1
2.16,353400.81,2096.85,1.373266551,12.48047038,2
2.14,353400.81,2096.85,1.373266551,12.48047038,2
1.94,353400.81,2096.85,1.373266551,12.48047038,1
1.91,353400.81,2096.85,1.373266551,12.48047038,1
2,353400.81,2096.85,1.373266551,12.48047038,2
1.92,353400.81,2096.85,1.373266551,12.48047038,1
