Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C),Class
3.38,122788.22,778.85,5.531472081,16.13771574,2
2.84,122788.22,778.85,5.531472081,16.13771574,2
3.04,122788.22,778.85,5.531472081,16.13771574,2
2.75,122788.22,778.85,5.531472081,16.13771574,2
2.8,122788.22,778.85,5.531472081,16.13771574,2
2.95,122788.22,778.85,5.531472081,16.13771574,2
2.69,122788.22,778.85,5.531472081,16.13771574,2
2.74,122788.22,778.85,5.531472081,16.13771574,2
2.62,122788.22,778.85,5.531472081,16.13771574,2
2.61,122788.22,778.85,5.531472081,16.13771574,2
2.88,122788.22,778.85,5.531472081,16.13771574,2
2.75,122788.22,778.85,5.531472081,16.13771574,2
2.73,122788.22,778.85,5.531472081,16.13771574,2
2.48,122788.22,778.85,5.531472081,16.13771574,2
2.75,122788.22,778.85,5.531472081,16.13771574,2
3.24,122788.22,778.85,5.531472081,16.13771574,2
2.47,134126.73,935.76,6.389411765,17.01851765,2
2.36,134126.73,935.76,6.389411765,17.01851765,2
2.41,134126.73,935.76,6.389411765,17.01851765,2
2.43,134126.73,935.76,6.389411765,17.01851765,2
2.59,134126.73,935.76,6.389411765,17.01851765,2
2.48,134126.73,935.76,6.389411765,17.01851765,2
2.44,134126.73,935.76,6.389411765,17.01851765,2
2.49,134126.73,935.76,6.389411765,17.01851765,2
2.48,134126.73,935.76,6.389411765,17.01851765,2
2.49,134126.73,935.76,6.389411765,17.01851765,2
2.23,134126.73,935.76,6.389411765,17.01851765,2
2.28,134126.73,935.76,6.389411765,17.01851765,2
2.53,134126.73,935.76,6.389411765,17.01851765,2
2.31,134126.73,935.76,6.389411765,17.01851765,2
2.23,134126.73,935.76,6.389411765,17.01851765,2
1.86,134126.73,935.76,6.389411765,17.01851765,1
1.89,146453.83,1003.27,7.208311404,17.93894737,1
1.83,146453.83,1003.27,7.208311404,17.93894737,1
1.87,146453.83,1003.27,7.208311404,17.93894737,1
1.94,146453.83,1003.27,7.208311404,17.93894737,1
1.85,146453.83,1003.27,7.208311404,17.93894737,1
1.88,146453.83,1003.27,7.208311404,17.93894737,1
1.89,146453.83,1003.27,7.208311404,17.93894737,1
1.78,146453.83,1003.27,7.208311404,17.93894737,1
1.88,146453.83,1003.27,7.208311404,17.93894737,1
1.97,146453.83,1003.27,7.208311404,17.93894737,1
1.83,146453.83,1003.27,7.208311404,17.93894737,1
1.95,146453.83,1003.27,7.208311404,17.93894737,1
1.67,146453.83,1003.27,7.208311404,17.93894737,1
1.94,146453.83,1003.27,7.208311404,17.93894737,1
1.77,146453.83,1003.27,7.208311404,17.93894737,1
1.29,146453.83,1003.27,7.208311404,17.93894737,1
1.27,157737.78,1046.95,7.91063655,18.65053388,1
1.44,157737.78,1046.95,7.91063655,18.65053388,1
1.2,157737.78,1046.95,7.91063655,18.65053388,1
1.25,157737.78,1046.95,7.91063655,18.65053388,1
1.24,157737.78,1046.95,7.91063655,18.65053388,1
1.1,157737.78,1046.95,7.91063655,18.65053388,0
1.3,157737.78,1046.95,7.91063655,18.65053388,1
1.26,157737.78,1046.95,7.91063655,18.65053388,1
1.1,157737.78,1046.95,7.91063655,18.65053388,0
1.25,157737.78,1046.95,7.91063655,18.65053388,1
1.21,157737.78,1046.95,7.91063655,18.65053388,1
1.12,157737.78,1046.95,7.91063655,18.65053388,1
1.14,157737.78,1046.95,7.91063655,18.65053388,1
1.18,157737.78,1046.95,7.91063655,18.65053388,1
1.13,157737.78,1046.95,7.91063655,18.65053388,1
0.81,157737.78,1046.95,7.91063655,18.65053388,0
1.82,123423.86,1337.73,4.908186398,15.92521411,1
1.49,123423.86,1337.73,4.908186398,15.92521411,1
1.5,123423.86,1337.73,4.908186398,15.92521411,1
1.62,123423.86,1337.73,4.908186398,15.92521411,1
1.56,123423.86,1337.73,4.908186398,15.92521411,1
1.35,123423.86,1337.73,4.908186398,15.92521411,1
1.52,123423.86,1337.73,4.908186398,15.92521411,1
1.67,123423.86,1337.73,4.908186398,15.92521411,1
1.48,123423.86,1337.73,4.908186398,15.92521411,1
1.59,123423.86,1337.73,4.908186398,15.92521411,1
1.43,123423.86,1337.73,4.908186398,15.92521411,1
1.82,137167.69,1492.35,5.751224018,16.81512702,1
1.67,137167.69,1492.35,5.751224018,16.81512702,1
1.53,137167.69,1492.35,5.751224018,16.81512702,1
1.62,137167.69,1492.35,5.751224018,16.81512702,1
1.55,137167.69,1492.35,5.751224018,16.81512702,1
1.62,137167.69,1492.35,5.751224018,16.81512702,1
1.72,137167.69,1492.35,5.751224018,16.81512702,1
1.55,137167.69,1492.35,5.751224018,16.81512702,1
1.52,137167.69,1492.35,5.751224018,16.81512702,1
1.61,137167.69,1492.35,5.751224018,16.81512702,1
1.51,137167.69,1492.35,5.751224018,16.81512702,1
1.7,150535.07,1588.49,6.662141328,17.8230621,1
1.87,150535.07,1588.49,6.662141328,17.8230621,1
1.77,150535.07,1588.49,6.662141328,17.8230621,1
1.74,150535.07,1588.49,6.662141328,17.8230621,1
1.75,150535.07,1588.49,6.662141328,17.8230621,1
1.79,150535.07,1588.49,6.662141328,17.8230621,1
1.57,150535.07,1588.49,6.662141328,17.8230621,1
1.6,150535.07,1588.49,6.662141328,17.8230621,1
1.63,150535.07,1588.49,6.662141328,17.8230621,1
1.54,150535.07,1588.49,6.662141328,17.8230621,1
1.43,150535.07,1588.49,6.662141328,17.8230621,1
1.03,163156.29,1737.05,7.308670635,18.48071429,0
1.03,163156.29,1737.05,7.308670635,18.48071429,0
0.93,163156.29,1737.05,7.308670635,18.48071429,0
1.01,163156.29,1737.05,7.308670635,18.48071429,0
0.95,163156.29,1737.05,7.308670635,18.48071429,0
0.99,163156.29,1737.05,7.308670635,18.48071429,0
0.94,163156.29,1737.05,7.308670635,18.48071429,0
0.91,163156.29,1737.05,7.308670635,18.48071429,0
0.95,163156.29,1737.05,7.308670635,18.48071429,0
0.9,163156.29,1737.05,7.308670635,18.48071429,0
0.75,163156.29,1737.05,7.308670635,18.48071429,0
3.39,241551.12,1676.08,5.542067183,16.18895349,2
3.35,241551.12,1676.08,5.542067183,16.18895349,2
3.39,241551.12,1676.08,5.542067183,16.18895349,2
2.98,241551.12,1676.08,5.542067183,16.18895349,2
3.13,241551.12,1676.08,5.542067183,16.18895349,2
3.3,241551.12,1676.08,5.542067183,16.18895349,2
3.17,241551.12,1676.08,5.542067183,16.18895349,2
2.73,241551.12,1676.08,5.542067183,16.18895349,2
3.17,241551.12,1676.08,5.542067183,16.18895349,2
3.22,241551.12,1676.08,5.542067183,16.18895349,2
3.15,241551.12,1676.08,5.542067183,16.18895349,2
2.87,241551.12,1676.08,5.542067183,16.18895349,2
3.27,241551.12,1676.08,5.542067183,16.18895349,2
3.14,241551.12,1676.08,5.542067183,16.18895349,2
3.34,241551.12,1676.08,5.542067183,16.18895349,2
2.83,241551.12,1676.08,5.542067183,16.18895349,2
2.21,252901.02,1727.29,5.943262765,16.6235741,2
2.11,252901.02,1727.29,5.943262765,16.6235741,2
2.14,252901.02,1727.29,5.943262765,16.6235741,2
2.14,252901.02,1727.29,5.943262765,16.6235741,2
2.11,252901.02,1727.29,5.943262765,16.6235741,2
2.13,252901.02,1727.29,5.943262765,16.6235741,2
2.15,252901.02,1727.29,5.943262765,16.6235741,2
2.21,252901.02,1727.29,5.943262765,16.6235741,2
2.19,252901.02,1727.29,5.943262765,16.6235741,2
2.13,252901.02,1727.29,5.943262765,16.6235741,2
2.14,252901.02,1727.29,5.943262765,16.6235741,2
2.21,252901.02,1727.29,5.943262765,16.6235741,2
2.18,252901.02,1727.29,5.943262765,16.6235741,2
2.15,252901.02,1727.29,5.943262765,16.6235741,2
