Yield (tons/acre),Time Since Sown (Days),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
1.82,396,123423.86,1337.73,4.908186398,15.92521411
1.49,396,123423.86,1337.73,4.908186398,15.92521411
1.5,396,123423.86,1337.73,4.908186398,15.92521411
1.62,396,123423.86,1337.73,4.908186398,15.92521411
1.56,396,123423.86,1337.73,4.908186398,15.92521411
1.35,396,123423.86,1337.73,4.908186398,15.92521411
1.52,396,123423.86,1337.73,4.908186398,15.92521411
1.67,396,123423.86,1337.73,4.908186398,15.92521411
1.48,396,123423.86,1337.73,4.908186398,15.92521411
1.59,396,123423.86,1337.73,4.908186398,15.92521411
1.43,396,123423.86,1337.73,4.908186398,15.92521411
1.82,432,137167.69,1492.35,5.751224018,16.81512702
1.67,432,137167.69,1492.35,5.751224018,16.81512702
1.53,432,137167.69,1492.35,5.751224018,16.81512702
1.62,432,137167.69,1492.35,5.751224018,16.81512702
1.55,432,137167.69,1492.35,5.751224018,16.81512702
1.62,432,137167.69,1492.35,5.751224018,16.81512702
1.72,432,137167.69,1492.35,5.751224018,16.81512702
1.55,432,137167.69,1492.35,5.751224018,16.81512702
1.52,432,137167.69,1492.35,5.751224018,16.81512702
1.61,432,137167.69,1492.35,5.751224018,16.81512702
1.51,432,137167.69,1492.35,5.751224018,16.81512702
1.7,466,150535.07,1588.49,6.662141328,17.8230621
1.87,466,150535.07,1588.49,6.662141328,17.8230621
1.77,466,150535.07,1588.49,6.662141328,17.8230621
1.74,466,150535.07,1588.49,6.662141328,17.8230621
1.75,466,150535.07,1588.49,6.662141328,17.8230621
1.79,466,150535.07,1588.49,6.662141328,17.8230621
1.57,466,150535.07,1588.49,6.662141328,17.8230621
1.6,466,150535.07,1588.49,6.662141328,17.8230621
1.63,466,150535.07,1588.49,6.662141328,17.8230621
1.54,466,150535.07,1588.49,6.662141328,17.8230621
1.43,466,150535.07,1588.49,6.662141328,17.8230621
1.03,503,163156.29,1737.05,7.308670635,18.48071429
1.03,503,163156.29,1737.05,7.308670635,18.48071429
0.93,503,163156.29,1737.05,7.308670635,18.48071429
1.01,503,163156.29,1737.05,7.308670635,18.48071429
0.95,503,163156.29,1737.05,7.308670635,18.48071429
0.99,503,163156.29,1737.05,7.308670635,18.48071429
0.94,503,163156.29,1737.05,7.308670635,18.48071429
0.91,503,163156.29,1737.05,7.308670635,18.48071429
0.95,503,163156.29,1737.05,7.308670635,18.48071429
0.9,503,163156.29,1737.05,7.308670635,18.48071429
0.75,503,163156.29,1737.05,7.308670635,18.48071429
2.18,763,234032.19,2480.13,5.634646597,16.6852356
2.21,763,234032.19,2480.13,5.634646597,16.6852356
2.28,763,234032.19,2480.13,5.634646597,16.6852356
2.17,763,234032.19,2480.13,5.634646597,16.6852356
2.29,763,234032.19,2480.13,5.634646597,16.6852356
2.29,763,234032.19,2480.13,5.634646597,16.6852356
2.06,763,234032.19,2480.13,5.634646597,16.6852356
2.09,763,234032.19,2480.13,5.634646597,16.6852356
2.2,763,234032.19,2480.13,5.634646597,16.6852356
2.18,763,234032.19,2480.13,5.634646597,16.6852356
2.2,763,234032.19,2480.13,5.634646597,16.6852356
1.74,796,247409.88,2548.6,5.983312422,17.1282936
1.68,796,247409.88,2548.6,5.983312422,17.1282936
1.67,796,247409.88,2548.6,5.983312422,17.1282936
1.74,796,247409.88,2548.6,5.983312422,17.1282936
1.76,796,247409.88,2548.6,5.983312422,17.1282936
1.75,796,247409.88,2548.6,5.983312422,17.1282936
1.75,796,247409.88,2548.6,5.983312422,17.1282936
1.7,796,247409.88,2548.6,5.983312422,17.1282936
1.6,796,247409.88,2548.6,5.983312422,17.1282936
1.76,796,247409.88,2548.6,5.983312422,17.1282936
1.3,796,247409.88,2548.6,5.983312422,17.1282936
1.02,829,259801.52,2627.47,6.807773019,17.95650964
0.95,829,259801.52,2627.47,6.807773019,17.95650964
0.95,829,259801.52,2627.47,6.807773019,17.95650964
0.87,829,259801.52,2627.47,6.807773019,17.95650964
0.94,829,259801.52,2627.47,6.807773019,17.95650964
0.96,829,259801.52,2627.47,6.807773019,17.95650964
1.01,829,259801.52,2627.47,6.807773019,17.95650964
0.98,829,259801.52,2627.47,6.807773019,17.95650964
0.93,829,259801.52,2627.47,6.807773019,17.95650964
1.03,829,259801.52,2627.47,6.807773019,17.95650964
0.75,829,259801.52,2627.47,6.807773019,17.95650964
1.06,866,273619.11,2756.71,6.818754325,18.14455594
1.07,866,273619.11,2756.71,6.818754325,18.14455594
1.1,866,273619.11,2756.71,6.818754325,18.14455594
1.06,866,273619.11,2756.71,6.818754325,18.14455594
1.03,866,273619.11,2756.71,6.818754325,18.14455594
0.96,866,273619.11,2756.71,6.818754325,18.14455594
1.01,866,273619.11,2756.71,6.818754325,18.14455594
1.02,866,273619.11,2756.71,6.818754325,18.14455594
1.01,866,273619.11,2756.71,6.818754325,18.14455594
0.93,866,273619.11,2756.71,6.818754325,18.14455594
0.95,866,273619.11,2756.71,6.818754325,18.14455594
2.38,1130,346264.32,3416.84,5.371927498,16.49879752
2.53,1130,346264.32,3416.84,5.371927498,16.49879752
2.4,1130,346264.32,3416.84,5.371927498,16.49879752
2.43,1130,346264.32,3416.84,5.371927498,16.49879752
2.3,1130,346264.32,3416.84,5.371927498,16.49879752
2.36,1130,346264.32,3416.84,5.371927498,16.49879752
2.24,1130,346264.32,3416.84,5.371927498,16.49879752
2.12,1130,346264.32,3416.84,5.371927498,16.49879752
2.24,1130,346264.32,3416.84,5.371927498,16.49879752
2.22,1130,346264.32,3416.84,5.371927498,16.49879752
2.36,1130,346264.32,3416.84,5.371927498,16.49879752
1.94,1164,358088.32,3598.84,5.649347639,16.77893562
1.88,1164,358088.32,3598.84,5.649347639,16.77893562
1.98,1164,358088.32,3598.84,5.649347639,16.77893562
1.8,1164,358088.32,3598.84,5.649347639,16.77893562
1.96,1164,358088.32,3598.84,5.649347639,16.77893562
1.88,1164,358088.32,3598.84,5.649347639,16.77893562
1.71,1164,358088.32,3598.84,5.649347639,16.77893562
1.73,1164,358088.32,3598.84,5.649347639,16.77893562
1.85,1164,358088.32,3598.84,5.649347639,16.77893562
1.82,1164,358088.32,3598.84,5.649347639,16.77893562
1.54,1164,358088.32,3598.84,5.649347639,16.77893562
1.62,1200,371244.15,3780.14,5.976935887,17.08483764
1.69,1200,371244.15,3780.14,5.976935887,17.08483764
1.7,1200,371244.15,3780.14,5.976935887,17.08483764
1.62,1200,371244.15,3780.14,5.976935887,17.08483764
1.65,1200,371244.15,3780.14,5.976935887,17.08483764
1.58,1200,371244.15,3780.14,5.976935887,17.08483764
1.5,1200,371244.15,3780.14,5.976935887,17.08483764
1.55,1200,371244.15,3780.14,5.976935887,17.08483764
1.61,1200,371244.15,3780.14,5.976935887,17.08483764
1.56,1200,371244.15,3780.14,5.976935887,17.08483764
1.33,1200,371244.15,3780.14,5.976935887,17.08483764
1.21,1235,384907.74,3832.34,6.210857605,17.36054207
1.29,1235,384907.74,3832.34,6.210857605,17.36054207
1.22,1235,384907.74,3832.34,6.210857605,17.36054207
1.19,1235,384907.74,3832.34,6.210857605,17.36054207
1.26,1235,384907.74,3832.34,6.210857605,17.36054207
1.29,1235,384907.74,3832.34,6.210857605,17.36054207
1.24,1235,384907.74,3832.34,6.210857605,17.36054207
1.2,1235,384907.74,3832.34,6.210857605,17.36054207
1.3,1235,384907.74,3832.34,6.210857605,17.36054207
1.25,1235,384907.74,3832.34,6.210857605,17.36054207
0.84,1235,384907.74,3832.34,6.210857605,17.36054207
2.42,402,127496.57,1237.04,3.987419355,15.27359801
2.15,402,127496.57,1237.04,3.987419355,15.27359801
2.19,402,127496.57,1237.04,3.987419355,15.27359801
