Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
1.82,123423.86,1337.73,4.908186398,15.92521411
1.82,137167.69,1492.35,5.751224018,16.81512702
1.7,150535.07,1588.49,6.662141328,17.8230621
1.03,163156.29,1737.05,7.308670635,18.48071429
2.18,234032.19,2480.13,5.634646597,16.6852356
1.74,247409.88,2548.6,5.983312422,17.1282936
1.02,259801.52,2627.47,6.807773019,17.95650964
1.06,273619.11,2756.71,6.818754325,18.14455594
2.38,346264.32,3416.84,5.371927498,16.49879752
1.94,358088.32,3598.84,5.649347639,16.77893562
1.62,371244.15,3780.14,5.976935887,17.08483764
1.21,384907.74,3832.34,6.210857605,17.36054207
2.42,127496.57,1237.04,3.987419355,15.27359801
2.28,140010.34,1414.61,4.872036613,16.1710984
1.71,156602.97,1542.63,5.71302714,17.02663883
1.42,165651.16,1614.6,6.197003968,17.5355754
2.81,240727.78,2155.61,3.807428198,14.94236292
1.93,250673.04,2332.16,4.242540881,15.3531195
1.73,264792.31,2452.18,4.71713253,15.84166265
0.94,279780.39,2534.37,5.179332566,16.39226697
2.76,352217.36,3199.81,4.384876325,15.6335689
