,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C),avg,std,num stds,class
0,1.89,169678.0,2622.75,2.994425341,16.40964824,1.483864832,0.729221266,-1.384518478,0
1,1.34,233307.0,694.59,3.085172537,14.85291286,1.483864832,0.729221266,0.177922575,1
2,1.71,153821.0,1570.12,4.080805016,15.27568054,1.483864832,0.729221266,0.692975529,1
3,1.5,273181.0,841.66,3.910719352,15.6657496,1.483864832,0.729221266,-0.9942185,1
4,1.45,277569.0,2562.08,2.006197346,14.95630176,1.483864832,0.729221266,0.502470866,1
5,1.71,279000.0,2232.24,2.083632184,15.92030499,1.483864832,0.729221266,-0.92218812,2
6,2.68,371849.0,1296.72,1.52548757,15.42848312,1.483864832,0.729221266,0.501513378,0
7,1.59,248611.0,1035.48,2.969358556,13.25184997,1.483864832,0.729221266,0.546121579,2
8,0.78,380553.0,1241.62,3.609731105,15.5934842,1.483864832,0.729221266,0.23083755,0
9,1.68,154898.0,1657.15,2.890821129,15.37833701,1.483864832,0.729221266,-0.198566994,2
10,2.69,280925.0,2242.07,2.858723625,12.20952379,1.483864832,0.729221266,0.360931024,1
11,1.95,249063.0,1467.57,2.786946653,13.14913993,1.483864832,0.729221266,-0.51026895,0
12,1.79,354875.0,1898.26,1.946991686,12.72368519,1.483864832,0.729221266,1.04124291,0
13,1.98,285235.0,1222.7,0.821636966,16.11486701,1.483864832,0.729221266,0.515218876,0
14,1.41,171395.0,993.94,2.167037945,15.82002538,1.483864832,0.729221266,0.512350005,0
15,1.56,291454.0,2003.21,1.749866228,15.83019791,1.483864832,0.729221266,-0.960438969,0
16,0.63,389893.0,2002.3,1.16416504,15.32992967,1.483864832,0.729221266,2.675470954,1
17,0.5,277153.0,1890.09,3.707416635,16.69597054,1.483864832,0.729221266,-0.712409358,1
18,2.14,258927.0,1541.2,-0.326393035,16.10419148,1.483864832,0.729221266,-0.763417367,2
19,1.98,279960.0,709.46,2.308848956,11.96980437,1.483864832,0.729221266,1.155094137,0
20,1.83,282831.0,2453.88,1.220078123,14.36975579,1.483864832,0.729221266,-0.705918085,2
21,1.95,114947.0,1389.02,1.982560864,14.76903103,1.483864832,0.729221266,-0.981458601,1
22,0.37,271781.0,2128.82,1.2502673,16.01401085,1.483864832,0.729221266,-0.963603342,0
23,1.95,131590.0,1853.37,4.17471448,16.03199772,1.483864832,0.729221266,-0.026547673,1
24,0.68,265270.0,2025.3,2.719832834,16.18866183,1.483864832,0.729221266,0.532862235,2
25,2.66,280094.0,864.49,-0.178707758,15.5233351,1.483864832,0.729221266,-1.190829236,0
26,1.55,162633.0,1388.93,2.548382284,12.49930948,1.483864832,0.729221266,1.271868019,1
27,1.58,146473.0,2013.65,1.561399741,14.39318191,1.483864832,0.729221266,-0.602937521,1
28,0.71,257738.0,957.89,1.789991273,16.35424507,1.483864832,0.729221266,0.272171717,0
29,0.84,184193.0,1107.84,3.73387337,16.54083514,1.483864832,0.729221266,0.274099518,0
30,2.5,118943.0,2382.03,3.030259191,17.17440422,1.483864832,0.729221266,2.275083404,2
31,1.35,366753.0,751.28,2.942527206,15.76234689,1.483864832,0.729221266,2.451086016,2
32,2.03,401119.0,1268.39,3.051914896,13.3758225,1.483864832,0.729221266,-0.257737596,0
33,1.49,213598.0,1982.81,2.79749531,13.23245106,1.483864832,0.729221266,0.038961994,2
34,1.51,374734.0,2210.11,1.938817019,15.2793146,1.483864832,0.729221266,0.308651936,2
35,2.42,287178.0,1049.45,3.669605525,16.51100369,1.483864832,0.729221266,-0.196412263,1
36,1.92,261198.0,2180.8,1.472360436,15.70862788,1.483864832,0.729221266,-0.358540967,0
37,2.13,135317.0,1344.74,2.957187869,14.56724161,1.483864832,0.729221266,-0.809641331,1
38,2.67,256399.0,647.71,1.369973114,15.20699853,1.483864832,0.729221266,0.174244048,1
39,0.91,285151.0,897.58,2.429873023,16.76488232,1.483864832,0.729221266,-0.925125824,1
40,1.59,278291.0,2023.37,0.08126958,15.15578829,1.483864832,0.729221266,-1.246089134,0
41,1.86,276913.0,1137.56,3.014685069,14.59475851,1.483864832,0.729221266,-0.479317753,1
42,3.66,136621.0,1200.37,3.645697136,12.67415961,1.483864832,0.729221266,0.81015248,1
43,0.86,278529.0,2452.14,2.658990128,17.0906532,1.483864832,0.729221266,-1.238525064,0
44,1.25,149627.0,1181.83,3.001959376,12.93775732,1.483864832,0.729221266,-0.032336212,1
45,3.72,121277.0,1095.7,1.57290209,14.74488687,1.483864832,0.729221266,0.749978334,0
46,1.83,286688.0,2231.08,2.090100787,16.93649775,1.483864832,0.729221266,0.994073307,1
47,1.71,376010.0,638.28,2.823097572,15.36478732,1.483864832,0.729221266,0.633960439,1
48,1.39,395276.0,722.39,2.651810552,15.03239101,1.483864832,0.729221266,-0.467077552,1
49,1.97,235537.0,1129.04,2.831046955,15.85929709,1.483864832,0.729221266,-0.27312943,2
50,1.15,277385.0,2186.13,1.294084535,15.72742174,1.483864832,0.729221266,0.163909424,1
51,1.89,369457.0,2307.57,1.908166084,16.51828224,1.483864832,0.729221266,-0.502104496,1
52,0.84,260772.0,2420.15,3.906495921,16.17374767,1.483864832,0.729221266,-1.786090293,2
53,0.97,131603.0,1023.17,1.14521144,15.43053398,1.483864832,0.729221266,-0.019224038,1
54,2.1,243445.0,1939.82,1.865399486,12.58600546,1.483864832,0.729221266,0.522409814,1
55,1.54,232968.0,1216.5,0.74606325,15.05427673,1.483864832,0.729221266,-0.332109431,1
56,1.23,270556.0,943.74,1.921001994,15.09959762,1.483864832,0.729221266,-0.642545069,0
57,2.9,248895.0,2204.14,2.607630766,15.82947304,1.483864832,0.729221266,1.313091122,1
58,1.73,329701.0,2046.95,2.108057481,15.23100061,1.483864832,0.729221266,-0.463328305,1
59,1.95,354258.0,1263.15,1.977733479,12.41400987,1.483864832,0.729221266,-0.868838055,1
60,1.41,126034.0,1825.82,3.00131411,15.6219948,1.483864832,0.729221266,-0.792618004,1
61,4.89,131745.0,1094.77,4.752271095,15.28855842,1.483864832,0.729221266,-0.745764152,1
62,1.64,148139.0,1829.07,1.649885624,13.20732671,1.483864832,0.729221266,0.93135343,0
63,2.63,272162.0,944.16,2.250384009,11.36548351,1.483864832,0.729221266,0.243070839,1
64,2.11,114947.0,2129.26,2.837431705,12.61880023,1.483864832,0.729221266,-0.451203664,2
65,0.56,285767.0,2295.39,3.086962063,16.9056482,1.483864832,0.729221266,-0.597253746,0
66,1.74,266746.0,1949.63,1.831510525,15.29954962,1.483864832,0.729221266,0.509929987,1
67,1.88,401119.0,2474.24,3.011810795,14.52776491,1.483864832,0.729221266,0.293969042,1
68,1.94,380766.0,1343.54,2.552534734,16.28863961,1.483864832,0.729221266,0.352542958,0
69,1.86,159818.0,1025.74,2.120830128,14.91839768,1.483864832,0.729221266,-0.139526575,2
70,0.32,401119.0,878.49,2.865048973,16.96126676,1.483864832,0.729221266,-0.623213689,0
71,1.05,380030.0,1029.25,-0.323806347,15.91484909,1.483864832,0.729221266,0.373835876,2
72,1.41,344567.0,905.23,3.421055659,15.48212675,1.483864832,0.729221266,1.389853875,0
