,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C),avg,std,num stds,class
0,1.59,143460.0,935.12,3.972597263,16.07605072,1.483864832,0.729221266,0.141930354,1
1,1.77,243423.0,1553.66,2.709420446,15.37701074,1.483864832,0.729221266,0.45099167,2
2,1.63,238954.0,1358.16,1.274477769,13.51798217,1.483864832,0.729221266,0.12637613,1
3,1.23,357846.0,1988.5,2.426231013,12.66583632,1.483864832,0.729221266,-0.477342457,1
4,1.18,249118.0,1804.22,3.183197285,14.89532911,1.483864832,0.729221266,-0.951657929,0
5,1.03,253109.0,1807.88,3.534210618,16.2960885,1.483864832,0.729221266,-0.560946726,0
6,1.7,138243.0,861.79,1.351760959,14.02031102,1.483864832,0.729221266,2.563689601,2
7,0.46,367820.0,2202.87,1.724984204,12.71675,1.483864832,0.729221266,-0.979370069,0
8,1.82,355886.0,2478.21,1.651660392,13.23533164,1.483864832,0.729221266,0.422273375,1
9,1.28,138598.0,715.1,2.548621411,16.40980819,1.483864832,0.729221266,-0.794830679,0
10,0.41,274189.0,1784.91,4.040578919,16.47724364,1.483864832,0.729221266,-1.279519992,0
11,0.88,263823.0,1852.14,3.631758893,16.25421269,1.483864832,0.729221266,-0.998600406,0
12,1.37,248680.0,1689.74,3.552013552,16.19040072,1.483864832,0.729221266,0.517506459,2
13,0.93,362496.0,1929.49,1.732433858,13.02427856,1.483864832,0.729221266,-0.897355306,0
14,2.48,233477.0,845.05,2.362370441,14.09115893,1.483864832,0.729221266,1.144060239,2
15,3.42,356225.0,1786.17,2.939313487,15.14387629,1.483864832,0.729221266,1.729299456,2
16,1.54,150763.0,985.46,3.002611466,16.22377726,1.483864832,0.729221266,0.15840118,1
17,2.65,150962.0,1009.62,4.919479183,16.71767553,1.483864832,0.729221266,1.133156025,2
18,0.98,248002.0,1902.68,0.978060488,13.21036944,1.483864832,0.729221266,-0.747119527,1
19,0.8,149672.0,1252.54,4.219038232,16.06235385,1.483864832,0.729221266,-1.162524751,0
20,1.86,264164.0,1743.65,3.709682882,16.23877753,1.483864832,0.729221266,0.735045072,2
21,0.91,150142.0,1070.37,3.854411426,17.44451222,1.483864832,0.729221266,-0.2187637,1
22,2.24,154408.0,1702.93,3.279108705,15.08727281,1.483864832,0.729221266,1.652187345,2
23,0.92,267391.0,1640.54,1.222529271,13.84935945,1.483864832,0.729221266,-0.882272063,0
24,1.97,239819.0,1852.8,3.136506775,15.67250135,1.483864832,0.729221266,0.765846721,2
