,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,2.07,362160.0,811.14,3.251740901,15.37918604
1,3.89,248853.0,1836.95,5.330648706,16.81058166
2,2.21,267554.0,1832.72,4.270645948,14.98584791
3,2.63,123256.0,757.5,4.061683114,16.81999379
4,1.22,126718.0,1385.61,2.848326361,12.56424117
5,0.78,280196.0,2313.56,2.044687389,16.55745485
6,1.49,163396.0,919.43,3.768806313,17.01841314
7,2.12,397630.0,2958.4,2.146954062,16.70269249
8,1.95,185521.0,1342.62,6.957808356,14.80812655
9,1.34,269098.0,1723.29,5.180252327,17.67330994
10,2.08,467819.0,1341.44,3.844597485,16.6443885
11,1.25,132436.0,2062.69,3.037611123,15.70796301
12,0.76,122053.0,1895.77,5.532757006,13.24242341
13,2.93,116383.0,1478.38,2.37022961,16.01251748
14,2.12,124288.0,2199.76,3.200714523,15.28681547
15,2.7,143142.0,2170.61,5.572646026,16.59011956
16,2.05,351508.0,1079.88,2.594104531,14.60081154
17,1.21,246186.0,1529.22,4.68918717,15.52031971
18,1.28,375224.0,2888.63,3.101789141,13.33088913
19,0.93,126278.0,1742.12,2.854201119,15.02741038
20,1.05,394023.0,721.18,2.681184975,15.68873406
21,4.29,392825.0,1731.76,3.732601607,15.95801732
22,0.6,152354.0,2152.64,5.815557628,15.89429798
23,2.16,100367.0,613.89,4.316160929,14.82093509
24,1.3,158737.0,2067.24,4.43763401,15.54577812
25,1.85,161338.0,2163.63,4.903542028,15.87031323
26,1.06,275705.0,2404.43,7.023782314,16.26724148
27,1.64,418505.0,728.9,5.16881694,15.90091369
28,2.78,131097.0,767.33,5.722897289,12.62360614
29,0.85,156486.0,812.01,2.714500669,15.34140265
30,2.17,389139.0,996.58,1.002926711,16.20642894
31,2.53,119709.0,1417.53,3.408242353,17.09282117
32,1.78,101573.0,891.2,3.010530871,16.31016729
33,1.08,140602.0,755.6,6.435726081,16.26624198
34,0.8,130558.0,1325.35,3.714187619,13.13770362
35,3.75,251789.0,1520.33,1.031914458,12.08723196
36,0.86,347117.0,2151.12,3.452819198,15.53375014
37,0.84,379130.0,1411.6,7.154641125,16.20540122
38,1.88,245402.0,2206.06,2.348384962,15.57500473
39,2.19,161266.0,2571.12,6.089579591,16.2519602
40,1.99,146063.0,1925.87,2.520111958,15.87388191
41,1.67,357076.0,2905.8,2.890266591,16.29638188
42,2.1,158081.0,1540.67,3.98413114,13.7445851
