,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,1.34,255550.0,638.19,6.560310356,12.45995995
1,1.53,140095.0,2212.83,1.278480414,13.66263242
2,1.95,247177.0,1126.24,0.824136723,13.48894956
3,0.79,160521.0,1673.22,4.161202113,13.62106891
4,1.71,356870.0,2379.01,2.273906681,16.54143856
5,1.71,393470.0,1106.65,1.54753674,16.06677522
6,2.07,255873.0,640.46,2.424213449,13.74670601
7,0.45,237989.0,1828.17,3.753186005,18.35903713
8,1.38,132613.0,615.04,5.802147781,15.51972213
9,1.3,351381.0,1021.98,2.912239177,11.2583727
10,0.86,394803.0,1123.01,1.746847612,18.55149602
11,2.28,247455.0,1680.35,1.536277614,15.03858016
12,1.2,137507.0,1666.7,2.046291188,14.16884492
13,0.94,386421.0,1397.36,3.793622304,14.91801558
14,1.02,249115.0,1708.06,1.59587776,16.098613
15,2.45,243725.0,1942.83,5.430522463,13.9400326
16,2.02,279488.0,1781.33,3.32459015,16.55591426
17,2.83,259702.0,1793.37,3.008826679,16.90006078
18,1.36,436935.0,1510.52,2.00963296,15.29222161
19,1.71,376718.0,936.1,3.834970347,15.87529336
20,1.41,267839.0,2084.19,6.53820159,16.86227166
21,0.71,267706.0,3922.14,1.806414506,14.78027284
22,2.28,368787.0,1289.24,2.365948785,15.8615241
23,0.86,351893.0,1657.56,1.573028604,15.06533388
24,0.79,368557.0,1632.74,7.784937773,15.98214959
25,0.85,159263.0,2036.68,2.314266345,15.48689991
26,1.69,258695.0,1851.9,3.634865653,15.65014537
27,1.2,155230.0,1300.88,1.233665494,16.32490451
28,1.74,258976.0,3287.48,6.257901209,15.71690686
29,0.88,390778.0,2594.46,2.533022501,15.26194704
30,1.15,253308.0,636.18,3.472707348,17.78942333
31,0.65,250540.0,3082.03,3.690336865,15.4248481
32,0.83,374701.0,3759.04,4.665559528,13.64520409
33,0.66,238010.0,1576.79,1.887282875,12.72401615
34,0.8,234068.0,652.81,1.422341824,14.71014085
35,2.13,364928.0,1631.66,2.520486666,14.63283607
36,0.53,375462.0,1409.12,1.878735688,17.98504957
37,1.22,135868.0,1538.46,1.391995258,15.46980769
38,1.98,396012.0,682.01,3.190329848,17.34942616
39,1.65,255949.0,674.44,5.992931206,15.87172281
40,1.28,352035.0,1748.92,1.836114322,15.02000724
41,1.78,128209.0,1095.0,3.729297752,13.18432489
42,0.97,349149.0,3496.25,6.181265611,13.7056743
43,1.51,125386.0,1236.34,2.695292108,11.71230309
44,1.81,378693.0,1363.73,3.968721948,15.8137883
45,0.92,108261.0,1020.35,2.638722953,16.83347234
46,2.11,377935.0,851.46,5.570529327,16.47423444
47,2.11,378922.0,1511.84,3.393280556,14.59872795
48,1.06,248620.0,875.7,5.289370386,15.06146143
49,1.22,275499.0,2088.69,8.437576797,13.60722319
50,0.57,369284.0,2330.23,1.065175503,13.4984856
51,1.22,259739.0,3281.87,3.044313032,14.75688944
52,0.64,451232.0,3701.18,5.604460432,15.46954571
53,0.59,175382.0,1913.77,2.067361078,16.2299059
54,1.09,342242.0,1689.76,-0.326393035,15.3887969
55,0.21,252184.0,620.47,3.286342212,18.29960005
56,0.69,155050.0,2784.18,3.602177069,17.38154612
57,0.74,285101.0,2945.2,4.856201751,15.82014288
58,2.21,342828.0,3194.67,2.894020284,15.69285278
59,1.61,348388.0,1186.25,7.23407324,16.73153502
60,1.31,371100.0,803.79,4.124153714,16.5173668
61,0.96,381566.0,1194.14,1.541437345,14.93749658
62,1.04,281678.0,1861.37,3.589606854,15.93341182
63,1.44,274258.0,1832.69,2.528025171,15.07773831
64,2.49,354637.0,1752.78,2.19072535,11.2583727
65,0.56,269645.0,1579.4,7.351305412,13.26953969
66,1.26,260162.0,2125.13,1.643931078,16.32522132
67,0.96,250627.0,1504.16,3.421406391,15.30367077
68,1.73,370976.0,782.9,4.429445368,13.21312012
69,1.85,257460.0,829.96,1.395211804,16.21333185
70,1.15,377740.0,3934.83,2.867429188,12.35205902
71,0.72,391734.0,718.42,4.427242208,16.31939155
72,4.73,362481.0,762.65,3.436719794,13.2259897
73,0.48,374489.0,659.44,1.343622733,13.47117997
74,0.5,258390.0,1681.83,4.586311516,13.62392178
75,0.51,366036.0,1912.5,2.801122695,15.25156497
76,1.59,376504.0,3295.31,2.404428487,14.81428342
77,1.33,379931.0,1228.65,7.712754513,15.36214698
78,1.06,137792.0,2471.48,6.287402431,13.05844678
79,1.0,144211.0,2329.92,5.689591921,15.21487719
80,0.79,159548.0,586.86,2.798332315,14.12822539
81,1.51,129148.0,2202.53,2.103142248,18.99354328
82,1.43,401424.0,2123.35,2.470304141,15.13902543
83,3.11,139115.0,3346.71,6.096924308,15.01725349
84,0.24,397492.0,1408.45,2.749732717,16.20925322
85,0.7,385033.0,1790.63,2.993691282,17.17328442
86,1.23,378443.0,2015.69,2.200218072,15.49394985
87,2.52,151586.0,2786.22,2.303886361,15.53370037
88,1.01,353535.0,586.86,6.123407482,16.22261521
89,0.74,163786.0,1816.18,2.73380866,13.5950307
90,2.41,275289.0,2018.97,3.170066862,16.26588023
91,2.65,355804.0,984.24,2.246635235,16.00209444
92,0.96,374846.0,1852.94,2.654872589,13.63448785
93,1.09,164558.0,708.41,2.126325542,17.14485657
94,1.53,270228.0,2103.75,5.734797618,12.07257162
95,0.64,347561.0,1735.14,3.464407324,15.39732638
96,2.03,147191.0,1847.92,5.046196719,15.59716773
97,3.22,374132.0,1704.27,4.363738283,14.91842605
98,1.17,348316.0,1603.32,5.118569753,13.11434402
99,1.82,350889.0,2526.77,3.154764399,15.05513254
100,0.87,268860.0,1615.21,3.297119992,12.4299611
101,2.54,378546.0,1539.46,3.149159514,13.44373556
102,1.41,151764.0,2103.03,7.022088703,13.63032946
103,3.27,254955.0,1942.66,2.215073274,11.5857149
104,2.36,414877.0,629.73,4.493090185,17.41299875
105,0.31,153811.0,991.14,3.227566987,16.11301218
106,1.18,357290.0,3800.16,4.574886105,16.07636813
107,2.46,147556.0,3940.04,3.325516317,15.41684969
108,1.82,242043.0,1011.18,2.310082042,15.48210537
109,0.4,276134.0,1760.64,2.340180535,16.69496738
110,1.7,359759.0,2190.89,5.437949294,16.86703407
