,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,1.79,227339.0,1792.16,1.919202675,16.38322932
1,3.51,137102.0,2421.68,2.512484384,16.74756494
2,0.86,369204.0,2484.68,1.737718546,12.27653733
3,0.55,309642.0,904.64,4.662563241,18.38216687
4,2.0,391956.0,832.55,1.779242404,16.62825515
5,0.87,161420.0,677.73,2.466740421,16.44451028
6,2.36,133584.0,1855.48,1.434485884,17.79767118
7,1.67,122008.0,2501.04,0.60963122,15.6735703
8,0.33,388656.0,844.68,5.604457188,15.41778094
9,1.55,249858.0,2191.57,3.386851664,16.02939785
10,1.78,158818.0,698.05,0.78649817,18.0015216
11,2.01,244995.0,1518.12,2.013731491,16.56599067
12,1.02,278370.0,2003.23,7.475503838,15.86223453
13,1.39,268056.0,2434.13,2.805586994,13.64790823
14,1.09,154474.0,884.68,2.120644268,16.92223575
15,1.24,105447.0,2165.94,3.672012601,13.43849063
16,1.22,262687.0,3385.2,1.910217276,15.79333996
17,1.09,149109.0,2576.53,3.362302221,14.39049997
18,3.92,341021.0,971.31,1.879984485,16.42365487
19,0.61,250326.0,2426.75,1.059457078,16.85671006
20,0.64,237758.0,855.09,4.543531119,15.41289436
21,0.83,162661.0,900.1,2.288370526,16.14150835
22,0.56,137095.0,2377.5,6.421404519,18.01845159
23,3.17,153006.0,835.47,7.322874603,17.34423121
24,0.7,382219.0,2484.65,4.587453666,16.97792553
25,2.2,263391.0,824.79,2.675784935,17.20939629
26,0.72,178340.0,963.23,1.773628597,12.9544318
27,1.87,257943.0,822.91,7.156984598,16.53484955
28,0.84,255028.0,670.64,6.882999141,16.24688707
29,2.75,125854.0,923.29,2.753511599,12.16788609
30,1.6,262611.0,2151.35,2.160341308,17.86014469
31,0.44,264863.0,745.56,4.12882319,15.37606514
32,0.65,249277.0,2512.1,2.254606303,16.47630586
33,2.78,150688.0,953.7,2.020252696,17.50005663
34,1.82,236139.0,2150.49,3.403205865,13.37867651
35,1.02,137992.0,1772.45,2.919625713,13.1467065
36,1.18,275997.0,856.42,3.612491216,14.86351357
37,1.96,161389.0,644.55,5.715006179,14.40557161
38,1.08,137739.0,1688.42,2.34613206,13.14421357
39,1.63,146274.0,1561.88,0.384723715,16.34797279
40,1.76,103799.0,2398.1,4.085008431,16.25478158
41,1.97,343971.0,2525.72,2.877498392,14.77465426
