,Yield (tons/acre),Time Since Sown (Days),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,1.67,1090,258261.0,2328.9,1.002350345,16.9267495
1,1.02,1164,346338.0,2114.49,5.472153695,15.66631879
2,0.76,1104,168994.0,2924.0,4.277683368,19.20689304
3,2.57,1092,361484.0,1721.37,2.604886705,15.27119287
4,0.99,432,134576.0,2198.43,5.593255035,15.50263396
5,1.66,441,258500.0,746.45,2.94951587,16.70591385
6,1.33,817,264746.0,1861.98,5.348811521,17.52168074
7,1.24,1169,376502.0,2694.0,5.895275437,14.72139509
8,1.61,1196,365542.0,2371.48,2.648255088,13.50778861
9,1.91,828,364395.0,2210.01,2.057451075,15.17033033
10,1.09,485,370212.0,1674.23,5.422335215,14.62484495
11,3.41,401,347929.0,2826.65,0.655451689,13.79098078
12,0.74,1394,252913.0,1587.51,4.678195688,16.25728398
13,0.89,1169,395237.0,2431.07,3.17513044,15.71586296
14,4.55,441,153968.0,1498.84,6.095146764,13.73439759
15,2.42,708,269617.0,2425.29,3.662589934,16.37772811
16,1.41,1165,260350.0,2265.74,3.286108408,16.98973654
17,4.34,1218,361887.0,2255.7,2.009147184,16.09032701
18,0.47,413,114581.0,803.62,2.044853059,16.80097749
19,1.21,1165,365350.0,2396.95,3.757405749,15.04751982
20,2.29,812,155275.0,1488.01,4.538194051,16.976423
21,2.27,773,230664.0,1260.6,6.578741744,15.11253522
22,1.92,1123,287406.0,1747.65,4.094658736,14.20311356
23,3.77,1157,267785.0,2095.02,3.470619729,16.54200806
24,1.09,806,374740.0,2308.18,3.929868958,17.53452995
25,2.95,801,359065.0,1661.96,5.40619165,16.73990503
26,2.19,1051,368679.0,1329.95,1.856409271,16.32906035
27,0.98,1188,377143.0,905.69,5.58810666,16.52987422
28,2.03,1140,137483.0,871.2,5.583986022,17.26631403
29,0.78,1185,248930.0,2550.04,5.404588909,15.7821106
30,1.88,1194,179461.0,2334.32,3.08565216,16.40832277
31,1.05,1165,134682.0,2233.45,5.82344812,16.09967385
32,0.98,1158,352796.0,2367.51,5.609746152,17.06523809
33,1.94,859,408263.0,1291.35,2.21406561,16.4707406
34,1.63,1128,348451.0,3623.91,1.745172255,15.07873356
35,1.58,1145,346436.0,2380.09,1.800860072,16.29861614
36,1.37,466,263439.0,1026.28,5.565333487,16.08346619
37,1.4,480,260068.0,2293.47,0.973768101,16.22733782
38,1.43,445,376842.0,3203.28,4.980786333,17.47146735
39,2.17,1130,370949.0,1985.63,2.774447058,16.21642981
40,0.91,1163,352168.0,2442.51,1.878068691,16.45872863
41,1.54,863,135396.0,1756.25,3.372252724,15.49724691
42,1.67,473,360852.0,2969.87,4.949041582,16.82140056
43,2.64,817,323785.0,1783.51,4.72660933,14.35011457
44,0.97,1198,255780.0,3893.62,3.87971705,15.09418063
45,1.53,377,240062.0,2029.64,5.214029178,14.75600764
46,1.18,414,255305.0,1762.92,5.712372982,15.82257215
47,2.3,1216,140675.0,1905.63,2.197930775,16.05487233
48,3.22,450,359179.0,2176.1,2.806691224,16.69362937
49,1.69,1080,377491.0,3297.09,2.015744521,15.06512727
50,2.47,410,125962.0,2073.89,5.624412724,17.24981593
51,2.88,849,127307.0,1443.23,3.953319057,16.94599607
52,2.07,1226,142881.0,848.06,5.624065404,15.26230414
53,2.26,453,249869.0,965.22,3.575802569,17.63062513
54,2.04,1173,287626.0,1221.61,3.723504328,17.74860341
55,1.19,464,374324.0,1812.62,3.122914883,13.68609963
56,0.62,441,252823.0,1045.65,1.821486758,15.37694117
57,2.75,435,340911.0,1716.66,3.872881803,14.28838927
