,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,0.68,99770.0,2451.38,3.431502362,12.92603158
1,1.29,105801.0,1321.1,6.566758515,12.91900202
2,0.51,242407.0,1168.54,1.854754416,17.98370297
3,1.61,259177.0,2272.52,4.804882318,18.32097038
4,2.32,376990.0,1132.68,3.34335543,13.64291613
5,0.67,361285.0,954.89,3.156369611,16.55073288
6,2.25,253292.0,2414.94,1.197645549,13.85560982
7,1.36,145375.0,760.48,4.105312884,17.40220312
8,0.69,275840.0,2654.93,4.154838553,16.89117536
9,1.92,278030.0,981.39,1.589765155,12.8574366
10,0.78,147374.0,1432.63,3.401279364,18.16253157
11,0.43,260861.0,1455.4,2.31314039,13.20455325
12,1.38,140797.0,4466.78,1.249793052,14.31728628
13,1.96,363542.0,1819.68,1.374290111,14.36875507
14,0.5,134679.0,1881.63,5.948638168,14.28224665
15,0.99,87646.0,695.23,2.081437726,15.68875561
16,1.5,382527.0,2386.85,0.564309241,13.86933226
17,0.92,348179.0,1377.99,0.452920635,13.85089109
18,0.74,249164.0,2304.43,2.246539319,16.98358239
19,1.98,107780.0,1038.73,3.958693721,16.28096076
20,2.96,179212.0,1847.47,3.961392439,13.60873227
21,1.03,137740.0,2754.99,1.345469857,17.67491039
22,1.07,398520.0,3956.58,1.272418453,14.27621455
23,2.32,325460.0,2576.23,3.980603252,15.579117
24,1.29,149095.0,1931.08,7.531797816,16.21468565
25,1.39,373792.0,2071.72,3.834057163,16.97506799
26,1.45,252133.0,840.71,3.742739884,13.75322056
27,1.78,369288.0,1723.97,3.060644676,17.09597023
28,1.27,385137.0,1257.12,-0.326393035,17.11016122
29,1.22,370534.0,1331.6,3.454447103,13.08213522
30,1.65,263933.0,3031.31,1.374044184,14.64153042
31,1.79,336472.0,2436.18,1.623907006,14.94935843
32,1.25,365668.0,1676.61,3.657517712,13.84817362
33,1.68,260201.0,1278.89,3.769484832,14.05664944
34,2.32,340862.0,2277.29,1.229389133,16.58878262
35,0.63,360722.0,1495.79,3.698310947,16.85785734
36,1.9,259197.0,1283.52,1.60490649,13.00154073
37,1.72,120142.0,1622.44,2.375750017,13.83879339
38,0.73,109607.0,2085.52,3.063923721,16.50859757
39,0.58,368683.0,2320.04,1.907326474,15.96954044
40,1.34,372672.0,1914.48,3.405267235,15.48610481
41,1.21,358532.0,1022.82,2.407341686,15.88818841
42,1.12,167011.0,598.26,7.666375548,17.61110782
43,0.25,361725.0,586.86,6.67679158,16.24537339
44,1.52,384863.0,2649.74,5.247087565,14.12005553
45,0.95,152754.0,1519.22,2.559799637,16.94605052
46,0.58,245231.0,1626.83,1.216800372,15.20503175
47,0.68,375089.0,2179.3,3.72944878,17.43336473
48,1.06,261461.0,2361.12,4.01786041,17.33730502
49,1.08,417890.0,2209.89,1.526636194,17.71371425
50,1.76,364295.0,2302.12,0.48556861,17.19757281
51,1.21,157575.0,2191.54,4.302086892,17.28989964
52,1.83,366930.0,2027.06,2.835785917,17.10704191
53,2.08,148595.0,1834.71,6.565367171,15.85414718
54,0.85,250330.0,798.11,2.47362612,15.65197433
55,1.06,373336.0,1779.83,7.465873681,14.66443544
56,1.61,266809.0,743.79,2.606542846,16.02040364
57,0.99,371540.0,2411.25,4.785417193,16.96880851
58,1.5,136240.0,773.86,2.84169232,16.47212086
59,1.43,356292.0,1722.21,1.990945149,15.81469375
60,0.93,274314.0,2215.4,2.517685211,15.81629768
61,1.07,143572.0,586.86,3.284861571,16.83956247
62,1.45,376305.0,1880.41,2.852465273,18.37464256
63,1.74,157475.0,1653.29,3.778126463,17.24233964
64,1.97,367690.0,1095.34,0.629180568,17.16635833
65,2.03,366683.0,2199.91,2.776703597,16.83296834
66,2.15,162759.0,2241.56,2.576745768,17.16287292
67,0.9,385439.0,2049.45,0.501106574,15.44878681
68,2.55,390143.0,1736.1,4.377516502,14.18978402
69,1.6,172844.0,1573.91,1.601924214,16.81096434
70,1.46,146844.0,3463.4,3.902402277,16.67027107
71,0.34,263202.0,2817.99,1.69050042,17.86462813
72,1.01,245492.0,2082.33,4.598561251,15.08703281
73,0.91,177286.0,1346.52,4.584349451,17.1829727
74,0.53,255979.0,1675.1,1.060259561,15.11044828
75,2.8,238294.0,1922.96,1.975343964,15.933815
76,1.76,128228.0,2032.96,3.244202412,16.35781894
77,1.69,233106.0,600.96,1.787452384,16.80786287
78,1.31,338414.0,721.43,3.671328396,14.35875802
79,0.57,131069.0,693.49,6.334058784,14.27663084
80,1.11,345603.0,1883.39,1.831086994,15.49516177
81,0.69,137419.0,647.36,4.336057225,16.50094673
82,1.26,261138.0,1919.5,3.729766576,17.38007638
83,1.57,137604.0,1426.33,1.682668111,13.68031392
84,1.02,375166.0,1343.1,2.40685025,14.17041512
85,2.02,355260.0,1381.99,2.348316651,14.50350426
86,1.32,352020.0,1618.54,5.468641662,16.06746146
87,1.47,150733.0,1874.17,1.984651669,17.31218965
88,1.84,159597.0,1394.89,6.09106017,14.56389128
89,1.31,366383.0,916.01,4.130044955,17.62878424
90,1.59,237745.0,929.93,0.530439224,13.89477355
91,1.4,156157.0,4382.18,1.013171131,17.31387546
92,0.97,145651.0,2306.03,3.264317274,17.55079031
93,1.75,134091.0,721.35,5.139640885,14.86751241
94,0.45,254178.0,2088.51,0.701550049,15.62205294
95,1.53,247203.0,1385.7,2.923242163,13.53133289
96,1.42,356154.0,1641.86,2.209527493,13.94095427
97,1.22,133770.0,1989.72,5.259988272,16.74153593
98,0.29,162362.0,1506.18,3.292028613,18.25209366
99,0.73,348908.0,842.95,1.927219223,16.23530155
100,1.44,250512.0,649.71,3.735816964,16.0783799
101,1.38,251669.0,2206.5,1.268499414,14.04703025
102,0.89,146135.0,1269.51,2.035575661,16.27094485
103,1.14,369039.0,845.19,4.36942462,17.58516886
104,1.3,269137.0,1829.96,1.39871582,15.90357812
105,0.57,415518.0,786.03,3.261887416,15.40977883
106,1.33,250185.0,865.36,1.706128838,15.03781783
107,1.23,383743.0,1248.16,1.683674271,17.00124465
108,0.37,152923.0,817.5,3.729668786,15.57200809
109,2.88,361623.0,2682.83,3.766207273,15.17563857
110,3.38,238465.0,1814.0,5.208588761,15.52636248
111,0.65,247516.0,874.56,2.159932125,16.52150116
112,1.85,134737.0,3482.35,2.132235081,14.05848641
113,1.73,252991.0,1608.75,1.893972028,13.89922543
114,1.04,139780.0,1436.87,3.900498582,15.96449912
115,0.97,250615.0,1671.11,2.499060346,12.46287939
116,1.5,346792.0,2177.27,1.966874242,14.43976807
117,1.43,364873.0,1929.29,4.155571004,12.56210981
118,1.59,150795.0,674.06,4.111105374,14.09008514
119,0.35,393469.0,2599.65,1.241472192,17.43221761
120,1.59,383031.0,1287.74,2.244922189,16.91273987
121,1.91,81737.0,1290.46,7.070842865,16.95698185
122,0.95,365292.0,1197.45,0.446285367,16.21452119
123,1.5,137126.0,1031.35,2.549463524,16.60083795
124,1.43,366156.0,2388.9,2.79727278,16.05087757
125,1.55,264344.0,1692.46,7.07047425,17.63672632
126,2.5,168128.0,2351.16,4.026718294,16.30588622
127,0.66,240361.0,1798.58,3.447201994,15.16357865
128,1.44,378016.0,2253.95,2.982981988,12.71089264
129,2.18,245915.0,1882.22,2.201724019,16.00544708
130,1.53,149184.0,2258.89,4.712561254,13.59971839
131,1.3,271844.0,2072.0,3.305909892,15.31273208
132,1.79,360352.0,2229.74,3.848320958,15.97460657
133,0.63,144356.0,1369.25,1.184458416,17.36245646
134,2.6,189426.0,1733.93,4.191770767,15.03557068
135,1.62,464468.0,3863.1,5.926525627,15.47064573
136,0.56,237142.0,1434.5,1.600210929,12.05839432
137,1.46,150429.0,1773.81,2.724764578,15.80857861
138,0.58,258150.0,2536.62,0.733556235,13.53089123
139,1.27,379083.0,2160.59,3.227427509,16.03515367
140,0.9,199795.0,663.66,2.523120554,14.79577182
141,1.23,250050.0,805.51,1.938945582,15.15870693
142,2.21,258196.0,2908.96,4.462174183,14.41330772
143,1.87,163394.0,1050.55,3.212416363,17.66352748
144,0.9,240808.0,586.86,1.23040811,16.56535795
145,1.65,295210.0,1931.79,3.337726047,16.06135969
146,1.19,364599.0,1646.22,3.736288877,16.51006434
