,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C),Class
0,1.31,313442.0,698.21,5.146241722,16.04952767,1
1,2.24,320992.0,1849.28,5.093482667,17.6658581,2
2,0.62,369712.0,3079.16,4.711427352,16.34994698,1
3,1.32,283576.0,1047.09,3.555392857,16.72434116,1
4,0.65,364275.0,1484.84,4.664894773,17.18049433,1
5,2.03,156616.0,3795.79,5.258978217,16.95527355,2
6,0.55,360346.0,1333.11,4.645966398,17.30778852,1
7,2.33,99525.0,2488.43,3.929805697,15.40065218,0
8,1.17,347498.0,620.61,3.555392857,16.18780143,0
9,2.97,204869.0,1221.61,5.187950457,19.630501,0
10,1.32,78065.0,620.61,6.161044788,17.08460398,0
11,2.3,380910.0,2368.75,5.174443785,17.76515019,1
12,1.2,164630.0,3484.76,4.292607709,15.8524064,0
13,1.54,332813.0,2061.9,5.164727198,16.29812878,0
14,1.46,124116.0,3623.86,4.003113064,17.37128016,0
15,1.05,291049.0,1630.11,4.241751777,17.77649433,2
16,1.45,311502.0,3421.95,6.037558984,16.51398902,2
17,1.28,261282.0,1933.47,4.274696539,15.11712734,2
18,0.32,342757.0,1973.85,5.472665567,16.64103686,0
19,2.37,222676.0,2430.57,5.314775831,16.55185613,2
20,1.23,78065.0,2570.32,6.30029788,17.2087758,0
21,1.6,235122.0,2044.64,5.080874914,17.59432921,1
22,3.42,347477.0,2427.92,5.397167972,16.24310944,1
23,1.49,193906.0,2446.45,5.191518395,17.33859012,1
24,3.1,376382.0,2938.49,4.201076231,17.16121542,1
25,1.18,78065.0,1287.36,3.72743273,17.01328675,0
26,1.3,296959.0,2299.61,4.150069716,17.70032628,1
27,1.84,115179.0,3103.55,4.468582144,17.13029759,0
28,2.04,244231.0,1899.61,5.934754985,17.41810656,1
29,1.35,224381.0,2809.63,6.537494374,15.27617244,1
30,0.79,263442.0,3832.34,4.937675091,17.45058823,2
31,0.49,239310.0,2782.3,6.976394003,17.39360028,1
32,2.93,194294.0,620.61,6.598539213,17.32323355,0
33,1.61,277196.0,2962.92,3.555392857,15.57381675,2
34,1.16,187399.0,3549.57,3.926515901,15.74042638,1
35,0.69,107347.0,1275.32,5.061302851,17.69780441,1
36,2.07,78065.0,1080.02,3.555392857,16.7302627,1
37,0.98,291550.0,2307.37,5.064013634,19.630501,2
38,0.8,181043.0,620.61,6.143285039,16.31658109,2
39,3.42,357171.0,2870.91,6.163646211,17.07004646,0
40,1.98,207488.0,2884.24,4.551651456,19.630501,1
41,0.35,277765.0,2266.41,6.468775812,17.06681416,1
42,0.78,256542.0,2690.23,6.340525789,17.49352675,2
43,1.58,232133.0,1240.87,5.95587185,17.38258863,0
44,0.76,338434.0,1162.61,6.051368281,15.81546334,1
45,0.71,256781.0,2090.36,5.680659704,17.73116927,1
46,1.89,192754.0,3416.1,4.325482254,17.50821678,1
47,1.84,354571.0,1249.77,3.843700403,17.60017061,1
48,1.14,78065.0,1914.39,8.093711366,17.44709167,1
49,2.01,91345.0,2998.77,6.124894134,19.630501,0
50,1.31,187831.0,3832.34,3.743425208,19.06355383,2
51,2.04,197315.0,2004.92,7.505784402,19.36094432,2
52,2.81,279948.0,1213.41,7.385600436,18.46661661,0
53,0.8,144676.0,3248.87,4.904576664,17.4827152,2
54,1.19,291314.0,1397.51,8.026409651,17.15993684,0
55,1.83,240811.0,1127.13,4.553233034,18.78225784,0
56,3.01,127496.0,620.61,3.555392857,17.94779649,1
57,1.03,261730.0,2022.01,4.044860683,18.12217739,1
58,1.06,380924.0,992.02,5.418232725,19.41781075,1
59,2.33,367525.0,620.61,6.757844435,16.98489989,1
60,1.28,313719.0,2152.51,3.555392857,16.36658189,2
61,1.53,202176.0,2193.66,3.555392857,16.7450343,0
62,1.44,398401.0,3832.34,5.20977209,17.69590748,0
63,1.61,250921.0,3627.49,3.688485677,16.97955611,0
64,0.72,228048.0,3565.54,6.571495195,17.66761564,0
65,2.01,213439.0,2704.56,8.210921844,18.95941641,1
66,0.32,265496.0,2881.95,3.857649051,16.37691809,1
67,0.85,95245.0,1850.96,6.661921083,17.32522783,2
68,3.1,398401.0,1181.7,5.197556741,14.75607377,1
69,2.58,88600.0,2004.97,5.075973059,16.61986208,1
70,0.32,109074.0,1500.36,5.821882101,17.03447321,1
71,1.18,78065.0,3345.58,3.555392857,17.63978332,0
72,0.63,281440.0,1664.3,4.58645297,17.44281686,1
73,1.33,343215.0,970.99,5.711873396,18.47760643,1
74,0.64,221510.0,1864.7,6.799781563,17.16526812,1
75,0.32,151432.0,3042.69,6.115704292,19.630501,1
76,1.62,222532.0,2026.51,5.663328806,17.85861548,0
77,2.15,193909.0,3692.09,4.29460854,16.35465242,1
78,2.39,335818.0,3832.34,5.242633275,17.25596548,1
79,1.42,140631.0,718.5,4.954325097,19.33176044,0
80,1.12,211965.0,1045.95,5.096041735,17.07972591,1
81,0.8,287926.0,2982.15,4.758634626,16.85614258,1
82,1.13,204220.0,915.6,5.482274122,17.58125878,0
83,2.25,112148.0,3832.34,3.692200083,18.27833706,2
