,Yield (tons/acre),Time Since Sown (Days),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,1.79,813,136352.0,1322.92,4.323132213,17.7249941
1,2.16,819,263419.0,1041.1,5.716371606,18.35794347
2,0.88,433,121127.0,733.33,3.886319769,17.04042695
3,1.27,442,147538.0,1292.23,5.672632583,16.83329089
4,1.17,481,267300.0,639.77,6.657641028,19.03286123
5,1.56,812,271902.0,2052.51,2.790671287,16.67578149
6,2.02,700,108192.0,1461.79,5.513636625,15.73281889
7,1.76,1115,88880.0,1505.79,5.777309281,13.2938038
8,1.25,411,255737.0,3141.24,1.081091675,15.68938858
9,1.15,1181,365866.0,1336.76,1.180164874,13.37862663
10,1.42,371,123132.0,722.88,4.022432025,17.8145639
11,2.17,1148,144411.0,807.93,6.432662735,16.17546841
12,1.74,453,137085.0,1676.41,4.733236705,15.21246815
13,1.43,1175,254217.0,1369.48,1.465757311,16.73864881
14,0.77,787,251663.0,1362.2,1.252792581,12.75557958
15,2.11,823,265096.0,1212.28,1.788642913,15.41205487
16,0.7,472,201495.0,3824.35,1.546588588,17.05611104
17,0.74,749,261236.0,1750.56,7.026062139,16.18456488
18,2.15,1158,235301.0,1075.66,0.943907554,15.90034198
19,0.66,426,150307.0,808.9,4.781909166,16.03520319
20,2.37,848,364448.0,1742.45,1.81332011,14.83163449
21,1.73,781,352697.0,2491.23,1.295590743,15.14698687
22,0.91,359,127652.0,2252.35,5.518732402,12.74083946
23,0.71,446,143893.0,1332.74,5.750125828,16.1335865
24,1.41,464,121585.0,617.59,1.060972862,15.82969849
25,1.82,431,249765.0,711.06,7.002753741,19.03572779
26,0.64,1449,200915.0,2018.51,1.494607016,15.65495536
27,1.69,425,162178.0,3310.69,6.101455397,19.2755686
28,1.42,836,257979.0,1286.44,6.074078325,16.80729495
29,1.11,405,348100.0,1407.07,4.286897605,17.00166378
30,1.65,423,225132.0,2102.39,4.41679846,16.64193733
31,1.23,755,159367.0,597.48,4.062884562,17.66655089
32,1.71,806,260854.0,1401.28,6.272154967,16.52761025
33,1.12,464,146453.0,726.76,4.317774229,17.26694595
34,1.33,390,157810.0,3241.88,3.214780256,12.99863687
35,2.39,353,287470.0,3459.3,1.431342677,17.05309054
36,0.51,1130,244338.0,3712.35,1.627507059,12.38567165
37,1.77,825,272629.0,1384.03,1.484215031,17.53993912
38,1.62,794,119795.0,1804.96,3.482544323,18.79936551
39,1.05,363,132843.0,773.54,4.704854817,16.6237929
40,1.28,1181,350739.0,2242.11,1.644829756,16.98917342
41,0.67,805,257559.0,3108.15,7.327594255,16.35123134
42,1.66,401,139243.0,765.26,4.816000727,18.54112721
43,1.87,1123,257184.0,2583.73,2.906814359,15.39106481
44,1.58,811,324869.0,1221.65,1.305860485,15.03030294
45,1.0,695,136369.0,915.45,4.545082098,17.19542822
46,0.73,427,139643.0,921.43,5.598368851,15.50020147
47,1.28,461,132312.0,1776.25,5.791799528,17.16820996
48,1.56,365,118299.0,1029.8,0.469572909,15.17262518
49,1.45,782,236577.0,1660.61,0.524564966,15.70852922
50,2.73,797,131231.0,859.87,1.945126228,16.19744101
51,1.61,1131,355779.0,1230.01,4.959379774,16.59561853
52,2.16,738,154655.0,827.75,3.971120139,16.4200028
53,2.74,399,244447.0,1407.43,0.568163603,16.73379884
54,1.47,406,146164.0,854.91,3.911039979,17.04872015
55,1.62,853,262975.0,3818.14,6.416989154,13.33182313
56,2.03,370,195560.0,997.26,0.738770209,15.37965956
57,1.44,387,129457.0,596.64,3.753207453,17.92826161
58,2.59,434,353053.0,1793.78,3.279463763,16.68121371
59,0.78,1085,359209.0,679.62,5.579250772,17.39894442
60,1.55,787,269170.0,1156.32,1.998349427,16.76213214
61,1.83,810,251065.0,1498.12,6.528668285,16.13426556
62,1.87,848,261915.0,3392.21,2.049044282,14.57299955
63,0.81,778,243464.0,1351.51,1.542995347,15.28979329
64,0.93,770,241695.0,1616.06,6.011803398,13.51768445
65,1.73,410,110779.0,872.56,7.637309617,16.66393779
66,0.57,1274,362963.0,1662.86,0.788741252,16.22520429
67,1.72,418,128571.0,776.48,6.93736644,16.7186097
68,2.54,364,125076.0,985.27,5.405602112,17.86618614
69,2.42,1198,362152.0,2334.19,2.362665144,17.84668364
70,1.33,799,89854.0,2021.66,6.497926983,17.45766011
71,0.83,426,128976.0,2768.93,4.171882031,16.10121057
72,0.87,395,106980.0,896.0,5.805299642,16.86690287
73,1.51,432,126862.0,826.01,2.653142558,18.7005268
74,1.44,770,98944.0,1616.68,4.076391069,14.56117493
75,2.66,774,203572.0,3647.12,4.080140145,13.47927467
76,1.46,1188,373202.0,3682.18,1.267526385,16.80778886
77,1.39,421,145640.0,760.77,0.29975694,17.49568146
78,1.22,811,345153.0,2027.7,5.101967691,16.51459335
79,1.85,782,140940.0,809.34,2.383857348,15.71645752
80,2.55,780,326409.0,1878.93,1.126945007,16.79943772
81,1.6,1135,348795.0,1905.86,0.266689505,16.65631867
82,1.26,441,377154.0,3872.81,1.650574922,16.99867854
83,1.69,802,360876.0,3342.87,0.928739534,13.08519258
84,1.17,744,372173.0,2005.04,3.992810983,16.6901786
85,1.3,275,262943.0,2708.61,0.885884649,11.99475443
86,0.76,790,208809.0,2597.87,0.450936828,13.07379305
87,1.17,782,126978.0,2214.41,2.431923136,16.33177065
88,1.06,783,242998.0,1595.04,2.306138949,14.85378875
89,0.92,782,263411.0,2154.37,1.267012446,15.82749868
90,0.74,438,132919.0,1204.01,5.742233698,16.54343542
91,0.62,1189,245424.0,2347.16,6.142364463,12.79760416
92,1.45,1120,244986.0,1234.72,4.09803526,16.6543151
93,0.78,800,240330.0,4335.68,3.180875605,17.03902334
94,1.76,405,266678.0,1769.09,0.67980758,15.56605842
95,1.55,754,255560.0,1522.52,0.926747122,12.30750535
96,0.41,767,371880.0,1468.51,4.899210323,16.21487178
97,1.39,1121,253431.0,846.86,4.374937599,15.60782449
98,1.2,977,142835.0,741.14,3.281157173,17.76116594
99,0.54,370,145801.0,699.89,5.709228241,18.49845693
100,2.51,805,244820.0,1966.03,2.109552161,17.70868449
101,1.17,774,127266.0,859.0,4.137520979,14.38204427
102,1.14,1060,227062.0,944.93,0.183710856,11.2583727
103,1.74,775,251147.0,996.97,0.538985719,15.91258782
104,1.04,421,143455.0,1608.02,4.940350238,15.70806596
105,1.64,323,181637.0,1312.87,3.079167158,12.82469214
106,1.06,1170,392321.0,2008.58,6.459708834,15.82643147
107,1.04,1140,140108.0,1610.3,1.453010717,16.20725843
108,2.13,439,178928.0,2419.38,3.525347989,15.85015254
109,1.71,415,122236.0,1364.88,6.558477343,16.88913756
110,0.67,1133,148127.0,2403.78,5.459033384,16.95819413
111,1.13,473,145925.0,740.94,3.139333496,16.70546209
112,1.08,832,123924.0,1277.47,2.728263917,12.94249072
113,2.65,1035,121266.0,1255.1,5.494666057,18.47496462
114,2.98,1478,247204.0,1915.28,5.26781889,14.94776767
115,1.31,1132,346281.0,2884.02,1.852049395,16.90030732
116,1.37,1086,361453.0,1522.69,1.839231455,16.10486267
117,0.73,1114,355380.0,1304.42,0.626928544,13.27736041
118,0.78,388,133853.0,1366.37,0.06320751,13.25318648
119,2.03,391,159339.0,792.25,0.932866819,16.2754422
120,1.32,801,301086.0,1489.87,4.255536833,16.44180243
121,1.17,425,139158.0,2198.61,4.995372129,15.36478181
122,1.25,415,123388.0,1002.45,4.769631186,16.29888508
123,2.78,762,245039.0,3564.88,1.792607121,14.99429453
124,0.59,452,112347.0,2506.21,4.906754931,15.69396022
125,2.08,843,234036.0,1121.39,5.975008122,13.48390054
126,1.77,437,142119.0,664.05,0.460489544,16.89274108
127,0.95,816,358818.0,1444.11,7.020719697,16.91446987
128,2.58,385,78065.0,586.86,4.350930989,13.06254013
129,1.33,749,146969.0,1085.22,2.074574436,17.34515935
130,0.9,692,134637.0,1270.07,5.70207707,17.54639386
131,0.6,1099,364896.0,2397.29,1.624075154,16.3539611
132,1.0,774,261072.0,1325.13,0.887507458,13.13373195
133,1.17,432,231886.0,785.24,3.822250721,16.50696285
134,2.14,816,248079.0,3119.14,0.270499704,12.84659104
135,2.24,471,176616.0,1185.63,6.473689663,15.8267077
136,0.69,800,262176.0,1481.25,2.609544411,17.44402484
137,0.35,459,122874.0,906.79,2.367185743,17.16677542
138,1.07,308,143790.0,2407.7,2.00763959,18.40724047
139,2.27,1103,377380.0,1626.08,0.71717242,14.108315
140,2.42,411,136398.0,1387.05,1.038571396,15.94323113
141,2.29,835,254229.0,2089.31,3.988224844,13.38548345
142,1.19,471,128374.0,786.92,1.628404822,17.6160144
143,1.3,394,134013.0,671.86,6.256244756,15.21182851
144,1.35,1108,331897.0,1224.33,-0.326393035,11.81514332
145,0.98,763,348806.0,1748.49,5.242276108,17.73596631
146,1.12,1018,247750.0,2675.23,0.913794708,12.29080926
147,1.07,1096,267529.0,2997.9,5.465621692,12.28529938
148,1.85,781,242789.0,1506.28,3.260481363,17.00128569
149,0.6,762,240426.0,2075.92,0.761870371,15.66885391
150,1.09,809,367723.0,1463.53,5.994345199,16.55288264
151,0.6,293,120035.0,1098.62,5.148142469,16.94338087
152,2.86,951,317709.0,2181.61,5.803720816,13.295689
153,1.85,787,361145.0,2744.89,1.075566709,12.95055518
154,2.87,1360,158388.0,1670.11,5.524752808,14.34535821
155,0.82,861,276067.0,2118.34,5.736026636,13.71030507
156,1.17,1117,236638.0,1841.79,1.196608567,12.0643553
157,1.79,451,134862.0,586.86,1.761090161,16.30466102
158,1.48,1159,389256.0,3525.66,1.221780619,17.034157
159,1.87,460,151821.0,645.65,3.101060187,16.92680408
160,1.18,1086,222594.0,4222.2,3.995391072,14.90627218
