,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C),Class
0,1.48,237651.0,2927.51,4.192221862,14.74251989,1
1,0.84,83344.0,2967.82,7.480649552,17.48869455,1
2,1.76,297451.0,2131.34,6.717400136,15.42089686,0
3,1.79,241458.0,2105.47,4.276579686,14.35050725,0
4,1.05,79772.0,1226.17,6.81222214,16.37246663,2
5,0.72,186373.0,1579.87,5.40659214,15.15211595,0
6,2.31,249180.0,4438.82,5.721435225,16.16693194,0
7,1.87,366906.0,2889.61,5.818375949,18.09063131,2
8,2.0,247293.0,996.35,6.082850327,17.0371154,0
9,0.2,128044.0,3186.27,6.252274545,15.77066368,0
10,3.42,296345.0,1970.87,3.253768116,14.87217399,1
11,1.6,159318.0,2041.67,6.015422165,15.77948389,2
12,1.14,298739.0,1784.59,4.769666052,16.66001997,2
13,0.58,221660.0,3177.22,3.253768116,17.38198982,1
14,3.32,377115.0,1129.66,4.960728631,16.01288883,2
15,1.29,149799.0,996.35,5.47379706,19.630501,0
16,1.59,303757.0,1371.7,4.996274967,14.35050725,1
17,1.11,421139.0,1913.97,6.520877659,16.99243263,0
18,0.91,110594.0,3242.82,6.278322645,16.77371259,1
19,1.84,354225.0,3349.16,6.659505582,16.05895842,1
20,1.17,147750.0,1788.31,5.166405942,16.83428317,1
21,2.06,125806.0,2263.81,3.524243149,15.807365,0
22,3.21,284493.0,1706.67,5.274398311,16.84815746,0
23,1.12,290643.0,2887.75,4.462016057,16.7578078,1
24,1.43,351930.0,1751.24,3.610938197,16.47614566,1
25,2.13,161176.0,3123.43,6.432942455,17.62089679,0
26,2.15,373399.0,1780.51,3.346736407,18.16149847,1
27,2.39,139407.0,1918.29,4.439209429,17.47877396,1
28,2.34,445420.0,996.35,5.291259382,15.58532314,1
29,0.2,202891.0,1609.59,6.395095843,19.630501,2
30,0.95,328961.0,1686.15,6.644405518,17.46582938,1
31,1.37,305146.0,2929.44,4.728261477,17.82671863,1
32,2.15,147263.0,5006.9,6.272853473,17.16667867,2
33,0.8,236910.0,2043.3,3.253768116,16.53404136,2
34,0.77,448511.0,1302.25,5.672968298,16.71938959,1
35,1.37,417567.0,2954.86,5.703212779,14.35050725,2
36,0.63,97879.0,996.35,5.23711146,17.87585774,0
37,1.46,79772.0,1880.74,5.412351372,15.84283009,0
38,2.0,354595.0,3558.13,4.087461248,14.76203527,2
39,0.95,369521.0,2113.69,7.435519969,16.2775189,1
40,0.46,283863.0,996.35,6.397899074,16.10786249,1
41,2.23,195811.0,2710.11,5.226705886,15.83489262,1
42,0.88,181300.0,2047.1,4.437880802,16.31024007,1
43,2.46,469473.0,1184.9,6.101113374,18.87716691,1
44,1.21,154152.0,1978.02,6.205650583,14.35050725,0
45,2.27,165618.0,2105.08,5.43142722,17.13638778,0
46,2.13,373902.0,2769.4,3.279905994,15.15834598,1
47,2.38,240414.0,2972.02,6.10253105,16.03591277,0
48,0.54,175561.0,996.35,7.338681401,17.9929328,0
49,1.26,192091.0,3214.84,5.375008918,17.28401683,2
50,1.53,215403.0,3323.35,6.265590169,16.72658427,0
51,1.99,106613.0,1670.65,6.794949077,15.16707784,1
52,0.33,79772.0,2490.44,5.863281684,15.29224776,1
53,1.23,106395.0,3164.17,7.105330059,18.34084967,0
54,1.87,202752.0,3124.46,5.724836634,16.00106008,0
55,0.75,128293.0,2214.7,5.26000625,16.99486175,0
56,0.27,245094.0,2044.01,6.954665811,17.49885784,2
57,1.04,469473.0,2197.03,4.172024185,17.19772651,1
58,0.48,226457.0,1704.72,5.53467075,15.99626339,0
59,1.3,198489.0,996.35,3.845123708,15.93023228,2
60,1.45,445766.0,3398.08,5.682402958,17.18417986,2
61,1.76,96765.0,996.35,4.391920077,18.24091396,0
62,0.25,424437.0,3784.86,6.161076057,18.2843806,2
63,1.27,79772.0,996.35,6.151670283,15.78124736,0
64,0.94,107820.0,996.35,3.253768116,17.49923856,1
65,1.32,245333.0,2934.72,7.210857695,19.3863514,1
66,1.77,377163.0,1039.22,5.545088715,16.03180012,1
67,1.65,195035.0,3982.85,3.979747733,17.2535631,1
68,1.35,185669.0,3354.68,3.777835186,16.64039868,1
69,1.56,108032.0,1505.83,7.148760339,15.16319313,1
70,1.94,110468.0,1856.93,3.253768116,17.73484035,1
71,1.42,301283.0,3183.2,3.253768116,15.2270606,1
72,1.58,383470.0,3453.66,7.372292001,15.81094793,0
73,3.22,219205.0,1936.43,3.253768116,15.52822773,1
74,0.59,176216.0,1853.51,7.471664135,17.55528124,1
75,0.62,469473.0,2782.44,7.228719651,18.16382967,1
