,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C),Class
0,2.32,102531.0,1913.06,3.253768116,16.80728267,1
1,2.04,158596.0,2775.42,6.384544425,16.86511937,1
2,1.66,298040.0,996.86,6.618418358,19.08972973,1
3,1.57,302053.0,2973.5,8.216880289,16.51580031,1
4,1.03,181838.0,2638.59,4.568314709,15.90800149,1
5,1.39,78065.0,1963.99,7.146550863,14.09046429,0
6,2.72,99441.0,1818.97,8.073499656,17.02084451,0
7,1.33,438398.0,1976.11,8.579391481,14.09046429,0
8,1.69,211567.0,4847.89,3.462794732,14.98104271,1
9,1.78,373525.0,1245.78,7.371679772,15.56563701,1
10,1.5,171506.0,3758.65,5.57254471,15.73609247,1
11,2.53,115767.0,3505.19,8.579391481,16.82186956,2
12,3.33,188057.0,3160.98,8.531202928,15.66240955,2
13,2.35,79515.0,2136.02,5.277642138,15.63485065,2
14,3.36,117054.0,620.61,5.620167344,15.67743097,1
15,0.65,124623.0,4504.18,7.061250161,14.09046429,2
16,3.1,78065.0,1808.43,4.520920246,16.86934403,1
17,1.78,97496.0,620.61,8.579391481,17.688758,1
18,2.4,172417.0,2873.49,3.253768116,15.2885173,1
19,1.95,157397.0,4518.05,6.705705031,15.40333969,0
20,3.39,241588.0,4515.78,8.579391481,16.63494851,0
21,1.81,81521.0,3306.69,6.22005211,18.47505942,2
22,2.16,307774.0,1813.17,4.82816847,16.62090071,1
23,2.14,120804.0,700.31,7.432575483,16.38334328,0
24,2.27,143050.0,1695.18,3.440640044,16.4598071,0
25,0.2,78065.0,3479.3,6.523702542,15.31494369,2
26,1.92,338038.0,3412.29,4.326015701,16.97618568,0
27,2.16,87890.0,1516.07,4.548656496,16.88641295,0
28,2.13,207406.0,3625.3,3.561339532,16.05239749,1
29,1.24,343330.0,3383.28,7.296197722,16.93568787,0
30,3.39,81913.0,3258.89,4.802903658,16.29715199,1
31,1.26,335464.0,3070.46,4.109339205,15.00200387,1
32,0.64,141551.0,620.61,7.324677264,14.79859768,2
33,0.93,78065.0,620.61,4.103441131,16.87949126,0
34,1.29,222085.0,1320.92,8.021280401,16.57935181,0
35,2.99,208884.0,2293.86,7.798333021,17.29666763,2
36,1.4,144148.0,855.65,7.290628934,14.81640659,0
37,1.94,315362.0,1321.48,5.608672917,15.93151931,0
38,1.62,80030.0,2193.96,6.360104926,15.28129002,1
39,1.4,158033.0,1798.5,5.891012005,16.24561639,0
40,2.62,356271.0,1898.96,7.496482458,16.10215087,0
41,1.75,231428.0,952.03,6.704161675,15.90985627,1
42,2.85,156789.0,1952.41,5.385966701,16.09491103,2
43,0.63,128073.0,3629.84,7.816569161,19.08972973,0
44,3.1,274714.0,1803.63,6.668559961,15.96828872,1
45,1.65,297877.0,2807.15,5.170069509,15.71137117,0
46,2.28,78065.0,4002.36,4.543370938,15.90062417,1
47,2.71,78065.0,3990.44,5.097304928,16.54732313,0
48,1.22,129741.0,1277.12,4.578053484,15.16087626,0
49,0.98,123304.0,4155.7,6.225277924,17.69723345,2
50,1.96,248536.0,999.83,6.651364951,14.6900572,1
51,1.93,122771.0,2525.28,6.885221993,18.05273479,0
52,3.01,314221.0,3074.75,4.83832013,16.61473964,0
53,2.68,188815.0,3022.5,6.273277375,15.24947211,0
54,2.18,150133.0,620.61,4.73375942,18.17788096,1
55,3.17,224629.0,3787.94,7.514804128,16.41979071,2
56,3.39,201709.0,5006.9,3.339438277,14.43915245,2
57,1.86,155784.0,2045.27,7.321393492,16.2761876,1
58,1.71,111110.0,1103.41,4.735547097,17.40681058,0
59,1.92,78065.0,3025.49,4.090822547,15.09000791,1
60,1.89,100462.0,1872.46,4.803101468,14.62812,2
61,1.65,92766.0,1701.91,6.724936349,17.55302059,1
62,1.75,180510.0,5006.9,6.744411677,17.28940931,1
63,3.16,143097.0,5006.9,7.236522485,16.02003466,0
64,1.75,192901.0,2222.16,3.253768116,14.96838512,1
65,1.56,270159.0,1393.22,7.286502031,15.75346044,2
66,3.39,129418.0,1467.83,6.404287665,19.08972973,2
67,2.52,85733.0,3668.5,4.612757538,15.92705459,2
68,3.12,78065.0,1747.52,5.533573917,14.6736195,0
69,1.73,143211.0,1823.39,5.889352938,15.28249475,0
70,2.06,78065.0,2640.95,5.372576622,17.14199106,1
71,1.41,78065.0,1156.75,5.061668149,16.39619883,0
72,2.07,180872.0,620.61,7.411386359,17.90323056,1
73,1.65,142521.0,1238.58,4.90933072,17.40739129,1
74,1.6,84149.0,2641.82,3.4665924,17.52844137,2
75,1.63,113672.0,1784.75,8.579391481,17.25259412,1
76,1.01,78065.0,3597.59,4.43940094,15.6401341,0
77,1.65,171799.0,4975.31,6.696595948,16.45128984,2
78,1.92,400278.0,1073.34,5.965478249,16.08356756,1
79,2.85,161385.0,1123.93,7.339999512,15.90691436,0
80,1.45,200244.0,1210.84,4.336347777,14.71896734,1
81,2.17,80912.0,1028.99,6.627075103,16.48106412,1
82,1.58,129110.0,2786.09,6.095329343,17.61555416,1
83,1.8,284850.0,1437.0,7.446257059,14.88650186,1
84,2.13,135680.0,4926.26,6.491967638,15.44186664,0
85,1.69,315299.0,1353.82,8.040356905,14.09046429,1
