,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,1.55,151092.0,954.28,3.919866626,16.74470957
1,0.78,156339.0,758.51,3.268054606,16.04935477
2,1.12,237913.0,2093.0,5.739974394,16.77512547
3,1.64,144287.0,1437.58,5.528887566,17.107713
4,1.98,251063.0,1661.63,2.767384851,15.5922655
5,1.39,278014.0,3395.68,6.420063816,18.61001167
6,1.74,366334.0,2385.0,3.907770197,16.04689101
7,1.71,250232.0,3263.55,5.60338314,16.77597239
8,0.78,354557.0,1405.93,2.027850116,13.34529317
9,1.14,161214.0,1262.72,2.512727622,15.35900949
10,1.83,350353.0,2103.81,1.582197054,14.02922515
11,1.92,256737.0,3540.31,5.554594005,17.24420377
12,1.77,245370.0,1998.48,5.841084575,17.30481049
13,1.52,256915.0,1583.69,2.921451357,15.94261941
14,1.31,263255.0,2644.64,6.830340711,17.12319475
15,0.51,169296.0,1421.94,3.31996222,15.75589857
16,1.07,370790.0,2130.29,2.448313455,15.03987309
17,0.91,370946.0,2235.9,3.24121139,15.36486445
18,2.32,140968.0,871.78,4.116573566,15.95915927
19,1.42,367071.0,2162.83,2.369197006,13.63511962
20,1.6,363511.0,2624.21,3.346534625,15.78756076
21,1.05,365093.0,2388.51,1.985968681,15.10935303
22,0.98,370667.0,3517.1,6.777328028,18.59700384
23,2.23,349969.0,2093.93,3.200352681,15.02317571
24,2.95,344750.0,2377.54,1.695299073,13.48289971
25,0.88,360327.0,1882.57,1.797489181,13.40648747
26,1.28,363938.0,1805.44,1.16018365,12.88858647
27,1.92,248032.0,1341.32,2.318664915,14.81093676
28,1.06,261246.0,1671.72,2.262097345,15.34986036
29,1.58,336427.0,2343.62,1.262863608,12.14313485
30,1.35,263948.0,2687.06,5.006214775,16.9484274
31,1.59,333024.0,2737.7,4.289704385,15.59296469
32,0.79,172500.0,795.12,4.021209471,17.51683418
33,0.97,378139.0,3388.54,5.698186596,16.66695558
34,0.15,253656.0,1416.33,0.640562874,14.0245844
35,0.95,253918.0,3050.29,6.657517223,18.26014384
36,1.45,237769.0,2160.37,4.316259335,15.46720039
37,1.01,363883.0,2446.67,1.048568553,12.24724446
38,1.21,240107.0,3406.37,5.970666819,17.05586815
39,1.46,263653.0,1569.87,3.52694808,15.78599723
40,1.55,130233.0,668.84,1.68787896,13.44962895
41,2.43,338405.0,2113.21,1.249065286,13.24970251
42,1.62,131320.0,1536.71,2.852268714,15.34466793
43,1.66,359260.0,1828.65,2.67777183,13.73414248
44,1.79,230934.0,2336.74,4.782852378,16.08161679
45,1.74,130970.0,982.19,6.391329003,17.49404188
46,1.42,355852.0,3520.86,5.349839159,16.39241489
47,0.73,267689.0,1304.72,2.229962563,13.78922482
48,1.76,250609.0,2115.18,3.737535196,15.15982485
49,0.82,378376.0,2507.27,4.316766246,15.49255351
50,1.31,267184.0,2533.85,5.375849592,17.00441547
51,1.82,160783.0,1765.2,3.43716801,16.47400258
52,1.73,239836.0,1674.8,3.597357121,15.32036266
53,1.03,362960.0,1894.74,1.254826495,11.98364063
54,1.4,357350.0,2344.08,2.867441073,14.89946075
55,1.4,369692.0,1999.47,1.372264609,13.59536776
56,1.89,252638.0,2885.93,5.941804248,17.12360892
57,1.26,247407.0,1505.56,1.91594391,13.54992244
58,0.87,152915.0,1794.28,0.867878343,14.42312366
59,1.75,236318.0,1792.56,-0.160734072,11.65463966
60,1.44,134255.0,946.21,6.343262263,17.40823558
61,2.2,122395.0,814.23,2.292456146,13.85776976
62,0.53,147737.0,924.76,2.32253002,15.42219863
63,1.61,365481.0,3208.5,4.619664191,15.92116292
64,2.2,357663.0,2096.36,4.107735056,15.99641195
65,0.69,267697.0,1544.51,2.35967226,15.01324232
66,0.66,369617.0,2243.87,1.988951426,13.22268038
67,2.0,234732.0,1133.32,2.467811323,14.14104677
68,0.75,398142.0,4320.74,4.869080765,16.07699256
69,0.93,374244.0,2347.0,3.089927545,15.7759473
70,0.82,429350.0,3584.59,5.448251739,16.18852834
71,1.2,263762.0,2471.75,6.864528611,17.31299572
72,2.43,368932.0,3386.24,4.142427426,15.23756231
73,1.78,215122.0,1572.62,4.770995482,16.00042963
74,1.66,125799.0,1507.16,5.764025513,17.04118374
75,0.78,262647.0,923.6,2.254866217,13.929576
76,1.01,175795.0,1064.18,6.589572648,19.16650534
77,0.5,249127.0,1315.35,1.66894375,12.25505406
78,1.79,361442.0,3415.56,5.095921535,16.49658526
79,0.83,283021.0,1829.94,4.827734472,16.6688916
80,1.33,270583.0,2902.85,6.024888822,16.42543263
81,1.35,367341.0,2606.51,3.004723326,16.6380056
82,1.51,154953.0,1956.04,6.362278604,18.51745846
83,1.53,375019.0,3318.65,4.63943439,16.05305138
84,0.69,465181.0,2282.04,4.081549898,15.91947004
85,1.06,243565.0,2294.47,5.638781258,16.75692528
86,1.05,150427.0,1128.78,3.895276992,17.0518201
87,0.75,369322.0,2379.71,2.679508371,15.39409061
88,1.69,128428.0,1033.96,6.725705192,17.75086688
89,1.61,154366.0,1502.3,5.200971275,16.41333115
90,0.7,382007.0,1782.59,2.669840905,15.43724309
91,1.5,253431.0,1551.76,3.131982446,15.90365755
92,0.6,378911.0,1785.6,3.268222608,16.15547393
93,1.32,353549.0,2339.58,0.880256249,11.67126774
94,0.92,389861.0,2618.74,4.15298898,16.55962988
95,1.76,251164.0,2768.39,5.397989485,16.18933256
96,0.65,272372.0,1807.66,1.4506405,13.3343813
97,1.3,140715.0,902.04,1.180527438,13.19948443
98,1.54,364246.0,3414.54,4.866636856,16.15682776
99,1.61,353393.0,1997.37,2.018477343,13.29325838
100,1.81,356399.0,3275.93,5.231185163,16.21562496
101,1.19,146325.0,749.25,2.42049884,15.04060658
102,0.5,155378.0,1453.0,6.577179247,17.95742608
103,2.75,320838.0,2045.69,1.243521003,12.92425688
104,0.97,267000.0,2131.43,5.683012162,17.11436029
105,0.85,152384.0,1141.38,3.642345475,16.47420441
106,1.15,157381.0,859.08,1.902116983,14.07686069
107,1.45,357959.0,1721.46,1.266041663,13.50442573
