,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,0.55,388298.0,3117.66,4.167584902,15.84726988
1,0.78,402690.0,2479.67,2.628674449,15.65820865
2,1.57,242685.0,1135.51,0.787218499,13.92700458
3,1.39,244787.0,1569.99,1.3464633,13.09656244
4,1.53,253900.0,1798.04,2.561450845,13.29530857
5,1.69,128905.0,827.01,1.670656198,12.95440165
6,0.85,252508.0,1534.0,1.668920281,13.09419887
7,1.31,144108.0,1416.02,6.356440218,16.9608965
8,0.69,382694.0,3150.62,3.663741497,15.98010484
9,0.71,279132.0,2058.81,6.091062593,17.22932574
10,0.62,136492.0,894.44,3.2824983,16.10801992
11,0.66,381629.0,2667.48,3.733565793,15.47145433
12,2.46,359414.0,2226.0,2.983601229,15.60295811
13,2.23,228818.0,1674.74,4.115856396,15.68430689
14,1.38,141791.0,762.29,2.291328992,15.38121376
15,0.7,142492.0,1150.03,1.774300568,13.3224317
16,1.49,367166.0,2368.69,0.485412846,14.99969838
17,2.54,121867.0,767.29,6.156924558,16.67656791
18,0.87,261139.0,1250.21,1.366197975,13.15412706
19,1.68,143807.0,1920.18,7.001472921,17.43008171
20,0.69,266799.0,1268.43,1.95614125,14.46135234
21,1.55,366890.0,2327.31,0.869190387,13.62778017
22,1.99,245271.0,1902.08,4.629937974,15.89257783
23,1.1,153756.0,748.12,1.320832205,13.34978829
24,1.49,363481.0,1740.07,2.89082337,15.67082171
25,1.7,388645.0,2483.06,1.91106718,15.71285808
26,0.53,353349.0,3015.28,5.261719207,17.16184036
27,2.15,241707.0,1670.21,1.918989824,13.65766001
28,1.14,135611.0,637.84,2.837523147,15.89957633
29,0.63,172118.0,875.24,2.990739109,15.51995717
30,1.47,126093.0,1360.51,5.13655414,17.08841529
31,3.09,246415.0,1870.85,4.408043423,16.58700833
32,1.7,342052.0,2170.45,1.143513946,12.84171079
33,2.51,261247.0,2533.74,5.463281545,16.56252082
34,0.57,441880.0,4120.89,5.891935059,16.5388601
35,2.09,340032.0,1767.91,1.436923078,13.43154998
36,1.09,142901.0,758.63,2.294440963,14.87340846
37,1.76,367339.0,2468.36,2.955024846,15.33541271
38,1.04,271048.0,1721.54,1.489708376,14.84812599
39,1.77,352992.0,1936.34,0.979301262,12.49014835
40,1.91,137158.0,875.47,3.509745186,15.72630778
41,1.98,148444.0,1048.68,3.153302152,16.27171259
42,0.72,366709.0,2268.84,1.682666541,12.8919812
43,1.69,146467.0,611.3,1.273820207,14.0982717
44,0.58,152152.0,752.29,5.013482576,17.39377697
45,1.41,154155.0,1034.92,4.051370771,18.53280794
46,1.65,357565.0,1955.77,1.973902578,14.94756443
47,1.05,257083.0,2458.69,6.323199034,16.693943
48,1.66,247581.0,1785.32,2.01569449,14.40838076
49,1.73,135606.0,1192.95,6.205022246,17.3564868
50,1.59,360969.0,2089.69,2.121097532,13.8618924
51,0.62,156724.0,718.23,2.950113123,15.77189823
52,2.27,376365.0,2781.66,3.422791234,15.74952556
53,1.27,258296.0,1370.37,2.861665947,15.57669622
54,2.46,135260.0,1109.25,3.820070624,16.86653164
55,1.1,144552.0,1196.46,2.368199774,13.3687431
56,2.78,255282.0,1711.93,2.926142512,15.61786779
57,1.9,232774.0,1640.36,2.235850441,15.7242181
58,1.29,141891.0,698.22,3.452044143,16.27696792
59,0.98,264845.0,1646.32,1.352523232,12.49849472
60,0.68,404935.0,2505.58,1.904031067,14.33731887
61,1.88,239907.0,1967.48,6.115363084,16.63125119
62,0.98,146961.0,710.94,3.830681449,17.40716279
63,0.61,174394.0,1985.46,3.604522889,17.34327926
64,1.31,373280.0,2136.23,2.477186401,15.32285837
65,0.6,155976.0,1182.22,4.10911823,17.00558383
66,1.08,164674.0,815.0,2.247997404,13.65358309
67,0.69,282434.0,1999.75,3.180278814,16.18206236
68,0.87,151898.0,937.78,3.652726843,16.91704156
69,0.4,394307.0,2243.05,1.702594549,13.31058351
70,0.56,170376.0,764.09,4.254976421,16.90048915
71,2.14,241125.0,1358.58,2.083220976,13.88954828
72,1.25,148105.0,1012.0,1.814879084,14.89492056
73,1.29,359856.0,2274.36,1.472609474,13.64919217
74,0.49,141761.0,870.04,3.525640368,16.32686054
75,1.61,135655.0,854.52,2.487967151,15.94198506
76,0.78,390309.0,2675.41,4.171174562,15.83382491
77,2.55,253577.0,2041.34,5.240833834,16.28544182
78,1.05,256121.0,2268.09,3.744561849,16.56143292
79,0.66,345507.0,3986.84,6.598725742,17.15745848
80,1.37,256510.0,1248.72,1.552435402,13.56937778
81,1.82,147524.0,1353.9,6.724215878,17.57921808
82,0.69,147704.0,1408.42,5.52057439,17.41202194
83,2.1,129434.0,919.21,2.361070257,13.14348486
84,1.43,144877.0,847.95,3.25094703,16.71122504
85,1.8,245032.0,1726.47,1.4543831,13.6866922
86,1.37,108946.0,1122.98,5.866161438,16.47538264
87,2.72,240582.0,1373.27,0.779898895,12.33172965
88,1.24,130426.0,1366.45,6.492963461,17.17285015
89,1.32,264130.0,2780.74,5.387233458,17.52236444
90,2.1,337936.0,3080.96,4.49654104,16.32107519
91,1.95,132985.0,969.39,5.134702643,15.90875674
92,1.07,351601.0,1719.59,2.122953202,13.7418687
93,2.24,143507.0,1068.9,3.655110051,16.12285559
94,0.79,239781.0,2930.38,6.531154066,17.72024498
95,0.91,269577.0,1495.29,4.545398119,16.69070464
96,0.75,408886.0,2939.77,3.760094717,16.06379379
97,1.86,245074.0,1692.83,3.131428193,15.71390603
98,1.36,141385.0,1045.9,2.61207008,15.42358179
99,0.64,369917.0,2452.46,1.875843213,14.1480203
100,0.63,370586.0,2001.78,2.960405515,15.91907491
