,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,1.39,139263.0,1158.57,2.850108437,15.16784598
1,1.98,251845.0,2818.87,6.149631309,17.2442224
2,1.32,267539.0,1634.03,1.552240187,14.21871255
3,1.02,272428.0,1536.38,1.343527474,13.44459167
4,3.09,333372.0,2357.99,3.255243574,14.81732638
5,1.54,263844.0,1759.75,4.042625666,16.23178225
6,0.58,289065.0,1692.35,4.889689065,17.01980735
7,1.15,381268.0,2557.43,3.1022449,15.48537532
8,0.51,153423.0,830.51,1.62925005,14.11711878
9,1.26,372023.0,1997.82,2.875316497,15.01604091
10,0.8,373033.0,4110.56,4.508355483,16.17550315
11,2.22,240444.0,2125.81,4.687786594,16.30575766
12,1.66,145317.0,889.43,3.265162356,15.27540858
13,0.63,165149.0,1622.18,2.559772274,13.49145205
14,1.54,143528.0,1251.17,5.779064326,16.88071206
15,1.45,260257.0,2367.6,4.779690382,17.20422219
16,2.06,252887.0,2349.53,3.865248936,15.84580394
17,0.78,380436.0,2384.16,3.979005388,16.04978056
18,1.26,143021.0,613.89,5.517475813,16.86631526
19,1.53,261137.0,2042.45,1.972256332,13.94644451
20,1.2,375939.0,1889.79,2.18884754,13.95226668
21,1.21,359345.0,2447.12,1.528218329,12.6043065
22,1.46,359018.0,2426.66,4.181251847,15.48883995
23,2.37,346081.0,2149.05,4.024946264,15.95512846
24,1.14,144619.0,659.42,2.529087564,15.6821621
25,0.67,363347.0,2087.89,1.506831962,13.52921977
26,0.52,383616.0,3663.16,5.447761838,16.53238989
27,1.17,353656.0,2162.47,7.301862654,18.51460371
28,1.15,140998.0,849.93,4.342716001,16.29742698
29,2.37,260274.0,3088.57,5.545894914,16.30069006
30,1.64,140245.0,2081.99,6.635608959,17.42922978
31,2.05,380542.0,2950.06,6.226500688,16.63535687
32,2.15,367881.0,2108.85,4.362189252,15.47106916
33,1.68,325587.0,2111.75,2.322878381,13.63054349
34,1.4,145742.0,1120.65,5.36391031,17.56208333
35,1.09,362682.0,2241.84,7.216003214,17.5111571
36,0.48,142492.0,949.2,1.439670131,14.08194554
37,1.1,247163.0,1506.88,1.042703895,12.76771812
38,0.88,154351.0,1000.49,4.598867657,17.28558875
39,2.68,129654.0,1006.7,6.582286853,17.48146564
40,0.8,347665.0,2082.95,1.357074513,12.45769444
41,1.52,225399.0,2042.89,4.870238345,16.84960673
42,1.28,254463.0,1519.76,1.489786104,12.97512497
43,0.65,279567.0,2506.9,6.959254911,17.72704007
44,1.44,147388.0,825.77,2.12135307,15.20949109
45,2.02,258199.0,1771.77,1.974608068,15.06056973
46,1.55,233035.0,2385.83,5.530565297,17.33990089
47,0.99,375616.0,2418.45,6.065760605,16.43894809
48,0.96,174649.0,1515.52,6.636675028,18.18425551
49,1.76,259194.0,1625.63,3.314715018,15.93744189
50,1.61,344470.0,2959.79,4.061000548,15.99342247
51,0.92,242573.0,2422.64,7.043726841,17.93948208
52,1.93,143301.0,915.51,6.552782744,17.17244032
53,1.04,252883.0,1422.89,0.731503885,12.18813326
54,2.08,231850.0,2028.83,4.554694257,15.75579064
55,0.72,343088.0,3305.31,6.531107031,17.00961011
56,1.27,250775.0,2677.96,6.244182379,17.3986614
57,0.48,369210.0,1837.61,0.773982756,11.60949342
58,1.75,135695.0,2463.02,7.96509152,18.67062447
59,1.37,370198.0,2355.2,3.648691609,15.86829982
