,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,3.65,356354.0,2361.67,1.690863235,13.13870547
1,1.06,141336.0,1029.07,4.416944248,17.01463389
2,2.43,353596.0,2228.01,2.595772862,13.45071768
3,1.42,151256.0,1264.75,3.969014352,16.10481229
4,1.46,130344.0,1094.89,4.964807873,16.17531746
5,2.78,334573.0,1715.54,2.042811744,14.89194122
6,2.79,253577.0,1719.11,4.351679431,16.09294953
7,0.96,159006.0,1164.11,3.693824382,16.17312219
8,2.06,236501.0,1249.13,1.820992276,12.96586776
9,1.85,245819.0,1780.07,2.947647496,15.35736187
10,0.36,392283.0,1974.89,1.993277963,13.99092202
11,2.36,263235.0,2418.3,6.568267616,16.95897586
12,2.44,343962.0,3035.06,5.466232375,15.68290997
13,1.89,247369.0,1351.55,2.463833218,15.51167867
14,0.83,167625.0,979.88,3.589395019,16.08595266
15,0.38,270102.0,1781.39,3.733373207,16.31531308
16,2.11,125279.0,1975.08,4.924477936,18.04129954
17,2.8,240044.0,1015.06,3.616719825,16.03534354
18,0.77,174086.0,1483.93,4.801934274,17.36727062
19,0.43,277669.0,1891.01,4.779311895,16.53611599
20,0.92,274058.0,1722.84,2.86067003,15.6248962
21,2.78,244440.0,1640.99,4.963495372,16.11450471
22,2.12,244534.0,1262.29,1.895873851,14.12074558
23,1.02,364935.0,1841.62,1.879902069,13.38727114
24,1.53,130649.0,1093.29,1.943171782,15.04087497
25,0.91,257938.0,899.54,2.358358795,15.62618527
26,0.81,268745.0,2222.84,3.281207778,16.5794747
27,1.45,137621.0,678.73,2.782588352,15.12131806
28,2.13,243776.0,2003.51,6.571789264,17.8126216
29,1.49,141207.0,934.13,2.285864104,15.12575935
30,2.57,351333.0,3072.61,6.296028323,17.0206837
31,2.17,372039.0,1531.14,1.56732335,13.5874067
32,2.21,134031.0,1443.38,1.499522339,14.85981691
33,1.71,142002.0,1159.56,4.167344158,17.0693087
34,1.19,153624.0,948.57,4.996415658,17.79184944
35,1.89,350989.0,1774.92,1.549915408,13.22793415
36,2.09,368067.0,3716.41,6.141021118,16.80937305
37,1.55,253764.0,1194.61,3.158458042,15.43380097
38,0.5,383106.0,2277.37,3.65401075,15.95145385
39,1.09,131145.0,1121.96,2.791635461,15.44802378
40,1.88,228372.0,1673.61,1.915092862,14.89781527
41,2.27,222335.0,2098.09,2.885186645,14.11805363
42,1.81,255400.0,2345.62,7.118558226,17.60759669
43,0.49,264823.0,1556.98,0.934358955,12.67698624
44,0.71,349021.0,2808.23,4.863510857,16.98150243
45,1.34,254713.0,1385.36,1.80829669,13.179572
46,2.44,368544.0,2870.41,5.087642136,16.2982883
47,2.26,249189.0,1651.24,3.934869603,16.14150334
48,1.78,148408.0,1916.97,6.248808102,17.2530745
49,0.6,178567.0,1595.1,4.210567395,16.87513041
50,2.42,347051.0,1872.9,1.3788202,13.38566959
51,1.2,375849.0,2437.28,2.918812159,16.42321506
52,4.24,339703.0,3051.8,3.125073543,15.60093467
53,0.5,346474.0,2147.86,0.888134513,12.42073847
54,4.26,358041.0,2837.45,3.212334211,15.29169095
55,2.45,357659.0,2788.64,3.095884241,15.37638379
56,1.34,243570.0,1296.77,2.886668331,15.70971255
57,1.14,380514.0,2972.3,2.253655726,14.07178451
58,1.52,143599.0,947.44,2.644081153,15.86411087
59,1.95,366001.0,2329.63,2.44982008,14.65810565
60,1.89,237472.0,1185.15,2.744102943,15.61090341
61,1.75,372827.0,2538.98,5.979919255,16.24480932
62,0.74,283967.0,2166.4,4.498578224,17.4055435
63,1.87,237656.0,1455.21,1.304693203,13.05073891
64,0.7,169465.0,896.01,3.650506111,16.99275648
65,2.93,246359.0,901.09,1.700797722,15.29205997
66,1.42,144136.0,914.62,2.323477915,15.13870508
67,1.06,360123.0,2132.25,1.820330635,12.7332693
68,2.97,142061.0,1481.05,5.284653224,15.88055962
69,1.12,140151.0,677.49,2.140990736,15.46482806
70,2.39,358002.0,2436.66,5.259843779,16.03606878
71,2.76,338216.0,2329.09,5.17528773,15.79725194
72,2.24,352839.0,2163.96,2.006895306,13.19795134
73,1.18,361025.0,1993.07,2.295606357,13.44265306
74,1.22,251782.0,1721.74,2.277193961,14.89263884
75,2.32,250073.0,1280.38,2.988489668,14.77352421
76,0.65,270794.0,1921.4,2.319210092,16.05019949
77,2.67,234579.0,1734.71,2.123274983,15.34013686
78,1.17,370561.0,1952.2,1.58045874,13.34994005
79,1.75,256892.0,1504.18,6.618667996,17.33813099
80,2.62,256560.0,2442.76,6.444120633,16.32248705
81,2.16,270865.0,2329.57,6.822391837,17.08998317
82,2.29,358924.0,3583.83,4.939120275,16.44474913
83,2.54,141708.0,1469.4,3.247621392,15.73539327
84,2.3,356665.0,2136.35,2.925787313,15.85841208
85,1.47,131510.0,1243.81,2.196612081,15.30156487
86,1.72,364320.0,2380.02,1.74167692,13.62746256
87,1.26,373602.0,2476.08,2.957266761,15.48190067
88,1.57,160458.0,1302.49,5.663257291,16.80423409
89,3.27,362481.0,2387.83,1.141749806,14.75977158
90,2.65,246544.0,1538.44,3.541496911,15.13548222
91,1.78,333815.0,2315.89,2.84236274,15.62241475
92,0.77,359981.0,1979.65,1.639802384,12.6682069
93,2.24,265507.0,2192.54,6.199647013,16.71869056
94,1.65,263951.0,2348.98,6.391233698,16.77432452
95,1.69,242585.0,1149.42,1.334931865,13.22442284
96,1.2,261617.0,1450.3,1.930549726,15.20607448
97,2.04,130808.0,685.78,2.138809868,15.51196343
98,1.38,129402.0,1244.8,2.743844653,15.92167685
99,0.7,376330.0,2699.63,5.049405515,16.54756723
100,2.68,118290.0,729.42,2.15083672,15.64349316
