,Yield (tons/acre),Time Since Sown (Days),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,1.85,789,263081.0,1480.88,3.224013591,16.11367947
1,2.49,754,239269.0,1793.41,2.42745102,15.26972359
2,1.93,756,238715.0,2413.8,6.048818934,16.74951644
3,3.42,1122,351682.0,1921.42,3.292582454,14.14259656
4,0.73,434,138417.0,1031.35,3.074231278,15.96127595
5,1.65,816,253978.0,1242.68,2.066810447,15.47407825
6,2.34,780,236805.0,2233.12,6.158666929,16.73666321
7,1.16,822,260499.0,1824.58,6.61177846,18.20466441
8,0.68,1207,372078.0,3338.51,6.700134895,17.58000355
9,1.92,1156,369346.0,2249.43,2.455956007,15.41195072
10,1.49,1157,378879.0,3594.23,4.29824642,15.72960765
11,0.72,1195,382412.0,2537.39,3.040918942,15.28496331
12,1.65,773,238249.0,1488.82,2.702305498,15.33661593
13,1.91,827,252585.0,2493.02,6.380849183,17.16967995
14,2.66,752,233470.0,1703.13,2.386407006,15.01896806
15,2.32,822,268540.0,1972.39,6.223716112,16.87217522
16,1.97,403,136504.0,1016.39,6.184956265,16.71738222
17,2.09,1135,352470.0,3534.32,7.257600289,16.970042
18,1.8,1196,385659.0,2368.4,2.808500387,15.36808401
19,1.87,431,146265.0,1018.4,3.217151345,15.93284373
20,1.14,1339,361760.0,3396.67,5.43024475,16.06135248
21,0.9,1166,369871.0,3823.14,5.650982015,16.41023013
22,2.54,1123,362364.0,2302.32,2.546203992,15.1776128
23,2.23,795,249693.0,2027.55,1.692072913,15.20292433
24,2.61,394,120512.0,973.62,6.52705826,17.00231985
25,1.02,384,140989.0,1114.75,2.349071906,15.31045765
26,3.18,427,143836.0,1097.45,3.152060084,17.57341311
27,2.7,782,262210.0,2072.0,5.377872333,15.86882212
28,1.46,1179,369540.0,1920.97,2.31379693,15.19113362
29,0.53,518,168057.0,1733.31,7.455426905,18.53531705
30,2.09,720,246190.0,2469.4,5.697640861,16.84804803
31,2.05,780,243962.0,2480.57,4.916821682,16.6818879
32,1.53,798,244588.0,1973.35,4.567549675,15.9759979
33,1.38,808,261053.0,2152.07,5.421873449,16.4841119
34,2.05,402,141790.0,1123.4,3.336010197,16.41260524
35,1.7,434,134954.0,1004.16,6.594851408,17.38877693
36,2.1,405,136838.0,980.24,2.084604651,14.79194717
37,1.66,810,256714.0,2200.31,2.070394739,14.49134529
38,2.42,1174,361198.0,2200.21,1.777684186,15.03379638
39,1.07,462,155489.0,839.59,2.902260004,16.62138143
40,0.4,1178,371434.0,2424.31,4.06034392,16.07159212
41,1.8,765,245263.0,1440.52,2.555858022,15.29013775
42,3.18,275,78276.0,1043.71,4.303870222,15.07122574
43,2.18,392,109325.0,1455.69,3.666978303,15.59766816
44,2.13,1157,363415.0,3361.59,6.327016821,17.07494159
45,0.96,1156,364765.0,3768.47,3.993596896,16.52364354
46,1.64,474,137200.0,1142.16,3.244212623,16.94608881
47,0.52,1203,380069.0,2564.17,5.219124986,16.66888569
48,2.5,780,240159.0,2536.88,6.499019858,17.22377611
49,0.64,478,152032.0,2194.25,7.719899903,18.15053491
50,2.07,1167,373549.0,4149.96,5.409032694,16.2876855
51,1.63,793,258946.0,2731.49,3.843848415,15.12533352
52,1.55,805,245614.0,2144.16,5.251250595,16.03189138
53,1.82,770,238770.0,1739.02,3.458674628,15.50423629
54,1.31,838,268777.0,2346.1,6.146757906,17.19820569
55,2.05,781,238282.0,2277.98,5.248763912,16.28809234
56,1.37,1166,372179.0,1712.64,2.991998281,15.41799703
57,2.34,439,157177.0,816.84,3.232789667,16.84676962
58,1.13,368,123799.0,586.86,5.857428558,16.16515739
59,1.9,836,253631.0,2538.84,7.268691742,18.29583966
60,2.38,796,254037.0,2443.16,5.534713133,17.12786971
61,0.71,857,264781.0,1227.24,3.202269753,15.36889272
62,1.55,1177,363496.0,2254.82,1.072651947,14.32826515
63,0.38,1219,384448.0,2417.3,3.394035547,16.63574449
64,2.25,478,153669.0,1479.0,4.766737181,15.86923774
65,3.43,1136,362675.0,1984.89,2.665485759,15.0257863
66,2.08,760,234517.0,1130.83,2.386941009,14.94043261
67,1.65,772,238712.0,1021.13,1.987890212,14.65426861
68,1.23,438,145818.0,875.54,2.932362059,16.83445571
69,2.22,404,134978.0,1152.28,2.16231528,15.26217783
70,1.89,427,137075.0,853.91,6.715315111,17.07428275
71,1.79,782,245357.0,1708.67,4.191045068,15.82222971
72,1.78,796,358806.0,2189.92,3.112311598,15.3915928
73,1.92,785,256250.0,2282.63,3.309186526,15.91612307
74,2.79,773,233005.0,1509.46,2.696929552,15.00041878
75,1.45,1196,382617.0,2424.98,2.612692647,15.17878202
76,3.17,1146,376377.0,1990.7,1.305304389,15.0786235
77,1.64,413,142498.0,1039.15,3.136870109,15.96418772
78,0.75,1202,389829.0,3041.78,5.353309151,16.07306245
79,2.22,731,244877.0,2209.51,5.171951181,15.95125331
80,1.03,401,137600.0,1529.67,5.027811921,16.85891393
81,2.77,436,140954.0,1407.24,5.821045837,17.20890165
82,1.15,464,151213.0,1175.41,3.50703735,16.43607811
83,1.69,427,126238.0,1223.48,5.158397107,17.34572076
84,1.9,775,249964.0,2349.23,6.019092754,16.87953182
85,1.73,800,250073.0,1838.34,1.312806107,15.20337805
86,1.84,795,245750.0,1764.79,4.80597072,16.50897424
87,2.58,766,234244.0,1785.03,2.622160206,15.04452739
88,1.34,447,153964.0,968.73,7.217284605,18.11425736
89,1.61,1134,360010.0,2634.42,3.930021657,15.4916004
90,2.53,784,249778.0,2438.38,3.777007957,16.0163494
91,1.49,772,242996.0,1625.57,2.168538272,15.19920531
92,1.72,665,223533.0,1522.38,2.891664618,15.88336946
93,0.47,1221,384493.0,4870.46,4.082708033,16.11552687
94,1.12,1151,357973.0,2204.19,3.074584081,16.02366813
95,1.38,465,142431.0,1357.32,6.340207035,17.8712773
96,2.61,403,126477.0,1008.96,1.818627789,14.93139549
97,1.3,487,164080.0,1588.19,3.581316663,16.16963239
98,1.46,457,154701.0,1012.61,6.94234115,17.49473987
99,0.87,823,264251.0,1842.55,2.933830167,15.95501923
100,1.71,419,131566.0,611.83,6.283743773,17.16617977
101,2.06,403,126558.0,1336.89,6.461197855,16.6714601
102,1.77,811,258264.0,2936.72,6.595800103,16.82773026
103,1.31,462,151693.0,1789.62,6.756985886,17.80175397
104,2.2,1116,351707.0,2986.91,4.354585222,16.09018394
105,2.17,301,137114.0,586.86,3.788439862,15.34125623
106,0.77,1104,366986.0,3315.43,6.227226497,16.45377581
107,1.24,773,243882.0,2998.4,6.109429368,16.39216819
108,0.16,1182,377552.0,4720.76,6.267780775,16.97614213
109,0.6,844,260851.0,2003.77,4.160317468,16.06050717
110,1.27,448,141352.0,1478.98,5.61458597,16.94313463
111,1.16,864,266419.0,2742.62,6.295796781,17.5672287
112,2.01,446,134319.0,859.22,5.198186303,17.29459692
113,0.27,837,260893.0,1990.09,3.961779544,16.17811425
114,1.59,829,263079.0,2462.01,5.91727609,17.03108213
115,1.53,804,255332.0,1650.12,3.648120608,16.07694359
116,1.62,1140,357739.0,3067.43,6.099944351,16.6644181
117,1.4,801,255162.0,1271.46,1.12857029,15.16296342
118,3.1,443,140466.0,1613.49,5.370214317,16.89388264
119,2.07,413,144622.0,1271.47,6.465067196,17.47446389
120,4.58,1133,349935.0,2119.95,2.962742752,14.48240411
121,1.43,425,149588.0,1092.81,4.225589951,17.37501112
122,2.85,774,252923.0,2332.05,5.981772054,16.80937373
123,1.54,429,128806.0,1817.34,5.255350451,17.25345142
124,2.27,765,257522.0,1654.71,2.821409645,15.24722262
125,0.78,477,151588.0,1114.9,2.355251864,15.96639295
126,0.66,834,269513.0,1595.04,4.529620293,17.10010792
