,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C),Class
0,1.49,256106.0,2767.04,6.277321615,17.76078731,1
1,1.83,247099.0,3397.46,3.779360338,15.8784402,1
2,1.0,293200.0,2703.27,6.645999731,17.91237298,0
3,1.95,239989.0,2419.55,4.392101163,16.30055907,2
4,1.15,248030.0,2673.53,6.457852537,18.26407025,1
5,0.94,250355.0,2482.42,6.677421793,16.90954855,0
6,1.11,146064.0,2452.56,6.647666772,18.25109295,1
7,1.23,154478.0,1593.62,5.964057354,18.60099257,1
8,0.74,252703.0,2212.83,6.450849225,16.9583777,0
9,1.64,142508.0,1314.69,6.206560127,16.68493857,1
10,1.63,131311.0,1267.62,6.418697169,17.42570558,1
11,2.65,248516.0,2604.75,5.381250641,16.02846667,2
12,2.72,142876.0,1273.51,4.150908155,15.38251802,2
13,2.57,343733.0,3499.39,5.367577941,16.56202457,2
14,1.24,271186.0,2714.73,5.966527397,17.87532671,1
15,0.6,251264.0,2201.2,6.368279643,16.93828055,0
16,1.74,246883.0,3119.67,5.770090467,17.07244966,1
17,2.12,122764.0,1364.45,6.475814027,15.69868807,2
18,1.6,216496.0,2421.29,5.123565359,16.41343897,1
19,2.48,250333.0,2122.56,6.154922196,15.89135473,2
20,2.03,134739.0,1669.62,6.102075507,17.30057944,1
21,1.86,130213.0,1393.54,5.811354172,15.97339251,2
22,2.49,234661.0,3176.21,4.35895533,15.95726271,2
23,1.5,237393.0,2295.94,4.581778396,17.62618202,1
24,2.59,144828.0,1454.52,4.745694585,15.53557733,2
25,1.36,249086.0,3499.09,5.390706349,16.03822539,1
26,2.33,238727.0,2447.72,4.40910962,15.7245618,2
27,1.6,357270.0,3787.89,5.871421995,16.80658865,1
28,1.93,105799.0,1331.99,6.513025729,18.18798395,1
29,2.76,133571.0,1274.83,5.390946174,16.90496923,2
30,0.81,136188.0,1298.63,6.758554218,17.6164655,0
31,2.72,135987.0,1466.11,6.265480564,17.87990788,2
32,1.54,371447.0,3231.55,5.630918932,15.42328012,2
33,1.26,333181.0,3602.34,5.142485699,16.75499205,1
