,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C),Class
0,2.11,242723.0,1887.16,6.197847111,16.6891139,1
1,1.05,249220.0,2651.6,5.229676517,17.41771386,1
2,1.16,250956.0,2033.94,5.571693271,17.31026816,1
3,1.36,429535.0,3724.57,6.133676186,16.89245694,1
4,1.14,371995.0,4702.56,6.217561316,16.43327295,1
5,1.65,120439.0,2669.08,5.920988083,17.07794581,1
6,1.3,259567.0,1924.14,6.050432642,17.57967087,1
7,1.56,212132.0,3125.83,6.251867157,16.37549831,1
8,1.73,246546.0,1944.55,6.538275812,17.27738701,1
9,0.65,253847.0,3007.16,6.129145702,17.40111857,0
10,0.95,336548.0,3290.3,6.188288137,16.89251107,1
11,0.26,353918.0,4740.08,6.500449442,16.93428795,0
12,0.65,211989.0,1926.9,5.415064401,17.75059806,1
13,1.88,264027.0,2761.6,6.109360917,17.34720088,1
14,1.41,365412.0,4725.25,5.926525876,15.33181883,1
15,2.38,223732.0,2435.22,5.620724734,16.01165942,2
16,1.61,328645.0,4558.76,5.240798886,17.06356294,1
17,1.93,402870.0,4097.53,6.093895539,16.8117051,1
18,1.24,231885.0,3076.61,6.552193226,17.4182886,0
19,1.97,263892.0,1821.07,6.717849079,17.38422119,1
20,1.49,105436.0,2375.98,6.68393795,17.09743993,2
21,2.47,118339.0,996.56,5.940729442,17.45343212,2
22,2.69,150301.0,1105.69,5.604101079,15.58059996,2
23,1.68,244901.0,2081.4,5.457114976,17.26621517,2
24,2.76,255401.0,3632.5,5.772254312,16.86437901,1
25,2.34,215496.0,1972.44,4.546236504,17.01934558,1
26,1.36,102532.0,957.23,6.369836221,16.73730623,1
27,1.38,259999.0,1914.22,5.792461883,16.82482593,1
28,1.16,118701.0,1744.65,6.740029528,17.05760998,1
29,0.65,360224.0,3868.49,6.368936283,17.74987328,1
30,1.04,340530.0,3935.29,6.652744132,17.04849498,1
31,0.86,149084.0,2598.15,6.41408195,17.65292346,0
32,1.79,106875.0,693.5,7.090954972,17.54145211,1
33,1.21,318239.0,3474.05,5.470264209,16.65708156,1
34,1.46,336075.0,4310.44,5.707342325,17.44746504,1
35,1.8,238527.0,3353.47,6.130028997,16.99392117,1
36,2.62,230109.0,1750.07,5.0356531,16.35755623,2
37,1.37,120810.0,769.93,8.579391481,18.62760552,1
38,0.76,154674.0,711.36,6.712875178,17.70502679,0
39,1.53,261323.0,1861.28,6.150276037,17.21184283,1
40,0.49,106874.0,1313.16,8.579391481,18.23491025,0
41,2.19,357376.0,3036.53,4.255982646,15.58287915,1
42,1.65,221148.0,2848.28,6.493658019,16.9803661,1
43,2.21,115717.0,977.4,5.155678605,17.07891465,1
44,1.27,324541.0,3140.81,5.227763604,16.18349802,1
45,1.99,252809.0,1846.44,6.318045508,17.08493884,2
46,0.84,253292.0,1955.96,6.625638982,17.87932074,1
47,1.63,130872.0,894.14,4.115013363,17.20020073,1
48,1.3,256218.0,3232.79,5.932926479,17.29092214,1
49,1.46,117592.0,1621.72,6.989174726,17.1927559,1
50,1.34,94512.0,875.53,4.477368009,17.00407405,1
51,2.26,241289.0,1837.31,6.383091838,16.98408534,2
52,3.15,138563.0,1785.67,4.036250463,16.04294714,2
53,2.03,172664.0,2124.23,6.894112092,16.66926396,1
54,1.63,101190.0,1365.05,5.026251921,15.16801302,1
55,1.47,144062.0,2198.06,6.998832668,19.03896683,1
56,2.09,280692.0,2163.26,6.12623052,17.07101178,2
57,1.69,347570.0,3398.16,6.005946043,17.04068975,1
58,1.06,119833.0,746.49,6.083727199,17.985776,1
59,1.64,380974.0,2928.19,5.091875722,17.01911004,2
60,2.02,327680.0,2686.88,5.214360859,15.7000422,1
61,1.6,150272.0,1232.86,5.710736596,16.93414845,1
62,1.86,283235.0,1517.46,6.218157252,17.82699207,2
63,2.8,118044.0,2183.76,5.962116782,17.04901786,2
64,1.6,111076.0,903.53,5.831368963,16.65326742,1
65,2.44,119223.0,1858.05,5.804288689,15.99794885,2
66,2.86,263162.0,1604.34,5.249944865,16.93074973,2
67,1.41,130177.0,1087.58,5.697207199,16.63542864,1
68,1.3,374954.0,4341.84,5.381823918,17.23896375,0
69,2.49,223987.0,3292.93,5.676628808,16.6550536,2
70,2.47,104910.0,1002.93,6.771811177,17.095711,2
71,0.21,317362.0,3435.15,6.560659384,17.66525756,0
72,1.37,229782.0,1987.49,6.550512369,17.30738149,1
73,0.74,177105.0,1060.43,6.480628046,17.58622266,0
74,2.82,141205.0,1980.59,3.621753135,15.81310704,2
75,2.27,125234.0,1172.78,7.160020669,17.37264383,1
76,1.62,336188.0,3982.55,4.437574967,17.40498181,1
77,1.25,343785.0,2884.99,7.104090731,17.43693049,0
78,1.23,132245.0,1830.75,6.184882688,18.41355801,1
79,1.46,295080.0,3357.89,4.317094111,16.77981025,1
80,1.36,248624.0,1536.42,5.630490492,16.03886155,2
81,1.88,78065.0,1869.48,5.728399369,16.87387492,2
82,1.38,78065.0,680.84,6.34440013,17.03599744,1
83,1.36,94799.0,632.86,6.700194483,17.77403891,1
84,0.97,401231.0,4946.63,5.0520759,17.03894368,0
85,0.58,336223.0,3888.74,6.555998274,16.71549481,0
86,1.44,221468.0,2078.02,6.671039145,17.08934204,1
87,1.89,336923.0,4427.42,4.55924299,15.92765678,1
88,1.44,375866.0,3403.62,5.979915785,16.91357296,1
89,1.1,291044.0,2697.48,6.391914541,16.11872695,1
90,1.02,399225.0,4611.19,6.02073119,16.32678261,0
91,1.2,238505.0,3078.25,6.050665262,17.57719532,1
92,2.08,364491.0,3917.91,4.416405448,16.81824278,2
93,2.68,106357.0,1471.55,6.730139251,17.39931473,1
94,1.35,318823.0,3623.08,6.047443009,17.08090334,0
95,2.9,241449.0,2016.43,5.856445916,17.64305638,2
96,1.72,265396.0,1836.06,6.703315623,17.36120396,1
97,1.63,132826.0,1089.98,4.056253567,15.88138461,1
98,1.59,391971.0,2841.69,5.865882955,17.31942877,0
99,1.32,130777.0,1187.35,6.790872447,17.07003055,1
100,0.93,350385.0,3942.45,6.327956488,17.43420017,1
101,1.77,230573.0,1987.86,4.296828337,15.86292363,2
102,1.28,243079.0,2102.73,6.446609313,16.49671214,1
103,1.2,115406.0,1782.21,6.153074584,16.96440771,1
104,1.57,239037.0,1622.55,6.529940174,16.87404983,1
105,1.08,117488.0,1453.5,6.504967347,17.29009876,0
106,1.28,264237.0,3506.9,6.554110923,16.98217497,1
107,1.44,377692.0,4410.81,5.821270264,16.97426603,1
108,1.03,136561.0,2078.33,6.562448121,18.6912841,1
109,1.3,270745.0,3667.45,7.209632719,17.79751976,0
110,1.25,145487.0,1322.56,6.695619254,17.4887011,1
111,2.85,280619.0,2389.94,4.550536763,14.8839219,2
112,1.74,238159.0,4002.09,6.142850848,16.82896834,1
113,2.34,270536.0,1917.58,6.017406746,18.2615584,2
114,1.37,189113.0,2031.73,6.044836873,17.56493343,1
115,1.02,323405.0,3396.48,6.908323174,17.27318743,0
116,1.94,268654.0,2244.27,6.719113045,17.59408135,1
117,0.8,361626.0,3235.83,5.392621083,17.8195757,1
118,3.21,257679.0,4114.89,5.645666344,15.64555253,2
119,1.33,223122.0,1892.47,5.829772019,17.6136062,1
120,0.82,341638.0,3590.24,5.941812677,17.645049,0
121,2.34,266655.0,2317.44,6.011239153,15.62429996,2
122,0.64,357651.0,4308.67,4.26282806,15.60250328,0
123,0.93,175803.0,1785.36,6.666385038,17.47922194,1
124,1.4,228271.0,1828.78,6.503837699,16.99879327,1
125,1.11,122404.0,1130.32,6.002657092,16.87698066,1
126,1.44,260683.0,2175.67,6.445602018,17.61964746,1
127,1.17,155723.0,1212.9,7.223222937,18.02246471,1
128,2.02,264746.0,1938.11,6.484882176,16.88930448,1
129,1.59,78065.0,897.24,6.143323053,15.32657405,1
130,2.65,218294.0,1685.62,5.340469307,16.40745973,1
131,2.5,158035.0,2033.14,6.841075521,17.70055399,2
132,1.46,154021.0,2129.42,6.904888396,17.91885875,1
133,1.43,109086.0,1491.46,6.071583474,17.3832232,1
134,1.22,260025.0,3613.34,6.193540758,17.28839393,1
135,1.24,360096.0,3900.33,6.686471327,17.31385603,0
136,2.26,154927.0,1311.56,6.501369422,17.07790119,1
