,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C),Class
0,2.39,237040.0,1089.66,6.082970699,16.37821648,2
1,2.86,133240.0,1206.97,6.687470768,17.89931782,2
2,1.05,169839.0,1012.59,8.210921844,19.45508641,1
3,1.22,145608.0,759.29,8.092879011,18.15820676,1
4,1.18,175178.0,2128.83,7.661499514,19.4563748,1
5,1.26,377414.0,3832.34,5.817825173,16.94223054,1
6,1.26,165234.0,1532.93,8.210921844,18.83945351,0
7,1.32,249816.0,2455.85,6.531953002,16.83587011,1
8,2.39,270718.0,2071.5,4.286751738,15.68488159,2
9,1.03,262750.0,1988.47,5.85444416,18.87123287,0
10,2.83,249620.0,3065.83,6.516181768,16.03406521,2
11,1.2,281562.0,1239.39,5.96700673,15.89188097,1
12,1.74,99368.0,1056.13,7.928873723,17.36369127,1
13,2.93,382308.0,3104.07,5.886011554,16.63505458,2
14,3.3,118074.0,1221.82,5.145704669,15.64184662,2
15,1.05,220332.0,2469.04,5.481003233,17.12932414,1
16,2.84,367367.0,2510.58,6.250750781,15.97019962,2
17,2.41,124456.0,1078.07,6.321485443,15.20621227,2
18,2.89,251870.0,1646.99,6.553488721,17.59071737,2
19,1.98,256209.0,2043.98,6.315896254,16.8324601,1
20,2.49,347838.0,2689.38,5.417875934,16.38901926,2
21,1.26,275930.0,3012.81,6.528814943,18.14323182,1
22,2.84,392752.0,2782.35,6.540748743,16.67286117,2
23,1.94,353791.0,3214.17,5.866979016,17.05902819,1
24,1.12,252674.0,3027.86,5.711835386,17.10101296,1
25,1.06,359759.0,3797.35,6.415631178,17.24737584,1
26,2.25,336816.0,3132.95,6.200355583,16.87788741,1
27,0.98,142877.0,1662.38,5.758272127,17.24907395,1
28,1.39,263863.0,3072.18,6.66388868,17.44195431,1
29,2.71,269249.0,2175.65,3.555392857,15.59707235,2
30,1.26,366467.0,2818.62,6.469221697,16.96229001,1
31,0.89,268473.0,3265.01,5.398439834,16.87388013,0
32,2.1,239893.0,2377.42,6.211179593,15.98708824,1
33,1.72,345046.0,3257.81,6.099905277,16.13111633,2
34,1.56,262311.0,2076.63,6.846214506,18.52006607,1
35,1.98,337215.0,3544.01,6.348845237,16.93985544,2
36,2.51,356348.0,3462.04,4.796411292,16.32228119,2
37,2.36,387247.0,3512.44,6.158524718,16.46102027,1
38,1.59,161275.0,2616.69,5.253767649,15.76933486,1
39,1.32,265861.0,3029.07,6.749378045,17.33800185,1
40,1.23,146592.0,943.72,6.055248581,18.81374882,1
41,0.83,207178.0,1138.66,7.547703741,19.630501,1
42,1.61,99837.0,1060.83,7.162716952,17.51929116,1
43,1.51,116179.0,1982.44,4.98632871,16.09264694,1
44,0.51,257008.0,2968.92,5.856431704,17.32880555,0
45,2.58,231789.0,2200.64,6.577236858,17.0128393,2
46,1.17,252616.0,3030.42,5.924382299,17.47179896,1
47,0.78,305045.0,3450.37,6.39236178,17.32630852,0
48,1.87,246850.0,1444.53,6.680307316,16.38634803,1
49,1.62,142119.0,1405.26,8.210921844,17.8143427,1
50,1.63,331766.0,3832.34,5.630532347,15.89646971,1
51,1.27,366295.0,3619.3,5.890599866,17.0136502,1
52,1.29,263190.0,1976.64,7.02278284,16.78943564,1
53,2.32,225761.0,2365.54,5.915579467,16.97825227,2
54,1.87,243725.0,1355.17,6.626446464,17.85146886,1
55,1.13,147721.0,1099.61,7.005560711,17.72357403,1
56,2.42,347594.0,3365.4,5.169043449,15.63159976,2
57,1.42,388151.0,2966.0,6.12616769,15.29442767,2
58,1.2,261690.0,2724.69,6.618807723,17.30222551,1
59,2.29,349346.0,3378.42,6.305511277,15.27941812,2
60,1.32,385170.0,2836.7,5.830630471,16.74136251,1
61,2.22,398401.0,3137.05,5.79953708,15.29176852,2
62,1.6,343038.0,3346.0,5.764543795,16.08753124,1
63,1.93,200716.0,1385.12,6.927132078,16.215546,2
64,2.98,373620.0,3059.76,5.62146286,16.18348247,2
65,2.01,114317.0,1105.76,6.330991322,18.4050953,1
66,2.82,241063.0,1316.88,6.639025893,17.26232284,2
67,1.48,372046.0,3545.45,4.374987641,16.59484146,1
68,1.52,78866.0,764.26,3.830334371,14.35617983,1
69,1.29,268268.0,2755.42,6.955742581,17.16195417,0
70,1.8,264133.0,2587.91,6.202778665,15.72719702,1
71,1.55,260214.0,2181.39,6.254355521,16.43946984,1
72,1.97,236746.0,919.66,5.199926103,15.90481042,2
73,2.92,114612.0,733.36,6.170031259,17.10462614,2
74,2.12,117437.0,1096.84,6.854774619,18.27539366,1
75,1.15,331844.0,3310.65,5.787494835,17.13968595,1
76,3.42,121003.0,1470.4,6.175984978,15.68477766,2
77,0.85,129799.0,707.61,7.811849141,19.39900281,1
78,1.8,394971.0,2575.45,6.103046478,17.07801249,1
79,1.83,231119.0,2647.76,6.17443309,16.84437227,1
80,2.28,101319.0,659.22,5.748534652,17.5501505,2
81,0.95,163928.0,2028.54,6.876718289,17.23583001,0
82,3.16,374428.0,3361.57,5.051769713,15.94288799,2
83,2.08,266223.0,2978.28,5.349127902,17.74142755,1
84,3.01,255224.0,1320.42,5.473710578,15.67109391,2
85,0.75,338377.0,3383.55,5.313472839,16.56562078,1
86,1.0,137562.0,800.76,7.280802724,15.8764613,1
87,1.49,355995.0,3832.34,6.305638858,16.96414655,1
88,1.32,235712.0,2109.84,6.803515071,18.51894323,1
89,0.59,266736.0,2496.42,6.942977654,17.79910934,0
90,1.05,254766.0,2498.57,7.438285823,17.99903239,1
91,0.77,266977.0,2704.87,6.034226602,17.19568477,0
92,1.14,359989.0,3037.76,6.259752248,15.57352096,1
93,1.73,136014.0,1033.84,5.534723625,15.55637537,1
94,3.39,326395.0,2889.24,5.74645189,15.7931836,2
95,0.83,242256.0,2886.74,6.443621034,16.26763857,0
96,1.24,283381.0,2146.19,6.702637053,17.16230212,1
97,1.77,135929.0,1653.38,6.06700975,16.77277722,1
98,1.58,156641.0,1099.78,7.290334813,18.05178806,1
99,2.32,261482.0,2358.74,6.103559512,17.86809203,2
100,1.25,238089.0,1692.73,5.761542857,17.19456424,0
101,2.03,113031.0,1013.92,6.650962114,17.98119589,1
102,1.32,287289.0,2346.46,6.234684094,18.24117492,1
103,1.86,266604.0,2628.44,5.577911768,17.43898314,1
104,1.18,150960.0,891.59,7.741033972,18.47563675,1
105,2.26,263253.0,3082.56,6.206701355,15.37999033,2
106,2.7,256631.0,2145.72,5.35655558,16.0945149,2
107,1.74,234064.0,2414.91,6.100301751,17.21091562,1
108,2.29,167172.0,1447.76,6.598498584,18.78657152,2
109,1.0,267923.0,2781.32,7.340863199,18.2457439,0
110,0.56,274394.0,3832.34,7.248802795,17.43641481,0
111,1.8,310962.0,2966.78,6.009742236,15.76190322,2
112,1.02,377363.0,3049.47,6.796456814,17.07151041,0
113,2.9,350673.0,3010.7,5.544663849,16.10046359,2
114,1.37,95259.0,620.61,5.060825608,15.53858028,1
115,2.29,272485.0,2582.52,6.680934482,16.9319846,1
116,1.7,263289.0,1977.52,5.914586231,17.56722252,1
117,2.77,368760.0,3241.1,6.978393278,16.34834573,2
118,2.82,336317.0,2239.61,5.124099631,16.97876879,2
119,0.79,398401.0,3368.57,6.269019823,16.84274147,0
120,1.22,265215.0,2333.1,6.750451413,17.25110595,1
121,1.28,353495.0,3609.86,5.681389919,17.22928234,1
122,0.73,260410.0,3144.26,6.221622814,17.22973383,0
123,1.42,269033.0,2135.15,6.637359276,16.89373834,2
124,2.94,156054.0,1438.79,7.372882601,18.10755474,2
125,2.08,253926.0,3013.93,6.157663836,15.77570712,2
126,1.89,339686.0,3313.88,5.933030356,16.92193885,2
127,3.31,242370.0,2342.34,3.555392857,14.91587576,2
128,2.15,281632.0,2628.27,6.099405422,17.31407507,2
129,1.79,171875.0,1186.54,7.256203853,18.04166414,1
130,2.89,217768.0,2402.57,5.345722083,16.93948793,1
131,1.39,274273.0,2734.2,6.706500147,17.20251148,1
132,1.18,326024.0,3742.01,6.032435914,16.84524007,1
133,2.84,346286.0,3440.75,5.883849042,15.87647687,2
134,2.55,244636.0,2025.07,7.222229526,16.90313174,2
135,2.65,254954.0,2778.76,6.282836161,15.63919967,2
136,2.73,261607.0,2607.75,6.317745176,15.8182834,2
137,1.96,272911.0,2116.05,6.366511904,17.24441623,2
138,2.17,134317.0,620.61,8.210921844,18.16442545,1
139,0.83,156511.0,1382.94,7.939900376,18.26895965,1
140,1.16,283763.0,2293.03,5.943205196,17.15044619,1
141,1.22,266557.0,2989.99,6.150695956,16.92897119,1
142,1.41,144683.0,1216.79,6.653559376,16.76272596,1
143,1.91,349366.0,3195.01,6.598429876,16.66897344,2
144,1.85,337433.0,3390.91,5.455231583,16.38216076,2
145,1.38,131383.0,1685.52,7.50232664,18.67817521,1
146,2.24,398153.0,3536.32,6.289415613,16.82374012,2
147,2.95,255194.0,2511.27,5.653883695,15.95537444,2
148,1.49,251732.0,3256.09,5.561206529,16.6591799,1
149,1.03,144955.0,1522.87,7.13787265,18.14967246,1
150,0.94,172296.0,1359.03,6.998275655,18.5029427,0
151,0.98,321604.0,2760.88,6.666579278,16.84163228,1
152,1.51,268072.0,2035.77,6.751112976,16.99195528,1
153,1.76,103896.0,942.06,4.53017631,15.19726199,1
154,1.47,259995.0,2257.27,5.609240663,17.56442467,1
155,1.69,240658.0,3589.67,6.425852002,16.94372108,1
156,1.55,385318.0,2707.51,6.600984703,15.69860537,2
157,2.18,149626.0,1045.66,6.084225021,18.39253995,2
158,1.48,141273.0,1463.19,6.587797643,17.24593321,1
159,1.79,118888.0,1296.55,6.432995398,17.83884212,1
160,1.7,246992.0,1543.19,6.802004795,17.71098561,2
161,1.33,266962.0,2408.23,6.824227777,17.23910782,1
162,1.64,257572.0,3345.96,6.310139392,17.01674786,1
163,0.72,239036.0,1814.14,6.246190743,16.0694216,1
164,2.19,347685.0,2519.06,5.538771205,16.07590397,2
165,1.82,327444.0,3505.26,5.605601505,16.77504142,2
166,2.75,273914.0,2056.21,5.80260112,15.94017256,2
167,2.41,254678.0,3024.23,6.397148239,15.28743319,2
168,0.69,357018.0,3587.68,5.868033532,17.36299328,0
169,1.8,143166.0,1076.29,8.021167175,16.41099591,1
170,1.09,177295.0,1699.51,6.696466059,18.72549911,1
171,3.14,328882.0,3131.16,6.055714209,16.64067631,2
172,0.68,120036.0,1030.61,7.028235358,18.08936351,0
173,0.95,245407.0,2650.07,6.810102082,17.07370763,0
174,1.77,103991.0,1341.05,6.711398686,16.93932172,1
175,1.15,162471.0,1122.34,8.210921844,18.14916221,1
176,1.5,120203.0,1633.12,7.129917032,17.35582556,1
177,0.32,119966.0,1126.76,7.522690017,17.76277556,0
178,1.57,337724.0,3278.05,6.140447456,17.26655714,1
179,0.87,391335.0,3553.75,5.800634405,16.5322961,1
180,1.75,122192.0,1132.31,6.266605227,16.89758178,1
181,2.02,118020.0,1729.87,7.457197194,18.01630487,1
182,1.47,164529.0,1189.59,7.713917315,18.43956602,1
183,2.84,114356.0,620.61,5.679032127,15.76049729,2
184,1.02,242968.0,2031.1,6.719269404,17.10663211,0
185,2.35,135215.0,620.61,7.268005606,18.24313254,1
186,2.7,135631.0,710.26,6.596626405,16.09596408,2
187,1.02,351426.0,3011.51,5.380010128,16.72004239,0
188,3.33,261679.0,1784.64,6.295655947,15.49822665,2
189,1.68,160218.0,992.06,6.353762075,18.80692169,1
190,1.02,240697.0,2107.04,6.561787983,17.04550374,1
191,1.3,259697.0,1714.91,6.551260148,18.29937303,1
