,Yield (tons/acre),Time Since Sown (Days),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,1.69,802,373543.0,2863.67,5.540106871,16.65539488
1,2.69,745,188672.0,1363.18,5.01919083,15.94788426
2,0.69,393,141835.0,586.86,1.707475538,13.58864151
3,1.53,796,247624.0,1436.02,2.069685138,13.99567829
4,1.67,496,144178.0,1514.58,4.538877417,16.89461275
5,1.8,1135,359966.0,2362.1,2.470607907,15.52664667
6,1.29,1160,365253.0,1943.8,1.068529953,15.60541448
7,1.22,671,172140.0,2006.72,6.752953361,16.68463717
8,1.56,1178,251221.0,2632.58,5.767574046,15.85692389
9,2.67,587,149648.0,2463.32,5.179984919,15.43556332
10,1.93,810,259493.0,1205.34,1.582457197,13.87576971
11,1.67,288,122829.0,734.11,1.566727172,14.8572835
12,1.72,781,367463.0,3012.7,4.408582736,16.09161891
13,1.75,444,147399.0,1053.16,4.192124951,16.84896934
14,0.92,1180,374507.0,3914.71,6.809004848,16.00698147
15,0.84,1193,357294.0,2899.26,6.041597059,16.95330688
16,1.14,459,158153.0,1329.14,4.313646166,16.82663045
17,2.56,782,356395.0,2047.85,0.481244047,12.36193575
18,0.85,1205,375987.0,3878.21,5.296355299,16.04678628
19,1.16,1187,370793.0,2016.23,1.133508571,12.35840989
20,0.59,1185,419604.0,2446.38,1.260706899,12.91353268
21,1.54,797,358116.0,2180.29,2.085491379,15.20530551
22,1.11,1206,376182.0,3619.91,6.152055711,17.23110108
23,3.12,723,257633.0,1903.65,4.304624935,15.39585401
24,1.63,1102,334410.0,1959.94,1.172771146,11.67520149
25,2.18,303,119431.0,869.71,4.141104688,15.7139052
26,0.8,475,148669.0,1357.88,2.876831477,14.32552013
27,1.45,454,142806.0,1132.43,6.179828252,17.12546334
28,0.49,1219,380567.0,2393.74,1.794808828,14.12593618
29,1.55,436,216270.0,916.85,6.401620125,17.73975769
30,0.6,349,244573.0,1228.48,1.059799136,14.05250469
31,1.56,820,257481.0,2018.48,6.574922956,17.43804477
32,2.56,1120,353214.0,3003.31,1.705576549,15.47001033
33,0.29,530,156051.0,1199.54,5.755617422,17.37994149
34,1.69,830,263565.0,1815.3,6.064689121,17.03299228
35,2.47,308,81632.0,828.68,4.369866633,15.39712937
36,1.67,857,262085.0,3428.23,6.612917295,17.46577127
37,1.3,369,117913.0,650.06,6.702301076,16.79107979
38,1.71,350,125978.0,961.5,5.868891383,16.71075659
39,1.34,1157,371233.0,3569.03,6.518101233,17.03188588
40,1.27,1198,379132.0,3352.92,5.527162918,16.59114661
41,1.79,1121,342071.0,2319.57,1.534051555,13.1800718
42,1.33,1182,401324.0,3100.6,5.279697764,16.40441431
43,0.63,1126,352195.0,1868.92,1.692000767,13.17259125
44,0.81,1142,374280.0,2171.11,1.444727968,15.59655085
45,2.05,433,139213.0,1495.35,4.307891328,15.36348435
46,1.21,1162,383442.0,3451.85,4.767283074,16.44789971
47,2.03,463,158228.0,1203.86,5.657438399,16.88979661
48,1.85,323,124434.0,596.84,3.138196902,16.10761019
49,0.57,481,157018.0,821.1,4.752106602,16.15908534
50,1.95,809,267790.0,2613.01,5.538025278,16.30395919
51,0.69,407,148039.0,837.95,2.74355149,16.41951405
52,1.84,337,135453.0,1062.34,1.09276253,13.65927436
53,0.5,1213,403011.0,3857.42,5.037792238,15.99187539
54,1.38,387,140637.0,759.37,3.448213663,16.74030461
55,2.06,737,237025.0,1495.73,4.956000876,15.54291664
56,0.99,1129,356073.0,3190.64,6.020378736,16.27486618
57,1.59,1114,225162.0,1512.51,0.941728088,13.67950882
58,0.92,784,247155.0,1319.78,1.276229538,13.55487681
59,1.27,741,232874.0,3269.51,6.533095238,16.3675809
60,1.25,769,354479.0,2661.87,2.531274695,16.84412715
61,0.73,424,124363.0,1830.81,7.322513586,18.10712581
62,1.47,311,111317.0,602.26,2.37225113,13.55918975
63,1.62,473,157217.0,1759.13,7.621420274,18.31379183
64,1.16,1210,369257.0,2049.89,1.962036957,13.39117028
65,0.65,427,139917.0,586.86,2.057838382,13.92549231
66,0.74,1154,394633.0,2009.93,2.004966573,14.48944224
67,1.18,1182,367160.0,1884.46,1.287606494,13.22305772
