,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C),Class
0,0.75,237763.0,1725.3,2.245775844,12.77546003,0
1,0.68,262790.0,1825.1,3.885152337,16.88913679,0
2,1.6,252907.0,613.89,3.095553647,14.55578546,1
3,0.76,134226.0,924.22,3.220992906,15.40899418,1
4,0.54,154716.0,1223.66,4.210590298,17.11660749,1
5,1.3,238224.0,1303.56,1.78457651,12.43687971,1
6,1.0,158446.0,785.86,4.026925188,14.99912514,1
7,1.64,258270.0,836.4,2.194152587,16.76598527,0
8,1.01,141221.0,868.08,3.132802122,15.32216325,1
9,2.38,156639.0,1174.67,2.420224757,12.0532326,1
10,1.86,153894.0,930.45,3.953057864,16.01034239,2
11,0.78,136657.0,2189.21,1.763016723,16.29928796,2
12,2.22,266099.0,1091.18,3.756249954,14.79148227,2
13,1.31,132075.0,613.89,3.713617146,15.02764069,1
14,2.85,377248.0,1769.59,3.149844682,16.5773086,0
15,1.57,371914.0,1618.64,3.744328272,16.74727224,1
16,2.88,270421.0,844.52,3.343501121,15.7789637,1
17,2.75,150978.0,844.32,3.168406515,14.82598807,1
18,0.88,119372.0,681.15,2.582385101,14.9406323,2
19,1.84,250916.0,2474.32,1.920951542,16.84979054,0
20,3.3,257542.0,1446.02,3.109345127,15.89975095,2
21,3.4,258834.0,968.81,3.032687004,16.07920734,1
22,2.6,128544.0,1510.7,4.93924406,13.39500221,1
23,1.43,123446.0,823.19,3.919708442,15.71492008,1
24,0.67,140704.0,2474.11,2.930365473,15.32140114,0
25,0.86,253182.0,1618.16,3.76934988,15.14010029,0
26,1.18,357597.0,920.38,3.116420842,14.58029926,1
27,1.69,166825.0,985.77,2.21098194,14.77658725,0
28,1.57,268220.0,764.56,3.482524503,15.58472991,2
29,0.7,147019.0,2119.74,1.531623463,17.41179531,2
30,2.44,135001.0,1794.78,1.932706756,15.65168126,1
31,1.4,136837.0,1689.4,1.896271994,15.53313036,1
32,1.26,386600.0,1048.11,2.855334539,13.24797778,1
33,2.39,164240.0,886.37,3.78587823,16.96597437,0
