,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,1.64,370848.0,1970.58,5.392768183,16.08745369
1,0.72,379709.0,4152.18,4.409247723,17.17526313
2,0.91,124017.0,1903.41,1.384244302,16.77099351
3,0.75,363556.0,1813.27,6.674711961,17.60010319
4,0.62,136829.0,1810.68,4.762264816,16.55668278
5,0.53,380246.0,4120.22,3.909351233,13.20793798
6,1.94,358132.0,3277.59,3.885698861,16.3540396
7,1.09,270374.0,3894.78,3.708880832,15.80524797
8,2.51,349937.0,1345.83,6.905866337,17.02275946
9,0.85,231669.0,1308.37,1.851632758,17.23436916
10,2.61,349925.0,2095.84,4.673484381,15.04189118
11,1.42,356589.0,2180.21,6.024433759,15.87364374
12,0.73,253402.0,1826.08,3.175233691,16.05403126
13,0.56,422757.0,1876.45,6.228297086,15.55334878
14,1.13,154125.0,5006.9,2.934901715,13.05527889
15,4.27,235290.0,1825.54,0.464513385,16.47289064
16,0.42,260923.0,1727.74,6.393173866,16.26513804
17,1.75,253460.0,1780.97,3.615602461,14.33094947
18,1.31,235357.0,2109.88,4.276793098,19.630501
19,2.22,323983.0,2396.16,3.832158219,16.38711903
20,0.75,143467.0,1821.33,2.682724122,17.47545805
21,1.89,156726.0,2672.69,3.795034838,16.5972642
22,1.37,340151.0,1871.23,6.625022233,19.07468806
23,4.63,261000.0,3074.71,2.64181232,14.01641318
24,1.86,334741.0,2210.57,5.584240672,15.98551318
25,3.68,335038.0,1807.6,5.259510663,18.05626708
26,3.99,350491.0,2048.19,6.456519931,15.94998626
27,2.23,354344.0,1108.72,2.509561484,16.60050752
28,0.99,106644.0,2303.88,1.316596859,16.65615538
29,1.46,346845.0,2990.08,5.580749643,15.35288101
30,2.76,114941.0,2256.21,2.284062618,14.84905719
31,0.62,144432.0,2712.3,4.393311316,15.95788712
32,0.83,163957.0,4358.38,4.947093525,17.40445432
33,1.14,270962.0,1997.03,4.428676068,15.49900755
34,0.81,356873.0,1817.75,3.600687989,16.19809772
35,3.06,125352.0,3211.3,3.355442056,15.45026919
36,1.9,78065.0,1413.63,5.060909468,15.53069826
37,0.56,375361.0,1763.71,4.686431077,14.86989182
38,1.24,361384.0,1870.92,4.266756414,15.15058608
