,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,0.57,133475.0,1417.94,4.371372813,15.9084265
1,1.17,116971.0,586.86,5.834846277,14.09443608
2,2.74,151079.0,1396.99,3.925492324,16.6439391
3,3.32,237328.0,1212.9,5.282347341,15.75581275
4,1.03,128653.0,2428.97,1.507535818,15.22809124
5,1.03,146364.0,2103.18,4.839582139,16.74736841
6,1.89,140452.0,2142.24,6.839446404,15.08699647
7,1.31,124773.0,1143.45,4.907305346,13.96540159
8,1.89,258930.0,2027.19,3.380808299,15.98350435
9,1.4,143320.0,1310.41,3.568908485,13.1855497
10,1.82,263956.0,2536.15,4.055303301,12.64548216
11,1.87,136501.0,1822.54,5.192289062,15.30784059
12,2.51,121376.0,3054.68,3.401734928,12.84653264
13,0.66,160479.0,1882.73,2.918755158,12.63977577
14,0.67,160275.0,3292.65,4.899563674,17.09150848
15,1.67,147509.0,995.33,3.753765241,16.53216182
16,2.03,351485.0,1312.19,6.391223249,16.44867208
17,1.08,245834.0,1265.15,4.135666008,16.10378921
18,0.78,151358.0,1884.99,3.350094961,14.8958511
19,2.9,235541.0,1856.97,4.170422009,13.60567123
20,1.23,145887.0,2339.66,2.830470578,12.1134104
21,1.49,193496.0,929.91,3.89039035,15.42020807
22,1.63,347960.0,1418.52,5.201150326,16.85311555
23,0.95,370558.0,1946.2,5.727444174,15.73394881
24,1.25,147512.0,4481.6,1.87200877,13.87954154
25,1.34,150736.0,2355.6,1.934687464,16.28349129
26,1.85,121480.0,2504.91,2.777894678,13.41181617
27,1.64,243262.0,3512.13,2.849494363,13.09332043
28,2.26,391318.0,1804.51,1.981700739,12.76759164
29,1.1,240656.0,1800.06,2.533144909,15.0573539
30,1.46,157069.0,1092.94,3.536471312,12.73555973
31,1.37,240954.0,1273.64,0.656102982,15.35333163
32,0.96,345027.0,1286.04,1.744939161,11.98643252
33,0.25,149098.0,1856.37,1.505430252,17.30815095
34,1.86,159278.0,1653.02,3.393019709,17.05229813
35,1.28,146598.0,3269.46,6.12379306,13.12755214
36,1.37,402116.0,1767.07,1.804618941,13.86661264
37,1.24,382809.0,2659.96,2.577723887,14.5837671
38,0.96,383145.0,1978.64,4.72520858,17.58486061
39,2.47,144181.0,1065.8,1.428770691,13.15057839
40,2.09,149106.0,2274.91,3.982862792,15.99163412
41,1.23,380975.0,3872.25,2.151726596,15.34922517
42,2.16,140121.0,2325.14,4.689389981,14.72746117
43,1.47,147324.0,1801.85,4.327035932,17.29226209
44,0.95,151767.0,871.93,2.521024967,12.43600602
45,1.4,259234.0,1938.59,6.660829071,14.6828135
46,1.39,137050.0,733.19,6.170900787,14.92031616
47,1.73,411693.0,1357.81,6.409903119,16.93465081
48,1.18,363563.0,1172.37,6.004607977,16.0236738
49,2.28,144141.0,1077.05,3.491172775,15.4827995
50,1.08,118518.0,1370.29,3.67741845,16.84449179
51,3.43,245790.0,1367.46,3.013755105,15.77549956
52,0.51,358393.0,728.07,4.707811044,16.05133016
53,1.44,373074.0,1230.7,3.600413459,12.55096872
54,1.11,254859.0,1898.6,3.112704443,14.55477186
55,0.85,139920.0,2322.71,0.403486709,11.66396948
56,2.15,148515.0,2076.62,4.166823823,15.52467341
57,1.39,114519.0,1472.56,2.065468661,14.91277446
58,0.77,421275.0,720.08,4.921557856,11.99549482
59,1.92,148536.0,2437.16,4.505834181,12.55291179
60,1.44,157133.0,3472.63,3.323013219,15.64154116
61,1.25,258661.0,1537.07,2.492636436,17.29039365
62,0.5,371407.0,2574.93,1.361193382,15.28726564
63,1.47,143428.0,5006.9,2.967202144,15.11833551
64,0.72,249425.0,1881.56,3.728931881,16.05184447
65,1.85,163364.0,1853.11,2.900122613,15.3207416
66,1.18,149942.0,1688.25,3.208294683,15.51278284
67,1.73,132850.0,1652.76,6.42984524,15.17018018
68,1.63,362225.0,1775.75,2.300465139,15.63768776
69,1.14,355518.0,1969.14,1.258167525,12.02320668
70,1.17,241556.0,2380.87,3.048354535,14.02394706
71,2.19,141876.0,1960.71,2.158467126,15.24063769
72,2.38,151908.0,2201.07,3.439946933,15.37792038
73,1.45,161661.0,1363.56,2.53308425,12.17256596
