,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,1.04,224383.0,1269.79,1.353440278,13.2860865
1,1.72,270152.0,777.92,3.16924364,16.12464088
2,0.93,360944.0,883.76,3.684074077,16.18899073
3,1.9,141230.0,1563.3,0.145600726,11.59762007
4,2.54,262593.0,954.32,0.422076359,13.57244478
5,1.97,134318.0,812.16,2.597819051,17.35514503
6,1.2,239621.0,1473.45,3.449317957,13.28966712
7,1.1,172689.0,835.6,4.168682663,15.55077414
8,0.66,90865.0,1848.35,1.616903078,14.05024939
9,1.67,140905.0,2124.02,0.50333247,17.22655203
10,1.54,242621.0,890.52,3.287539647,13.04680306
11,1.8,157850.0,2626.24,2.314321779,17.0093937
12,2.18,124631.0,1605.81,2.181852597,13.90253809
13,1.6,260677.0,2199.1,5.275637329,13.73386843
14,2.04,240535.0,928.31,1.063115074,16.2355293
15,1.3,244606.0,1199.15,2.834960147,16.68176506
16,2.27,134398.0,651.21,2.025461036,17.74730282
17,1.62,222850.0,2009.7,3.709284227,13.1566886
18,1.8,246359.0,1358.32,3.754069648,15.60988332
19,0.58,333804.0,1754.55,-0.185239279,16.2321446
20,1.62,254490.0,2774.54,2.574441031,16.7390055
21,1.49,165195.0,2271.81,3.950415664,16.51191526
22,1.79,275051.0,1347.23,3.7878001,15.99902482
23,2.42,372684.0,1809.35,0.788887766,15.62897405
24,2.42,262097.0,3318.15,1.51937804,14.31076894
25,3.31,150908.0,1389.84,3.297810927,16.00684183
26,0.96,139324.0,1669.84,6.939121646,14.2725801
27,2.64,261894.0,2285.79,6.904596743,16.29689723
28,1.72,244643.0,3251.11,5.735459886,17.69512878
29,1.24,263399.0,1375.97,0.763341714,13.16635243
30,1.07,245189.0,824.24,3.117027335,17.28071661
31,2.89,133336.0,1132.35,1.498901416,13.24833961
32,0.77,129515.0,1339.94,2.00453537,14.16215416
33,1.68,233766.0,778.07,2.836427634,12.96876654
34,2.57,334776.0,2355.16,1.440764956,16.41460577
35,0.85,230340.0,760.71,3.309364235,13.2397355
36,2.73,255933.0,927.55,1.613293778,13.4480273
37,1.38,139487.0,2530.98,5.13171637,15.43943211
38,1.96,233857.0,2804.64,-0.07821634,13.03474682
39,3.28,214926.0,1219.85,6.068741129,15.48199154
40,0.87,357816.0,1295.71,3.738029818,15.4714637
41,2.52,126959.0,1911.04,1.233063181,16.35125723
42,2.43,237763.0,759.77,4.515545953,13.49163264
43,1.79,166613.0,721.44,1.845164633,16.60020803
44,1.74,382404.0,1429.72,5.724613791,13.02690868
45,1.66,252614.0,657.08,3.589374408,16.32900043
46,1.64,393202.0,1840.95,2.713355263,16.66731668
47,1.13,340807.0,1984.59,0.693525987,12.66817579
48,1.32,150372.0,764.68,1.070149633,16.07693078
49,2.04,371620.0,1041.81,4.121739842,17.21049249
50,1.31,243919.0,2239.86,1.983094917,15.08369352
51,1.18,275289.0,2686.66,3.03243616,17.37011596
52,1.9,217834.0,839.28,2.173777923,12.74020476
53,1.59,259848.0,902.78,3.54323359,13.87024269
54,1.62,268226.0,586.86,3.451614538,12.49737156
55,1.64,239707.0,1622.62,1.178830302,18.06517542
56,1.44,135690.0,586.86,1.033070907,14.3573965
57,2.27,340642.0,1351.37,1.055671276,16.17151255
58,1.17,369778.0,2379.72,0.510134577,16.74603981
59,2.11,148583.0,2823.67,1.639934625,17.19483101
60,1.4,261629.0,2368.57,3.546405802,15.69684154
61,1.8,131522.0,700.52,0.471958956,17.16144187
62,1.71,140772.0,664.63,3.923112013,13.22659043
63,1.88,124156.0,2041.05,1.688292075,16.03770151
64,1.1,241474.0,2349.87,4.120141274,15.93463331
65,1.33,266584.0,965.04,2.257957851,18.75151796
66,1.46,266861.0,3671.58,1.331549608,14.7835164
67,1.7,239983.0,1361.1,3.544451544,13.48470327
