,Yield (tons/acre),Time Since Sown (Days),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,1.77,426,150939.0,2420.96,3.32891557,15.17285792
1,1.17,423,377072.0,1022.66,4.981472891,15.37297168
2,1.03,453,371999.0,2015.34,4.586560763,18.96509572
3,1.6,820,412384.0,5006.9,5.988855642,16.05082443
4,0.56,441,148599.0,1067.08,6.857629907,17.60695921
5,1.63,845,136013.0,2711.42,3.263325607,15.50485628
6,1.89,413,278210.0,2162.77,5.946116231,13.81340664
7,3.27,853,253766.0,2116.52,7.374808817,14.99712968
8,1.19,808,158837.0,1275.01,1.578403381,15.98707118
9,1.84,429,278263.0,1913.24,6.753535968,15.84253389
10,1.54,477,157578.0,1114.66,6.743253441,17.73160565
11,2.39,493,160790.0,1069.17,3.656044019,18.01512088
12,1.31,844,281727.0,2122.18,2.68702808,16.64792334
13,1.26,867,172782.0,2602.25,7.055646829,16.36757619
14,1.45,463,157034.0,996.55,4.713056944,15.38948598
15,0.69,753,128628.0,2389.4,3.626222714,15.60497716
16,2.41,458,154747.0,1744.66,6.263882864,15.52662965
17,1.38,1189,276451.0,4139.41,6.833015281,15.96220087
18,0.76,439,137434.0,2031.47,5.862462788,15.39294208
19,1.72,812,266293.0,3407.29,4.829896337,16.75192978
20,1.43,817,155955.0,2165.75,3.590687281,15.37123784
21,2.39,815,136747.0,1885.7,3.5298874,16.45550388
22,1.49,694,117142.0,3465.92,3.684535675,16.45997792
23,1.62,750,261872.0,3683.45,3.071333265,15.99852846
24,2.89,353,129962.0,2313.54,6.346513134,15.29653285
25,1.05,361,141425.0,2185.35,6.475713474,17.17828383
26,1.62,436,255399.0,1761.84,6.230241194,15.84413337
27,1.48,762,391934.0,4198.24,3.941482221,15.35267996
28,0.54,484,433348.0,5006.9,2.161846667,15.15612943
29,1.66,819,361754.0,1016.08,4.390397555,15.26062883
30,2.51,834,378346.0,2023.31,1.610999671,16.98811305
