,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,1.18,260286.0,2062.64,2.633214789,15.94110334
1,1.37,145376.0,1553.39,2.921828881,17.08046211
2,0.68,118802.0,2697.84,0.892428593,13.32827083
3,1.52,83177.0,946.45,4.56866152,16.56832628
4,0.45,254015.0,3498.16,4.085704221,16.58146714
5,1.52,129802.0,800.59,1.718918568,17.38675112
6,1.38,157707.0,1945.68,1.693270306,17.71273566
7,0.62,362742.0,1180.65,5.167216179,16.75761919
8,1.57,139985.0,1108.21,4.557191649,14.22332777
9,0.99,357986.0,817.17,1.10021262,13.91492879
10,2.46,141690.0,2131.02,2.994210737,15.93241852
11,1.47,263970.0,999.54,2.578019133,16.84524658
12,2.76,364528.0,2196.55,4.028932944,15.62988853
13,0.53,245446.0,1419.49,3.87616824,17.4119604
14,1.2,133565.0,834.06,3.880085876,13.46902826
15,1.79,367333.0,2980.94,2.702484326,17.96773957
16,0.86,408258.0,2181.57,2.775546985,12.11578326
17,2.08,137605.0,1390.47,3.69579933,16.08764709
18,1.31,150571.0,1568.13,1.939564324,12.79330706
19,3.0,146480.0,1587.37,1.289822614,15.67171179
20,0.92,249999.0,2904.93,2.741253272,16.71523136
21,0.15,136277.0,1941.42,0.822770214,16.2360655
22,2.12,263722.0,1193.38,1.206160958,13.55504117
23,2.03,374169.0,828.27,2.96197694,12.86402181
24,2.41,369774.0,1391.22,0.264762416,15.90633226
25,2.23,401472.0,1258.33,5.853837805,16.94033154
26,1.49,78065.0,826.86,1.529493151,13.34057346
27,1.36,237071.0,779.21,1.024310815,15.59227308
28,2.66,246680.0,1055.64,1.133916423,13.39282352
29,0.61,129323.0,1212.3,1.559353541,14.00111029
30,1.58,132517.0,1295.83,0.336882419,16.8077178
31,2.13,137224.0,2044.35,5.177245808,11.2583727
32,1.86,372307.0,2513.35,-0.025127605,12.99328636
33,1.3,240408.0,3882.19,3.698799929,15.61363391
34,2.6,369649.0,2886.67,2.157508646,15.55387331
35,1.58,108854.0,896.25,3.67196655,15.00433895
36,1.13,155425.0,2202.54,2.514385886,16.61938626
37,1.34,143527.0,1406.9,5.643269509,14.35036111
38,1.7,154609.0,1246.18,1.204144062,17.2420314
39,1.83,150700.0,2326.19,0.246714255,16.38401492
40,2.52,146840.0,784.76,5.569710807,15.23212426
41,0.46,119104.0,840.67,1.57326453,17.06928353
42,1.71,134565.0,660.4,1.203318805,16.20755222
43,0.45,238789.0,734.27,5.730254404,15.72063373
44,1.24,155090.0,1794.72,4.428661007,17.55337408
45,1.28,251777.0,3243.24,0.488015362,15.7515732
46,2.65,349536.0,1349.62,3.695594887,15.45197187
47,1.54,258720.0,1342.59,3.052291757,14.3806953
48,1.59,235149.0,2087.23,4.941253208,13.79836693
49,0.63,151885.0,4184.61,1.259634475,16.15638008
50,0.63,154092.0,2004.14,2.398121936,17.30889703
51,0.63,215159.0,1961.2,3.556352422,16.42918896
52,1.75,256301.0,1865.43,1.838564518,15.22753855
53,1.07,356926.0,2353.82,3.225665308,17.22648293
54,1.95,264704.0,2155.66,2.755006822,16.99987913
55,1.58,172019.0,1646.42,1.476407932,16.04530375
56,1.05,130503.0,2275.19,6.290187809,14.13784826
57,0.59,130235.0,2161.06,1.176448992,13.34130899
58,2.44,239414.0,646.39,2.829126014,15.87417629
59,1.39,144880.0,1053.08,0.85861053,18.03287393
60,1.27,387474.0,1838.4,1.847618155,17.29660215
61,1.31,168348.0,1668.26,2.422773016,16.81990316
62,1.72,257108.0,1985.85,2.821202959,11.85590663
63,3.31,268199.0,2917.49,2.388866795,13.65908873
64,1.74,126297.0,699.93,2.581308255,17.20498227
65,0.48,239194.0,1123.38,6.623376596,14.00578649
66,0.26,148313.0,1894.62,2.508220784,14.92740019
67,2.49,157912.0,3598.38,4.067509751,15.57109528
68,1.63,268897.0,1767.53,1.280545008,15.47401863
69,1.56,349655.0,1545.6,4.136101289,14.74634584
70,2.44,381093.0,2258.41,1.234381127,16.55403724
71,1.44,233474.0,3750.16,0.282606175,16.70758469
72,1.92,369767.0,1677.67,3.478877379,15.55194199
73,1.53,150607.0,749.85,6.241511414,13.67232182
74,1.6,241281.0,2222.11,0.786140715,14.95041332
75,1.46,161580.0,1641.5,2.28868594,16.07078016
76,1.24,248205.0,2695.39,5.442714893,13.13336383
77,0.92,233160.0,4248.66,0.710363286,15.38576657
78,2.13,349512.0,1115.86,4.700291896,15.8263879
79,1.38,348211.0,1002.91,2.603744519,17.07906286
80,1.55,253149.0,2700.53,0.532427197,12.13790398
81,1.13,128018.0,1786.3,3.83546584,16.36643255
82,0.77,163541.0,2379.34,6.291545063,13.56182444
83,1.83,126658.0,2088.38,5.319922702,12.66669829
84,1.22,140620.0,1702.98,6.320981087,18.24270952
85,1.28,137328.0,1808.08,3.561439668,15.92651301
86,1.65,256131.0,1620.21,4.969119602,17.46931872
87,2.44,176361.0,1580.76,5.918219775,15.13825822
88,1.49,121861.0,1378.57,3.913570296,16.55623829
89,2.17,245993.0,3205.76,4.889912649,17.14563925
90,1.12,120487.0,890.16,1.781612156,17.57817742
91,1.53,134812.0,1737.81,4.255449135,16.23296857
92,2.0,98550.0,985.59,3.007876688,14.07235234
93,1.94,161013.0,1671.5,3.717301662,15.33830411
94,0.58,251033.0,1944.41,0.273922704,15.59968663
95,1.99,352678.0,1476.98,3.5566834,15.47068659
96,1.27,122896.0,793.04,3.673256951,15.81804443
97,0.77,379069.0,695.21,2.123864455,13.67533512
98,0.29,152329.0,4013.3,1.238586469,15.95568244
99,2.11,120369.0,2329.41,4.936121308,16.81382487
100,0.69,249913.0,3253.12,4.706322374,17.76316243
101,2.72,275309.0,4687.5,3.032828358,17.17308163
102,0.38,132949.0,2244.65,1.136030461,16.9167934
103,3.75,114719.0,2057.88,3.021047581,11.72942931
104,0.73,146081.0,2554.7,4.824595307,15.90319419
105,0.72,140884.0,794.32,5.542087128,17.02197272
106,1.76,294231.0,3361.19,4.02277554,15.46982544
107,1.5,130880.0,2756.55,4.149827122,15.4529985
108,0.35,260367.0,1357.65,3.210848256,13.52315655
109,1.99,128017.0,1120.55,2.625932623,15.67000475
110,2.13,260533.0,1700.6,1.38249051,14.15764357
111,0.66,276688.0,1609.03,0.814417575,15.72381077
112,0.23,131256.0,1284.53,2.954418202,16.85863046
113,0.58,124111.0,2993.3,6.332321113,17.81330309
114,1.44,270454.0,2555.92,0.622526521,15.1827489
115,1.53,172784.0,1835.42,2.613905161,16.29477099
116,3.34,265169.0,2225.65,4.242205262,17.20878876
117,1.14,385983.0,1236.68,3.548643094,14.73740208
118,1.38,161648.0,2720.44,3.445979767,16.88934942
119,1.12,253945.0,3339.98,1.435447634,16.07965281
120,2.44,265040.0,1355.38,3.706783467,17.15311926
121,2.27,314068.0,1182.8,4.039116755,13.90712324
122,1.68,359178.0,2037.54,0.126334006,14.02750055
123,0.41,247131.0,3169.35,1.490139207,17.08834809
124,2.14,233867.0,2202.03,5.017124576,12.41183975
125,3.59,137319.0,961.17,5.291093444,15.49108632
126,1.67,135744.0,1399.69,5.444766006,15.89315095
127,0.9,321457.0,948.72,1.578252463,15.10150189
128,0.41,164975.0,1942.32,2.993162801,16.18474321
129,1.33,117311.0,4295.06,0.273182321,12.73760557
130,3.21,141761.0,1213.73,6.692616956,15.69548255
131,1.15,126806.0,2402.41,2.579802303,15.6917189
132,1.54,258148.0,2587.55,1.63435539,16.83381847
133,1.29,235577.0,1729.12,6.287811933,15.79301447
134,1.99,143915.0,1057.48,3.623782335,15.34664226
135,2.4,372508.0,3580.96,2.901656574,16.2915482
136,1.6,339938.0,2173.95,2.927608981,12.3715031
137,1.21,137634.0,1852.46,2.096575714,14.81701991
138,1.04,187223.0,2072.88,1.141163907,16.85949642
139,0.39,247498.0,1561.97,2.670182061,16.12865864
140,1.0,138806.0,666.04,2.931747031,15.98530793
141,1.7,160192.0,729.38,1.126905851,15.29707537
142,1.84,125113.0,3090.65,5.305710285,14.01703467
143,1.56,373759.0,3195.49,1.816108932,13.54022318
144,1.03,260468.0,2623.9,6.554933853,17.31264616
145,2.04,251120.0,1076.61,5.891935707,16.37226368
146,2.38,384486.0,4303.98,4.485735679,14.33827067
147,1.17,270402.0,2549.97,1.247245787,11.82908323
148,1.01,128871.0,1158.83,4.50424463,14.28019632
149,1.07,229994.0,930.55,2.828992399,14.21716167
150,1.65,130431.0,911.75,1.461096791,17.27100611
151,2.21,375529.0,908.71,-0.326393035,16.14028385
152,1.48,354765.0,1767.74,0.735045396,13.93784842
153,1.03,245825.0,1311.8,1.464079111,15.12996014
154,1.72,144454.0,1079.57,2.555725536,16.28218875
155,2.0,346726.0,586.86,2.816965919,11.84584656
156,1.97,105566.0,2464.06,2.296819962,12.09616838
157,1.16,230409.0,1438.58,0.720611112,16.31038119
158,1.35,108367.0,1721.15,0.477210169,12.27258362
159,1.46,119816.0,4452.61,1.150687827,15.00330784
160,2.21,140759.0,714.6,4.412132094,14.98960459
161,1.32,157462.0,2180.51,2.398102919,13.37823111
162,1.3,360770.0,3893.46,5.330869933,16.46105213
163,0.42,130597.0,4277.38,4.286874482,15.42926673
164,2.41,356481.0,2049.37,3.367748317,15.04035907
165,0.45,366373.0,866.31,1.412421629,15.4489319
166,1.5,358444.0,1954.17,4.189702908,15.79822012
167,0.65,380381.0,1745.38,2.512208211,16.9931044
168,1.48,262942.0,1934.94,1.516100212,17.40085458
169,3.18,258275.0,821.61,2.382793268,17.07152239
170,1.5,365708.0,3929.98,2.579748093,13.82217096
171,1.82,344302.0,3389.86,2.459821398,12.47553834
172,2.02,376787.0,2212.66,1.170613056,15.65496859
173,0.83,399205.0,1147.04,2.968301869,13.68431167
174,1.45,348825.0,594.65,1.32190039,15.12427426
175,1.4,353662.0,1768.8,4.241848872,15.67805364
176,2.47,384514.0,1931.1,4.472834955,16.37537331
177,1.89,262896.0,1206.68,5.806108448,17.48189209
178,1.2,159170.0,2497.9,3.135454023,17.08121132
179,0.82,138921.0,1533.84,3.358078441,15.88944637
180,1.94,259985.0,3305.01,3.486322958,16.36765546
181,1.25,148547.0,1642.69,0.434495434,16.55054952
182,1.35,141081.0,586.86,1.312816687,17.36176232
183,1.81,128138.0,1304.7,1.923681209,15.63908374
184,1.12,137235.0,1208.57,5.954341014,13.86545906
185,2.81,256860.0,2205.53,3.394224773,15.60594512
186,1.1,134388.0,785.2,0.546560724,17.30739084
187,1.82,357422.0,1103.78,5.635277741,16.04444992
188,1.8,133744.0,2000.36,2.727653622,16.10114097
189,1.1,369866.0,995.2,0.210235014,15.85691749
190,1.59,112089.0,2952.47,3.401070659,15.60415349
191,1.23,145138.0,1903.9,4.713947121,17.59088372
192,1.5,267012.0,1605.31,0.300834671,17.10035502
193,1.61,186225.0,2329.51,0.929786855,15.44550373
194,1.61,270023.0,741.85,6.119937478,12.35686975
195,0.46,251427.0,1196.01,3.007771213,12.4461612
196,1.01,249967.0,2252.92,0.585562523,12.9119592
197,0.6,163454.0,1386.7,0.299200825,17.9143589
198,1.71,134230.0,748.3,1.252619077,15.63737049
199,1.06,135126.0,2181.79,1.026060024,15.93588734
200,0.46,142218.0,1388.67,3.910305561,16.20541205
201,1.25,230428.0,1789.3,4.832789824,15.82801482
202,2.36,363860.0,3102.03,4.013571657,15.78093824
203,0.59,127864.0,1876.56,6.424101648,16.49269439
204,2.22,243733.0,1223.8,5.620927525,17.49561565
205,1.54,151924.0,2231.22,6.720421728,14.52957927
206,1.08,128407.0,2185.9,0.190796007,11.82810137
207,0.57,241677.0,3564.26,3.468812298,15.22382964
208,2.31,372538.0,992.85,3.282379491,14.66376092
209,1.13,130088.0,2855.62,3.42471408,14.04343835
210,2.99,125756.0,586.86,2.806104107,15.1150072
211,1.76,363196.0,2007.66,5.684554002,14.89444467
212,0.93,128228.0,1685.85,2.910415294,16.17532382
213,1.51,266950.0,1340.16,1.029460444,15.74380461
214,0.63,120331.0,2023.54,6.064284481,15.72859234
215,2.44,158426.0,703.85,6.209257902,15.03133071
216,1.28,153424.0,1823.65,1.426552835,13.4296647
217,1.27,367182.0,1750.12,2.91001656,17.38145298
218,1.85,383267.0,2039.12,2.85235938,16.34628158
219,1.62,249824.0,779.48,3.041395806,13.14503751
220,1.48,362768.0,1753.07,0.288542532,15.64095441
221,0.63,291464.0,1729.75,4.077880709,13.56226145
222,1.38,369359.0,3791.18,3.463349857,16.10473504
223,0.95,347390.0,1858.16,3.150234471,15.35062409
224,2.39,132823.0,2858.11,2.584687254,15.55353061
225,1.77,114931.0,1969.08,3.706385317,16.50886244
226,0.5,363402.0,703.28,3.680944739,11.37747166
227,0.6,266074.0,1896.04,1.45335076,11.54424644
228,1.77,170180.0,1578.16,4.308481889,16.46809393
229,1.42,146226.0,760.33,3.465012643,13.48301166
230,1.51,280150.0,2261.51,4.429842289,18.00337671
231,0.8,115359.0,2975.48,1.690374963,15.87993668
232,2.11,252925.0,1804.33,3.52299392,16.03760022
233,0.66,247352.0,1945.13,3.260834126,16.51038503
234,0.79,244312.0,1787.09,1.632148673,16.89474044
235,0.48,372036.0,1120.01,2.732743958,13.82283302
236,1.19,259819.0,1774.39,1.932021155,17.02403069
237,0.82,148400.0,3327.01,2.896837653,15.33892783
238,0.55,140965.0,2047.73,4.720828565,15.57703974
239,2.07,149418.0,2121.96,3.286132405,17.65568004
240,1.18,349877.0,2556.5,1.259695899,17.27036679
241,1.28,288460.0,2351.78,5.151127565,15.40347973
242,1.19,250985.0,826.37,0.623526764,16.4424327
243,0.61,151045.0,2770.57,2.73652532,13.75904716
244,1.22,242566.0,2596.0,0.163646964,18.01209789
245,1.55,240725.0,2398.8,2.639863899,15.28852899
246,2.93,349521.0,2714.55,3.6653515,13.01139082
247,1.54,127054.0,1092.58,1.298743109,13.85212906
248,1.09,252653.0,4388.05,0.499943932,15.05058375
249,0.48,128689.0,664.4,3.519993176,15.89716863
250,2.37,368585.0,1205.55,0.773682749,15.00269881
251,1.03,250086.0,2445.94,3.360348199,16.02012184
252,0.75,248699.0,3832.01,5.333496588,14.82722553
253,1.49,127993.0,788.87,4.10068228,16.10964865
254,0.74,145329.0,2568.87,1.602966472,15.39407667
255,1.62,247022.0,2716.08,3.76911365,12.72598682
256,1.66,375601.0,1353.99,3.376269439,12.14924795
257,1.57,149527.0,2063.23,2.004996168,16.6192981
258,0.78,162244.0,1335.06,1.209607679,13.48772186
259,1.87,128912.0,906.9,0.844695196,16.61468976
260,2.26,332789.0,832.17,2.181015629,15.00668415
261,1.24,142648.0,1609.99,2.124359737,15.29339191
262,0.51,129056.0,1806.92,4.848487183,15.58115236
263,1.28,138331.0,974.83,1.313158577,16.38382125
264,0.85,254769.0,958.85,1.529006756,15.79973263
265,1.39,179445.0,817.07,5.797965652,15.59235096
266,1.48,165923.0,4029.02,3.025090121,13.39669731
267,1.66,136332.0,2340.37,5.570626197,14.15883823
268,0.7,149437.0,867.43,2.498847189,15.26582359
269,1.14,133499.0,2350.63,3.867339902,13.95398359
270,1.1,155300.0,989.66,4.309471517,14.93876104
271,1.95,367207.0,1642.19,2.10814562,12.27111726
272,1.8,133587.0,1671.23,4.347502337,15.99182119
273,2.34,233101.0,2295.82,0.556606151,12.90424691
274,0.74,248295.0,586.86,2.855378009,15.02698086
275,1.63,140863.0,952.59,0.689460561,15.79306944
276,1.61,144587.0,1766.61,6.710972952,16.67318623
277,1.87,265244.0,1131.12,2.968241024,15.71167026
278,1.88,135464.0,3189.52,3.348803345,13.51827175
279,1.0,167275.0,4345.64,1.163631918,15.96882207
280,1.67,356411.0,1447.33,0.850657293,16.33222481
281,0.63,154024.0,3311.47,3.706826954,14.12585717
282,1.59,346022.0,1777.56,4.782856639,14.32840423
283,1.69,172259.0,3406.84,1.932715275,15.23722092
284,1.16,130784.0,2810.53,4.027103722,16.3224178
285,0.43,274515.0,1984.6,2.641278266,16.11012773
286,1.34,272910.0,2942.78,-0.326393035,16.799668
287,1.69,152681.0,2486.99,5.892762183,15.47877059
288,2.15,163784.0,1942.54,4.075004244,15.61117504
289,0.5,359678.0,1735.44,4.484233863,15.40947097
290,0.37,250196.0,1624.19,2.273406161,13.4520653
291,1.75,245978.0,2253.24,1.965100191,13.02346115
292,2.95,135068.0,982.43,2.603712393,16.00479328
293,2.69,116779.0,893.06,2.583021344,15.9191164
294,1.19,354416.0,1014.63,2.940410734,15.70615051
295,1.92,153125.0,1436.94,2.677037171,12.55175008
296,0.81,146258.0,1288.19,2.806043415,15.74761748
297,0.66,169441.0,1091.84,3.749629454,15.7196067
298,0.49,365174.0,1010.67,5.267630907,15.06296923
299,0.54,140991.0,642.23,2.079556195,17.32473242
300,1.29,153707.0,1949.54,6.011463965,17.09157606
301,1.03,147411.0,3158.77,4.011315471,15.08424932
302,1.36,282620.0,2755.02,2.574064997,13.50715279
303,2.51,235003.0,2030.73,0.545810058,17.14349101
304,1.91,118208.0,1639.75,3.395857887,17.51301844
305,1.45,131421.0,3373.69,0.844053814,15.23140969
306,1.66,124202.0,669.68,3.004857361,16.98212592
307,2.11,170448.0,1972.99,3.348026198,16.28218741
308,1.38,102638.0,1096.58,2.413028906,15.7022872
309,1.43,360112.0,2353.62,0.845237466,17.23011531
310,1.18,171255.0,677.19,3.030154317,17.35983129
311,1.24,371940.0,2375.98,4.230505712,15.55480283
312,1.34,363523.0,620.43,4.357996673,17.48742643
313,0.59,221058.0,2146.78,1.365264237,16.90074444
314,0.53,436468.0,825.66,3.234314995,15.88624874
315,0.65,254153.0,1728.79,1.184533009,18.22523589
316,1.15,241055.0,1157.09,1.940867313,17.11236717
317,1.47,138385.0,1549.61,2.629876086,17.68647048
318,1.41,157395.0,1094.66,1.799281637,17.51796002
319,1.45,148113.0,3184.46,0.794796036,17.24075243
320,0.68,353738.0,1975.26,2.714763591,15.71829768
321,1.53,148893.0,1436.12,1.311879027,15.97353283
322,2.19,122184.0,1037.57,3.952631586,15.58820302
323,1.73,373905.0,3193.86,-0.217449734,16.41215119
324,0.48,363935.0,2033.93,2.755317473,13.86397931
325,2.38,269694.0,1824.6,5.515733007,15.83536947
326,1.1,114926.0,1202.78,1.481620378,17.43143471
327,3.94,261310.0,1845.36,1.967824551,16.83288914
328,2.55,359933.0,1410.69,1.032142062,17.49622064
329,0.51,139751.0,1822.56,4.158139743,17.59829932
330,2.33,255293.0,1474.02,0.9135256,16.26626287
331,1.65,381010.0,708.21,4.651453585,16.37820943
332,2.26,389365.0,695.84,2.489026688,16.12421938
333,2.42,259228.0,2354.56,2.243798007,15.33270766
334,1.34,341687.0,1725.5,2.324749708,14.46478878
335,0.61,283387.0,1891.7,3.94952292,17.0586337
336,0.8,361455.0,2180.65,1.0534708,17.413515
337,0.62,156982.0,3015.66,2.871308537,16.25688334
338,1.81,170554.0,1722.4,0.527621632,14.46292234
339,1.81,269516.0,2599.01,5.464077837,13.77000253
340,0.83,152617.0,705.79,1.632972023,12.45095216
341,2.39,389515.0,2279.16,6.688843224,16.41059108
342,0.37,139536.0,2632.4,2.083916078,15.77367655
343,1.61,154477.0,752.64,5.679686355,14.89618328
344,2.15,146013.0,2961.6,5.223031569,16.136355
345,1.44,237660.0,3219.85,0.874457316,15.69319241
346,0.61,400689.0,1924.82,3.953429695,15.72587561
347,0.99,124782.0,1933.53,1.265028187,15.55693714
348,1.11,245678.0,1208.9,1.769492237,15.57510778
349,1.66,241355.0,2605.43,3.693811848,17.58205125
350,1.78,136195.0,1817.45,4.56141679,15.33538762
351,1.27,244047.0,1817.84,2.704979899,13.93830866
352,1.1,145168.0,2851.57,4.207749884,14.76956784
353,1.86,262314.0,2576.14,-0.306619661,15.17272257
354,2.74,240344.0,1838.47,3.694365837,13.84295937
355,1.16,397191.0,1891.69,4.908678291,15.00977875
356,0.69,143026.0,2874.13,4.098805499,17.25285219
357,0.42,129930.0,2448.89,0.903953896,14.48040087
358,1.12,371321.0,3388.17,1.185195285,16.07395333
359,2.61,248188.0,1027.9,1.633374519,15.06911186
360,0.84,152576.0,2156.9,6.169065,16.73913869
361,1.64,164144.0,695.52,0.76474811,16.71223463
362,1.26,122086.0,1891.74,2.394008084,16.42123238
363,0.81,114513.0,1972.87,3.976336697,17.48362819
364,2.11,269528.0,2902.55,2.317230922,15.28684765
365,0.63,121697.0,4469.47,3.756759067,17.52950347
366,1.95,242445.0,2305.07,6.071122766,15.2199381
367,1.74,244193.0,3830.91,2.637369124,16.35059607
368,0.72,263566.0,1028.62,0.185544309,16.69945805
369,1.09,133770.0,1105.15,1.381581626,11.54628294
370,1.45,160157.0,1149.38,5.698221653,15.5397984
371,2.48,201978.0,1428.27,2.93379226,13.95670994
372,1.73,268696.0,2453.08,5.910772874,13.27789519
373,1.58,238674.0,2597.27,5.328078803,15.64744013
374,0.54,246488.0,2651.46,1.406849651,14.9661538
375,1.13,241554.0,1769.14,0.322257737,14.61837186
376,1.45,129937.0,1023.79,2.543611375,12.93018318
377,1.18,133702.0,3786.02,1.284685628,15.8141994
378,0.72,157019.0,748.22,4.574986369,13.3329401
379,1.63,149987.0,1903.21,6.981421276,15.9702098
380,0.7,118807.0,3309.78,1.385368609,17.73978312
381,2.45,259040.0,1068.86,2.014226838,11.51254982
382,1.49,384036.0,4331.99,3.861040501,15.65506912
383,2.76,153758.0,623.91,2.498746767,15.86272604
384,1.62,249161.0,947.38,0.653103872,17.39647957
385,2.36,358758.0,746.44,5.980399708,15.80758972
386,1.33,350766.0,2747.26,2.885353834,13.63566012
387,0.55,276792.0,817.75,3.458938625,13.86805518
388,1.28,300312.0,3446.06,0.899162013,15.3056927
389,0.89,144526.0,1842.57,5.953472207,14.29793809
390,0.72,186456.0,981.3,1.532187246,13.56408797
391,0.68,361229.0,634.35,1.555630875,12.47566104
392,0.57,154814.0,1834.46,4.177121653,15.58334836
393,2.0,115072.0,3778.28,0.759694291,15.44789918
394,0.78,138059.0,1104.57,1.602226438,13.55528362
395,0.65,293132.0,1992.9,3.445632049,17.85897203
396,0.38,146809.0,3389.25,5.737789357,18.69652609
397,0.38,152757.0,3016.57,1.336572952,17.26663858
398,1.49,350188.0,3244.69,2.342230446,11.2583727
399,2.67,150456.0,3719.81,0.073595707,17.73347215
400,1.55,264938.0,2018.56,6.262108402,17.0447765
401,1.75,230653.0,1923.93,6.607454859,17.53365526
402,0.69,324393.0,3509.17,2.457777617,13.26929168
403,2.58,146739.0,1013.62,2.211097204,16.51678627
404,1.01,139343.0,2042.92,2.841362991,17.17556232
405,0.73,361924.0,958.26,5.26513735,16.31775838
406,1.42,122467.0,938.34,2.694872061,18.80783369
407,2.1,157226.0,2404.72,3.963187121,13.61972286
408,1.09,121183.0,803.93,2.773223978,17.00085954
409,1.16,391286.0,1970.41,1.60916403,12.65730354
410,1.48,138288.0,1909.07,1.439712357,15.08781991
411,2.43,138331.0,2030.71,1.095083931,11.8525562
412,1.58,327818.0,1944.18,1.0785301,16.41101902
413,2.4,258093.0,1931.29,4.105761465,16.51067328
414,0.72,357648.0,3023.51,0.083634836,16.33166517
