,Yield (tons/acre),Time Since Sown (Days),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,2.47,1062,245505.0,2831.55,0.199958657,11.6075275
1,1.43,1139,374427.0,2855.39,1.11743131,17.56095071
2,1.28,433,137045.0,757.97,3.716272857,16.5341775
3,1.53,1109,380499.0,3135.85,0.389613078,11.46042963
4,1.46,432,138972.0,2229.62,3.030347777,15.91616647
5,1.34,1127,469473.0,3207.8,5.2855077,15.46068901
6,1.19,828,330637.0,2371.98,1.987248639,18.72269818
7,2.41,567,395202.0,1216.29,1.965050382,13.51672293
8,1.69,464,273847.0,2160.78,2.342738263,16.69357829
9,1.43,661,149480.0,2694.25,5.136113457,15.35921708
10,1.73,1167,125718.0,1881.3,7.101725894,14.18314227
11,1.77,520,257259.0,760.73,7.650142373,16.37753756
12,1.09,407,354085.0,692.96,1.851479754,15.93300947
13,1.86,470,274631.0,737.78,1.476336402,16.90696754
14,1.6,1119,159758.0,1528.32,6.848128564,13.49271744
15,1.16,1143,160379.0,1947.35,3.964139688,16.94229719
16,0.97,431,376146.0,764.01,3.826750117,13.56529772
17,0.86,790,270214.0,2414.9,6.299086506,17.87512115
18,1.76,794,347979.0,1953.71,1.219653718,15.59184967
19,1.6,447,158352.0,2165.54,1.897620417,15.78480699
20,1.5,1215,396558.0,1798.02,5.588122559,17.33544309
21,2.34,806,121140.0,1865.48,0.614151804,15.51159691
22,1.78,1119,374372.0,1768.86,1.093100517,12.30219577
23,1.61,310,139521.0,1963.91,2.29016784,19.39730309
24,1.52,1175,350647.0,1361.94,4.500137042,16.73765443
25,2.06,1170,283552.0,3429.48,7.120770141,15.67029561
26,2.31,1091,266034.0,2177.1,0.981039519,16.23081292
27,1.93,390,433846.0,2763.29,7.146060304,17.60405422
28,1.08,1306,153754.0,1475.06,2.730974346,12.85771921
29,1.2,793,260774.0,2064.4,5.023449163,17.17106548
30,1.07,1166,369811.0,2326.33,5.211281944,14.22889517
31,1.13,1139,148226.0,689.6,2.145548735,15.31588758
32,2.21,793,267964.0,2754.69,1.472793733,16.78152949
33,1.13,1172,156470.0,758.08,1.236942286,17.87799047
34,1.59,406,137355.0,586.86,3.847569054,16.26284451
35,2.32,1107,153861.0,586.86,4.33998818,16.98611315
36,1.14,605,153643.0,1962.27,1.721170152,12.58984733
37,1.28,418,125261.0,1943.05,7.104737984,17.07795842
