,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,1.73,389334.0,600.12,1.883071881,16.17992759
1,1.38,285375.0,621.59,2.264122342,16.49873163
2,1.43,358499.0,1888.55,2.506838458,14.84131144
3,2.78,241294.0,1224.46,1.359287182,14.89439823
4,1.46,153044.0,911.29,2.906836451,14.64309351
5,2.03,146755.0,1850.46,1.058659916,14.71163967
6,1.1,344926.0,1741.27,0.862861572,15.6167868
7,1.13,367777.0,1718.07,3.90045304,13.93057619
8,2.54,119216.0,1834.71,2.799054024,15.51276587
9,2.42,251060.0,1906.56,1.724241315,15.65877329
10,2.32,138246.0,1961.03,3.090997905,17.02051577
11,1.58,252203.0,2156.26,1.556954979,13.68878407
12,1.41,269727.0,2197.77,1.705612913,16.54535402
13,1.42,243781.0,2170.25,2.784868316,13.43290921
14,1.94,386824.0,1643.59,2.734985179,16.73208053
15,2.29,250357.0,2282.66,1.582355024,13.66375411
16,0.18,386466.0,2739.8,1.065013897,15.38200576
17,1.21,132407.0,2164.57,1.30902641,15.37871583
18,1.44,272935.0,1863.31,1.322040579,15.98583169
19,1.62,246616.0,2577.93,2.351779843,15.66051692
20,2.45,261525.0,827.4,1.775082585,15.24481205
21,1.35,148932.0,1987.67,2.119314931,17.21060809
22,1.09,387466.0,1889.19,2.489269371,17.47051979
23,1.52,363318.0,1117.18,3.03393466,13.37462486
24,1.51,145390.0,790.07,3.803356754,13.19620121
25,1.58,368980.0,1276.28,4.679126965,15.49532307
26,1.62,148262.0,2065.68,3.035898144,16.0882498
27,1.07,154390.0,1973.94,2.879920913,15.99953197
28,1.9,360229.0,2367.34,1.54876276,15.62402208
29,1.46,160052.0,624.1,0.871859146,15.25708283
30,1.77,245239.0,1861.55,2.306445727,16.38616461
31,1.85,251085.0,2441.63,1.593802995,17.40604895
32,1.79,385377.0,906.99,3.060185056,15.52057453
33,3.06,122348.0,1836.26,0.304929189,13.77884963
34,2.84,114947.0,2017.83,1.563631837,14.81402739
35,0.36,268400.0,1949.63,3.119077685,13.60321159
36,2.05,147000.0,1868.57,3.092822647,16.42408694
37,1.96,235040.0,2173.66,2.984472058,12.00782086
38,2.87,233220.0,802.69,1.497105233,15.19340965
39,0.93,271657.0,2475.05,2.096184264,15.68371548
40,2.23,250596.0,1991.64,3.089884379,16.19203477
