,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,1.41,355055.0,1835.2,0.804439932,13.07430316
1,1.7,374539.0,3194.92,4.47562515,16.55265785
2,2.02,141784.0,914.71,3.916772242,15.62118427
3,1.44,123586.0,1501.64,7.002314802,17.00960942
4,0.57,261599.0,1140.18,2.537617581,15.99520847
5,2.01,385374.0,3120.72,3.983842345,15.42412321
6,1.93,149493.0,1038.0,3.903790172,16.25291785
7,2.55,121349.0,1265.23,5.180333093,16.67477699
8,1.81,342902.0,1916.58,3.016211242,13.31226983
9,0.68,153174.0,666.94,2.048379472,14.11282401
10,1.27,376528.0,2480.06,3.232351877,16.16172323
11,0.67,381288.0,1916.8,1.262276675,13.57450355
12,3.8,372281.0,3901.71,3.004800068,14.81144419
13,2.07,244092.0,1854.41,2.583802252,15.87891419
14,0.91,388603.0,3272.71,1.697160086,12.67093061
15,0.75,142210.0,1560.4,1.40311554,13.5006673
16,1.63,249574.0,1022.02,1.705082838,13.43902659
17,1.14,374444.0,2183.24,3.37626948,15.84008394
18,0.73,156631.0,1050.02,4.084457435,16.91187087
19,0.83,384767.0,2519.29,2.522043293,13.33200156
20,0.62,390549.0,1686.44,0.667714326,12.26017975
21,2.68,121592.0,1428.79,4.16804649,15.83408097
22,2.19,236732.0,1550.14,1.671836555,15.45381338
23,1.74,118784.0,1980.29,5.580920577,16.83756895
24,0.92,389961.0,3873.0,6.751819385,17.23480827
25,0.47,391800.0,1882.73,1.81838149,11.82523211
26,1.96,363284.0,3532.0,4.817485209,16.8559352
27,1.48,129747.0,1142.55,5.368856664,16.76372875
28,2.03,136441.0,1368.81,7.307084945,18.13851166
29,1.9,137956.0,1424.66,2.772622665,15.66041394
30,1.35,372782.0,2225.05,3.553954443,15.90661477
31,1.65,138786.0,1255.44,0.939361057,13.52465195
32,1.44,363830.0,1943.19,3.185293354,14.36396491
33,1.77,249736.0,1377.81,1.322463654,13.38591568
34,1.06,370664.0,4786.45,5.806663479,16.84141719
35,1.1,260103.0,1763.93,2.227728877,15.61949587
36,1.39,138424.0,741.33,3.08447066,15.04667533
37,1.49,151920.0,965.16,1.420030944,13.65263184
38,1.01,142897.0,1532.82,4.340517723,16.38420563
39,1.07,165068.0,1763.75,6.63204529,17.71867631
40,0.71,251657.0,1604.67,2.191626757,13.84970123
41,1.75,238475.0,2062.8,4.300230145,15.70254817
42,2.82,247083.0,1681.14,1.986043139,14.58363421
43,2.28,122023.0,1063.95,4.979697907,15.61412697
44,1.22,387063.0,2008.69,3.598692836,16.48206148
45,1.93,408438.0,2610.29,3.787905318,15.72739152
46,1.65,136915.0,1622.66,6.209448451,16.9375032
47,1.11,147497.0,715.78,1.60210949,14.88425212
48,1.51,372360.0,2133.44,1.845808956,15.48914678
49,0.94,152610.0,1642.93,4.722488624,16.69016346
50,1.54,258342.0,1867.02,3.972448977,16.44548944
51,1.79,255762.0,1770.05,5.700769909,16.48444193
52,1.45,364403.0,1619.61,1.576223352,14.09575642
53,1.55,139356.0,1438.36,5.693265643,16.87739088
54,1.82,132056.0,914.85,5.324916448,17.16697918
55,1.92,364525.0,1853.01,1.899122437,14.77325686
56,1.65,375762.0,4152.98,5.239023432,17.02400524
57,0.69,383949.0,2308.37,3.383604385,15.60046613
58,2.72,230987.0,2126.95,3.512183487,15.81082568
59,1.28,367133.0,3567.65,4.464291122,16.04709292
60,2.82,358647.0,2155.87,3.220291708,13.99153751
61,0.43,155821.0,610.56,1.754321377,14.71097755
62,1.94,237020.0,1226.35,1.296021988,13.26035771
63,1.85,450248.0,2590.83,3.880257469,16.1763388
64,2.21,343620.0,3140.29,5.715543627,16.31382673
65,2.96,429188.0,2406.01,2.069014655,15.57653547
66,1.38,132250.0,1040.68,2.462949681,15.76221121
67,2.16,133793.0,1084.58,4.341338987,16.5277168
68,1.39,148798.0,1926.65,6.899916716,17.35962243
69,2.05,119971.0,1358.31,0.762623243,12.9758144
70,0.96,253950.0,1742.43,2.833055118,13.61558954
71,0.73,144726.0,1270.26,4.316983223,17.81534867
72,0.81,170186.0,1276.26,4.049683566,16.994221
73,1.58,155360.0,1697.84,5.690058654,16.91207649
74,2.16,121002.0,703.59,3.520140982,16.9051709
75,0.95,422575.0,4560.69,4.876311746,16.27636859
76,0.83,369610.0,1979.49,0.714759897,12.82694528
77,0.87,265097.0,2485.68,5.782373244,15.93073283
78,2.01,121093.0,1556.13,3.436749268,14.75253061
79,0.96,375894.0,2217.09,0.980082723,13.74376558
80,1.53,246431.0,1790.39,2.826989886,14.57623756
81,2.07,354460.0,2369.57,2.542439677,15.53561568
82,1.12,384408.0,4228.02,5.54395178,16.80484459
83,2.25,364711.0,2113.45,2.060145847,15.00709277
84,1.92,372414.0,3633.28,4.381893834,16.47696909
85,0.35,418335.0,2255.19,2.305316608,12.80876854
86,0.91,250065.0,2094.61,5.177470995,16.28310934
87,2.26,240497.0,1923.98,5.660651782,16.63128428
88,1.51,140620.0,1576.29,4.435286674,16.5791551
89,2.49,357985.0,1932.52,2.010636769,13.96450494
90,1.17,373960.0,2641.22,4.22380959,15.77583935
91,1.24,154979.0,818.83,4.237026546,16.39341483
92,1.51,250329.0,3585.76,6.056553936,16.60158316
93,1.79,139781.0,1000.39,3.896573305,15.60380298
94,1.84,246289.0,2586.4,6.933343082,18.12837132
95,1.01,148087.0,890.53,2.506047677,15.11842076
96,1.79,351640.0,1924.14,3.069585894,15.88743345
97,2.37,345684.0,3541.97,4.504653921,15.68269562
98,1.4,377952.0,1796.22,0.796494617,12.96759447
99,1.91,260793.0,2051.21,6.435382825,17.56690304
100,1.77,123620.0,685.67,1.957175993,12.90831009
101,0.83,159646.0,1345.54,6.153436087,16.42805144
102,2.08,351521.0,1543.86,1.310983557,13.38003371
103,1.77,147812.0,1933.81,5.765721744,17.43789224
104,1.19,371084.0,1985.9,2.243571182,13.65699707
105,1.36,247272.0,3355.92,5.832918606,17.25022717
106,1.82,254134.0,1844.68,2.700171768,14.53587819
107,1.12,266896.0,1760.85,1.608734586,13.82757707
108,2.23,347803.0,1844.62,3.494680807,15.27092591
109,0.9,268106.0,3171.03,5.637583227,17.09492627
110,1.08,379828.0,4344.55,6.242435388,16.82733203
111,1.62,361854.0,4157.58,4.962809984,16.62617533
112,0.56,365257.0,1932.79,1.907619148,13.12966727
113,4.18,136663.0,1301.07,2.857910437,15.11448639
114,1.81,138341.0,1014.87,5.893148961,18.47550131
115,1.59,153379.0,1371.77,6.103153052,17.77243402
116,1.2,266467.0,1845.86,2.373807028,15.79586268
117,1.69,257254.0,2362.91,5.967976287,16.41859904
118,1.83,120550.0,1515.88,3.196462977,15.63801661
119,1.07,264312.0,2403.56,6.204290982,18.1317451
120,0.5,168917.0,702.47,2.867766753,15.39507534
121,1.0,247986.0,1742.9,0.8486475,13.87023594
122,0.66,152063.0,1079.61,5.013546346,17.24629496
123,0.75,458318.0,3572.1,2.346524145,14.93106145
124,2.82,132699.0,876.2,5.055348364,16.53262434
125,1.18,360520.0,1849.25,1.276395478,12.30664558
126,1.51,260898.0,1571.1,4.032387552,16.31947656
127,3.58,362110.0,2497.6,1.631512949,13.84244436
128,1.83,253812.0,1157.17,1.692935665,13.71808941
129,2.93,258178.0,2085.97,5.334195821,16.71300767
130,2.74,119662.0,747.22,2.217866992,14.76148237
131,2.63,116461.0,1282.93,3.714379162,16.73529889
132,2.53,253867.0,3049.47,3.789041638,16.08310967
133,0.92,381648.0,1954.44,2.146329276,14.81221517
134,1.65,257000.0,1665.96,1.889995772,13.61373942
135,0.41,469473.0,4846.76,5.802460139,16.98019144
136,2.98,351793.0,2295.77,2.085043432,15.25454296
137,1.46,122916.0,1320.44,6.223338942,17.17281773
138,1.41,253642.0,2334.97,7.236949099,18.18054982
139,1.85,361457.0,1845.63,2.183735046,15.2329898
140,1.58,156528.0,1149.49,3.518510968,15.96718002
141,1.45,259141.0,2297.66,4.084431938,16.0703104
142,0.8,382205.0,3816.68,3.701016454,15.82684914
143,1.44,143872.0,1477.71,3.078952696,15.25918621
144,2.5,131056.0,1162.16,3.04120411,15.3777019
145,1.65,354456.0,2055.79,0.455169459,12.15513458
146,0.45,383103.0,2346.01,3.441407639,16.17953139
147,0.62,256519.0,2042.27,4.404760676,16.76022551
148,1.58,124207.0,1429.78,0.389442765,12.63682562
149,2.42,129500.0,1374.04,3.079021221,15.45494411
150,0.82,389508.0,4117.6,4.899554688,16.57761791
151,1.0,250916.0,2091.68,6.473606786,17.50659098
152,0.89,379343.0,4799.51,5.983624232,17.29034403
153,0.77,158908.0,762.1,4.582057362,17.22502963
154,1.74,135703.0,1759.8,6.337476894,16.11541771
155,1.24,152228.0,1149.3,3.208220988,16.45493652
156,0.51,138986.0,785.68,3.479134762,16.85544897
157,0.92,131357.0,1442.55,3.088329438,15.7072957
158,2.48,128594.0,684.01,6.324480007,17.45527922
159,0.86,383227.0,1962.61,2.148946883,14.98299135
160,1.17,346768.0,1815.87,3.285869147,15.37461567
161,1.73,133414.0,831.29,2.140908672,15.79674005
162,0.91,429901.0,2547.88,3.395525711,15.50445921
163,1.19,250908.0,2707.72,5.609121562,17.18167233
164,2.39,132064.0,814.0,2.932172265,15.47991242
165,1.65,136650.0,857.39,4.149424735,15.86446562
166,2.31,114763.0,968.22,4.442254683,16.97414002
167,1.11,418475.0,3147.86,2.829423086,14.81646392
168,1.97,232091.0,2355.89,4.196111076,16.39712876
169,0.76,133189.0,1401.06,3.333162476,15.71341583
170,0.43,375667.0,1864.88,2.291503916,13.63535157
171,1.62,265271.0,1767.66,2.110132349,15.27374428
172,0.38,399214.0,3500.04,3.907983764,15.90268864
173,1.92,371999.0,2858.51,5.367895772,16.34459889
174,3.78,375681.0,2149.12,2.327749491,14.8776158
175,1.97,124792.0,926.64,3.854880327,16.13280786
176,1.46,374148.0,2392.1,2.954570881,16.0064029
177,2.72,359296.0,1957.32,1.316605443,15.1524747
178,1.04,469473.0,4663.96,4.91830774,16.11495603
179,1.69,143872.0,914.87,3.295401922,15.61398723
180,1.57,360218.0,2063.62,1.909930003,12.1760125
181,0.74,146401.0,795.41,4.4436607,16.5846314
182,1.24,236592.0,3016.54,5.413263104,17.08818567
183,1.0,367804.0,4552.01,5.67276187,17.06255313
184,1.0,269148.0,1739.63,3.679373911,15.85713255
185,0.98,377825.0,1879.42,1.528829126,13.30068355
186,1.03,145959.0,1063.3,4.1021885,16.71391708
187,1.27,266763.0,1273.36,4.844116062,16.34613446
188,2.02,135407.0,1538.97,3.24529608,14.29487659
189,1.66,145817.0,887.33,4.359835554,16.54553795
190,2.59,248297.0,1591.62,2.197753764,13.91321966
191,2.41,359971.0,2002.73,2.997311888,15.88974348
192,0.77,134997.0,1074.25,1.541919649,13.39707677
193,1.49,143842.0,853.16,2.931483824,15.150046
194,1.57,364319.0,2304.7,1.724040171,13.36471546
195,1.69,243060.0,1469.79,1.141478159,14.05331965
196,0.81,258000.0,1765.72,5.39543455,16.34550429
197,1.27,147048.0,1192.91,5.510852678,16.64522977
198,1.99,367549.0,1871.01,1.193194239,13.70592274
199,2.32,137830.0,1638.39,5.976545022,16.56136458
200,0.35,432259.0,2474.14,2.930461833,15.27625385
201,0.66,464168.0,4031.33,3.65096363,16.13333886
202,3.09,142658.0,833.89,3.752115473,16.84524408
203,1.84,252023.0,1861.63,4.510293072,15.49528092
204,1.05,253549.0,1690.99,1.34844395,13.08074494
205,1.93,356251.0,4260.0,5.464981744,16.43069961
206,1.58,166486.0,1727.18,6.61098819,17.39082593
207,0.86,357686.0,1862.46,1.458226116,12.34093831
208,1.6,258676.0,1821.8,4.670772691,15.89466488
209,2.14,247129.0,1613.33,3.518753035,15.64747672
210,0.64,416333.0,2065.28,1.912274874,13.78167364
211,0.84,369790.0,2525.26,3.983538289,16.31553747
212,0.63,131373.0,1186.3,2.303114503,13.21501747
213,1.11,373897.0,2361.41,3.923271457,16.10293416
214,0.79,135158.0,1366.14,4.165698574,17.99949961
215,1.89,225213.0,2398.26,4.795223706,16.41838663
216,2.57,339225.0,1989.79,3.584110593,15.06685444
217,1.87,369820.0,2626.31,4.33041406,15.69268517
218,1.32,274490.0,2155.62,4.795496661,16.52205502
219,2.51,136441.0,1026.0,5.509322811,16.39003594
220,3.28,126142.0,766.6,3.485546732,16.37483115
221,1.22,251385.0,2604.2,6.005219206,17.59343031
222,0.79,350863.0,2104.87,1.956064184,14.15356457
223,2.28,406498.0,2438.07,2.454042359,15.70653954
224,2.41,139071.0,1427.36,3.106209302,15.45429539
225,1.01,150596.0,928.07,2.975449961,15.63361518
226,1.13,258629.0,1951.47,5.072093699,16.8977713
227,0.45,130963.0,1357.86,7.375042147,18.10264244
228,1.04,365669.0,1908.83,1.433401969,13.16552702
229,0.84,149237.0,802.73,4.348947152,17.07065007
230,1.14,135366.0,1529.36,2.978169766,14.65733327
231,1.25,369669.0,1989.64,1.828486686,13.65331917
232,2.47,140780.0,1368.18,2.912185394,16.19015367
233,1.81,252250.0,1780.99,1.045254548,13.60660944
234,0.55,426736.0,3560.48,2.297754463,13.68868606
235,0.83,397682.0,2650.51,3.366864985,15.92804382
236,0.45,172277.0,715.04,3.832045122,17.57986334
237,0.74,280465.0,1860.55,2.875236657,15.35452785
238,1.35,370177.0,1846.7,2.085415089,13.03203297
239,1.98,237261.0,1448.27,2.499874906,14.79869865
240,1.77,242678.0,1273.57,0.463055063,12.22801041
241,0.95,273138.0,1261.84,2.243933205,15.42075872
242,0.67,136691.0,1077.03,1.714875283,14.05095257
243,1.22,265279.0,1763.49,3.775676224,15.80341267
244,1.48,132811.0,1187.82,1.670024454,15.43228767
245,1.16,365292.0,3456.22,4.981655585,17.07171008
246,0.78,154171.0,1538.86,7.489476271,18.44059117
247,1.0,381175.0,4649.13,5.358205099,16.86699865
248,0.79,427016.0,3895.39,3.328104808,15.64994234
249,1.73,263734.0,1968.56,2.506547829,14.36258971
250,0.82,271819.0,1167.36,4.175243552,15.56393665
251,1.82,249022.0,1214.59,2.283565263,14.27807804
252,1.81,134527.0,1661.69,6.047250682,17.29192677
253,1.75,261978.0,1402.07,1.292516084,13.31648093
254,2.02,157416.0,1772.23,7.29768211,17.3625804
255,1.78,247089.0,2551.6,5.641645288,16.50771611
256,1.02,258002.0,2245.93,6.466255164,17.95039636
257,2.33,237526.0,1550.63,1.668631817,13.57075311
258,0.97,271224.0,1753.18,2.912946029,15.60693141
259,0.95,384878.0,2552.77,3.264970955,15.41186203
260,0.98,155090.0,1399.81,1.368364042,13.58926109
261,1.29,380738.0,4077.55,3.616559172,15.65381414
262,4.15,430181.0,2758.21,1.547353442,15.24437604
263,2.55,113694.0,915.78,2.590190827,15.31838555
264,1.07,356872.0,1920.7,3.15034739,15.34906825
265,0.94,267631.0,1828.78,1.370673024,15.24736147
266,2.57,358698.0,2681.02,3.0985287,15.40549398
267,0.6,396238.0,2192.77,2.735982416,15.79284067
268,2.26,354230.0,2265.95,3.874214183,16.34050658
269,1.92,128597.0,1560.38,7.314104338,18.30967878
270,1.55,253460.0,1441.57,1.964239185,15.72669975
271,1.39,372409.0,2361.59,2.876563153,15.06167981
272,1.75,258750.0,1735.05,1.22749277,14.49164893
273,1.18,364077.0,2115.71,4.322570257,15.48549092
274,2.38,250300.0,1777.63,3.762400188,15.94102264
275,0.79,157263.0,790.49,4.207421636,17.39148543
276,0.78,174690.0,1712.11,4.23115871,15.36563424
277,1.18,137058.0,712.15,2.278412661,15.52214632
278,1.07,267839.0,1730.0,3.07208824,15.37995677
279,0.93,276713.0,1655.23,3.673095372,16.05615362
280,0.45,155410.0,1262.2,3.184252705,15.82943355
281,1.58,159999.0,853.18,2.02826386,15.06568738
282,2.9,362244.0,3895.48,4.478865623,15.71744732
