,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,1.48,253218.0,1430.45,2.267612463,14.88108099
1,1.29,251260.0,962.06,1.789997532,14.59334121
2,1.82,141001.0,1670.2,6.168920957,16.9577644
3,1.13,148142.0,966.54,6.678635433,17.40902665
4,0.85,279867.0,2138.88,2.629476971,13.68562247
5,0.51,254424.0,3426.89,7.648982483,17.95769705
6,0.63,264569.0,2095.02,3.156646614,15.59433292
7,2.05,246271.0,936.44,4.079287017,15.49548392
8,0.87,359432.0,3866.3,6.391355378,17.73393562
9,1.84,252815.0,1306.54,1.520863796,13.33750348
10,1.07,155535.0,2130.23,6.177227705,17.848391
11,2.33,147735.0,1059.86,5.357664488,16.42094965
12,0.87,360674.0,2086.4,2.99942525,15.33852928
13,1.03,135815.0,1661.8,6.790240161,18.5306221
14,1.93,129890.0,1635.44,5.677508978,17.01938279
15,1.37,225962.0,2408.61,5.744198931,16.78230266
16,1.39,263830.0,2712.34,6.981251195,18.1786634
17,2.09,361794.0,2268.49,2.268326684,13.95511975
18,1.9,265604.0,2443.71,6.123782778,17.08226624
19,1.11,258799.0,925.32,1.184427699,12.73120254
20,1.62,244209.0,1641.67,2.355809749,13.95567883
21,2.07,157266.0,2121.8,6.735871912,18.03992785
22,1.58,145297.0,2461.94,6.169753261,17.79518222
23,1.01,105717.0,728.28,3.978249026,16.25357894
24,1.54,382952.0,2923.87,5.305793792,16.16650962
25,0.45,275006.0,2782.5,3.868976921,16.80034614
26,2.06,249963.0,2153.04,5.276404695,16.65136479
27,0.64,368580.0,3001.08,6.178575469,16.83385903
28,1.05,157868.0,1660.36,7.646658665,18.97652664
29,0.43,370298.0,2426.09,1.339206547,13.37739555
30,1.31,156390.0,1645.03,6.727165838,18.48239576
31,1.23,263032.0,1660.56,2.174203085,14.33358338
32,0.42,365678.0,1974.37,1.669312074,13.12788977
33,1.6,369051.0,2363.88,3.378614898,15.35097223
34,2.07,237259.0,1626.2,1.670658804,13.38198219
35,1.07,373621.0,1430.86,0.932793966,12.90213853
36,0.52,357853.0,2555.46,1.460651624,13.51408721
37,1.52,254229.0,1572.18,2.829918843,15.06390042
38,1.69,246736.0,1707.12,5.247981554,14.66614276
39,1.37,257785.0,1624.99,1.701417034,13.65410087
40,2.5,239834.0,979.59,1.697757285,13.68481451
41,2.21,231234.0,1658.09,1.533073531,12.79321616
42,1.76,244780.0,1687.58,3.519409424,16.14621917
43,2.7,250352.0,1779.23,2.16012917,14.14365432
44,0.88,362990.0,2537.75,1.560192639,13.63291927
45,2.14,338412.0,1994.27,1.54230517,13.14102673
46,1.02,197611.0,918.55,7.633725979,17.89855
47,2.49,235029.0,1924.27,5.395230052,16.9952794
48,1.97,125521.0,1834.8,6.013494639,17.6970949
49,1.69,356598.0,2005.75,1.586080324,13.5475628
50,1.76,151410.0,1460.56,5.932106595,17.3432756
51,0.53,197783.0,1530.35,3.712873371,16.13515271
52,1.69,376601.0,2690.57,4.514987149,16.1385273
53,1.79,259703.0,1717.58,3.559448035,15.87931016
54,1.2,121179.0,1014.17,5.745201836,17.16747817
55,2.0,380155.0,3228.29,6.182340731,16.7191441
56,1.23,363622.0,2107.29,1.271652262,13.34757889
57,1.02,160335.0,955.97,5.631104542,16.65023761
58,1.11,260583.0,1781.59,5.647811472,16.63751476
59,1.13,274932.0,1837.58,2.389101849,15.56753881
60,0.81,167879.0,613.89,3.994802691,16.70222764
61,1.0,340215.0,3095.82,5.22122598,16.17229306
62,0.95,173490.0,784.77,4.473657513,16.07362197
63,0.95,147946.0,746.96,6.658710901,17.10492974
64,0.61,366309.0,2059.0,1.01443328,12.77123748
65,0.8,148239.0,752.33,1.5837287,13.88617702
66,1.75,258810.0,2401.64,6.4613607,17.67014391
67,1.31,135085.0,613.89,3.864628427,16.52484652
68,0.94,248977.0,2499.4,6.329715636,17.60085942
69,1.01,354257.0,3231.17,6.219007639,16.96009845
70,0.97,274901.0,1645.24,5.842590619,16.7574214
71,1.52,150941.0,1341.68,6.129693671,16.89895258
72,1.69,240007.0,1283.67,0.755428821,12.1596758
73,2.36,261249.0,1091.44,3.239340713,13.7621715
74,1.77,226563.0,2236.69,6.247285654,16.85712063
