,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,1.91,250449.0,1877.25,3.195245868,15.48676114
1,1.81,356449.0,1790.1,1.444009394,14.746942
2,1.12,358875.0,2038.01,1.522683848,14.01801716
3,1.1,149318.0,900.51,4.749443154,17.16143559
4,1.4,381904.0,2585.59,6.633445899,17.70698288
5,2.33,351037.0,2398.44,3.299966544,15.68833775
6,1.99,128544.0,680.49,2.427872537,14.34271179
7,2.12,104858.0,1681.92,0.925693027,13.13518223
8,1.02,383313.0,2199.85,3.290538324,15.91433438
9,0.96,159581.0,1283.69,4.398521374,17.68774735
10,0.54,375332.0,2372.74,5.275209397,16.77841851
11,1.02,366981.0,1993.27,2.257678992,14.41279933
12,1.78,247566.0,1612.26,2.236488613,13.19054545
13,1.33,254869.0,1447.06,2.296535441,14.05341197
14,1.0,260472.0,1675.02,1.200068847,13.69736945
15,2.13,340886.0,1861.41,0.816993893,12.39486083
16,0.48,168127.0,1550.26,3.15722328,16.45334874
17,0.83,141396.0,848.45,2.969466742,15.29375613
18,0.76,148290.0,1231.86,3.426262915,16.02473456
19,0.99,375159.0,2344.94,3.378558349,15.9421668
20,0.64,272632.0,1847.35,3.427820667,16.32469232
21,1.63,229108.0,2208.89,6.104227869,18.13798806
22,1.78,114936.0,1594.39,2.130937097,13.88064247
23,1.5,353452.0,2178.9,1.804626416,14.935406
24,1.75,243105.0,1610.12,1.604792587,13.76769552
25,2.45,358391.0,2416.05,2.164189908,15.70374785
26,1.7,249457.0,1851.87,3.896790549,15.87625776
27,2.07,233303.0,2423.05,5.638704121,16.4932196
28,2.09,247566.0,1792.47,3.558551167,15.96187953
29,1.92,254874.0,1286.41,2.62189746,15.63005048
30,0.55,386474.0,3627.1,6.331048821,17.02815596
31,1.77,248445.0,2168.93,6.173496851,17.06784022
32,1.73,131131.0,789.26,5.73098484,17.0782099
33,0.97,383268.0,2724.17,4.4306099,16.37207753
34,2.64,356473.0,2433.85,2.594249888,15.47966873
35,1.72,257346.0,1802.42,4.452115001,15.89507138
36,1.36,148267.0,1422.27,1.908530926,15.27941519
37,2.66,135620.0,1445.99,3.436936146,16.3371233
38,1.37,355118.0,2182.64,3.765849416,16.1998071
39,1.76,370735.0,2211.09,2.052794479,14.27604058
40,0.95,387756.0,2023.28,2.209186436,15.81957202
41,1.69,245759.0,1712.23,2.539410246,15.201201
42,1.3,374436.0,2163.56,3.02277971,14.00190886
43,1.04,369386.0,2186.69,2.241136964,15.49257494
44,0.35,262240.0,1246.6,1.309437701,13.41353689
45,1.21,372300.0,2188.91,1.502111803,13.61528166
46,0.71,155759.0,1126.4,6.355136519,17.47975715
47,2.48,345849.0,2385.83,6.262167556,16.89347309
48,3.11,366379.0,2307.18,2.294570696,15.37128082
49,1.98,143586.0,1624.92,6.112852441,18.05971347
50,1.14,149927.0,1285.89,3.48196184,16.32595593
51,1.25,256954.0,1171.44,2.943131905,15.86535413
