,Yield (tons/acre),Time Since Sown (Days),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,1.28,853,262677.0,1816.28,2.171059116,15.82931415
1,0.92,294,94674.0,1887.59,6.054164187,17.65529896
2,1.51,1142,368936.0,2086.33,2.984881373,15.48685877
3,1.6,750,347576.0,1582.89,1.715633412,15.42994784
4,0.9,1137,249861.0,3125.08,6.230087463,18.2826476
5,1.67,1139,367602.0,1843.92,3.140061321,15.28871763
6,2.28,358,138596.0,1062.68,6.486741551,17.25422438
7,0.26,1118,374374.0,4031.92,6.526642976,17.1431811
8,1.79,763,250339.0,2070.25,4.920382049,15.14742592
9,1.64,390,130948.0,1150.24,2.082482383,15.25469416
10,2.62,766,239482.0,1613.03,3.19989018,15.77418013
11,2.67,320,122593.0,837.83,3.816524118,16.35368591
12,1.2,1182,375294.0,2971.38,6.724368666,16.58324134
13,2.27,400,136915.0,1036.41,2.157011177,15.07558625
14,2.91,661,183204.0,1918.67,5.067656275,15.73085866
15,2.12,423,146984.0,1209.12,6.72853395,17.97911917
16,2.45,408,125091.0,1175.31,6.190022193,17.45443091
17,1.94,832,262046.0,2396.88,5.559711588,17.42199612
18,0.88,1159,276443.0,3349.39,6.527179174,17.29340104
19,1.23,1155,377098.0,2314.6,4.061162064,16.67144648
20,0.72,1202,386033.0,4691.33,3.926333974,16.3207073
21,2.21,1137,261641.0,3175.29,6.680455435,16.46141922
22,1.59,805,259691.0,2095.44,2.075842046,15.40210984
23,1.18,833,292646.0,3106.74,4.119907133,15.94418652
24,2.66,389,131749.0,1172.82,5.903126252,16.04484436
25,2.59,411,128721.0,946.32,7.234532063,17.70906999
26,3.55,1269,374823.0,2580.55,3.827660981,15.39107928
27,2.36,406,121868.0,1267.12,4.739493041,16.2786224
28,0.4,522,181661.0,999.21,4.193086866,17.48575521
29,1.62,777,255542.0,1469.64,2.86579127,14.98876117
30,2.45,333,100857.0,1311.26,5.852132904,16.90127756
31,1.67,475,144351.0,1814.08,5.788740031,17.33219359
32,4.07,1135,371066.0,3001.85,2.8646628,15.34362657
33,1.63,824,255759.0,2189.87,6.241583746,17.08281068
34,2.04,766,233549.0,1673.98,2.890956013,15.06946624
35,2.29,748,237108.0,2466.37,5.564385507,16.37796105
36,0.47,1282,403031.0,2486.86,4.405749291,16.05607518
37,0.98,1192,379330.0,4079.97,5.830225797,16.68181653
38,2.62,1155,377065.0,3705.53,5.553129739,16.62103367
39,1.56,423,123389.0,1371.62,4.531260425,16.07550334
40,3.21,356,111952.0,1025.79,2.821025215,15.67790391
41,1.62,433,132303.0,1162.42,4.00602427,15.6099178
42,2.55,407,141476.0,1233.72,6.36729946,17.03967895
43,1.73,451,133459.0,1009.03,3.190172556,15.82331456
44,1.94,745,231086.0,1848.18,2.454866607,15.32296457
45,0.98,866,399684.0,3318.29,6.185691624,17.40730215
46,3.49,1232,421193.0,3490.92,2.343909614,15.04492312
47,1.83,758,232530.0,1693.47,3.286866719,15.74322296
48,1.51,461,147616.0,858.05,6.362082342,17.31149108
49,0.65,890,281481.0,1823.47,3.513269501,16.24098823
50,2.01,407,137767.0,1002.61,6.905280091,17.52924584
51,1.77,425,147736.0,837.98,3.424411038,16.18941893
52,1.96,813,256914.0,2901.86,5.882292555,17.68626163
53,2.01,1147,359053.0,2385.83,3.072233872,15.70776341
54,2.42,786,239599.0,1302.73,1.52857406,14.05409141
55,1.88,448,146299.0,791.55,1.575275795,15.40589432
56,1.42,1123,237533.0,3483.55,6.24386842,16.94609153
57,2.58,788,239929.0,2897.0,5.811009684,16.38090281
58,1.68,1184,375394.0,2219.44,3.497939537,15.6634311
59,2.35,388,120960.0,1160.29,6.302823669,17.02528585
60,1.94,405,132854.0,802.78,2.52372439,15.40263419
61,2.77,708,220023.0,1394.98,2.777993719,15.33646841
62,2.42,802,251737.0,1999.01,2.907356608,15.36982332
63,1.37,1136,366301.0,1931.58,1.301278911,15.13336195
64,0.69,1342,355291.0,3840.41,6.250827947,16.4194033
65,1.52,441,137268.0,1503.73,6.942887416,18.36957149
66,1.43,815,130713.0,1243.77,5.561103108,16.43653986
67,2.52,1145,389710.0,2205.44,2.434571746,14.48500977
68,1.36,1143,346095.0,3204.86,5.038205995,16.72350969
69,1.03,1047,312566.0,4037.81,4.982817853,16.16551724
70,2.28,1096,346643.0,2857.17,4.780588989,15.77695609
71,2.0,1409,424182.0,4126.18,4.520732682,15.49667739
72,2.66,430,137930.0,607.08,2.533840357,14.9767006
73,1.83,825,250640.0,1253.82,3.502239262,15.35749761
74,1.8,814,264130.0,2496.63,5.577550812,16.56699047
75,2.32,275,117587.0,893.81,5.429160496,17.07341683
76,1.14,828,265714.0,2340.69,4.16648264,15.64459878
77,2.23,784,252715.0,2589.04,6.051503533,16.59275654
78,1.83,446,146308.0,1060.17,1.258453279,13.64649195
79,1.7,418,131162.0,1040.71,3.237235108,15.80540177
80,1.87,813,253494.0,2144.15,3.078076929,15.7504475
81,2.8,275,113686.0,808.81,5.436557576,15.57389723
82,0.91,1223,380350.0,2274.7,4.575913808,15.92267113
83,1.95,1129,359281.0,3156.71,4.397855829,15.8721822
84,2.51,1160,377457.0,1955.08,3.07001453,14.99829986
85,1.73,456,140322.0,1287.23,3.394687928,15.73043216
86,2.25,746,339171.0,1995.92,4.095409204,15.32001195
87,1.16,473,153653.0,1010.43,3.572791074,17.01512399
88,1.07,468,155215.0,1161.71,7.200835868,18.50913248
89,2.87,335,139535.0,911.53,1.757622174,13.70283897
90,2.41,365,122716.0,741.54,5.206169247,16.09631562
91,1.76,801,264644.0,1605.06,3.840465696,16.0576333
92,0.88,1114,387456.0,4913.72,4.815901907,16.25957833
93,2.17,407,121151.0,1056.19,2.427225851,14.84284674
94,0.98,859,260012.0,2232.92,6.405937946,17.6394837
95,1.23,800,252297.0,1995.52,5.813685132,16.48183647
96,2.17,380,130196.0,1346.75,4.002598663,15.46321772
97,2.8,700,218826.0,2245.87,3.5607118,15.13936484
98,2.34,377,122543.0,1168.18,2.573862064,15.14106325
99,2.5,407,131111.0,961.95,4.41891103,16.04450302
100,1.32,485,148758.0,1877.74,7.842246872,18.77575885
101,1.0,418,132760.0,839.76,3.058624352,15.37976231
102,1.59,773,249123.0,1787.24,2.838266566,15.30352135
103,0.98,750,217164.0,1720.63,6.362333231,16.74104691
104,2.66,299,128599.0,1018.74,5.10610844,16.18474966
105,0.96,829,265211.0,2193.24,3.809255024,16.200147
106,2.58,409,128925.0,1558.22,3.204385973,15.25525041
107,2.23,1123,352630.0,2134.23,2.764055834,15.22571665
108,1.1,847,260919.0,3168.37,6.869638179,16.53912253
109,1.37,1204,266803.0,3392.28,6.244489,17.78565831
110,2.25,788,251057.0,1273.97,2.101109616,13.41082141
111,1.71,395,245122.0,1634.31,4.492332265,15.32353214
112,1.71,669,209641.0,2244.29,4.71219947,16.04393394
113,2.9,1112,334163.0,3217.47,5.010401302,15.34551102
114,0.74,385,125309.0,1746.67,6.36503789,17.63327827
115,0.69,1202,387752.0,3633.61,3.829200638,16.12445848
116,1.44,401,140141.0,1030.23,3.151170887,16.75647536
117,1.68,809,270007.0,2213.69,6.265702588,17.6302272
118,0.89,437,158211.0,952.02,3.775380299,17.91236804
119,0.65,1227,394638.0,3979.54,5.829095083,17.3996436
120,0.87,887,289534.0,2281.28,4.756018762,16.66054553
121,1.63,750,282823.0,2636.36,5.496655952,15.70718723
122,0.67,1138,353193.0,3181.15,6.586818528,17.29083777
123,1.11,412,145449.0,799.56,3.299911468,16.55018339
124,1.19,484,175796.0,586.86,2.540516861,16.9133545
125,0.73,1105,320207.0,3098.85,6.80424046,18.16554676
126,1.98,777,258709.0,1302.62,3.134013644,15.08398017
127,0.8,1169,371944.0,3569.73,6.531073664,16.66745572
128,2.31,333,131135.0,955.38,2.521578748,15.26938963
129,1.01,816,247317.0,1997.94,5.377671846,16.31379712
130,0.67,1201,381382.0,1837.8,2.584284448,15.37977643
131,2.44,788,139994.0,1343.87,4.14633721,16.1479861
132,0.77,1180,372444.0,2476.92,2.97918238,15.39648105
