,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,1.08,386508.0,2340.52,1.899074618,13.93560837
1,1.22,135704.0,835.18,2.318730578,13.84330272
2,2.27,275405.0,3576.07,5.464821879,16.64480217
3,1.31,362260.0,2947.54,3.607014034,16.2651124
4,1.14,151448.0,855.8,2.093450597,15.7906826
5,1.46,143767.0,831.51,6.910828019,18.00483608
6,1.72,246588.0,1663.71,6.019490752,17.24455597
7,0.94,165870.0,1294.6,6.972584007,17.8345538
8,1.48,141023.0,745.12,4.012079257,16.22454661
9,1.43,370618.0,2117.94,2.827425055,15.74677383
10,0.84,161853.0,827.31,4.96582539,16.75914487
11,2.79,236842.0,2442.52,5.468058516,16.74013988
12,1.95,150070.0,1148.88,3.830528676,15.29033715
13,1.62,143663.0,927.89,5.462137981,16.77078796
14,0.59,254120.0,1539.34,1.112862819,14.15608838
15,0.51,375084.0,2329.16,1.2183171,13.05935462
16,1.52,359740.0,2222.03,2.020396386,15.5076437
17,2.02,352695.0,2083.94,1.861013544,13.73568018
18,2.75,259772.0,1861.68,5.375194951,16.09557921
19,1.35,143171.0,1343.79,6.087269969,16.81563071
20,1.96,257395.0,2608.54,5.870697131,16.21039322
21,1.84,248292.0,1312.96,3.538460056,15.2998822
22,1.36,372153.0,1225.15,1.879058183,13.74247597
23,0.43,366184.0,2944.64,3.34810285,15.80733619
24,1.2,263731.0,1905.81,2.510594425,13.71766598
25,2.5,121227.0,901.84,2.316051196,13.3513794
26,1.81,124993.0,749.94,3.510683317,16.21314464
27,1.24,146901.0,1130.21,7.057618942,18.15094041
28,1.62,357373.0,2090.27,1.500668724,14.07413743
29,1.17,360059.0,2173.38,1.911050535,15.19134843
30,0.67,388979.0,3450.45,4.874482792,16.99166283
31,1.3,269753.0,2837.58,6.65339451,17.59622462
32,1.74,339597.0,3331.66,1.885060893,15.65796719
33,1.33,365301.0,1837.17,1.832360933,13.47740698
34,1.48,359696.0,2844.88,6.793408917,17.21428755
35,2.07,347148.0,2804.73,4.585406429,15.6883462
36,0.8,149273.0,1499.65,3.477713916,16.29951829
37,1.75,261829.0,1781.78,2.32862399,14.81933158
38,1.2,368294.0,3980.7,6.236311562,17.37106504
39,2.18,366671.0,1591.67,1.228813865,13.85964884
40,1.8,129470.0,914.41,2.346331829,14.97735842
41,0.58,371930.0,1742.45,0.886555003,12.72173824
42,2.44,242045.0,1211.23,2.94110978,15.29833052
43,1.01,156494.0,1389.76,7.387491701,16.97412541
44,1.22,249631.0,1554.12,1.990940595,15.99347617
45,2.48,122182.0,841.53,1.437627867,13.56884628
46,3.68,354435.0,2034.13,2.099963424,15.55726364
47,1.34,261079.0,1667.63,1.637757345,13.28426427
48,0.94,139275.0,1246.73,6.735588336,16.94034959
49,0.96,371971.0,4539.59,3.432516103,16.07497521
50,0.62,342507.0,2576.77,5.18874139,17.12876579
51,1.37,368721.0,1713.41,1.621859494,14.05481769
52,0.65,150141.0,792.69,1.379743368,12.3050036
53,1.97,124706.0,664.01,1.241733361,13.65821349
54,1.35,373739.0,3775.22,5.708820002,16.65222459
55,1.43,258499.0,1984.25,3.027653702,15.07480403
