,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,1.41,140703.0,2936.42,0.942265995,15.69825076
1,1.54,370414.0,914.56,6.03397893,15.46930391
2,3.12,256959.0,737.31,3.18229744,15.74295875
3,0.71,128902.0,1546.1,1.004577139,14.13520608
4,1.24,364421.0,1017.89,1.62471562,11.46251954
5,0.91,275765.0,2688.01,6.220739442,15.3644048
6,0.48,157533.0,3131.11,1.065859231,14.00044367
7,1.8,150428.0,613.89,3.017848125,12.38955792
8,1.87,253299.0,2602.99,6.256640887,15.20274199
9,1.68,116221.0,3182.22,1.655903199,15.22769969
10,1.68,128168.0,890.48,3.549378057,15.91590406
11,1.19,158162.0,942.53,1.175189455,16.96705518
12,1.24,131209.0,1588.32,7.535560119,14.40418159
13,1.54,161812.0,1335.12,3.232741082,16.57131784
14,1.84,421045.0,1914.86,3.483054661,17.4455501
15,0.84,143431.0,897.65,2.193894415,15.69201099
16,1.43,162338.0,930.06,5.641289601,16.73307391
17,0.97,148729.0,1304.19,3.064302703,16.68513308
18,0.78,257348.0,1008.98,1.885679809,14.62813429
19,1.38,384811.0,1068.0,3.7091423,15.93965217
20,0.52,150316.0,2920.06,3.729494645,16.19335259
21,0.77,150975.0,2711.36,4.754330257,15.68907942
22,0.79,134417.0,2104.19,4.590923994,16.14741651
23,3.66,365316.0,2691.95,5.798182747,14.3646511
24,0.46,176927.0,1313.96,3.46649235,17.74857087
25,0.82,141923.0,4467.41,6.388315097,15.7934356
26,1.07,259095.0,984.01,6.176959667,15.77996723
27,1.01,121405.0,825.15,1.748239883,15.74152003
28,0.65,110093.0,1980.8,3.802942609,13.86161425
29,1.7,165777.0,1668.42,5.275339952,16.85194764
30,1.86,409727.0,1107.6,4.36452352,16.00731729
31,0.56,144283.0,1810.29,3.345733628,14.77674612
32,1.71,267363.0,711.57,2.425736352,17.56069521
33,2.12,353677.0,789.28,6.879467875,16.82042115
34,0.99,143512.0,672.01,5.984979226,17.68571729
35,0.93,142179.0,2805.61,4.537352822,15.68189445
