,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,1.3,105386.0,834.86,3.230907914,16.02777437
1,1.35,245833.0,2606.89,7.479136135,17.44007726
2,0.92,129178.0,1850.24,1.658846814,15.80417418
3,0.68,274524.0,1938.91,5.083820785,16.21556757
4,2.04,341278.0,2467.18,3.79601636,12.80988615
5,1.1,268150.0,3283.08,2.510215232,15.18896757
6,1.71,236040.0,899.58,5.148062793,16.54559517
7,1.59,235378.0,1282.49,8.210921844,17.80896579
8,1.12,367344.0,1092.56,2.277320333,15.73582857
9,1.63,242505.0,2166.99,1.861655346,13.31442775
10,1.42,367582.0,2018.55,5.543917292,17.40304426
11,4.3,125511.0,3282.47,0.804993048,16.30540237
12,2.42,122599.0,1420.33,3.025699614,15.81532868
13,1.22,239430.0,2471.38,4.406938609,15.08567646
14,1.79,267097.0,2409.59,4.867080437,17.2898535
15,1.2,152836.0,1406.96,7.359224708,17.15154134
16,0.35,265048.0,1659.05,6.146234813,18.3909234
17,2.74,379382.0,1942.06,3.270165554,16.8369526
18,2.27,240058.0,734.85,3.775927766,15.73816979
19,1.77,129550.0,594.77,7.325175383,14.49426043
20,1.84,221045.0,1822.78,1.176795591,14.81612461
21,0.91,237981.0,1877.94,2.865155912,16.96969259
22,2.36,257512.0,859.83,2.097669245,12.87120332
23,2.05,98557.0,1973.28,3.703988118,14.62679049
24,1.12,291182.0,989.24,2.018764596,15.40616277
25,1.14,134189.0,924.79,1.069957442,16.24428926
26,1.79,268384.0,1730.17,3.456263952,14.26247099
27,1.44,129489.0,3150.47,3.861938103,19.09163467
28,1.33,383696.0,1469.06,1.585123012,18.11457594
29,2.8,366935.0,2205.42,5.736894826,15.98325962
30,2.59,257533.0,1878.56,3.389521309,15.60802332
31,1.12,150163.0,1941.85,3.503062346,16.69334366
32,0.94,260261.0,1912.5,5.660831327,13.23446321
33,1.84,242182.0,1721.98,0.414478416,16.509321
34,2.32,146493.0,1476.7,2.280833721,15.4848653
35,1.21,240717.0,1869.76,2.36445242,15.29448078
36,1.71,78065.0,663.75,6.39366928,15.26393615
37,2.48,249477.0,2987.42,5.174521979,16.99049346
38,0.64,254759.0,938.42,4.26093255,16.48492195
39,1.46,223396.0,1735.3,2.472550813,15.39534953
40,2.49,265612.0,2703.79,2.828334982,15.81440714
41,1.35,102622.0,765.24,2.498390209,12.50130536
42,1.66,265398.0,2407.31,4.149718234,18.27244793
43,1.34,242446.0,879.95,1.932199598,16.56803443
44,1.24,154441.0,874.7,1.522229674,15.27942196
45,1.02,129703.0,2407.29,2.507797377,12.06298337
46,0.78,377522.0,1641.39,3.434014424,13.34984481
47,1.59,271330.0,3832.34,4.656360972,13.80002439
48,1.32,262542.0,3199.45,1.544273091,15.6286106
49,1.89,132707.0,921.36,3.151694731,16.61062678
50,1.71,269558.0,1383.25,1.484888417,13.40935578
51,1.3,337182.0,1657.05,0.951608459,14.567109
52,1.65,133394.0,1281.15,2.578644427,13.72945984
53,1.05,237434.0,1830.91,7.125952827,16.61843917
54,1.41,129604.0,1924.27,3.487099666,15.18837117
55,1.38,231799.0,1869.48,3.805541919,15.47636694
56,2.88,387092.0,870.98,3.411337546,15.70076239
57,1.84,140739.0,835.69,3.588905601,13.7041342
58,0.95,241089.0,2412.06,1.803903368,15.04069492
59,2.59,347584.0,1199.98,3.460007135,15.40840162
60,2.85,347058.0,1814.53,6.791963672,15.34867507
61,0.76,249006.0,1680.32,2.268269028,16.25698595
62,1.48,240280.0,1761.53,4.664866883,14.1771305
63,1.07,254342.0,1542.75,5.966456659,16.41911324
