,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,1.07,79772.0,1857.55,1.778097041,13.62066692
1,2.32,251071.0,1323.64,0.457342579,17.04570418
2,1.15,117344.0,1068.49,6.932252746,15.96751221
3,1.47,391684.0,2278.33,3.660028267,16.81102437
4,1.1,348226.0,1824.54,3.824484317,15.83959913
5,0.95,113873.0,1669.72,2.557709941,15.13388482
6,1.38,247014.0,3045.57,1.557985699,18.97418047
7,2.27,128238.0,3317.94,4.668723051,17.11997977
8,2.92,115949.0,1790.43,7.687611722,17.45754254
9,0.46,119551.0,1936.24,3.171788381,15.1244462
10,0.59,244082.0,862.28,7.094179175,16.3383986
11,1.8,257209.0,1033.14,4.689637457,17.15961084
12,1.32,125196.0,672.93,2.874790909,15.86930975
13,1.52,206857.0,3687.83,7.225144341,16.02665447
14,1.31,149431.0,4820.49,4.137866578,16.51526801
15,0.47,165550.0,3743.61,3.038587498,15.57290159
16,2.35,113722.0,1472.1,3.52950762,15.31940713
17,1.91,269277.0,2038.24,3.410046604,15.67710935
18,0.8,250993.0,2469.7,2.100930351,18.14666009
19,0.78,124158.0,1799.09,6.412298878,15.32832325
20,2.24,155415.0,1358.57,5.117501727,17.83066569
21,0.85,388151.0,1903.69,4.627308655,15.15217228
22,1.95,389040.0,1994.36,7.399461993,16.56021852
23,1.38,277003.0,2622.21,3.147862149,16.17082679
24,1.54,125256.0,3217.81,3.089843343,16.02211505
25,1.8,202317.0,4281.85,6.476983652,17.00358867
26,1.97,154015.0,2206.71,4.724963749,16.75891752
27,1.94,390356.0,3656.08,0.951434878,16.56619882
28,0.63,373327.0,3209.56,4.451237786,15.07773815
29,1.32,452170.0,2189.41,6.684858289,16.10748623
30,1.21,143126.0,2315.41,3.983839947,17.04956381
31,0.68,109739.0,1706.5,7.097674795,15.69623344
32,1.03,261812.0,1954.38,6.848984364,15.52965769
33,2.26,357063.0,1723.28,1.926525069,15.57074154
34,3.09,242293.0,5006.9,4.087308487,17.15205425
35,1.7,150784.0,1725.41,1.632576573,13.54190229
36,0.93,160118.0,1922.66,5.826357076,15.71173679
37,2.6,344479.0,1828.79,4.265047358,17.57528702
38,1.66,130557.0,2301.81,6.489533198,16.8241248
39,1.85,372095.0,2819.35,5.886529726,16.39523404
40,1.22,238977.0,3849.27,2.031525452,16.88929145
41,2.52,332764.0,3091.64,3.51166536,14.967757
42,0.94,167253.0,634.16,4.264545383,14.37598546
43,0.86,453718.0,2503.51,3.898959474,17.58965369
44,0.58,344374.0,1452.15,2.038844236,16.3368305
45,2.15,110440.0,2837.4,3.34402007,14.91772145
46,1.31,322848.0,4392.66,2.498831729,14.22863544
47,1.17,244619.0,3856.96,3.086855862,16.58099639
48,1.37,152604.0,2655.63,5.053725759,17.27918248
49,1.38,369618.0,2382.67,2.987277924,15.46320787
50,1.6,365638.0,5006.9,4.975517932,16.12976488
51,0.89,140284.0,829.23,3.842247475,17.2066912
52,2.42,150609.0,1047.61,4.439556199,17.64992505
53,1.57,137476.0,691.59,3.730521518,18.27439435
54,1.93,379923.0,1169.55,4.746925993,15.28592634
55,0.71,269909.0,2452.1,2.751712501,16.31535403
56,0.94,326297.0,3058.17,1.937618701,15.79802927
57,1.76,357936.0,2034.29,0.973036232,12.02387363
58,0.58,122428.0,1722.68,2.462619418,15.65081877
59,1.41,260192.0,2070.41,6.834891216,15.76415189
60,1.71,372080.0,1173.37,2.310423428,12.4106835
61,1.45,351224.0,589.6,2.976963729,15.52023265
62,2.53,230987.0,1838.58,5.424874136,16.37064779
63,1.77,123727.0,2623.26,5.830404186,16.39156988
64,1.88,132582.0,1799.2,2.734918261,18.13894674
65,2.31,134431.0,2219.15,5.337643399,15.4753426
66,1.47,264329.0,2746.67,0.449547689,14.9851547
67,2.74,364179.0,2052.76,3.411748402,16.63367655
68,2.1,232263.0,2468.79,4.736985001,15.86742164
69,1.5,145310.0,2097.0,7.49276639,16.76355883
70,2.2,135010.0,3017.52,2.275313603,16.67085949
71,1.23,358113.0,1308.54,3.542754945,16.32480986
72,1.14,121211.0,932.12,4.335211804,16.75503518
73,2.02,230375.0,3424.55,3.367027451,16.25457913
74,3.14,103643.0,2082.28,4.898928385,14.60976994
75,1.3,216825.0,1957.56,3.182620712,15.57141718
76,0.83,227702.0,2488.59,4.600020954,15.48564839
77,2.84,265613.0,879.09,2.646182734,15.74631437
78,0.97,361715.0,3573.18,4.356387187,16.54664935
79,1.3,365178.0,1129.98,7.243104851,16.89093336
80,0.59,375469.0,1767.09,5.565672767,16.45303289
81,1.43,458426.0,1078.73,2.278903904,16.33454077
82,0.54,354552.0,3333.73,0.837468006,17.3869574
83,2.27,135397.0,2376.68,7.451817975,17.6150331
84,1.42,258514.0,4470.15,5.204671285,15.22463218
85,1.74,362264.0,1215.31,2.151569698,16.15460694
86,1.76,388283.0,4013.68,3.795385451,16.49205218
87,0.74,246070.0,2499.91,5.010383553,15.12942242
88,0.94,378450.0,1629.83,3.778919213,18.73165766
89,0.91,243032.0,1612.66,2.754278319,18.16543643
90,1.89,379728.0,1818.98,0.953232581,12.1668228
91,0.53,159753.0,1933.55,3.84163536,14.93441754
92,0.92,138078.0,779.5,1.799143019,15.55140575
93,2.74,379825.0,3908.93,5.689419392,15.21553234
94,1.59,125172.0,2144.67,5.482035518,16.10762155
95,2.76,147588.0,1924.37,3.298510273,12.04209672
96,1.55,173248.0,1120.77,3.172538944,17.80386529
97,1.06,139735.0,4168.53,6.696202476,17.01147111
98,2.15,387038.0,1876.85,1.80730735,17.10952208
99,1.85,138267.0,3788.06,4.608701589,15.89157108
100,1.72,161337.0,2588.43,5.529338905,15.75697865
