,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,1.67,159717.0,967.98,6.222143218,17.47075996
1,0.7,238705.0,2038.58,2.282029647,15.6161862
2,1.82,263983.0,1395.02,3.489699488,16.83251324
3,0.61,376284.0,1143.37,3.097928409,17.13721343
4,1.35,389902.0,777.95,5.312138581,15.15113203
5,1.07,366131.0,2481.58,3.283205166,15.63885563
6,1.66,162478.0,2681.9,2.571142198,14.19052407
7,0.81,235303.0,970.26,3.370214481,15.95574862
8,1.85,363734.0,1694.22,1.990688505,17.43477252
9,0.94,273029.0,1176.05,1.657705805,16.88615259
10,1.27,264914.0,3121.16,0.847488409,15.97475149
11,1.69,131201.0,1916.48,2.784926425,14.90280981
12,1.15,264862.0,2463.54,6.953157523,18.02883114
13,0.82,241051.0,2294.66,5.024686202,13.7792157
14,1.38,221016.0,2589.59,6.299920192,14.24834682
15,1.14,260623.0,2146.59,1.81968801,15.65255464
16,2.05,358670.0,2070.29,1.929891212,16.98488271
17,2.54,268085.0,1648.68,4.402583616,16.35440966
18,1.21,165009.0,1628.39,6.405917731,15.81239722
19,1.12,265186.0,586.86,1.738471318,13.89785611
20,1.4,390766.0,2731.32,2.759889116,17.40511618
21,0.67,252992.0,1126.68,3.196382327,15.08820014
22,1.04,381200.0,2776.66,2.710535957,15.86418968
23,3.01,242200.0,1279.42,4.011836324,15.66013815
24,2.79,255109.0,854.52,5.218975599,14.47125979
25,1.67,376532.0,2532.91,4.272572885,17.37284854
26,1.21,263729.0,1260.6,2.015237835,17.33654655
27,1.78,390209.0,1451.12,3.287432815,16.84498867
28,1.22,248434.0,1420.86,7.036824029,18.08096367
29,0.61,385254.0,865.02,1.538021854,17.23702045
30,2.03,248505.0,1249.6,2.893564376,16.00846009
31,2.33,240944.0,586.86,5.95842094,18.28881015
32,1.31,138285.0,1615.11,8.579391481,14.75009711
33,1.55,265679.0,4342.69,3.761515964,12.89984569
34,1.76,182175.0,3872.79,1.644402083,17.28299364
35,0.78,381072.0,1157.6,3.449324665,13.67600487
36,1.92,258811.0,1618.52,5.709280767,18.26979324
37,2.33,123101.0,1431.24,5.773214559,17.14987705
38,1.11,377927.0,1038.16,3.244076329,17.32277433
39,1.31,357440.0,1313.82,1.594137619,17.3228417
40,1.35,373851.0,2268.37,1.327689463,17.89802892
41,1.89,382445.0,2119.85,2.546934721,15.75079318
42,0.6,257688.0,2440.32,1.206320726,17.12888494
43,0.77,261086.0,1736.32,2.899080573,18.02260009
44,0.97,270456.0,1321.8,6.357783532,18.04251534
45,0.62,318454.0,2185.56,5.796602922,14.39240858
46,0.59,364089.0,1988.59,1.077319564,17.28025614
47,1.56,246245.0,890.62,6.821682349,16.8000989
48,1.47,382634.0,1555.77,1.247177106,16.79952805
49,1.13,361718.0,1761.68,4.270256148,16.42049326
50,1.45,138545.0,2547.93,6.304057585,16.86303316
