,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C),Class
0,1.1,305556.0,3832.34,5.336229371,17.4108402,2
1,1.14,384202.0,3201.73,8.210921844,17.80732648,0
2,1.88,78065.0,903.16,4.1066888,17.29794082,1
3,1.15,172095.0,2387.96,7.257303154,17.24244975,1
4,1.78,152638.0,2019.11,6.720907168,18.82894128,2
5,2.24,113660.0,2698.16,8.210921844,15.50605937,0
6,1.47,326521.0,3584.44,8.210921844,16.77665439,1
7,1.78,283576.0,2677.41,6.547250061,18.44451709,1
8,1.88,128744.0,1959.78,6.276012661,17.3628897,0
9,2.24,125933.0,807.32,3.555392857,17.18970374,2
10,1.64,398401.0,1611.37,5.674432146,17.1319697,0
11,2.6,144679.0,2231.26,7.196292203,16.6409866,0
12,2.0,146918.0,3832.34,6.76034821,14.09046429,2
13,1.69,310918.0,1383.71,5.085024289,17.54073599,0
14,3.42,392004.0,3118.18,5.99409653,14.09046429,0
15,1.74,178220.0,3451.9,4.746363475,16.39978516,0
16,2.0,104604.0,2407.24,7.219629654,16.35979722,1
17,1.34,398401.0,1329.39,7.765286341,14.42546292,1
18,1.68,292770.0,2668.16,6.237760957,14.99164436,0
19,2.36,398401.0,2091.01,6.783290106,19.02923718,1
20,1.53,396629.0,2247.57,6.228399203,17.28516744,0
21,1.44,198263.0,620.61,7.828089477,15.09940409,0
22,3.42,196469.0,975.93,7.97044113,16.35761656,0
23,0.32,310188.0,2485.9,5.252154668,18.76433084,1
24,1.69,314275.0,2880.47,7.251067823,19.28238466,1
25,1.14,201440.0,2431.42,3.825258038,19.61392003,0
26,2.55,281303.0,3696.52,7.133277674,19.630501,2
27,2.1,398401.0,1348.34,8.067446627,15.1934908,0
28,1.99,191610.0,1586.64,4.517992238,15.07114704,1
29,1.24,293232.0,1206.09,3.555392857,18.50376103,2
30,1.93,78065.0,2762.51,3.555392857,15.93710632,0
31,1.63,280008.0,2676.02,5.161267294,16.71652696,0
32,0.97,167522.0,1721.84,4.496572059,18.03420517,1
33,1.87,374289.0,1508.52,6.750804721,15.59799756,2
34,2.23,187223.0,3259.39,7.310670709,17.23641278,2
