,Yield (tons/acre),Time Since Sown (Days),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,1.41,410,368880.0,4046.1,4.170919034,16.08610922
1,1.27,1134,255467.0,3119.27,0.948228211,15.6482021
2,0.99,1088,156625.0,743.43,5.554413794,13.98982002
3,2.62,1154,150137.0,2255.17,1.555969504,17.98155965
4,2.13,429,132504.0,2468.72,6.255605563,12.72918624
5,1.77,472,110902.0,1368.88,1.944816709,16.01719682
6,2.66,1140,253609.0,2153.27,0.375210181,12.38324042
7,1.51,418,196320.0,1866.85,5.880166092,16.64318429
8,1.57,1174,252872.0,726.84,0.777617234,17.11345229
9,1.05,473,150812.0,2069.42,3.559829765,13.49970774
10,1.71,392,141460.0,906.96,4.728497699,14.81284187
11,1.92,874,379070.0,4150.88,3.903793739,14.17999896
12,1.65,438,352804.0,2129.68,0.332684769,13.3376827
13,0.81,788,363764.0,2533.16,3.721637094,15.03339713
14,1.6,430,140627.0,3447.17,6.448853299,16.24704171
15,1.73,445,368593.0,863.53,6.27603558,13.61869891
16,0.66,1126,441112.0,1336.64,0.741760024,17.15179298
17,0.5,438,113477.0,2634.02,2.368557131,17.15228061
18,1.5,798,151218.0,2068.7,6.319513551,15.89093451
19,1.56,760,125688.0,3470.66,1.883551008,16.01230998
20,2.2,1121,367414.0,1900.39,0.840222519,13.46665806
21,0.73,448,228316.0,829.08,1.199642411,12.64968791
22,1.77,1025,135265.0,860.95,1.414842252,11.46231565
23,1.37,447,350429.0,806.22,4.192779656,15.97405588
24,2.83,275,233212.0,2077.67,2.420218732,15.7554738
25,1.84,874,269671.0,1855.7,1.287901708,16.22106835
26,0.45,613,129080.0,1217.98,5.003760047,15.92849828
27,2.01,1286,421340.0,2290.18,1.719610436,15.31851425
28,1.48,663,345167.0,2365.43,1.138279087,17.34568648
29,1.64,792,362859.0,1876.26,1.465696531,13.14249156
30,1.13,343,258132.0,656.41,3.956089123,13.37068689
31,1.3,764,338917.0,1627.16,0.596378069,15.38899342
32,1.8,1185,147641.0,794.31,4.321269014,15.98640246
33,1.71,442,357538.0,1452.76,4.483029184,17.18529888
34,1.1,1152,369544.0,2180.52,5.53305548,15.2880984
35,1.26,1212,368510.0,2182.57,3.948581141,15.95303141
36,1.6,1081,135945.0,1881.38,4.763520816,16.01943374
37,1.8,793,139147.0,1031.49,4.06810609,16.75027719
38,0.68,1128,358873.0,2253.67,1.309776692,17.11040806
39,0.6,1172,225143.0,1706.27,1.4486842,14.98728226
40,1.18,1110,360495.0,857.07,6.282553535,14.52767337
41,1.19,429,379894.0,2880.36,4.878001661,16.01609018
42,0.66,766,259562.0,3343.32,5.885268893,13.17087788
43,0.84,391,355955.0,1718.4,6.155236751,12.92751472
44,0.52,835,362950.0,1534.62,4.02764132,15.44035276
45,0.33,773,124126.0,1154.58,4.58479972,16.99537838
46,2.59,793,143669.0,1982.93,1.715633583,15.70051787
47,2.15,303,411179.0,952.82,0.64794698,16.65285919
48,1.08,783,259997.0,2146.3,5.112701747,14.21762591
49,1.66,850,355059.0,2480.68,5.289580722,15.32050047
50,2.64,626,285353.0,724.3,1.363877898,12.84906914
51,1.73,1189,373942.0,827.41,0.56368976,11.30491985
52,0.9,805,369972.0,3555.48,3.927232779,12.45847695
53,1.0,426,239854.0,1722.21,2.155444076,15.73412922
