,Yield (tons/acre),Time Since Sown (Days),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,1.66,505,376471.0,3108.69,3.01741116,16.95175135
1,1.39,1128,246486.0,861.05,2.529973207,15.08006816
2,1.93,413,105663.0,872.86,3.370072965,16.0397488
3,1.04,1231,360162.0,3232.94,6.245290172,16.93558754
4,2.59,1129,95990.0,3577.58,2.686075727,15.00687668
5,2.05,1112,359502.0,2117.14,4.745945931,15.22575888
6,1.5,774,112299.0,1944.03,4.501083674,18.08217464
7,2.59,803,244939.0,659.78,2.271759207,15.10915651
8,0.99,509,122334.0,2230.53,3.34446924,14.57253915
9,2.01,868,342077.0,1449.21,6.916610976,15.6610893
10,1.47,1164,403880.0,2965.02,5.624561642,16.7868557
11,1.03,1179,349579.0,1136.19,3.47408262,15.86690983
12,1.28,448,380350.0,891.29,5.749454553,16.67451807
13,1.45,1204,351797.0,1692.6,4.238281939,15.67592161
14,1.63,464,112255.0,2847.68,2.060070004,15.73304917
15,1.99,1166,381009.0,3024.9,2.319658296,15.35495552
16,0.93,509,272206.0,1690.31,6.530046396,17.77568206
17,1.49,491,238276.0,1274.88,2.132189325,18.18088013
18,1.67,771,255761.0,1827.76,5.366626395,16.26389739
19,1.36,1307,183846.0,3206.71,6.903748375,16.53951614
20,1.05,1120,310040.0,2326.49,6.544208304,15.5097634
21,1.49,1182,359716.0,2277.08,5.379581749,16.00668796
22,2.03,1166,372962.0,1865.64,1.293963559,15.01546989
23,0.7,882,368556.0,4692.94,2.291904279,16.35668833
24,1.83,443,78065.0,2286.85,2.932043031,16.60293977
25,1.67,1238,131411.0,855.67,3.190175312,13.90020742
26,2.01,686,332468.0,1684.55,2.24638756,15.75624429
27,1.82,448,129436.0,1723.29,2.927623063,16.85549897
28,2.76,1131,347504.0,1009.34,1.394903798,15.04559069
29,3.28,1158,138757.0,2536.36,5.640948147,16.55432532
30,0.75,1265,358414.0,3337.44,5.514993852,15.5928737
31,1.88,1149,372244.0,2072.9,7.049292503,15.36295294
32,0.85,1179,370206.0,738.96,2.706662578,15.36687447
33,1.61,1159,342689.0,1906.97,5.668260925,15.46348518
34,1.34,1128,353607.0,3184.27,2.964521722,15.29630959
35,1.51,846,446031.0,1050.27,4.978988588,16.00896478
36,1.69,1165,106796.0,992.52,5.536796205,15.59498224
37,1.28,1155,264252.0,1530.9,3.28579102,15.73080517
38,1.04,1207,380292.0,1117.04,2.839491701,16.33004789
39,1.99,1064,86928.0,4135.12,2.456409811,15.61271857
40,1.79,1155,358834.0,2060.31,3.517982282,14.10547551
41,0.9,1186,368877.0,2359.64,2.474448263,13.65270115
42,0.77,1179,152990.0,786.33,3.895520984,14.50326945
43,1.38,1129,257652.0,1512.47,2.75153456,15.57879147
44,2.38,430,352641.0,1198.73,7.080824776,16.84099451
45,1.83,822,380990.0,2131.21,1.654291138,15.59417708
46,1.63,1153,353730.0,1513.07,2.295880851,17.52986672
47,1.02,1237,259376.0,3128.88,2.02846357,15.19778458
48,2.39,416,231804.0,1749.71,1.017560432,14.98085632
49,0.84,1248,185958.0,841.84,3.189811486,19.02833569
50,2.63,818,364868.0,1659.22,3.231656875,15.36882173
51,1.64,1194,134948.0,637.27,5.085729216,17.27850321
52,1.62,855,367906.0,2440.11,5.376894939,15.89007179
53,0.73,1147,376245.0,604.16,3.353686251,16.07902865
54,2.59,440,122534.0,586.86,5.984398287,15.84952336
55,2.13,1151,364821.0,586.86,6.867211141,17.49962854
56,0.81,496,390058.0,3182.11,4.111049292,15.10640304
57,1.91,851,367492.0,2261.58,6.51396723,17.83967404
58,1.67,1155,255006.0,2078.35,6.902956523,15.5555444
59,0.79,473,357464.0,1084.68,2.066978556,17.10020205
60,0.87,1204,137556.0,1746.9,4.320863305,16.40873939
61,1.32,868,258602.0,2713.41,5.62451823,15.64370394
62,3.07,355,345953.0,4670.48,2.924186929,13.33944082
63,1.16,772,221645.0,1173.61,3.133292359,15.93861865
64,2.65,1206,151474.0,1624.36,6.573797731,15.77786216
65,1.17,1239,151776.0,2383.17,3.174976793,16.66727176
66,2.0,818,254130.0,1126.88,6.186426385,16.35226255
67,1.11,1228,386050.0,2598.19,4.334750281,16.56315975
68,1.53,1171,138457.0,1192.6,5.795262948,15.91994528
69,1.66,308,362492.0,624.39,7.242051475,17.03232019
70,2.51,1219,358093.0,2861.55,3.586281076,16.12269738
71,2.1,776,334858.0,2815.75,6.221429548,15.45348493
72,1.31,840,380845.0,928.43,2.678241292,17.03661311
73,1.58,275,108441.0,2154.1,3.771150466,17.25586017
74,1.32,1226,371867.0,1199.14,5.814274449,13.85455135
75,2.55,813,351780.0,846.74,3.184856733,15.37461939
76,1.68,428,246523.0,895.5,2.826574591,16.33504803
77,1.62,393,114650.0,958.94,6.377802969,15.33455346
78,1.93,808,248549.0,940.11,1.891693527,16.29806867
79,2.0,824,293571.0,2315.08,2.86511866,15.34155412
80,1.32,785,153892.0,3531.34,3.300081971,15.15711477
81,1.95,437,112546.0,2276.55,3.85585429,16.17997852
82,0.93,447,360889.0,2686.42,3.327185051,17.63616433
83,3.3,442,158659.0,2024.18,4.121170909,17.16609549
84,0.67,464,368289.0,866.37,2.041481858,15.74395722
85,3.61,728,338613.0,3153.22,3.600845114,16.04916298
86,1.8,523,126787.0,1503.73,3.287793157,15.0323313
87,1.33,482,133189.0,1126.96,6.422180576,17.18357564
88,0.91,432,356561.0,2342.09,2.171889385,16.15261008
89,2.48,497,364443.0,2461.83,4.124574207,19.28820785
90,0.85,1213,384131.0,707.57,2.743069505,16.30557375
91,2.07,818,169454.0,3477.0,6.672430018,14.08782103
92,1.21,830,287339.0,2239.38,1.329594169,15.39413462
93,0.99,1128,355845.0,1908.59,5.569791725,15.41741168
94,1.62,1149,244245.0,1242.15,1.291209743,15.54150282
95,2.07,1096,235472.0,832.45,2.560500187,15.19732276
96,1.22,1210,354068.0,2406.22,5.209261493,13.80149447
97,1.99,1158,268962.0,3945.92,2.852689388,16.23321739
98,0.82,1214,158243.0,695.14,6.426010533,15.64610901
99,1.17,1184,369781.0,2413.83,2.856579902,15.96790712
100,2.15,1098,274659.0,1644.43,5.393490444,16.70551689
101,2.57,1134,142404.0,586.86,6.00633956,16.91541025
102,1.78,827,254880.0,1767.05,1.833348136,14.60210176
103,1.05,1178,133712.0,1704.2,2.834485678,15.86577295
104,1.42,1175,379993.0,736.75,5.882395682,17.31605871
105,1.94,1212,365119.0,2570.61,2.66635548,15.4399054
106,0.48,1161,250635.0,1071.24,3.021965877,14.85588858
