,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C),Class
0,1.12,283517.0,2712.01,6.101219522,15.91040386,2
1,1.97,197126.0,3055.87,7.026981787,18.76557973,1
2,2.32,350981.0,2170.94,5.910355534,15.60267697,1
3,0.94,256093.0,2186.76,4.658856297,16.59387108,1
4,1.66,376631.0,2184.17,3.658121838,17.27545857,1
5,1.79,320499.0,2729.89,3.513357123,18.32517368,2
6,1.29,274050.0,2820.7,5.224600892,15.30540858,1
7,3.42,119340.0,2457.85,5.78106293,15.59492853,2
8,2.47,265522.0,1676.98,7.32553019,14.91527473,2
9,1.56,318383.0,2989.95,5.667831546,17.2819639,1
10,1.66,297982.0,2625.66,7.234953831,16.56685068,2
11,2.39,270449.0,3285.61,4.854247969,15.31171793,2
12,0.33,100051.0,3149.15,8.579391481,16.20580134,1
13,1.68,269579.0,1690.89,6.773004855,18.59154511,1
14,2.88,283877.0,1882.01,4.969891846,14.35050725,1
15,1.83,270045.0,2913.39,5.848027888,16.33352219,2
16,0.94,339103.0,996.35,5.74002372,14.42970893,2
17,2.48,204694.0,2654.42,5.792313825,16.15056212,0
18,2.23,253247.0,2372.99,4.666351014,14.38211765,1
19,2.82,211683.0,2552.03,6.111936987,16.14236495,0
20,1.85,189775.0,4082.21,4.653239264,15.56794515,1
21,0.64,311306.0,996.35,6.029539137,14.59458953,1
22,1.48,403374.0,2681.52,3.743169628,17.20145471,2
23,2.1,316796.0,3285.69,3.253768116,14.35050725,2
24,0.68,179301.0,2995.23,4.972045886,16.42035504,0
25,0.45,267913.0,3949.95,6.697683761,15.07762617,2
26,1.22,395819.0,3211.5,3.453579481,16.82913831,2
27,0.88,199573.0,2099.8,3.253768116,16.37993776,2
28,1.78,154589.0,2306.12,6.462529358,15.76431331,2
29,2.42,79772.0,3483.0,6.152551987,15.4433922,2
30,0.82,438311.0,1377.75,4.0648402,16.34364515,1
31,2.78,402190.0,4004.03,6.40776079,15.25453104,1
32,1.01,198697.0,1829.65,6.831863797,18.22992781,2
33,1.7,192081.0,3165.65,7.183192018,14.35050725,1
34,2.47,227821.0,1207.13,5.553566994,15.21250465,2
35,1.65,285101.0,2774.61,6.755606994,16.61101604,1
36,0.61,257577.0,2545.45,4.789318914,14.88961361,1
37,1.11,294098.0,2389.07,8.579391481,17.37068064,2
38,0.73,266112.0,1163.18,6.404797517,15.43467736,2
39,0.54,237993.0,1785.55,5.656825752,15.13387881,0
40,1.78,271115.0,1922.71,6.693234219,14.8557384,1
41,1.94,202873.0,2215.44,6.154620115,16.04722397,2
42,1.51,206957.0,2523.54,6.395758539,14.35050725,1
43,3.15,148335.0,3513.04,3.253768116,16.5035708,2
44,2.86,222000.0,1821.45,6.113520761,14.78288769,1
45,2.94,253839.0,2341.34,6.044143354,16.19836235,2
46,1.34,79772.0,2953.51,4.166067353,17.16715781,1
47,3.36,223668.0,2970.33,3.253768116,14.35050725,1
48,1.67,138607.0,2757.45,3.550188116,14.60981166,0
49,1.34,436788.0,4295.95,4.607580426,16.16336184,1
50,2.86,197758.0,2413.57,5.977035454,19.19367152,2
51,0.54,258978.0,1225.35,5.789369811,17.82633647,2
52,1.56,335252.0,1860.44,4.858079769,15.37551284,2
53,2.43,142317.0,5006.9,5.747215486,14.97949381,2
54,2.32,201504.0,2186.15,7.259846855,14.35050725,1
55,1.75,157850.0,2257.38,6.220033751,15.78201399,1
56,2.87,273630.0,3372.21,4.248202069,17.23223845,2
57,2.1,184491.0,996.35,7.645848436,16.24512131,2
58,0.97,352870.0,3301.13,5.681430177,16.21157631,2
59,2.92,372301.0,3143.18,6.641053118,15.4736912,2
60,2.39,267857.0,1555.89,6.526559631,16.64681289,2
61,1.68,316472.0,2720.83,6.825252649,15.30579397,0
62,1.89,246290.0,4311.21,5.571938717,14.42389021,1
63,1.54,149419.0,2400.89,4.590736413,14.86966339,1
64,1.12,101029.0,2714.73,4.534553343,16.63166433,1
65,1.28,388305.0,2416.27,5.926314559,14.35050725,0
66,3.42,361597.0,3647.52,5.44766823,14.35050725,1
67,0.94,220615.0,1825.96,7.247929081,15.64117821,0
68,0.62,465016.0,2449.79,6.24446149,14.35050725,1
69,3.2,293505.0,1934.25,3.253768116,16.00145091,1
70,1.69,308090.0,2308.48,4.606614261,16.6253089,1
71,1.95,203172.0,1058.86,6.457798513,16.91998037,2
72,1.47,313373.0,2520.36,6.758138656,16.78385222,1
73,1.47,278106.0,996.35,5.412784069,15.76814682,2
74,1.15,342364.0,3914.16,6.581378085,16.01716568,2
75,3.42,230872.0,3054.54,4.490283747,15.84825464,1
76,1.82,233627.0,3064.45,6.534369102,17.53498691,0
77,2.99,238353.0,2262.0,5.81933442,15.9931147,1
78,1.03,368780.0,1460.16,6.851228066,14.86025513,2
79,2.94,399825.0,2312.66,4.379677824,19.30182334,2
80,1.53,299677.0,3167.27,6.277472388,16.63446573,1
81,3.25,99638.0,2617.58,6.63592686,17.09215119,1
82,1.85,369031.0,3015.55,4.406007722,16.31322466,1
83,2.31,431658.0,2200.9,7.650381165,14.46469265,0
84,1.11,206891.0,4814.25,6.831830643,16.27151265,2
85,2.29,285146.0,2024.14,7.504452931,14.35050725,0
86,1.31,238719.0,5006.9,3.788911088,15.97827092,1
87,1.17,216599.0,2890.15,6.283751908,18.01243896,1
88,1.81,300006.0,4258.15,7.565795814,14.35050725,1
89,3.42,93552.0,3892.42,7.436883398,14.8483793,2
90,2.29,276239.0,2965.07,3.253768116,14.47620967,2
91,2.48,121934.0,1023.77,6.149916848,17.0801308,2
92,1.12,196749.0,1694.01,3.300747058,18.08062291,2
93,2.22,314935.0,3057.27,5.847351185,15.28192263,2
94,0.71,269672.0,3366.91,5.270891256,14.35050725,1
95,2.31,350728.0,2064.32,3.253768116,17.3489138,0
96,1.77,263076.0,3338.26,3.716253819,15.84642917,2
97,1.92,272286.0,2531.48,4.453563143,15.51030248,1
98,0.77,211527.0,1210.56,4.215655336,18.7046194,2
99,1.77,255778.0,3516.56,3.253768116,17.2015062,2
100,2.94,79772.0,3064.66,5.35142386,14.94161507,2
101,3.42,316842.0,996.35,5.864197148,17.53340571,2
102,1.0,338021.0,2127.19,6.440482127,16.71155536,2
103,3.1,217007.0,2658.17,3.996058333,16.20580532,2
104,1.87,288975.0,996.35,6.451769909,14.35050725,1
105,3.1,241239.0,1201.85,6.68795586,14.64413316,1
106,0.66,208210.0,2222.27,4.086594922,14.67057038,2
107,1.32,125492.0,2815.54,5.64503108,14.99015595,1
108,1.26,256394.0,2166.39,6.544460657,17.56725046,2
109,2.03,221187.0,4192.14,6.403833635,16.37012063,2
110,1.05,133776.0,3761.35,5.559428457,16.13967924,2
111,1.29,191774.0,996.35,5.453544505,16.66523417,2
112,3.23,274569.0,1482.35,5.843998906,16.94038595,1
113,2.19,268060.0,1669.02,5.032156743,15.29550294,1
114,1.82,246983.0,2719.35,5.693321755,14.35050725,1
115,2.13,139559.0,1923.34,6.713254166,14.71010038,2
116,1.49,221989.0,4614.61,6.737653276,15.99080738,2
117,0.47,204178.0,1571.89,4.28257275,14.60233694,2
118,2.23,159248.0,1228.9,5.963511251,15.89184171,1
119,3.23,210030.0,1400.66,7.726322746,14.8934324,2
120,1.73,186210.0,1737.99,6.491924699,17.1451395,1
121,1.28,381825.0,2748.07,7.265373956,14.35050725,1
122,2.24,347628.0,2099.63,5.876470775,16.64779838,1
123,2.23,380697.0,2827.86,6.41268741,15.26060736,2
124,2.76,226041.0,2387.96,5.898899257,15.63176746,1
125,1.77,386437.0,3984.2,6.163935746,14.65044381,1
126,2.07,274966.0,3865.81,5.211580181,15.16320218,1
127,1.93,469473.0,1722.05,4.272517735,15.7427933,1
128,3.42,210233.0,1186.53,5.186568366,16.17407301,1
129,2.46,300794.0,2093.35,6.635694474,14.35050725,2
130,0.71,243429.0,2894.8,5.616428609,17.5104186,1
131,0.62,101707.0,2558.54,8.135566905,15.68551224,2
132,1.96,287432.0,2924.41,5.870557672,16.11120681,0
133,1.91,346218.0,1897.58,4.221673089,14.74562465,2
134,2.82,92018.0,2322.24,3.365967693,16.03601719,0
135,2.82,242511.0,2427.78,6.015908587,15.11830121,0
136,1.4,79772.0,2159.79,5.929836854,17.67107844,2
137,0.46,231336.0,2709.1,6.714360459,16.57894829,2
138,1.66,295876.0,2277.83,4.392977454,15.23232883,2
139,2.51,295603.0,2337.33,5.524324526,16.35596225,2
140,1.91,276126.0,2042.04,3.339754353,17.24795589,1
141,1.93,246876.0,2005.93,6.542188036,14.44442472,0
142,1.06,345925.0,996.35,6.659354672,15.92351362,2
143,1.93,318401.0,2561.69,8.579391481,16.21100633,2
144,3.19,310773.0,5006.9,5.693243716,14.92509323,1
145,1.23,217601.0,2462.38,4.237247062,16.78259855,1
146,0.44,355811.0,2013.39,5.870783829,14.57859158,0
147,1.76,258504.0,2939.95,6.796265514,14.35050725,0
148,2.47,250592.0,2467.58,5.950098954,17.69481009,1
149,1.59,140905.0,2432.06,7.51336314,15.10169406,2
150,0.42,289187.0,2100.23,6.76042593,16.89200321,1
151,0.85,247905.0,3931.63,5.936162302,14.35050725,1
152,2.14,130113.0,2362.26,7.275989736,17.66125564,2
153,3.21,190156.0,2700.48,5.609522458,14.35050725,1
154,2.44,256724.0,3819.37,7.927816689,17.88710368,1
155,2.73,245768.0,2248.86,6.0032232,18.3547438,1
156,1.49,136447.0,1121.91,7.055921193,15.24856354,2
157,2.12,199883.0,2366.33,7.079890161,14.93002893,1
158,1.46,185512.0,3543.73,6.327285285,16.17323844,1
159,1.41,239628.0,2034.29,3.253768116,17.90775509,2
160,3.16,297817.0,3753.08,3.253768116,14.81954493,2
161,3.42,237403.0,2385.62,3.253768116,15.94448314,1
162,2.1,331269.0,3620.41,4.599725804,14.35050725,0
163,1.03,267966.0,2845.77,6.344815636,17.68865581,2
164,2.03,371002.0,1230.34,6.190196378,15.38868172,1
165,2.29,281108.0,996.35,6.997243162,14.35050725,2
166,2.38,212042.0,3031.77,6.479609113,17.70856836,2
167,2.39,232454.0,3048.12,7.973927843,14.58514957,1
168,3.42,214637.0,2298.87,3.377645,15.96194198,2
169,0.35,267241.0,2738.43,7.047607098,16.95502775,1
170,1.96,230451.0,3160.91,3.63116114,14.85774237,2
171,1.03,226707.0,2819.28,5.949565079,16.03746293,2
172,3.16,269132.0,2429.32,7.152153577,16.01401801,0
173,1.56,251671.0,1231.95,3.253768116,14.35050725,2
174,1.4,170820.0,1483.97,5.788605712,16.41847373,1
175,1.94,225667.0,2147.61,6.66314118,17.44622393,1
176,2.91,322427.0,2680.81,5.344222916,16.87823486,1
177,3.42,87119.0,2327.0,4.971867304,16.82286914,2
178,2.58,214263.0,1310.35,7.48880031,16.17582066,1
179,2.8,100013.0,2388.27,3.601659107,16.03514697,1
180,0.64,294182.0,1834.23,6.198280842,15.44211994,0
181,2.98,216989.0,1617.56,6.685172206,15.84046237,0
182,3.42,250097.0,1276.01,7.03756082,15.80046723,1
183,2.77,221653.0,2287.18,6.210400788,14.35050725,1
184,1.56,291705.0,2584.23,3.879156583,17.13983385,2
185,1.78,271278.0,2137.06,5.5169015,14.55673775,1
186,2.0,397464.0,2539.67,4.236906024,15.45434268,2
187,1.78,226066.0,4814.54,4.443743637,17.217308,2
188,2.44,210111.0,2794.9,5.758989603,15.50738815,2
189,1.49,107550.0,2482.78,6.14852171,14.66360261,2
190,2.65,240389.0,1917.34,5.316318632,17.71021885,1
191,2.59,366684.0,2975.48,8.308309086,16.08118414,1
192,1.15,346784.0,3069.17,5.805187415,15.1776355,2
193,2.23,240964.0,2705.48,3.355464114,15.43541728,1
194,1.17,120393.0,996.35,3.253768116,15.41626959,2
195,1.43,244437.0,4006.17,5.985696031,15.89517985,1
196,2.28,341616.0,2255.91,4.391387249,16.77921078,1
197,0.93,220597.0,2141.36,7.248334626,14.84011731,2
198,0.83,239311.0,3447.11,4.25972477,17.18848955,1
199,2.66,208959.0,2283.75,3.657302539,14.61154968,2
200,2.05,219237.0,1171.56,6.455367148,15.49772786,2
201,1.75,274251.0,2969.7,6.456521703,15.52880696,0
202,3.05,294333.0,2750.19,5.495957042,18.46213656,0
203,1.24,242421.0,996.35,4.100768283,14.35050725,2
204,1.36,79772.0,2955.4,5.78572669,15.02132486,1
205,2.82,352784.0,2787.78,6.691419604,16.45909632,1
206,0.58,261353.0,2004.56,4.325690375,15.36884354,0
207,1.09,288241.0,1804.37,5.67452376,14.35050725,2
208,0.91,267079.0,1777.93,6.945519311,15.53628202,1
209,1.8,278166.0,2907.91,6.37005665,17.57653027,1
210,1.18,403683.0,1370.18,6.12067765,16.18031916,1
211,1.33,426417.0,2293.55,7.809149839,17.13937415,2
212,1.59,79772.0,996.35,4.169062139,15.33442012,2
213,1.18,211696.0,1608.03,7.508963302,15.97620098,2
214,2.01,469473.0,996.35,5.769450156,14.35050725,1
215,2.1,248900.0,2703.97,3.745238581,14.56866442,1
216,1.16,186386.0,2917.34,6.387224354,15.35372147,1
217,0.95,261871.0,2026.31,5.413369714,16.33146649,1
218,1.66,297293.0,3420.81,3.430241241,17.9812793,1
219,0.33,208166.0,3038.54,5.412538382,15.0192836,1
220,1.82,369125.0,4092.17,5.78606009,17.68115312,0
221,2.91,395468.0,4294.23,7.152905929,15.73887152,1
222,3.3,190435.0,996.35,3.83315347,15.61618791,1
223,3.15,376801.0,2137.65,5.610216465,16.60515531,2
224,2.21,146110.0,3293.25,3.494195271,16.76233729,2
225,3.42,148842.0,2400.21,5.358143152,17.05350039,1
226,2.31,254157.0,4163.59,4.119121853,16.95488749,1
227,2.71,239876.0,2432.86,3.253768116,15.38106696,1
228,2.21,249226.0,1264.43,5.413255721,18.09675408,2
229,1.87,334122.0,1504.68,3.39917791,16.52798593,2
230,3.42,216571.0,2885.12,8.00044238,18.22124956,1
231,1.1,456093.0,2326.98,6.853848868,14.35050725,1
232,2.41,299648.0,2329.65,6.923484846,16.71092235,2
233,1.31,219463.0,2063.2,5.233228852,15.79569125,2
234,3.13,368933.0,2712.17,4.408502293,16.57025124,1
235,2.52,467761.0,2125.19,6.223753309,16.3979045,1
236,1.23,216996.0,1933.5,6.538037103,15.18705011,2
237,1.65,217143.0,2717.79,7.136574545,16.77773459,2
238,1.56,324709.0,2388.8,4.650504534,15.29443484,1
239,1.21,456683.0,2238.53,3.764255972,16.99414605,2
240,3.15,380953.0,2157.58,6.730774981,14.72647362,2
241,1.93,388029.0,2569.42,3.26042284,17.84110549,1
242,3.03,212978.0,1369.84,6.794639172,18.00400799,1
243,1.79,262319.0,2745.63,3.733722382,15.85093907,2
244,0.23,307646.0,2670.72,4.04877199,15.65767429,0
245,3.26,229937.0,2277.81,6.926885176,14.35050725,1
