,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C),Class
0,1.1,240014.0,620.61,5.160996303,19.08972973,2
1,1.86,157061.0,854.62,6.48366509,16.09485175,1
2,1.02,356791.0,2322.08,7.172263908,15.65303795,0
3,1.41,185680.0,4829.38,6.920412236,17.68383197,1
4,0.2,285591.0,620.61,7.761739653,18.57132697,2
5,0.96,93409.0,3963.22,7.995273941,19.08972973,1
6,1.49,78065.0,1601.88,5.540827891,16.59611019,1
7,2.01,446483.0,1955.3,7.311150281,16.72241998,0
8,1.48,223008.0,1843.63,6.326720993,19.08972973,2
9,2.77,253749.0,3974.35,4.7458315,16.88886843,0
10,0.99,159367.0,2403.76,7.79352204,18.0470165,0
11,0.84,219913.0,1500.17,6.545183371,15.50390969,1
12,1.55,78065.0,2055.66,8.579391481,17.17354918,1
13,0.95,198404.0,4429.02,7.984110811,16.92298732,1
14,0.45,100162.0,620.61,6.907375886,17.98731403,1
15,2.4,269866.0,1897.87,5.68330371,19.08972973,1
16,1.31,248616.0,2327.81,6.250253226,15.232085,2
17,2.21,123182.0,1614.35,5.253181435,17.53211856,0
18,1.75,304512.0,5006.9,7.00379451,18.09219867,1
19,1.36,210397.0,4567.61,6.014488816,15.80789195,2
20,1.04,190802.0,2227.5,6.419203921,15.08088768,1
21,0.49,173907.0,4954.14,5.11710058,16.73914054,0
22,1.59,298671.0,620.61,5.906936858,15.89475674,1
23,1.45,188661.0,1447.96,5.388176141,16.41192629,0
24,2.17,287611.0,1286.48,7.60395531,15.99774262,2
25,0.3,288164.0,4805.05,6.994938935,18.3837483,1
26,1.45,184013.0,1675.8,7.532687909,18.37880002,1
27,1.53,284841.0,2912.78,5.162589192,17.88149749,1
28,1.79,244235.0,1884.33,7.562820736,16.69509457,1
29,3.21,171826.0,5006.9,6.744680059,17.15568927,1
30,2.61,270882.0,1369.78,5.304079631,18.12664065,2
31,0.65,132594.0,2988.7,5.32859887,16.77795808,1
32,1.07,185266.0,5006.9,6.122906108,16.66032637,1
33,1.09,356668.0,2441.44,5.354021149,16.13629096,2
34,0.46,111179.0,1091.98,6.461983212,17.18351613,1
35,1.8,307386.0,697.31,5.877869378,17.63867484,0
36,2.5,163182.0,3937.25,5.313427796,15.74414412,1
37,2.07,380350.0,689.56,6.133253587,15.23077658,0
38,2.44,260257.0,2944.97,6.363519596,16.54285352,1
39,1.54,237677.0,2651.19,3.810045821,16.55160354,2
40,1.76,177574.0,1256.0,5.513232171,16.07272467,1
41,1.03,211424.0,2113.19,8.067845327,16.70306796,1
42,1.46,78065.0,815.67,7.352433095,19.04932928,2
43,0.35,469307.0,1336.16,5.895756992,16.91868633,2
44,1.26,270183.0,1414.76,5.708750668,18.15035892,1
45,0.7,433963.0,2296.03,6.727761325,16.74868638,1
46,1.71,298358.0,4058.46,5.776397801,17.71700114,2
47,0.89,302714.0,2541.49,6.940913128,16.44228523,0
48,0.69,309794.0,1187.11,7.434235696,17.20522398,2
49,0.25,254842.0,1138.21,5.456738825,17.16013698,1
50,2.49,221291.0,5006.9,6.441698639,16.51414398,2
51,1.31,155631.0,1836.14,6.260443941,16.15656272,0
52,3.02,331871.0,989.96,7.37332104,16.98864349,1
53,1.21,273211.0,3522.37,6.637399393,18.88697736,0
54,0.58,78871.0,1508.93,4.313165307,17.05566717,1
55,1.09,273385.0,1987.99,4.929169781,17.22830486,0
56,1.21,349726.0,4436.94,7.757656787,16.05575725,0
57,1.25,306278.0,1080.34,6.558684314,17.57213044,2
58,1.85,260889.0,1747.86,5.561467947,14.20705041,1
59,0.2,213979.0,2385.25,8.579391481,16.18545415,2
60,1.18,247776.0,2258.66,4.88557692,16.3497597,1
61,0.27,263367.0,1199.36,6.95347221,17.45059136,1
62,0.2,287795.0,1478.17,7.069149687,17.25787659,1
63,1.21,131814.0,2465.81,7.048133672,16.70774918,2
64,1.44,324945.0,4215.16,7.244875046,15.23132194,1
65,1.88,232224.0,3707.62,6.446751753,17.48321075,1
66,1.55,288080.0,1471.86,8.033465095,17.12442586,1
67,0.93,194572.0,620.61,5.529012734,14.99214915,1
68,0.71,218491.0,5006.9,7.353295264,17.34685843,1
69,1.53,374968.0,2323.65,6.608832918,15.82135768,1
70,0.46,195916.0,1751.18,5.377353332,17.06576921,1
71,2.81,131089.0,2805.25,4.106446251,17.03569223,1
72,1.19,389518.0,620.61,6.511297113,15.37996907,2
73,0.2,277420.0,2890.6,7.344509883,18.09263797,1
74,2.39,78065.0,1209.63,3.253768116,15.91904815,1
75,1.28,416135.0,4261.06,6.535111203,16.08016788,1
76,0.91,231914.0,1478.28,4.637516597,17.94211007,1
77,0.69,232223.0,2343.86,5.850143536,18.01058939,1
78,1.25,285980.0,3421.3,6.66193862,17.19197261,1
79,0.83,163485.0,1187.27,4.5114197,15.62969225,2
80,1.61,427663.0,1006.39,4.731389667,16.88253672,1
81,2.57,171039.0,3746.77,5.986528264,17.3629439,1
82,0.65,301424.0,969.31,7.046838891,18.33631735,2
83,0.96,165168.0,3635.42,6.443736546,15.78120335,1
84,0.49,265737.0,976.01,8.526096416,17.00557479,1
85,0.96,149993.0,1572.33,6.100347552,15.88705176,2
86,0.51,194131.0,3808.1,7.456931417,17.53957264,1
87,1.61,220418.0,884.03,4.480347218,16.46831321,1
88,2.26,197570.0,3028.33,5.419117348,15.79769708,1
89,1.04,288000.0,1167.06,7.081997509,17.27164545,1
90,3.39,154928.0,2369.27,6.931192031,16.88964669,1
91,0.77,212653.0,2400.57,6.256482026,18.04585249,1
