,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Max Temp (C),Avg Min Temp (C),Class
53,1.1,157737.78,1046.95,18.65053388,7.91063655,0
56,1.1,157737.78,1046.95,18.65053388,7.91063655,0
63,0.81,157737.78,1046.95,18.65053388,7.91063655,0
97,1.03,163156.29,1737.05,18.48071429,7.308670635,0
98,1.03,163156.29,1737.05,18.48071429,7.308670635,0
99,0.93,163156.29,1737.05,18.48071429,7.308670635,0
100,1.01,163156.29,1737.05,18.48071429,7.308670635,0
101,0.95,163156.29,1737.05,18.48071429,7.308670635,0
102,0.99,163156.29,1737.05,18.48071429,7.308670635,0
103,0.94,163156.29,1737.05,18.48071429,7.308670635,0
104,0.91,163156.29,1737.05,18.48071429,7.308670635,0
105,0.95,163156.29,1737.05,18.48071429,7.308670635,0
106,0.9,163156.29,1737.05,18.48071429,7.308670635,0
107,0.75,163156.29,1737.05,18.48071429,7.308670635,0
194,1.02,259801.52,2627.47,17.95650964,6.807773019,0
195,0.95,259801.52,2627.47,17.95650964,6.807773019,0
196,0.95,259801.52,2627.47,17.95650964,6.807773019,0
197,0.87,259801.52,2627.47,17.95650964,6.807773019,0
198,0.94,259801.52,2627.47,17.95650964,6.807773019,0
199,0.96,259801.52,2627.47,17.95650964,6.807773019,0
200,1.01,259801.52,2627.47,17.95650964,6.807773019,0
201,0.98,259801.52,2627.47,17.95650964,6.807773019,0
202,0.93,259801.52,2627.47,17.95650964,6.807773019,0
203,1.03,259801.52,2627.47,17.95650964,6.807773019,0
204,0.75,259801.52,2627.47,17.95650964,6.807773019,0
205,1.06,273619.11,2756.71,18.14455594,6.818754325,0
206,1.07,273619.11,2756.71,18.14455594,6.818754325,0
207,1.1,273619.11,2756.71,18.14455594,6.818754325,0
208,1.06,273619.11,2756.71,18.14455594,6.818754325,0
209,1.03,273619.11,2756.71,18.14455594,6.818754325,0
210,0.96,273619.11,2756.71,18.14455594,6.818754325,0
211,1.01,273619.11,2756.71,18.14455594,6.818754325,0
212,1.02,273619.11,2756.71,18.14455594,6.818754325,0
213,1.01,273619.11,2756.71,18.14455594,6.818754325,0
214,0.93,273619.11,2756.71,18.14455594,6.818754325,0
215,0.95,273619.11,2756.71,18.14455594,6.818754325,0
232,1.08,357035.3,2843.61,16.84486111,6.160416667,0
234,1.09,357035.3,2843.61,16.84486111,6.160416667,0
236,1.05,357035.3,2843.61,16.84486111,6.160416667,0
238,1.07,357035.3,2843.61,16.84486111,6.160416667,0
239,1.03,357035.3,2843.61,16.84486111,6.160416667,0
