,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,0.84,360756.0,4465.16,5.340687731,16.18314703
1,2.45,88455.0,1381.69,3.054508121,14.13932701
2,3.2,353507.0,2270.63,0.507621113,12.76311323
3,1.45,142174.0,757.07,2.149311123,15.2183454
4,1.66,246717.0,2029.03,1.635756479,13.75947061
5,1.03,261126.0,2126.24,5.922568255,16.44406819
6,1.43,155890.0,1466.74,4.306714417,17.45540649
7,2.31,122955.0,1141.05,1.920878969,15.10880954
8,2.44,224756.0,1698.48,1.569309976,13.28031138
9,1.11,374375.0,2571.88,6.015310908,17.48697341
10,3.59,360246.0,2296.98,1.62185632,13.4585035
11,1.28,252533.0,1777.14,3.118797448,15.84287848
12,1.21,276208.0,3703.62,5.762482324,17.0220376
13,0.9,150774.0,1136.21,1.881978718,15.65225388
14,1.08,357863.0,2544.32,4.272299142,15.79583104
15,2.18,357856.0,3319.76,3.611571695,15.60984418
16,1.32,158791.0,1063.37,3.796316209,16.25540204
17,0.93,174025.0,1154.74,3.078807223,15.81728569
18,1.11,249256.0,1136.78,0.165979281,12.42152775
19,1.98,232486.0,1511.52,1.761806334,13.50652757
20,1.46,141293.0,1473.33,2.207635789,14.8870752
21,0.92,381075.0,2524.33,1.921305247,13.83303082
22,0.77,144351.0,697.28,4.513415053,17.19337157
23,1.23,268575.0,3696.46,6.287126789,16.76415368
24,0.79,155842.0,652.96,3.489762765,16.44922801
25,1.14,134099.0,1699.73,5.738050656,16.98162445
26,1.71,140301.0,586.86,2.0498755,14.45459534
27,1.12,147467.0,1612.4,2.997217492,13.92257311
28,0.85,167837.0,1207.76,3.616183008,16.90920732
29,1.48,151890.0,1326.27,2.827416034,15.93026609
30,2.63,138793.0,975.83,3.479598105,16.14593904
31,1.27,273667.0,2332.54,6.607939864,17.3372402
32,1.8,252112.0,1711.01,4.093658155,16.54166322
33,1.68,132890.0,774.15,2.961205127,16.00339936
34,0.51,439966.0,2447.01,3.496979068,15.79296189
35,0.79,271620.0,1873.95,3.389671759,16.163637
36,2.1,240112.0,2732.27,5.113208161,16.20594998
37,0.93,164797.0,1089.19,5.106577565,17.2652546
38,1.27,358884.0,2173.2,5.739593468,16.87456784
39,1.29,160658.0,2242.86,6.478266033,16.95116459
40,1.49,239120.0,1491.95,1.44439929,13.48877004
41,0.53,151630.0,1157.56,3.01033986,16.36875318
42,1.33,352213.0,2376.74,5.353267244,16.79387506
43,1.89,340975.0,2044.15,1.676948955,15.21035493
44,2.47,244357.0,2056.72,5.517996655,16.68136668
45,1.56,227324.0,1498.42,0.937029312,12.20629564
46,1.68,365542.0,2332.89,3.107554778,15.58405096
47,2.42,371070.0,2264.17,1.471955615,13.70707194
48,0.98,176987.0,660.44,3.723473524,16.95446126
49,0.31,398271.0,2401.15,2.611026001,14.02700562
50,2.4,358998.0,2161.91,1.688806166,13.44775367
51,1.49,226613.0,1189.81,1.228593494,11.86793824
