,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,0.56,385685.0,2592.91,3.983448977,15.59375898
1,0.85,361853.0,2017.32,1.82138976,13.66743598
2,1.61,250738.0,1823.37,1.263441295,13.47246304
3,0.51,385217.0,2567.85,4.389223059,15.798584
4,2.08,133749.0,1162.77,5.391147961,16.49302282
5,0.46,261265.0,2260.94,5.053921643,17.36554193
6,1.49,151393.0,1071.03,1.751536262,15.05695491
7,1.55,150871.0,1263.56,3.6817522,16.437007
8,1.11,364442.0,3776.1,5.816267529,16.70472355
9,1.31,146875.0,1202.03,4.720872326,17.64548668
10,0.53,137355.0,898.36,2.31680977,13.30136688
11,0.68,371108.0,2451.46,2.251336618,13.18392568
12,0.77,160828.0,755.69,3.303179217,16.28902581
13,3.31,362934.0,2689.72,1.362109238,14.94246315
14,1.35,133587.0,953.8,6.682631992,17.14691327
15,1.09,370791.0,3252.43,5.448964314,16.3704083
16,0.88,262385.0,1689.58,2.106965675,13.27028222
17,3.3,148485.0,1240.19,3.809741576,15.76893789
18,1.21,145004.0,2159.66,6.760582704,18.44659454
19,1.08,380137.0,3106.27,6.099586846,17.16544658
20,0.64,361996.0,2501.58,2.038239141,14.0140295
21,2.15,156268.0,852.46,3.108929438,15.65533706
22,3.94,362849.0,2439.59,1.726982132,14.61881305
23,0.72,283494.0,2459.48,3.856944072,15.76615239
24,1.15,264395.0,1376.62,2.570694006,15.37403616
25,0.57,366808.0,3127.91,4.663636863,16.1031225
26,0.81,150117.0,864.92,4.623335988,16.4870931
27,0.74,153207.0,2637.22,3.837235712,17.16249394
28,1.44,142495.0,1660.83,5.256539561,17.15237611
29,0.49,157917.0,786.23,4.35358606,17.47747382
30,0.84,154982.0,1582.38,3.865553387,16.70420931
31,2.78,241861.0,1951.34,4.460366339,16.1994118
32,1.22,133074.0,787.41,5.885088948,17.23543023
33,0.58,365400.0,2281.68,1.549645033,13.74977787
34,1.38,356710.0,4119.37,4.898304123,15.76518283
35,1.08,380963.0,2557.86,1.492121604,13.38155922
36,0.55,384465.0,2148.26,2.193146734,14.04547055
37,0.68,274113.0,2051.79,3.008428348,16.04659947
38,0.84,153879.0,769.77,3.553242225,16.68418716
39,0.72,389830.0,3215.37,3.626376594,15.64649212
40,0.81,170884.0,1063.09,4.389031791,16.5431414
41,1.49,153465.0,1995.22,6.52560263,17.0788138
42,0.84,127295.0,865.84,5.856190156,17.87362112
43,2.21,350504.0,1804.6,2.024832634,14.12095198
44,0.51,170025.0,1669.37,6.862136704,17.71136905
45,1.68,259945.0,3133.91,4.9475299,16.44973609
46,1.35,152120.0,1813.53,6.496130444,17.34090386
