,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,1.83,275208.0,3091.55,6.511566566,17.18234933
1,2.72,125482.0,942.28,5.221934089,16.85868071
2,1.66,256969.0,2086.02,3.852504243,15.74390929
3,1.75,247741.0,1595.01,1.772270714,13.11711109
4,1.0,241660.0,2294.37,6.144242739,16.81291593
5,1.11,332722.0,2723.86,6.64157982,17.37699034
6,1.21,269887.0,1254.05,2.80061197,16.00244707
7,1.37,369291.0,1794.75,0.710774691,13.9588368
8,1.81,123969.0,1967.33,6.730783415,17.69526995
9,1.16,153988.0,1290.05,6.578322789,18.2105037
10,1.23,288288.0,2666.66,2.685562774,15.45969119
11,2.77,141457.0,984.09,5.748390763,16.08575176
12,1.51,145852.0,1451.38,6.837377133,17.48266078
13,1.4,138316.0,613.89,2.652742989,13.75221485
14,1.3,360592.0,2497.26,2.612876771,14.02443131
15,1.97,349214.0,2448.58,5.532089959,15.66934994
16,1.56,251934.0,2156.8,7.099370769,17.62426478
17,1.66,353199.0,2708.28,3.837007223,16.18744324
18,1.71,230072.0,1589.31,1.851183572,13.87930864
19,2.95,93359.0,759.35,3.34269733,15.92566044
20,0.24,391597.0,3008.17,4.722449811,16.60776676
21,0.61,166908.0,1305.88,3.548478658,15.66358889
22,1.14,375912.0,3906.37,6.074615972,16.92753509
23,2.71,107246.0,727.05,5.612141532,16.88650836
24,0.57,261132.0,1744.85,4.100519036,16.69062663
25,1.89,231984.0,2099.11,6.442064023,16.27593066
26,1.44,78065.0,723.06,7.018730636,17.54448924
27,1.88,140421.0,1518.83,6.589535944,17.29945268
28,1.19,372795.0,2367.5,3.857372602,16.10347695
29,1.34,360544.0,2193.86,1.364985293,13.03246379
30,1.47,234889.0,1643.79,3.756875901,15.23892691
31,1.74,93984.0,1174.3,6.6859325,17.68921949
32,2.64,332052.0,3043.88,4.347923296,15.31133325
33,2.43,371154.0,3441.39,4.583826467,16.24576105
34,2.8,135861.0,799.13,3.581821,15.68952622
35,1.66,111947.0,696.83,2.702474365,15.61175669
36,2.05,97383.0,728.63,7.416131165,18.95387197
37,1.8,256901.0,2459.35,6.606811603,17.25463652
38,1.27,263676.0,1658.48,2.893976792,15.74132722
39,1.59,239837.0,2246.76,6.124164831,17.40395418
40,0.98,366626.0,2821.96,2.359684742,15.17928041
41,2.08,125090.0,1617.23,6.475300639,17.31490982
42,1.06,380049.0,2369.11,1.909965787,13.50115911
43,1.2,367375.0,2542.92,4.229525837,16.43064556
44,1.47,223150.0,2438.12,5.938565875,16.5379186
45,1.03,376124.0,4518.23,3.513924213,15.94493917
46,1.89,246875.0,1779.05,1.619639447,12.94539281
47,2.19,125986.0,1010.66,2.744991959,14.89574517
48,1.77,275711.0,2362.9,6.316596899,17.61131746
49,1.74,246847.0,1519.4,3.45881416,16.45766352
50,1.31,129667.0,613.89,2.030465182,13.37179593
51,0.83,286374.0,3230.31,5.838677705,17.27299047
52,1.48,239935.0,1393.09,2.247263631,13.80984841
53,1.25,152582.0,2109.42,5.664566768,17.50721368
54,1.47,352372.0,2123.93,0.361072024,13.52356099
55,1.33,361545.0,3109.36,4.15234973,16.5969171
