,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,2.46,349000.0,2214.69,3.009017983,15.65302413
1,1.32,247385.0,1500.88,1.05848938,13.23110961
2,1.42,129812.0,829.26,1.788219369,13.81705624
3,2.01,247534.0,1573.89,2.856534079,15.17104283
4,1.29,133436.0,877.05,4.074296695,17.01253422
5,1.09,278493.0,1678.91,2.497221525,14.32542228
6,1.02,399780.0,2445.6,2.405791962,13.88757839
7,1.34,136874.0,1160.23,1.132887965,14.68311676
8,2.18,127933.0,1354.03,2.262047581,15.34535893
9,1.28,160422.0,847.47,3.220634184,16.10348106
10,2.05,287032.0,2275.41,5.265071534,16.17880736
11,1.53,242396.0,2053.26,1.80332696,13.33653075
12,1.27,108879.0,1321.26,2.637105127,13.67111073
13,0.87,346445.0,2641.92,6.425984739,17.30720151
14,0.73,370702.0,2897.0,6.817787623,17.29454466
15,1.71,256571.0,2348.48,5.370261294,16.56519511
16,2.77,249398.0,1724.03,3.598764085,16.26654305
17,1.89,341104.0,1729.97,1.062475632,13.08857612
18,2.43,354071.0,2124.41,2.219968898,14.82219603
19,2.42,335377.0,1840.54,1.658625147,12.88289458
20,1.69,120419.0,732.13,1.704577295,13.6551415
21,2.63,333998.0,2774.74,7.041293726,17.27412606
22,1.16,251800.0,1767.03,1.970244405,14.84659214
23,0.8,157320.0,1454.89,3.862606914,16.63938256
24,1.81,257817.0,2419.64,5.290244941,16.98757737
25,1.81,245819.0,1426.7,2.435542191,15.37393436
26,1.31,358406.0,2209.64,2.366556307,12.97620781
27,1.01,272338.0,1668.23,1.971285285,15.17002233
28,1.58,115650.0,785.92,5.964221331,16.71161549
29,2.7,230118.0,1281.88,2.324647439,13.44744276
30,1.01,253229.0,1037.46,2.252022168,15.32686226
31,2.92,342576.0,2276.26,2.94092009,15.08770915
32,1.42,266506.0,1251.46,1.215553352,14.69901652
33,0.88,272980.0,2189.69,6.976937534,18.00602988
34,2.53,242920.0,1236.81,3.051724704,15.03134112
35,2.78,127646.0,1613.1,3.383670513,15.47465214
36,0.97,263911.0,1388.6,2.224329717,13.69917395
37,0.85,262239.0,2079.16,3.605654137,16.39876058
38,1.18,267538.0,1431.41,2.454718276,15.603506
39,1.08,300827.0,3095.47,6.590007053,17.84962091
40,1.37,148762.0,933.92,4.347902314,17.31709354
41,1.81,264521.0,2954.6,5.722419778,17.2939243
42,2.08,126600.0,1346.11,5.898640372,18.50501799
43,1.76,136638.0,1348.58,1.643152469,15.0898162
44,2.29,122523.0,1270.1,2.329854345,13.36684669
45,2.19,256977.0,2475.6,5.665819468,17.54576794
46,3.01,351473.0,2500.65,2.949103214,15.58430478
47,0.83,261888.0,1327.04,3.233525324,15.21236263
48,2.2,243014.0,1535.73,2.494769553,14.82217739
49,3.1,356358.0,2915.94,5.396229627,16.31125601
50,0.7,265505.0,1642.38,3.935946452,16.54443195
51,1.95,256279.0,2314.84,5.527606428,16.87042201
52,1.72,361215.0,1890.69,2.966718957,15.09913714
53,0.92,257620.0,1486.9,3.552361396,16.1099112
54,1.96,236886.0,2335.07,5.87143309,16.78969704
55,2.44,349958.0,2706.8,5.246026341,15.46312523
56,0.87,158028.0,1334.81,2.08352913,14.09625925
57,1.22,149039.0,1199.56,1.972236719,14.13820377
58,1.71,135713.0,1470.2,5.620455027,16.66137087
59,1.49,258655.0,953.25,1.771349789,13.86628686
60,1.06,138800.0,1143.17,3.034507183,15.41043011
61,0.74,161443.0,1330.9,4.325126034,17.28272803
62,0.78,270676.0,1300.35,2.389081754,13.83104583
63,3.91,355187.0,2516.47,1.078471617,14.1982936
64,2.08,144440.0,1185.11,4.550653907,16.7105153
65,2.06,347877.0,2621.52,2.634058752,15.35562145
66,1.0,151592.0,836.7,1.750250337,15.40083259
67,1.79,224675.0,2036.94,1.338442482,13.96391133
68,1.48,256939.0,2347.48,6.513509154,18.93466655
69,2.83,356820.0,3030.84,3.116971501,15.69409099
70,1.82,140644.0,829.77,2.67261031,15.58621347
71,1.02,274001.0,1950.06,3.636232975,16.3710826
72,1.79,140439.0,1344.56,3.170501568,15.48893975
73,2.33,327239.0,2759.22,5.478257053,16.69109208
74,1.18,257866.0,1515.19,2.154074331,15.38236484
75,2.99,248358.0,2410.21,4.839360027,16.75086366
76,0.92,384125.0,2626.11,2.794455347,14.19936274
77,2.67,121392.0,1435.09,2.584771309,15.5583148
78,2.22,139224.0,1716.7,5.972154542,16.73234041
79,0.97,142875.0,1472.86,3.04877785,16.11194521
80,1.16,368673.0,3576.8,5.619775714,17.56554234
81,1.26,367608.0,2011.47,1.323827793,13.38579795
82,2.67,353856.0,2882.47,5.328299489,16.01443607
83,1.98,355238.0,1941.47,2.485038208,14.50447006
84,1.89,134883.0,1167.89,3.579312416,15.87535946
85,1.08,144135.0,741.6,2.114575952,15.52302978
86,1.75,237108.0,1619.18,1.21287912,13.1162814
87,2.48,350476.0,2527.71,2.791147495,15.93912682
88,1.05,259967.0,1329.94,1.651586364,13.03847675
89,2.12,344079.0,2134.43,4.316507687,15.95961982
90,0.87,381137.0,2455.55,2.013650766,15.07360304
91,1.39,348402.0,2138.91,2.688132152,15.08935937
92,1.89,261930.0,1580.98,4.790588716,16.81305485
93,1.94,263450.0,2144.07,6.242482712,17.30677985
94,1.55,146803.0,781.15,3.847711174,16.46574248
95,0.89,356227.0,2757.72,0.722858088,13.47261903
96,1.81,249728.0,2415.28,5.01438811,17.41853094
97,1.27,138504.0,1217.08,2.483373181,14.60605568
98,0.79,391388.0,2958.77,3.75187876,16.12934306
99,1.69,243701.0,1118.95,1.831249815,13.62230601
100,0.67,165878.0,2005.19,4.455965315,16.31781379
101,2.46,359512.0,2430.9,3.133771754,15.3729046
102,1.65,350759.0,1953.01,0.569700709,14.67987216
