,Yield (tons/acre),Time Since Sown (Days),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,0.29,1251,400356.0,2303.91,3.587200962,16.49932985
1,2.95,368,120885.0,810.99,1.648140637,15.70087653
2,1.85,1157,359275.0,1780.17,2.187742011,15.27359621
3,3.05,770,243178.0,1871.91,3.18088129,15.11701557
4,2.79,787,361619.0,1964.66,3.395295704,15.21171571
5,2.09,385,121912.0,1549.43,4.663126737,16.26749796
6,1.06,860,270172.0,1483.61,2.3361974,15.25370678
7,1.08,840,266885.0,2052.86,4.572580308,16.81861278
8,2.25,416,132649.0,1257.76,5.876831216,16.63194473
9,1.4,471,149092.0,1616.85,6.212601821,17.24866982
10,1.04,1222,451205.0,2576.68,4.044867376,16.08252114
11,1.35,1180,392150.0,2384.53,4.872778821,16.38801966
12,1.17,470,147537.0,1667.78,7.68790729,18.44403812
13,2.56,1114,351799.0,2080.64,2.613552774,15.07211405
14,1.67,1171,361840.0,2094.36,6.23807726,16.89090176
15,2.42,1147,366193.0,1824.94,3.507303977,14.96651477
16,1.82,1143,362727.0,1867.78,1.918155375,15.27035623
17,1.55,427,140276.0,904.91,2.874508829,15.94722574
18,0.95,843,275291.0,2256.86,3.085249349,16.13819935
19,1.03,1147,366953.0,3729.96,6.486052447,17.03296039
20,1.44,486,268967.0,2115.69,6.449191006,16.9528756
21,2.76,1142,360165.0,1998.8,3.031323763,15.13112807
22,2.46,429,137362.0,1185.04,5.946459467,16.71987826
23,1.83,1159,372868.0,1842.69,2.921293758,15.42460002
24,1.53,814,254571.0,1449.97,3.494264023,15.49183126
25,1.68,401,128743.0,750.37,6.09259369,17.88335368
26,1.36,448,148252.0,805.12,2.974620457,16.30901603
27,1.23,823,253482.0,2487.36,6.454452664,17.68296004
28,0.81,1193,385883.0,2327.15,2.111996323,15.03956747
29,0.78,824,313841.0,1895.9,4.51813165,16.38076145
30,2.54,342,107440.0,1592.73,4.350963929,15.56321556
31,1.21,828,264151.0,1712.31,2.849918582,15.86696053
32,1.27,798,352128.0,2992.31,5.413166881,17.06651326
33,1.51,845,269187.0,2060.9,3.485631753,15.43451649
34,1.59,818,254385.0,1667.7,4.26259832,15.85824197
35,1.44,757,235130.0,1726.83,2.695821121,15.20369779
36,0.94,517,165598.0,2065.52,7.064895941,17.80601589
37,0.93,486,159777.0,1671.63,3.503819519,16.17998247
38,1.54,414,131027.0,1337.63,7.340848484,17.22200766
39,2.94,760,230977.0,1883.05,4.364734944,15.75081099
40,2.16,1138,372707.0,1910.16,2.409664936,14.88644231
41,1.25,846,269339.0,3799.56,7.430326263,18.40520142
42,2.9,1106,357298.0,3588.63,5.795820162,15.90060503
43,0.41,1161,366571.0,1880.2,2.813725534,16.22006915
44,0.83,505,163263.0,1175.33,7.449122652,17.91891803
45,2.47,398,131485.0,1359.28,3.560708997,16.06086192
46,0.98,461,155392.0,822.51,4.167086738,16.53710613
47,1.73,735,228397.0,2238.23,5.221386609,15.66387494
48,1.36,790,232762.0,2134.83,6.53741753,17.14779167
49,0.73,488,167288.0,1020.48,5.060591182,16.88079284
50,0.76,1168,366668.0,3694.61,3.646825066,16.10609205
51,0.83,545,176231.0,1743.52,4.230298288,16.59204198
52,0.98,844,273030.0,2371.15,2.829519087,15.67689107
53,2.77,788,251481.0,1560.72,2.732368068,14.98634893
54,2.71,437,144899.0,1454.86,4.200598081,16.25119064
55,1.69,362,84181.0,954.17,3.945306451,15.26418444
56,1.07,436,139406.0,699.96,5.759831667,17.1082624
57,1.85,456,129417.0,985.65,3.861671696,15.90461254
58,2.57,748,230644.0,1538.29,4.112566296,16.31838729
59,0.72,1193,389331.0,3616.92,5.003620479,16.46544643
60,1.14,1355,377342.0,2671.2,3.941378654,15.29048125
61,0.51,1262,292886.0,2125.1,3.678520594,16.07327271
62,1.5,811,253738.0,1955.78,2.543500582,15.22097524
63,2.16,443,139723.0,958.05,2.325994294,15.73227779
64,2.74,401,115695.0,1202.09,2.843951438,15.30783348
65,1.83,787,250869.0,1690.87,3.244683561,15.85111584
66,1.34,1153,342906.0,2610.53,3.705263491,15.80657754
67,1.53,406,133546.0,1115.8,4.353733467,16.72565804
68,1.67,815,250280.0,2762.57,6.463853966,17.5517467
69,1.63,447,124127.0,2385.7,5.43934861,18.59479236
70,1.41,500,162310.0,1842.09,7.749687116,19.06520457
71,0.47,1198,378508.0,1953.13,3.149529994,16.08416939
72,2.54,760,241065.0,1608.31,2.652798649,15.03541437
73,1.72,791,249841.0,1279.99,2.17158036,15.38714476
74,2.35,803,254914.0,2361.32,5.9160625,17.19838801
75,1.93,787,237540.0,2132.58,5.936081694,16.65904621
76,0.99,1181,377255.0,2311.79,2.466398007,15.35885082
77,1.18,847,270003.0,1894.79,4.477832605,16.61579346
78,1.59,1149,356000.0,2372.33,3.676960616,15.63980683
79,1.9,793,254769.0,1750.96,5.130490738,16.32202454
80,0.97,900,293353.0,2442.14,4.584081867,17.5851964
81,2.09,407,124037.0,1320.19,5.806742657,16.44289078
82,2.61,763,128783.0,1365.77,1.996714915,15.04580475
83,1.78,780,243351.0,1775.77,2.739714804,15.35834423
84,2.77,380,100613.0,1520.83,5.244092146,16.23029157
85,1.86,392,121299.0,1009.95,2.821200639,15.57446373
86,1.54,735,231985.0,1640.07,4.23065057,15.22529553
87,2.27,756,240295.0,1336.73,3.537770327,15.11118494
88,1.37,465,151034.0,1361.65,6.12550035,17.43605551
89,2.45,666,186915.0,1909.43,5.873802059,16.70919358
90,1.47,1153,366018.0,2363.72,4.419578343,15.29274712
91,0.88,1252,469473.0,3921.98,3.722929629,15.96367032
92,4.4,1139,344006.0,2038.74,2.895075564,14.94859607
93,2.5,393,123059.0,1058.67,6.409998709,17.93531258
94,0.81,1159,254361.0,1867.74,2.752831539,15.49438128
95,0.99,1162,365824.0,4774.88,5.799592116,16.85842173
96,2.48,425,140626.0,1003.46,3.392354869,15.34325409
97,2.17,826,256405.0,2414.31,6.615254112,17.36371622
98,0.97,1207,429665.0,3596.55,5.817473445,16.91750287
99,2.21,779,242515.0,1892.5,3.727548405,15.57185857
100,1.36,1178,369076.0,1978.38,3.169510104,16.07099826
101,1.87,365,78065.0,741.61,2.719968723,13.47529223
102,0.55,1267,366007.0,3588.94,4.929173777,16.06237452
103,1.95,411,132332.0,786.88,5.494356914,16.30319897
104,1.71,425,138536.0,823.16,3.192032725,15.84967757
105,1.59,797,241868.0,1574.51,3.609367985,15.85747965
106,1.96,404,130403.0,1613.41,2.849219192,15.66850245
107,1.23,747,248049.0,2508.08,6.450167445,17.38315781
108,0.97,1172,365846.0,2647.65,6.648459335,17.41950883
109,1.55,440,129917.0,1028.6,3.614543493,16.17963454
110,1.72,774,244089.0,1705.47,1.637083386,15.17349028
111,2.32,405,126949.0,864.48,2.397628594,13.98320339
112,1.67,411,128144.0,992.85,3.694340435,16.14076089
113,0.87,1186,397737.0,3940.54,3.06597183,15.25732916
114,2.07,778,252381.0,1358.01,1.878677133,15.38134392
115,2.07,780,246505.0,1298.16,3.26627484,15.388857
116,2.9,1114,336448.0,3513.96,4.027130654,15.59136591
117,1.37,447,151619.0,1392.28,3.790366146,17.44709157
118,1.06,844,269434.0,2048.43,7.572698769,17.43026247
119,1.05,455,135751.0,1786.82,6.785741016,17.63909005
120,1.62,439,128589.0,1144.47,6.150742179,17.72573927
121,2.56,1081,274070.0,2308.69,2.330816044,15.11227539
122,1.74,763,266735.0,1937.91,4.791550306,16.03907915
123,0.81,717,210725.0,2363.13,7.03339093,18.37035674
124,1.38,401,128008.0,1304.66,3.989754581,16.16163738
125,2.7,385,128379.0,1577.45,3.335716653,15.47021716
126,1.31,459,151074.0,939.01,7.30021715,17.94558784
127,1.76,823,244281.0,1860.01,5.697476269,16.24199477
128,0.48,1203,445776.0,2410.73,1.955429129,15.4079701
129,2.23,786,248827.0,1535.87,2.65378815,14.76784284
130,2.39,431,138175.0,1673.1,3.855839233,16.62770222
131,1.69,459,152341.0,1708.0,6.884385877,17.08995018
132,1.46,347,102747.0,1134.78,6.376335243,16.93868779
133,1.7,405,141207.0,1306.11,4.744122698,15.89415534
134,1.56,1150,361522.0,2786.28,6.149070689,17.19928694
135,0.99,841,266225.0,1995.93,6.180131573,17.1961132
136,0.77,1227,390524.0,2240.76,4.595026428,16.61781964
137,1.65,390,119655.0,1362.37,4.654760796,15.79795662
138,1.61,796,255689.0,1764.34,3.15848808,15.47482051
139,1.74,1156,370091.0,1834.52,3.473419107,15.27923821
140,2.1,427,139075.0,1160.23,3.472663143,15.54327909
141,1.58,1210,386680.0,2551.25,6.279507802,17.44233192
142,1.68,785,251790.0,2346.08,4.100179799,15.75910823
143,1.19,499,161184.0,987.71,3.992825383,17.12799906
144,1.22,816,265942.0,2596.86,6.275270189,17.24461016
145,0.33,1194,414527.0,4413.8,5.520560422,16.63839359
146,1.62,469,150059.0,1148.08,6.949932879,17.9909242
147,1.74,456,150530.0,1747.14,6.089358552,16.65591238
148,0.59,1223,396691.0,3316.77,6.967487903,17.51391036
149,1.43,803,255290.0,1926.08,7.862301423,17.46606909
150,1.32,1180,373081.0,2160.9,4.285024453,16.33727901
151,2.58,422,137012.0,867.66,3.285515301,17.01769565
152,1.61,790,240506.0,2478.67,6.119982084,17.0394288
153,1.55,1183,379407.0,2395.7,2.412399682,15.53776987
154,1.94,1133,353311.0,2469.22,5.513209981,16.07999389
155,1.43,816,265504.0,1400.68,2.863429206,15.85005128
156,1.89,1080,350667.0,1743.12,3.256387635,15.14576353
157,1.82,441,143518.0,1021.88,4.873400026,16.16337262
158,0.94,1202,413143.0,2517.95,4.067707064,15.92352525
159,1.49,440,148400.0,1377.04,5.262125801,17.03709441
160,1.61,437,134376.0,808.69,6.725726984,17.92108259
161,2.31,1160,374957.0,3474.26,5.140842666,16.26521058
162,1.26,769,240621.0,2519.5,5.453429073,16.88313209
163,1.19,1178,376217.0,3600.65,5.729733603,17.41200162
164,0.76,845,385414.0,2480.05,6.288555333,17.49277057
165,1.36,474,159303.0,917.77,3.563932608,16.0394635
166,1.64,1160,359340.0,1797.51,2.070346814,15.37732958
167,2.0,1135,362724.0,2026.12,2.98488384,15.76737601
168,1.84,400,123202.0,948.44,2.206480734,15.93437938
169,1.04,472,155454.0,1145.06,3.161501724,16.1992647
170,1.56,821,273609.0,2635.25,4.268255955,17.33599437
171,1.79,431,142937.0,829.52,3.770373401,16.35291405
172,1.92,409,129176.0,641.51,2.268361104,14.99580775
173,1.78,808,257342.0,1218.37,2.679368622,15.2836472
174,0.76,1240,379527.0,2261.55,3.193090642,15.68674859
175,1.08,415,127074.0,970.4,7.175876295,18.45324198
176,1.37,445,138491.0,1193.52,7.406201651,17.17325097
177,1.74,798,253752.0,2446.54,6.016876023,16.96300371
178,2.81,408,125535.0,1467.01,5.66202839,16.20866838
179,1.68,816,371511.0,3140.45,5.277913622,16.18450434
180,2.23,753,222080.0,1358.02,3.502339475,15.35147983
181,1.62,1105,326915.0,2901.75,3.688011104,15.91373912
182,2.3,414,138545.0,1033.91,3.120942518,16.10280638
183,2.96,418,131185.0,1545.96,6.402433167,16.63191764
184,1.6,470,138268.0,1663.95,7.546186376,18.25072974
185,0.95,1171,378170.0,3452.69,4.47279604,15.83448139
186,0.69,1211,388336.0,2425.37,2.826114475,15.26998066
187,1.41,1165,365311.0,2491.43,2.43330348,15.03985324
188,2.28,437,134206.0,1440.57,2.749692814,15.93687305
189,1.83,464,151928.0,1007.91,2.639889486,15.47006783
190,1.7,430,139410.0,1588.63,2.538097823,15.51292568
191,1.92,1184,366780.0,3762.51,5.509657269,16.4626738
192,1.18,845,266006.0,1976.28,5.609581545,17.05791741
193,1.57,811,256968.0,2456.03,6.617538617,17.30278363
194,1.65,702,227846.0,2101.65,3.557230266,14.87727209
195,1.69,388,116013.0,932.08,2.222234727,15.0521066
196,2.5,769,243220.0,1485.95,1.735246015,15.28197299
197,2.43,776,258694.0,2173.53,1.439149208,14.92305068
