,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C),Class
0,2.18,370724.0,3589.54,4.489543195,15.59017382,1
1,1.42,368061.0,3446.9,4.584442798,15.79543186,1
2,1.56,224048.0,2170.2,4.576368656,16.16913917,1
3,0.68,242771.0,2722.05,6.155840111,16.98528411,0
4,2.69,326465.0,3493.92,5.139852845,15.67178351,1
5,1.2,161982.0,4115.01,5.187551354,17.02659609,0
6,1.64,268177.0,2168.8,5.982912218,17.5717612,1
7,1.77,115041.0,1276.1,6.400394051,17.883888,1
8,0.97,353325.0,4382.88,4.277140242,16.13115086,1
9,1.45,123975.0,1352.81,6.563051599,17.2920192,1
10,0.71,363479.0,3818.54,6.11757256,17.74561148,0
11,2.29,112629.0,1339.88,5.278923784,17.12090171,2
12,1.44,332459.0,3628.22,5.683387833,16.29759581,1
13,0.81,359040.0,3885.97,6.327527007,17.34283456,0
14,0.76,357055.0,3716.24,4.988636487,16.87791022,0
15,1.42,135398.0,2449.75,5.823349359,16.71674856,1
16,1.52,364273.0,3478.06,4.837329542,16.84957017,1
17,1.55,234667.0,2298.52,5.841527792,15.74432625,1
18,2.17,104002.0,1571.8,4.41121045,15.71815367,2
19,0.74,453135.0,4465.97,5.937978062,15.96739122,0
20,1.72,231267.0,2062.32,5.168502194,16.28722374,1
21,1.09,156118.0,1471.44,7.402193352,18.52720615,0
22,1.9,245183.0,3253.69,5.662883985,16.72970275,2
23,1.63,249698.0,2948.44,6.202728085,17.58925429,1
24,1.7,324883.0,3295.04,4.433178782,15.99756211,1
25,1.1,376582.0,3581.58,4.411418672,16.11935806,1
26,3.05,109439.0,1445.14,5.167975934,15.86873817,2
27,1.65,126791.0,1693.34,4.807676114,16.65866126,1
28,1.33,246597.0,3744.9,6.304400125,16.68937109,1
29,1.87,260996.0,2417.31,6.000869139,15.85450779,2
30,1.58,220156.0,2211.19,4.810628902,15.76474457,1
31,1.62,137000.0,1588.09,6.41660194,16.53373863,1
32,1.15,161324.0,1527.68,6.6517901,19.28478854,1
33,1.54,237539.0,2032.83,5.571947543,16.67272218,1
34,2.23,164629.0,1989.35,5.767692948,16.01639428,2
35,1.16,349119.0,3553.38,5.334093697,16.39927407,1
36,1.49,355144.0,3320.07,4.46756987,16.44925882,1
37,1.83,119612.0,1191.34,6.778394796,18.3931216,1
38,2.12,224159.0,2549.97,5.178629198,16.77509676,2
39,2.39,367032.0,3503.7,5.476072265,15.55996282,1
40,1.16,257879.0,2402.9,6.677726488,18.69318659,1
41,1.89,246133.0,2643.34,6.589825722,16.78123362,1
42,1.54,245931.0,2515.4,6.272573192,17.41846371,1
43,0.68,339012.0,4573.14,6.200656603,16.44126567,0
44,1.45,246282.0,3897.74,5.778151982,17.03176156,1
45,1.72,116427.0,1338.11,4.943054327,16.97570084,1
46,1.11,359817.0,3620.09,5.865715242,15.10254038,1
47,1.85,141281.0,2130.95,5.371505702,17.90248681,1
48,2.01,344894.0,4290.39,4.073337328,15.56509616,0
49,2.43,342102.0,3189.05,3.771458382,15.75324713,1
50,1.71,358935.0,3382.6,6.304050173,16.87128822,1
51,0.68,120288.0,1365.19,6.591920646,17.36482276,0
52,2.09,145620.0,1388.4,4.830464171,16.92001319,2
53,2.18,364472.0,4007.23,5.252051744,15.61376879,1
54,1.55,377962.0,4607.94,6.45627671,16.35464075,1
55,0.85,273289.0,2386.88,6.574060447,17.11715885,0
56,1.29,147451.0,1516.27,6.814802903,17.39175215,1
57,1.52,138793.0,2196.73,8.579391481,18.69539607,1
58,1.21,339266.0,3333.61,4.54730568,16.67075385,0
