,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C),Class
0,2.05,186966.0,2114.64,4.938060275,16.23764245,2
1,1.78,361596.0,2905.81,6.493794238,15.65438065,1
2,1.65,131633.0,1442.78,6.95463375,17.53480155,1
3,2.92,264086.0,1920.22,6.532159562,17.20467991,1
4,1.21,85104.0,761.85,3.904462968,15.98934171,1
5,1.83,126166.0,1551.96,5.675283669,17.46497591,1
6,1.78,360563.0,3398.93,4.605145223,15.97115243,1
7,1.5,84370.0,724.3,6.257431065,16.63108529,1
8,0.95,115273.0,2538.97,6.717009192,16.59886189,1
9,1.77,260104.0,1986.9,5.874109881,16.65371217,1
10,1.01,277924.0,2712.84,6.572055544,16.80489034,1
11,0.73,264817.0,2255.38,6.959216095,16.83236483,1
12,1.03,206111.0,1910.28,7.214022405,17.43483408,1
13,2.14,267043.0,1930.89,4.592563451,17.15185311,2
14,1.32,354993.0,2687.85,5.668120275,15.52787966,1
15,2.73,222951.0,1871.13,4.300441617,16.08168212,2
16,0.74,350974.0,3888.85,5.933787535,17.78123338,0
17,1.84,135912.0,692.82,6.027348282,17.01083612,1
18,1.57,127069.0,620.61,5.883527189,15.89494722,1
19,3.19,78065.0,1096.68,6.4158684,18.19447424,2
20,0.85,338229.0,4043.87,6.12917579,16.29557954,1
21,2.98,266595.0,2613.69,3.878210962,15.64016718,2
22,2.86,171778.0,1518.45,5.890485026,16.23657633,2
23,1.07,363603.0,2931.46,5.954479829,15.93971032,1
24,2.18,88548.0,702.39,4.140165966,16.11841132,2
25,1.15,335307.0,2731.13,4.746014972,15.68523139,1
26,2.15,328491.0,3430.29,4.544935311,15.74345334,2
27,2.86,200820.0,2420.55,4.840573513,16.43374693,2
28,0.45,330185.0,2670.57,5.812489129,16.56123209,1
29,1.41,345481.0,3237.21,5.197723458,15.00509319,1
30,0.59,171043.0,1961.51,6.632561751,18.44824341,1
31,3.0,123249.0,1742.59,5.659920868,16.3839468,2
32,0.51,306676.0,2591.0,6.121982367,17.15247902,0
33,1.96,141815.0,1041.15,4.865254282,15.08775219,2
34,1.02,246507.0,3862.59,7.126265749,17.28866792,1
35,0.81,237384.0,2093.66,5.892124025,16.79652001,1
36,0.88,226626.0,3009.88,5.223257304,17.06938707,1
37,2.28,257291.0,3980.26,5.776846578,16.59632694,2
38,0.56,233886.0,2573.82,6.412133012,17.72069665,1
39,2.33,372310.0,2730.36,5.756123964,16.29737556,1
40,0.22,339986.0,3503.32,5.667051407,16.09055612,1
41,0.38,153638.0,1406.46,6.986256021,17.79503179,0
42,0.68,367351.0,3181.21,5.499083874,15.8655386,1
