,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C),Class
0,1.27,282968.0,2321.22,6.849329864,18.46770403,0
1,0.79,249379.0,2728.7,6.313674174,17.11807231,1
2,2.94,373136.0,2899.78,4.867822721,16.20894336,2
3,1.29,94108.0,811.37,6.236751136,17.51621986,1
4,1.2,139416.0,1427.75,6.188830725,18.53449315,0
5,0.82,136259.0,1505.7,7.866891212,19.56498183,0
6,0.96,348304.0,3468.8,6.145555088,16.70730136,1
7,1.56,92979.0,1304.52,5.923104925,17.02135616,1
8,1.95,239276.0,2736.34,5.98301945,16.0199247,1
9,1.99,159161.0,1074.22,6.297078608,16.82337298,1
10,1.64,270347.0,3718.57,6.378596418,17.82164159,1
11,0.81,269582.0,2461.91,6.384291992,17.00903766,0
12,1.98,233748.0,3057.48,3.676032001,15.8502981,1
13,0.68,349398.0,3201.12,5.67717285,16.75894899,0
14,1.78,251133.0,2343.2,6.455631628,17.82351093,1
15,2.11,272586.0,2813.34,5.601495053,15.64865892,2
16,1.0,383569.0,3359.38,6.390040923,16.81825233,1
17,3.37,140086.0,854.62,5.665870378,16.33983377,2
18,1.55,377111.0,3663.92,6.403900435,17.23874947,1
19,2.72,247641.0,1357.02,3.716334431,16.26105826,2
20,1.9,256318.0,1701.48,6.488882603,17.21105079,1
21,2.5,374891.0,3104.22,4.476394507,15.6080957,2
22,1.16,130715.0,1485.75,8.114035962,18.9646134,0
23,1.99,261945.0,2182.05,5.568103504,15.380399,2
24,2.31,361488.0,3168.93,5.390382065,15.87887316,2
25,1.97,139913.0,1081.0,4.89208853,15.95518989,2
26,0.97,368034.0,3056.36,5.22413027,16.94093739,1
27,1.63,386127.0,2723.94,5.91603088,15.64392809,1
28,0.96,383276.0,3174.67,6.138910647,16.85386416,0
29,2.17,362406.0,2836.94,5.891015014,15.71213593,2
30,1.79,364114.0,3064.89,5.364584866,16.69126653,1
31,1.54,161072.0,1279.61,7.818703595,17.9380847,1
32,2.78,136274.0,772.12,5.597469254,16.30396916,2
33,1.77,119438.0,1053.38,5.339812714,16.35851327,2
34,1.72,142107.0,1005.83,6.400282207,18.27581517,1
35,0.94,258004.0,1489.83,6.297306426,18.18754242,1
36,2.19,264073.0,2641.59,4.468834029,15.34471428,2
37,0.92,362846.0,3017.8,4.962959516,16.68720891,1
38,2.74,262813.0,2607.93,5.513564314,16.26283804,2
39,2.7,232568.0,2270.96,6.909031832,17.05954544,2
40,3.15,349170.0,2994.13,4.237665131,16.09732513,2
41,2.29,292865.0,3013.35,6.174307044,16.51928204,1
42,1.8,263757.0,3437.36,5.73738821,18.05797391,1
43,1.26,261515.0,3242.21,6.203818927,17.95129045,0
44,2.54,231797.0,1544.27,6.178219673,16.83768895,2
45,0.91,398401.0,3288.76,5.436204736,16.25666574,0
46,1.7,128108.0,1117.14,7.535127904,17.8908928,1
47,1.71,156130.0,1399.76,6.241345283,17.64840196,1
48,2.0,259865.0,2821.29,5.909517437,16.83744487,1
49,2.8,260146.0,1619.78,6.14546132,16.37154481,2
50,2.26,242431.0,1857.75,4.879664036,17.21551449,2
51,2.75,267982.0,3025.4,5.286689871,16.18088708,2
52,2.42,361108.0,3345.48,4.875159379,16.10143201,2
53,1.08,384758.0,3832.34,6.063969573,16.81337644,1
54,0.67,285467.0,3194.95,6.525266479,17.68864458,0
55,2.41,352685.0,3589.18,4.945272171,15.45972812,2
56,1.32,245118.0,2993.7,6.356364734,16.78211923,0
57,1.0,172503.0,1591.87,5.997884266,18.21864403,1
58,2.44,245245.0,1269.2,4.770984109,15.68710176,2
59,1.75,117338.0,867.62,6.169510954,15.97450453,1
60,0.58,390952.0,3064.53,6.041631575,17.69670184,1
61,2.77,236360.0,3082.62,4.283651553,15.57201604,2
62,2.55,249749.0,1565.09,4.610573577,15.64148469,2
63,3.23,361784.0,2864.92,4.219123588,15.80344192,2
64,2.62,144705.0,1077.48,6.04966064,16.22047474,2
65,1.06,378250.0,3792.2,6.010801493,16.48885897,0
66,0.85,119682.0,1068.01,6.037790787,16.90917438,1
67,0.88,228219.0,2823.75,5.995724336,16.97966986,0
68,1.95,238368.0,2784.7,3.592399173,15.32245197,1
69,0.97,259960.0,2878.2,7.105672437,18.28464327,1
70,2.51,242762.0,1613.03,4.717242368,16.32483526,2
71,0.94,187026.0,1219.65,7.295785688,17.60906757,1
72,1.76,254314.0,1358.73,4.462128637,16.48564805,1
73,2.09,351585.0,3243.22,4.123590668,15.34345748,2
74,0.76,354374.0,2647.55,5.794863441,17.06107577,1
75,0.83,174518.0,1140.04,7.344254441,18.29822149,0
76,0.32,153792.0,2561.06,8.101797798,18.19179126,1
77,1.71,269853.0,1745.6,5.738989603,17.06335677,1
78,1.81,129548.0,816.55,6.047265186,17.65888555,1
79,2.46,105309.0,662.95,5.654396207,15.88202207,2
80,1.89,258408.0,2685.21,5.407224395,16.51396268,1
81,0.83,387376.0,3051.13,6.458541334,16.95365464,1
82,1.62,270387.0,3054.46,5.740459156,17.83537642,1
83,0.8,143336.0,1435.51,6.945734614,18.1767077,1
84,0.89,171241.0,2254.32,8.210921844,19.53207148,0
85,1.04,165629.0,916.18,7.248832439,18.13761713,0
86,1.33,174946.0,859.21,7.622945818,16.02210221,1
87,2.15,231422.0,2081.84,5.432431871,16.10259506,2
88,2.31,110156.0,1301.04,3.970545905,16.56270198,2
89,2.85,337479.0,3805.72,6.209016254,16.08095549,2
90,1.41,281338.0,2549.23,5.981472724,17.73833927,1
91,2.49,340046.0,2249.72,5.27831118,15.2347902,2
92,1.73,233767.0,1517.87,4.764875169,15.83435071,1
93,2.23,344805.0,3046.26,4.567370828,16.14557024,2
94,1.34,120288.0,631.2,7.937363545,17.69985663,1
95,1.79,273131.0,2913.48,4.823394749,15.41088917,1
96,1.19,133634.0,620.61,7.897719148,18.49014311,0
97,1.72,246925.0,1602.35,6.597696224,16.70429381,1
98,2.39,334528.0,3022.92,5.134947591,15.76947303,2
99,1.19,116167.0,688.75,6.852017059,19.48654076,1
100,0.67,257509.0,2941.67,6.629857391,17.985518,0
101,1.45,345070.0,3286.9,5.273378653,16.06563138,1
102,1.53,342192.0,3832.34,5.488195942,17.44256238,1
103,1.84,159722.0,940.73,5.443269485,15.82430785,1
104,1.92,251854.0,1659.53,4.908272583,15.95124824,2
105,2.44,352567.0,2877.22,4.494213301,15.43886191,2
106,1.43,234942.0,2838.36,7.535433469,17.02495153,1
107,2.27,353426.0,3311.31,4.845128841,14.84387211,2
108,2.48,382265.0,3025.89,4.857442104,15.15419658,2
109,2.52,257649.0,2495.36,5.37571252,15.81427724,2
110,0.88,364682.0,3120.22,6.087605147,17.42060054,1
111,2.04,356198.0,3160.57,5.76023474,15.97681411,2
112,2.15,358601.0,3178.78,5.15017806,16.90986328,1
113,1.5,216554.0,2974.2,5.699757293,16.94333315,1
114,1.76,251419.0,3362.62,5.737657133,17.82455437,1
115,1.28,353042.0,3237.86,6.437215904,17.16494846,1
116,3.04,94883.0,920.83,6.496412836,16.92571475,2
117,1.22,265117.0,2566.44,6.610551627,17.65640221,0
118,1.54,263057.0,3249.71,4.627439686,16.35798675,2
119,0.8,377629.0,3483.1,5.770210274,17.14754607,0
120,2.55,112669.0,965.18,5.57061459,15.5963212,2
121,0.85,377001.0,2746.48,7.253492272,17.19841745,1
122,1.26,126677.0,818.11,8.210921844,19.15331258,1
123,1.73,271454.0,2283.11,6.019425875,17.94092095,1
124,0.95,363070.0,3291.65,5.834239762,16.79947106,0
125,0.48,263142.0,2492.24,5.447288583,17.33765034,0
126,1.42,358256.0,3007.77,6.217973253,16.72136522,1
