,Yield (tons/acre),Time Since Sown (Days),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,1.73,423,129700.0,2316.18,6.193903696,17.43514797
1,0.43,507,167961.0,1289.94,7.178216912,17.55552161
2,0.75,860,269736.0,2384.23,6.755609996,17.79984832
3,1.96,462,152383.0,1013.04,6.470998702,17.29388852
4,1.58,464,148368.0,807.81,5.701537658,17.96745265
5,0.83,813,249189.0,1831.72,0.657392192,13.00793421
6,2.04,415,138321.0,774.87,4.42817875,14.04309398
7,0.74,1236,348439.0,3686.57,5.783980921,15.97566026
8,1.87,721,254666.0,1917.11,5.463271411,16.94801178
9,0.73,1229,383910.0,2626.07,2.172298834,16.1468968
10,1.52,460,146965.0,821.11,3.577822666,16.56739145
11,1.38,447,248212.0,1194.63,1.402532349,14.3667838
12,2.05,792,255463.0,1290.11,2.260555975,14.96552439
13,1.9,823,376471.0,3124.3,6.347299483,16.63206093
14,1.99,437,133871.0,1085.87,1.265617512,14.94603934
15,1.37,413,121611.0,1499.32,0.66589879,12.56086537
16,1.28,1166,363589.0,3688.59,5.324973626,16.81469545
17,1.35,804,259918.0,3340.15,5.727804383,17.48794389
18,1.46,443,134646.0,2207.2,6.750045217,17.81771246
19,1.26,1120,357374.0,3526.62,4.921982726,16.39803747
20,1.38,1169,367949.0,2000.35,1.293424954,13.64219655
21,2.01,775,356161.0,3273.17,4.916315651,16.33777176
22,2.04,394,130685.0,1155.03,5.772452568,17.1794454
23,0.65,475,147914.0,1304.88,6.618222543,18.85322121
24,1.55,800,239832.0,2488.24,6.562784655,17.26325159
25,0.8,457,153856.0,679.36,2.888651446,16.45300102
26,1.3,463,154649.0,2282.37,6.995106653,16.92231594
27,0.48,420,135098.0,1114.36,0.91112185,12.77730047
28,1.75,429,135693.0,694.32,4.261646579,15.89784699
29,0.6,1193,364886.0,1779.21,2.057947669,15.31150175
30,1.84,807,361358.0,2801.27,3.46590782,15.3189782
31,2.26,1167,349450.0,2477.25,1.272297973,13.13998924
32,1.35,1138,361954.0,1419.89,0.88468539,13.0909237
33,1.65,818,249359.0,2278.32,6.03475182,16.78274576
34,1.86,423,139217.0,1291.87,6.621272452,17.37951513
35,1.62,473,154654.0,1422.25,6.395373381,16.82640879
36,0.72,869,275440.0,3094.74,5.099877612,17.03960998
37,0.54,821,267298.0,1700.95,3.097026998,15.37192113
38,1.47,427,131304.0,1361.35,6.610438844,18.17270953
39,1.44,468,149588.0,1629.67,8.160228669,19.15852869
40,2.31,428,119903.0,729.54,5.440971669,15.72090868
41,1.78,355,110560.0,1171.41,4.359124621,16.09046537
42,1.29,375,119534.0,1724.08,7.663242676,17.79422321
43,1.74,730,161672.0,2115.48,5.489430961,16.94870418
44,2.89,807,256565.0,2781.65,5.624473586,15.98950116
45,1.79,755,236541.0,1377.68,0.803323446,12.63812339
46,2.0,373,129599.0,797.14,5.522280578,16.69123187
47,2.03,275,93435.0,681.63,4.042331052,13.67502437
48,1.92,764,234600.0,1502.25,1.663399229,13.72499012
49,0.32,1236,393426.0,2717.94,0.253342981,13.63088352
50,1.28,918,247315.0,3157.52,6.458807119,16.69276841
51,1.47,478,148060.0,1468.02,7.008890772,18.16636848
52,0.69,796,245297.0,1224.92,1.416534592,13.39163234
53,0.86,438,141696.0,586.86,1.545119262,15.83007699
54,1.52,450,133371.0,722.65,4.270465274,16.90357943
55,1.02,1147,343136.0,1990.43,1.029392634,13.15691364
56,2.62,1208,358710.0,3105.39,4.728681475,15.49528842
57,0.54,490,167395.0,1095.74,3.657585577,16.43745714
58,0.64,1120,339896.0,1390.66,1.452016655,12.96944265
59,0.66,1151,353946.0,1960.69,1.261123798,13.04919437
60,1.29,454,141556.0,994.36,5.004293815,16.5930469
61,1.21,820,362789.0,1803.44,1.664237413,15.43768925
62,1.87,792,230029.0,1370.44,2.298681613,15.81407325
63,1.8,782,251792.0,2227.21,6.195485479,17.15045678
64,3.05,798,269528.0,2345.57,5.746748898,16.80172463
65,2.17,775,237204.0,2523.16,5.959288315,16.79868407
66,2.79,782,236962.0,1755.35,2.069545219,15.53230568
67,2.23,759,239031.0,2841.6,5.699721079,16.68045147
68,0.99,1170,368835.0,2135.26,1.195554648,12.97873421
69,0.76,1189,379926.0,3548.6,5.714422528,17.32224177
70,0.93,488,152929.0,1046.67,2.156347031,14.49451429
71,0.76,792,256351.0,1320.49,1.585184465,12.73157116
72,1.91,441,156502.0,1572.52,1.550638413,13.61350426
73,2.04,745,237529.0,2033.46,4.795452915,15.69087043
74,2.5,775,276703.0,2884.01,5.442267132,17.07435424
75,2.45,779,230608.0,1587.85,4.007294598,15.70419983
76,0.29,511,161495.0,1267.01,2.624766811,13.96978312
77,1.67,429,130352.0,711.24,6.157387207,17.35434456
78,2.44,757,239045.0,1837.66,5.305140358,16.14566039
79,2.85,1181,365705.0,3910.92,3.843183325,15.51668032
80,1.41,824,272005.0,1196.84,2.277421402,15.16413541
81,1.42,1146,353095.0,2499.87,2.820218272,15.74685241
82,1.36,856,263779.0,3159.05,6.006763243,17.20290732
83,0.93,482,169388.0,700.08,5.243095432,16.58958021
84,1.27,440,160849.0,1093.27,6.613942544,17.25031578
85,2.39,747,336179.0,2015.24,1.354848271,12.99217912
86,2.38,1129,354028.0,3397.39,4.401466981,15.8326035
87,1.58,475,147398.0,1499.5,4.45431988,16.83115007
88,0.64,864,300454.0,3179.29,7.457068743,18.69069808
89,1.53,761,234982.0,1427.81,0.852016196,13.32872073
90,1.54,812,258627.0,2341.27,4.492605242,15.93424334
91,0.57,1179,371477.0,1406.43,1.399019408,13.05496309
92,1.72,1122,352226.0,2819.84,1.273296084,15.28943543
93,0.73,1171,359896.0,2898.15,6.128408275,17.92466624
94,0.81,472,146146.0,846.73,1.860101984,15.79828595
95,1.93,790,253655.0,1309.0,1.160732108,13.10250526
96,0.76,1210,378589.0,3585.17,5.470212917,16.36403882
97,1.5,1220,336256.0,2146.52,1.173566156,13.08700447
98,1.62,838,269751.0,2243.45,4.069673324,16.25743308
99,0.65,495,154048.0,783.6,4.204801235,17.01027331
100,1.28,779,242784.0,1610.6,0.75939316,12.30685232
101,1.48,818,385212.0,2103.5,5.541542374,15.73416886
102,2.17,1174,386911.0,2922.25,5.441352743,16.79603831
103,1.48,1091,382303.0,4416.24,6.196940959,16.61775617
104,0.79,1175,376383.0,2247.56,0.09216518,13.40642153
105,1.42,435,139090.0,882.42,1.825551964,13.85016449
106,1.43,827,265887.0,2233.88,5.669573327,15.94455446
107,1.65,750,252939.0,2147.8,5.683806839,17.64653167
108,0.82,441,151328.0,604.51,3.470981502,15.64387769
109,2.3,1361,434843.0,4240.22,5.92154319,15.57295134
110,0.63,1166,371039.0,1983.05,1.953760107,13.22288397
111,1.68,466,146297.0,1071.25,6.910700352,18.08222405
112,0.47,1197,372009.0,1939.35,0.832018619,12.67416643
113,1.78,775,244394.0,1202.9,1.735387862,14.1025012
114,1.9,1167,372428.0,3180.09,1.82553419,15.52969515
115,1.6,442,126133.0,1801.87,6.304070866,17.8857165
116,0.85,863,269006.0,1326.49,2.166895894,14.41545437
117,0.73,1187,367857.0,2326.76,1.748298137,13.86628078
118,2.29,1193,331518.0,1866.73,0.883425727,12.38322956
119,1.74,431,136806.0,1509.59,1.11255658,13.12381461
120,2.47,751,243481.0,1473.26,3.780265649,14.96551813
121,1.3,1158,353946.0,2599.19,1.912987457,14.31226248
122,2.23,414,114582.0,860.48,4.971673199,16.4923524
123,0.72,825,334189.0,2209.27,5.058677396,16.12277941
124,0.59,508,170887.0,1497.09,6.961827994,18.25499956
125,1.84,434,135710.0,746.81,4.358670378,16.30411155
126,2.0,1122,349144.0,1873.85,1.091030455,12.35906674
127,1.78,433,134294.0,1298.23,4.403907939,15.36700124
128,1.22,790,250629.0,1379.15,1.422948737,13.96200706
129,1.57,443,149483.0,1267.43,3.729877446,16.11440752
130,0.94,1390,359721.0,2107.39,1.506235627,13.3054386
131,0.58,828,259270.0,1402.15,1.435610327,12.68642201
132,1.95,1279,433514.0,2187.46,3.066927254,14.78026968
133,2.07,743,233415.0,2065.27,5.350850119,16.18118143
134,1.68,483,151663.0,1555.46,5.322050455,16.3663944
135,2.81,807,256056.0,2740.93,5.701126465,16.45153459
136,0.96,809,248985.0,1369.95,-0.158159873,12.45306082
137,1.39,364,105934.0,1351.14,6.342727718,16.33332246
138,0.72,792,246689.0,1441.72,1.789205836,12.88225697
139,0.85,1095,337535.0,3690.79,5.708772985,16.46643103
140,1.28,432,133249.0,698.79,5.203695059,16.34115961
141,1.48,449,141260.0,1255.24,4.816139111,16.74908389
142,0.69,459,145055.0,1122.38,1.123180199,13.36803618
143,0.93,1152,360678.0,2153.32,0.427883118,12.98018794
144,0.7,746,201998.0,1778.5,6.472500292,17.00538263
145,2.8,1090,344843.0,2968.7,5.833923947,15.99291673
146,1.22,844,269650.0,1619.46,4.478983688,16.98107607
147,0.79,1295,382385.0,4208.68,4.226203304,15.85900985
148,1.52,420,126114.0,2086.42,7.29140201,17.52927024
149,0.98,1136,346914.0,2395.3,1.033294883,11.59505919
150,0.78,1152,364484.0,1946.59,1.369277635,12.98572118
