,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,1.32,469473.0,2737.33,1.747735368,15.3694833
1,0.38,187597.0,1083.31,1.095237046,17.97207519
2,1.41,120540.0,2081.34,3.859266011,12.62081674
3,1.04,344908.0,750.72,3.259470146,13.86686536
4,0.48,157642.0,1693.38,2.828794664,15.86492659
5,1.59,140427.0,1475.66,0.955720999,14.02305946
6,1.93,369505.0,1481.38,2.772063048,15.08953076
7,0.8,271755.0,1983.12,3.431115454,15.27703275
8,1.16,373533.0,973.01,6.651833391,14.2277097
9,0.33,167444.0,1544.69,3.536173326,16.64714513
10,0.84,383036.0,4878.7,2.380639333,15.38311979
11,1.34,147792.0,2494.8,4.340785905,16.96297403
12,0.85,382002.0,955.12,1.054283458,15.20656556
13,1.07,241211.0,1306.23,7.220738563,16.6277903
14,0.49,180999.0,2229.14,2.277445417,17.75410749
15,1.24,370975.0,1058.39,4.015287022,15.75531256
16,0.15,400804.0,2939.96,4.5020928,13.03881613
17,2.56,125337.0,1546.77,1.766923991,14.83494289
18,1.07,150330.0,1009.17,2.060220691,13.7398842
19,0.49,385358.0,2595.56,3.631834529,14.13853245
20,0.75,232049.0,3457.87,6.518213456,16.68374025
21,1.23,255424.0,1942.0,4.208744113,15.9150498
22,1.34,162072.0,3812.1,2.863168804,17.07761283
23,1.73,128461.0,1508.02,3.554298521,16.4374503
24,0.42,348023.0,3478.41,1.974588955,12.43028294
25,1.08,165003.0,2112.64,6.846984223,15.03110278
26,0.76,254274.0,2797.05,1.433862585,11.53951391
27,1.53,240592.0,4014.54,3.602813035,16.5503473
28,0.73,394744.0,3205.25,3.36880328,16.36308527
29,0.99,339497.0,1681.02,2.788105599,15.61707752
30,0.77,341522.0,3842.9,1.528013603,15.72333202
31,1.89,161246.0,1791.4,3.317639282,15.86829096
32,0.73,137837.0,1151.11,6.954192978,16.71725213
33,1.52,157672.0,944.96,4.880390724,19.50162958
34,1.83,351365.0,713.83,4.513698291,15.11050856
35,0.51,150505.0,1650.91,1.817970069,15.2653582
36,0.77,255194.0,1070.13,4.238206141,15.28930063
37,1.4,249866.0,988.64,4.391430364,14.94991307
38,1.75,158965.0,1045.33,4.468658812,16.04835323
39,1.91,340477.0,1501.41,3.029560031,15.98922537
40,1.11,144545.0,1848.45,3.286940699,15.20069328
41,1.73,385718.0,3703.66,2.115448903,17.10394151
42,0.59,142908.0,981.25,2.611850547,15.94572131
43,1.47,169259.0,2658.11,4.322908706,16.09010852
44,1.33,375609.0,2555.0,3.692808818,13.85844684
45,0.83,135552.0,1639.61,3.00112681,16.60708986
46,0.83,257149.0,964.83,3.080397426,14.07967788
47,2.64,367461.0,1507.58,4.145004131,16.79656281
48,2.0,387808.0,2140.7,2.975018731,16.21993657
49,0.84,384068.0,2450.04,6.342392622,17.49167356
50,1.05,161250.0,4894.92,6.393441179,16.55841342
51,0.73,378444.0,990.08,1.696652651,14.962538
52,1.45,135889.0,1797.94,2.134392985,18.32507979
53,0.76,370657.0,1769.86,0.207062675,15.2501952
54,0.49,271971.0,881.61,2.646598783,16.38183127
55,0.75,276244.0,2325.03,4.634728785,15.30026297
56,1.04,148556.0,779.39,6.885448263,16.44626533
57,0.11,261000.0,2134.88,2.995263683,13.24998775
58,1.34,149306.0,2023.19,5.230167446,15.94390317
59,0.56,267769.0,1445.18,1.883395886,15.60827351
60,0.45,386410.0,2187.75,5.883503156,17.1012139
61,1.5,387139.0,4583.31,4.332738428,13.8782142
62,1.76,151268.0,2600.21,1.466782229,15.2847221
63,2.05,382000.0,1545.21,3.26731718,15.3889233
64,1.68,132439.0,3740.22,5.433926595,19.630501
65,1.38,248176.0,2058.28,4.209818648,15.48806595
66,2.84,369512.0,4486.88,2.305125152,15.71210165
67,1.13,154267.0,751.15,3.016028876,13.31006625
68,1.22,376661.0,1799.0,1.139919232,15.18842034
69,0.94,136912.0,2033.24,4.877066194,18.4841009
70,1.75,156250.0,2816.52,4.711230085,18.28804083
71,1.87,139221.0,751.38,5.215606149,14.70738845
72,0.83,376615.0,1827.92,2.582857179,14.65007014
73,0.66,275265.0,1143.98,1.283990907,15.77801906
74,0.6,366489.0,2338.32,1.410101304,12.50086563
75,1.11,148541.0,1250.21,4.442419485,12.57156681
76,1.04,358855.0,742.53,3.380095358,16.58330113
77,0.82,357722.0,2659.06,3.903077939,14.56701622
78,1.61,377929.0,2841.4,0.782693445,17.38128578
79,1.89,149215.0,1100.12,3.258395223,15.96684013
80,2.19,387110.0,3591.82,4.124769789,13.11085651
81,2.22,353551.0,2895.39,1.575687604,13.76234296
82,0.83,172262.0,1564.23,4.01666331,15.84780329
83,1.27,330794.0,1006.93,3.125752526,15.22781678
84,1.19,252835.0,929.44,4.573504329,15.86881077
85,2.04,264822.0,3673.09,3.466925844,15.60665241
86,1.09,351371.0,2082.67,2.008242387,16.17823861
87,1.76,127234.0,1548.2,6.897982962,16.54133798
88,2.13,138380.0,4455.59,1.663323212,16.93405103
89,0.48,155386.0,994.98,1.554967684,17.34215874
90,1.89,120580.0,1423.58,7.04322788,15.43914393
91,2.01,150303.0,1175.74,5.543640144,17.77490404
92,0.54,389702.0,4085.99,1.277717483,13.81047014
93,1.77,354318.0,893.16,1.983828094,16.44590808
94,1.59,141457.0,759.78,5.50068055,13.33653976
95,1.21,264282.0,2148.15,6.568319296,14.28990916
96,0.83,263016.0,2042.81,5.318366788,15.05105913
97,0.83,130050.0,815.41,2.491386233,14.24548472
98,0.5,350127.0,1870.99,1.874836994,15.73057531
99,0.98,375785.0,1602.86,3.283929249,14.42985538
100,0.85,180334.0,704.72,1.211378621,16.20244945
101,0.26,380056.0,1169.1,3.584559417,14.79533192
102,1.71,368330.0,2225.72,2.404239179,13.74166228
103,0.97,164857.0,1788.25,6.659226903,16.03634536
104,1.2,139435.0,3340.48,1.088064264,15.48012253
105,0.41,155812.0,2752.75,1.187104555,16.18875658
106,1.84,391125.0,1668.07,4.402759835,14.04633592
107,1.7,249875.0,2541.0,2.141331643,14.68409009
108,0.67,166039.0,3774.2,4.654209616,16.9633546
109,1.38,271294.0,2359.85,4.611768012,16.88999741
110,0.58,381350.0,1998.59,1.0614684,16.96655726
111,0.57,390031.0,1514.29,2.488094243,15.48529196
112,1.88,264353.0,2440.77,2.449542717,16.10354201
113,0.66,174143.0,1804.83,1.876263136,16.1243637
114,1.23,273232.0,2835.38,5.506606555,15.56625752
115,0.43,165116.0,1798.11,0.238915662,15.41686116
116,1.35,163588.0,2498.92,3.063436683,16.02892342
117,1.28,156285.0,1937.38,3.711728593,15.54747286
118,0.7,356049.0,1624.08,2.601106484,15.59481623
119,0.55,146250.0,1531.79,4.632871086,18.45021814
120,3.91,352623.0,2534.13,3.542667124,12.20573132
121,0.39,155425.0,2264.53,6.913613521,18.01694919
122,0.76,146900.0,1042.67,6.742058483,17.24391747
123,1.08,138070.0,749.14,1.161405957,15.91972569
124,2.0,338837.0,1850.02,6.984943879,15.05966203
125,2.07,161235.0,3533.85,7.937355749,17.04201614
126,1.99,399314.0,2024.37,5.392023205,15.6566997
127,1.04,150695.0,5006.9,6.711709302,15.90353188
128,0.87,354736.0,3747.92,1.563437939,14.83737283
129,1.23,377303.0,1207.46,2.238213906,15.62556387
130,1.12,264632.0,4658.1,3.401485142,15.61867234
131,2.78,165141.0,1981.75,3.062384688,13.57291384
132,1.34,149765.0,981.28,1.635939036,14.51993668
133,0.6,451029.0,1939.08,2.624147063,15.83169328
134,0.31,183116.0,1092.5,0.3564362,15.91633098
135,0.49,158063.0,3395.42,3.077367468,15.94821725
136,0.75,128609.0,1887.0,4.05180757,15.84000342
137,1.25,363823.0,1668.93,3.781101535,15.65658364
138,1.53,178143.0,834.44,4.381692502,19.13141481
139,0.93,345426.0,2372.49,2.553538411,13.07341335
140,1.34,356177.0,1102.64,1.92060331,15.60469905
141,0.52,376730.0,2322.52,1.530829308,14.55774179
142,2.24,163517.0,3949.63,6.161357046,17.04868831
143,1.0,258382.0,874.66,-0.04479473,15.38729488
144,1.87,376315.0,1999.3,3.57679833,14.776973
145,0.74,264136.0,701.52,3.798534772,16.1134313
146,1.29,142895.0,3541.66,4.412179125,15.64213761
147,1.3,172186.0,791.37,3.228997124,17.57173537
