,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,0.76,254369.0,1949.75,1.206582298,17.04850165
1,2.12,249800.0,1214.62,5.814980733,13.47150945
2,1.26,390175.0,1602.79,2.113282027,16.53552151
3,3.66,162062.0,635.22,1.436247994,15.56465221
4,1.64,250077.0,2078.77,1.720281312,16.44577073
5,3.67,269914.0,1305.9,1.713081747,16.26781226
6,0.87,358048.0,805.38,2.165875154,14.86334143
7,3.85,356529.0,641.18,2.085655732,15.57403802
8,1.89,238513.0,1972.32,5.323115772,12.89777087
9,0.89,368292.0,1427.44,5.545457343,16.52932467
10,1.16,245817.0,720.0,2.214357069,15.41896258
11,0.8,379854.0,2311.94,3.435787085,13.65438653
12,2.25,379006.0,2129.87,1.662888288,15.56748727
13,1.88,257220.0,818.82,2.997822105,14.89846912
14,2.73,106772.0,669.86,7.180637621,16.59304677
15,1.81,366888.0,1153.9,3.15907053,13.6628744
16,1.0,258758.0,1902.67,7.174247008,14.87863617
17,2.42,270983.0,680.74,2.036856491,13.08572256
18,1.99,142925.0,750.86,2.630569902,15.19000612
19,1.24,261578.0,2217.52,3.856240679,16.04579838
20,1.47,355868.0,2224.27,1.389915203,15.68659028
21,2.27,261292.0,2112.23,3.381769269,13.65901139
22,2.61,268838.0,2103.02,7.422949067,15.88332462
23,1.1,139412.0,651.66,3.826435259,16.31681534
24,1.76,144480.0,2020.93,3.298475441,16.30684264
25,0.56,155512.0,925.93,2.286005319,15.80481889
26,2.54,354976.0,1389.54,1.016391265,15.44664413
27,1.02,130178.0,1036.03,1.543818255,13.55174993
28,1.74,370126.0,1008.95,5.726999225,16.94801714
29,2.41,358650.0,1756.3,1.638337009,15.27512188
30,1.38,364152.0,2775.64,2.196780406,16.80764721
31,1.57,375466.0,1930.77,3.727051448,18.41400022
32,1.85,149362.0,1681.7,4.031818429,12.91578644
33,1.69,118465.0,2511.04,2.159338335,16.82952742
34,2.03,139052.0,1765.31,1.917189886,16.41471118
35,2.8,370214.0,1379.4,5.788359725,13.60551227
36,1.91,250026.0,2715.26,1.525871697,15.69188543
37,0.68,247688.0,1761.86,3.132782183,15.94581962
38,2.81,348800.0,1830.35,2.858349501,15.52980972
39,1.34,348599.0,825.69,4.529171252,17.20941
40,2.39,241367.0,1835.59,0.981609665,13.14796693
41,1.26,138847.0,763.21,3.152573891,13.146236
42,1.89,256200.0,864.3,4.889652164,11.91319991
43,1.47,275679.0,1951.69,2.022932621,14.98806081
