,Yield (tons/acre),Time Since Sown (Days),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,1.67,382,254708.0,3402.26,6.66909863,18.69945318
1,1.04,1161,266397.0,2585.15,6.354457271,15.06175212
2,0.76,850,278625.0,2268.64,6.171801751,16.77699029
3,1.24,411,164632.0,2956.25,5.856457997,15.95712811
4,2.12,382,373717.0,2341.21,2.108755703,15.65191527
5,1.63,1157,274869.0,3048.04,6.060036885,17.45489484
6,2.8,1190,417133.0,2475.88,6.744828871,18.17146024
7,1.64,377,249176.0,1519.17,6.356597186,18.63712354
8,0.82,400,126451.0,2175.59,6.951206457,14.13304137
9,1.3,1140,354038.0,1816.64,7.40821529,16.55865678
10,4.09,1130,373107.0,2674.9,2.741057111,15.84519398
11,1.65,376,152477.0,2425.75,3.479767923,15.86169942
12,1.03,519,316660.0,3684.6,6.381087728,15.73170858
13,1.62,1095,150730.0,1861.64,3.038272436,16.93531483
14,1.41,1186,385744.0,3830.02,2.275169014,17.50196052
15,0.73,392,257466.0,3378.6,6.53127434,15.70117046
16,2.73,1228,136417.0,1002.14,4.857383369,16.41273674
17,1.1,872,266219.0,3262.92,5.988837959,15.78758017
18,2.05,1078,383256.0,1207.92,6.802899519,17.37552659
19,1.77,1171,151078.0,2759.64,6.999075474,17.7718239
20,2.91,537,404661.0,2787.58,1.898425178,15.69786227
21,1.86,1157,365299.0,2207.87,6.197597229,16.40804916
22,0.86,1178,270602.0,3520.44,6.428098904,18.01245361
23,1.66,404,379299.0,2547.99,6.084363409,16.66428475
24,1.42,451,171898.0,1982.92,7.809430447,14.87097549
25,2.89,1146,287638.0,1088.77,1.853023597,16.75905594
26,0.57,1189,331561.0,2201.65,2.62682614,16.24216352
27,2.5,1184,170340.0,1129.24,5.692085851,17.00988228
28,1.1,1157,408240.0,1346.73,2.772141009,17.25305816
29,1.74,436,152063.0,1070.53,5.71142069,17.31201228
30,1.05,414,175356.0,871.51,6.875635482,16.51904124
31,2.35,1180,469473.0,2727.79,4.010484552,15.7140798
32,3.03,1094,143829.0,681.17,4.537551749,18.59455568
33,0.86,495,152702.0,1061.52,6.620991887,15.25233947
34,2.04,1159,249429.0,3608.46,6.590445318,15.6741867
35,2.56,828,415654.0,1740.41,5.595242244,15.88731474
36,1.12,834,148722.0,1834.85,3.447600177,15.30662712
37,1.27,387,421250.0,2035.17,6.021329245,15.77907792
38,3.29,1147,128301.0,2512.49,5.778365026,15.74244309
39,0.9,1194,264051.0,3438.11,5.68365557,15.45443285
40,1.39,348,156399.0,2427.7,2.115003339,16.36794776
41,0.71,409,258908.0,3673.19,4.764686625,15.98191291
42,2.36,386,368642.0,2489.65,2.613980878,15.12516274
43,1.5,851,400064.0,1905.46,5.293168603,18.11583107
44,1.88,860,397785.0,5006.9,6.286017959,16.42164734
45,1.74,398,140845.0,1043.17,6.228968342,17.05196631
46,0.97,331,386156.0,1424.93,4.813279431,17.71966535
47,2.43,471,142368.0,2071.35,2.176668515,18.034574
48,1.76,1193,379415.0,2482.8,1.760561143,15.16416333
49,1.72,483,371470.0,2272.61,4.780236545,16.42083542
50,0.7,1266,403657.0,2593.28,5.17860593,17.16526205
51,0.82,445,132452.0,2684.69,4.225101224,18.37905127
52,1.2,1152,148735.0,3382.77,5.108668712,14.69101026
53,0.45,1102,270922.0,1542.63,6.502885544,15.5964533
54,0.77,468,149015.0,2422.67,4.721531415,17.3546667
55,2.18,438,153880.0,2560.83,6.497748283,15.81397442
56,0.91,1175,276539.0,4091.32,4.872230547,16.89978707
57,1.1,1155,252064.0,1691.1,4.435427916,18.84565419
58,1.69,392,128343.0,2248.29,1.828465264,15.820208
59,4.14,1099,391046.0,1750.47,4.381137305,17.48887035
60,1.92,391,270317.0,640.05,4.49128955,15.37696536
61,1.06,1190,375554.0,1849.06,4.120942891,17.57606346
62,1.52,1065,154669.0,2703.28,5.182189794,14.02944512
63,1.75,847,469473.0,5006.9,1.787423714,17.78027061
64,1.79,1159,370259.0,760.55,6.238946095,17.79201918
65,1.55,1201,301237.0,2443.93,1.341566296,13.68676679
66,2.32,445,375756.0,2018.21,1.965160942,17.52759093
67,2.45,452,181956.0,1466.65,3.466659207,15.79616266
68,2.31,349,146729.0,2632.79,4.635368746,15.48865912
69,0.78,1161,388483.0,3271.86,5.720957782,14.86007041
70,0.65,826,290484.0,1298.36,3.433920423,17.6766357
71,2.18,774,373433.0,2165.64,2.165951643,16.20600973
72,1.3,783,127492.0,1061.37,7.532715735,17.49163164
73,2.39,1125,157023.0,3068.23,5.787917846,16.11936151
74,1.76,1153,171034.0,2794.89,5.785326164,18.95855801
75,1.77,1155,370683.0,1549.77,6.86958109,16.74745774
76,1.38,796,147644.0,1901.94,2.763191066,17.29456906
77,1.51,436,273678.0,1179.53,5.538800412,17.08004191
78,1.04,1118,368066.0,1006.44,6.127821894,14.48718248
79,1.81,1145,372945.0,2752.86,6.925130076,16.99511278
80,2.89,820,374612.0,3633.89,3.859991741,16.12480942
81,3.05,390,146845.0,2222.32,3.362470184,15.56610026
82,0.88,433,365536.0,984.52,3.819774029,15.74075505
83,1.55,717,133773.0,3444.98,5.071558003,15.18270795
84,2.8,827,384316.0,3112.29,6.199029083,16.887337
85,0.78,405,139767.0,2481.42,7.020182292,17.50162318
86,1.91,1142,350079.0,2305.6,6.492250549,18.79872165
87,1.62,485,337426.0,2572.39,4.053835766,16.23294327
88,1.8,433,375746.0,965.11,6.150549072,17.10929968
89,2.22,811,366682.0,3045.42,4.534368425,16.12935731
90,2.18,1164,388287.0,3336.26,4.32805099,16.07085449
91,1.13,425,265852.0,2569.87,2.794181951,17.28063519
92,0.9,1140,371051.0,3104.91,7.179858304,15.41095295
93,2.47,1091,380220.0,3009.54,6.385252001,17.13607535
94,0.96,1218,385771.0,2421.12,5.298077472,15.69146256
95,1.74,767,276923.0,1494.82,4.165323688,14.86076889
96,1.34,1164,148266.0,2861.16,6.069047268,17.84102236
97,0.95,403,391986.0,2395.85,1.080366497,16.17833733
98,2.18,354,160060.0,906.84,6.097808062,16.62830085
99,1.46,1129,134432.0,1928.43,2.20209249,15.47201466
100,0.7,782,364160.0,1075.57,1.728636577,14.03440897
101,1.16,1159,143760.0,2372.64,3.709363827,14.10005478
102,1.65,1103,381662.0,1811.37,2.626271695,18.29346127
103,1.48,1175,298325.0,1478.12,6.083752512,16.00057587
104,0.91,1207,402356.0,2334.02,3.563353653,15.73624088
105,1.24,413,243505.0,5006.9,2.088612183,16.54674094
106,1.15,388,266203.0,877.81,2.637280682,14.62657556
107,3.33,388,150748.0,857.87,3.386703158,16.73520155
108,1.51,741,379279.0,2435.13,6.350934692,16.12566417
109,2.13,1145,377162.0,2341.05,1.36133057,16.18213618
110,2.39,1172,261771.0,2517.43,1.542336803,16.54114777
111,1.85,1198,181630.0,1971.87,0.754426783,17.54986797
112,1.66,786,393220.0,2292.18,4.422383485,14.73313534
113,1.41,473,172436.0,2554.25,4.90454027,17.27282763
114,0.85,454,144785.0,2574.56,4.591746022,16.31032533
115,4.33,767,223242.0,3585.5,2.683094517,18.66108628
116,1.07,1225,321027.0,2392.41,4.993406691,15.58165376
117,1.74,1207,384316.0,2448.11,3.496823383,16.28977279
118,1.41,777,177402.0,1205.15,3.677832528,14.8532753
119,1.13,1232,391893.0,2284.93,4.901290315,15.47326592
120,1.79,305,132395.0,586.86,6.577105973,14.99319015
121,1.31,758,289259.0,1062.88,6.228599771,15.4156267
122,1.06,1131,378039.0,1909.64,8.299885152,16.29812224
123,2.64,386,283142.0,1907.21,5.565281466,16.38311155
124,1.89,1064,148441.0,3971.76,5.848351723,15.58196171
125,1.08,791,275608.0,2144.43,6.519886957,16.26099528
126,1.1,442,241294.0,2924.96,4.086247864,17.49839758
127,1.35,795,169545.0,3357.54,2.486421345,17.66138219
128,1.78,1190,374652.0,2536.24,4.51282704,13.91505423
129,0.96,1227,256431.0,3234.28,6.023284016,17.23222921
130,2.5,728,177730.0,939.33,7.173727513,17.67620194
131,1.18,840,371841.0,2505.05,4.66185101,16.77027995
132,1.05,1210,178115.0,2542.16,6.002942635,15.81103485
133,1.02,424,264122.0,2518.56,6.220360863,16.51290137
134,1.76,1159,145139.0,1847.42,4.485598157,15.89280506
135,2.07,620,158661.0,2867.98,2.986865483,16.3813792
136,1.07,1193,265737.0,2354.4,6.176559777,16.41915582
137,2.02,477,376921.0,1722.14,6.514343842,16.5203034
138,1.69,1165,168291.0,3969.75,5.020704649,16.97121325
139,1.64,1131,174571.0,1102.3,6.725767945,17.13306078
140,0.85,891,399020.0,3344.42,3.963460248,18.08221302
141,1.99,371,138623.0,2712.59,5.040124189,18.89675003
142,2.43,685,130640.0,1004.77,6.621430322,15.77476346
143,2.47,445,380941.0,1571.85,2.335636261,16.51152589
144,0.79,469,265885.0,1938.99,3.65912095,16.63252067
145,0.93,1164,257062.0,2782.81,5.312470528,15.86672514
146,1.09,1134,393058.0,3513.74,6.345357775,15.21824251
147,2.09,1224,292220.0,2414.88,1.539284692,19.20842886
148,0.93,467,190938.0,2396.53,3.946605791,16.79852692
149,0.8,427,387571.0,981.38,2.312274439,17.64915199
150,3.95,387,244353.0,1960.35,7.117019046,15.79151676
151,1.84,408,123030.0,745.9,6.572002364,15.50440697
152,1.33,475,401577.0,2388.58,3.762454733,17.10240418
153,0.52,463,135050.0,2676.29,2.312167644,16.56593258
154,1.98,744,361999.0,683.4,5.059169555,16.04860554
155,2.14,377,356888.0,617.56,5.400247283,17.61491703
156,2.92,1211,357136.0,2184.5,5.17940497,16.83494953
157,1.27,843,388051.0,2578.43,0.964731207,16.41755507
158,0.9,1218,166316.0,2006.19,6.626261127,15.64014508
159,2.61,452,177179.0,1107.03,5.407839269,17.78715972
160,0.66,1193,271589.0,1869.78,2.089375652,16.71363951
161,2.23,1158,155936.0,2192.16,4.072638321,16.84106232
162,0.6,820,276349.0,2549.71,1.877750981,15.63635942
163,1.55,423,141978.0,3264.03,7.320481798,17.27220973
164,1.7,1460,291562.0,1333.68,7.416101062,17.59330276
165,1.96,1114,139273.0,1259.08,3.23844913,15.23672266
166,1.4,1168,158257.0,3254.84,2.251376594,15.0729571
167,1.53,366,169341.0,636.8,5.416360117,16.94776697
168,2.8,1219,274589.0,2600.65,4.665959852,16.89367718
169,2.1,769,162887.0,1838.53,4.728794578,16.81620535
170,1.1,841,383252.0,1617.28,5.824143349,17.14997271
171,0.77,1136,171962.0,3195.82,3.232062464,18.50851396
172,1.31,754,120580.0,1624.59,4.506030561,19.03526311
173,1.53,1202,157401.0,1906.2,7.581035139,16.45391991
174,1.68,499,163840.0,1361.21,3.62352947,17.34408378
175,2.52,1158,260006.0,2597.91,6.148582123,16.03836768
176,1.11,804,150482.0,1375.96,2.731017978,17.0991068
177,1.61,1410,255394.0,1955.28,6.905915409,17.14027775
178,1.69,491,154406.0,1116.92,6.524855692,15.45352245
179,0.81,816,142339.0,1751.27,3.698923515,17.92061311
180,2.23,774,371479.0,1850.73,1.022575264,15.67686484
181,2.02,293,260276.0,900.12,2.332194269,17.95680066
182,0.59,1162,382111.0,2388.58,5.741630815,14.09298624
183,0.9,1223,390613.0,3507.08,3.895001503,16.45486053
184,2.75,295,142407.0,1066.44,6.839536749,19.20169001
185,0.68,1055,160007.0,2546.41,6.343064145,15.8272616
186,1.87,1214,385195.0,2800.51,2.543882751,17.80886595
187,1.82,1162,269693.0,1227.8,5.571834677,17.03564819
188,0.74,815,136633.0,1012.37,2.269791505,16.19140354
189,1.57,449,158096.0,1228.31,7.121562808,18.89599682
190,2.43,800,377059.0,2733.22,5.802865964,18.52755931
191,0.4,1202,390577.0,1842.8,4.92054192,15.58876673
192,1.63,374,145430.0,1288.39,6.114013381,16.55722697
193,1.96,456,368873.0,2442.05,6.202064311,17.32921573
194,2.39,1182,130045.0,904.9,5.64592739,16.18793432
195,1.45,1135,259739.0,3578.7,5.622616816,16.25304001
196,2.41,791,176674.0,1013.42,5.769719998,17.42899328
197,2.17,388,137353.0,1531.76,3.533687358,18.75403566
198,0.68,448,154183.0,3354.54,4.526284019,18.07257913
199,2.48,818,397628.0,2590.7,2.622665491,16.89036342
200,1.29,346,149493.0,937.27,5.83830654,16.04005766
201,2.17,509,305143.0,2686.67,5.717082099,16.86522303
202,1.65,1172,374838.0,2734.24,2.671070526,17.04905975
203,1.3,422,139780.0,1160.72,6.714322568,16.51037524
204,2.0,842,280404.0,3560.91,2.981841087,15.99194202
205,1.4,418,138313.0,1906.35,5.759844444,16.69712161
206,0.91,776,359702.0,977.88,5.687262157,16.53237484
207,2.19,1191,257200.0,5006.9,2.355804704,14.04838008
208,1.25,403,262103.0,2535.83,6.19222913,16.84344152
209,1.29,370,220945.0,989.85,3.524194167,16.42933503
210,2.97,1128,182688.0,1866.18,6.904592346,14.68711218
211,1.3,424,345092.0,1277.49,6.355600948,18.03388443
212,0.52,1211,281814.0,2424.98,4.45625106,15.22394344
213,1.97,1174,134916.0,1735.22,7.23351776,18.43697038
214,0.98,1161,380564.0,1803.77,2.420390376,16.67250934
215,1.02,1189,372506.0,2386.55,5.988079915,16.2991644
216,1.55,467,367783.0,952.59,5.791513551,16.49844234
217,0.89,1171,142021.0,1007.32,3.828331832,15.55263286
218,1.23,1169,380637.0,1468.4,6.065235064,15.05563966
219,1.32,1157,359361.0,2839.38,2.550595187,13.76712733
220,1.24,324,366746.0,3341.35,2.185819489,17.36336418
221,1.55,1107,389897.0,2976.51,1.940578547,15.3747145
222,1.01,1110,384059.0,1377.68,5.684546366,17.64120741
223,0.88,1134,262042.0,2808.46,6.701510741,16.59351504
224,2.74,388,211174.0,1739.12,2.785642581,16.27056995
225,4.54,754,147730.0,700.5,3.413163697,18.30885249
226,1.57,1093,264618.0,1116.97,4.94387525,17.16262143
227,0.64,445,139264.0,2553.31,4.780111796,16.57233609
228,2.27,381,365100.0,2105.59,3.963996705,16.14062726
229,1.0,1154,247636.0,2577.24,7.041197109,15.2400443
230,2.8,1165,371844.0,2626.91,1.414368554,16.3627216
231,1.55,839,304797.0,2486.07,3.371827653,16.19643537
232,3.1,795,165374.0,1179.95,5.883879959,18.49334107
233,1.82,387,157189.0,1171.55,5.451337369,17.2973352
