,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,0.44,159160.0,2420.16,4.484448994,17.82650135
1,1.24,365990.0,659.17,5.261351423,13.20549985
2,0.65,173511.0,1328.68,4.433285436,14.38151941
3,3.02,95087.0,3930.83,2.692575139,17.00047422
4,1.24,265765.0,1832.19,5.73481252,17.35426489
5,1.72,154989.0,3218.17,5.105923594,14.98739306
6,0.58,357811.0,1709.33,2.866128201,15.39619505
7,1.51,243656.0,1875.79,2.78293995,14.74500955
8,2.73,118926.0,750.59,4.271931447,16.12321063
9,0.99,257465.0,1127.45,3.335652781,14.8573014
10,1.4,248482.0,1445.64,4.34581214,15.71793253
11,0.8,354022.0,875.92,4.54456508,16.45456601
12,1.26,368990.0,1150.63,3.315946474,17.39198444
13,1.64,379846.0,1114.78,3.95121152,17.21049552
14,1.77,107446.0,1788.58,2.960209913,16.31327389
15,1.58,380305.0,1843.13,5.183254247,15.65623995
16,3.8,370807.0,1977.68,5.252652573,17.27070943
17,2.91,147863.0,1069.51,4.194603398,15.90766366
18,1.5,144352.0,657.17,4.161869275,15.07517566
19,0.44,146242.0,1997.82,5.90375278,18.01562946
20,1.17,362883.0,1907.65,5.209463218,16.4990833
21,2.47,258188.0,2194.11,4.116476137,15.26240346
22,1.68,377694.0,1743.93,0.683581953,12.23720599
23,1.55,367307.0,1702.31,3.735650158,16.78166582
24,3.14,137548.0,1847.04,4.383146096,16.12964289
25,0.92,151441.0,1289.34,6.59397113,16.57493586
26,0.4,271640.0,1129.83,1.441070672,13.40321317
27,1.03,140999.0,1967.76,3.020681832,16.92556586
28,1.26,403385.0,3140.56,2.627949531,13.54445414
29,1.25,353768.0,1799.73,2.492258463,17.72299079
30,1.29,149923.0,2053.34,5.424353403,14.39688736
31,1.31,393289.0,1626.96,2.825661843,16.47580464
32,1.48,136189.0,864.7,2.732974703,14.39521386
33,1.28,268040.0,2723.11,4.17721116,15.96576374
34,1.29,348220.0,1811.17,2.378135498,15.98762303
35,1.24,378026.0,1201.21,2.223743429,15.06805132
36,1.3,391653.0,1944.07,1.262266084,16.65615588
37,1.33,153636.0,2825.49,2.457072612,17.19558164
38,2.21,342436.0,2026.81,0.63323904,16.08559889
39,4.53,241514.0,1718.57,2.60353084,15.27053808
40,1.31,251771.0,2044.53,6.974384362,18.63573115
41,1.61,354970.0,2044.66,2.868720664,13.37893467
42,2.11,134451.0,1859.29,4.837590984,17.22262144
43,2.81,141708.0,1889.31,5.930235232,16.46762479
44,2.62,177658.0,1938.02,1.837367907,15.10019312
45,1.03,131049.0,1621.67,6.500694641,16.37761497
46,1.79,113401.0,1861.63,4.890553859,17.80206185
47,1.71,250167.0,1534.03,2.677322672,16.36410282
48,1.09,266135.0,1014.48,3.966885861,14.76069432
49,0.74,144938.0,1199.86,4.752368135,17.03803258
50,1.35,240364.0,1996.41,3.900684395,15.23315677
51,0.82,148647.0,1340.01,2.275830448,18.93878798
52,1.24,386038.0,3837.24,2.143520057,14.26274395
53,2.61,355512.0,4067.04,0.969929254,15.84663013
54,2.26,161319.0,2111.02,1.987507577,15.49438247
55,2.92,126085.0,1745.07,1.903999828,17.13710161
56,1.48,366699.0,1968.52,2.26401652,15.35781442
57,1.4,389607.0,3773.6,2.593005593,17.06445058
58,0.55,427502.0,1669.95,3.728116677,17.01531793
59,1.42,375453.0,784.08,6.134045487,12.15449922
60,1.75,349608.0,2139.39,6.035113416,17.01453262
61,1.69,132930.0,608.96,3.210884384,16.93148619
62,0.99,129988.0,1532.81,3.091593148,16.35424889
63,0.55,146772.0,959.47,1.061519254,17.11987446
64,1.23,247501.0,1083.61,6.196343372,15.65862007
65,0.64,138859.0,1357.77,2.099283537,16.95489564
66,1.03,252382.0,3860.89,1.730867028,17.21041273
67,1.94,129803.0,2236.41,5.746085427,17.40096849
68,1.42,145340.0,1822.71,4.568418634,15.82875282
69,2.14,252573.0,1820.73,4.1709955,16.06776545
70,1.91,142314.0,3138.65,2.60608495,12.75722603
71,2.59,124061.0,1894.02,6.144181746,15.48476275
72,2.0,111037.0,1621.75,2.25157095,16.17342573
73,1.85,222391.0,786.89,5.293068925,17.97625031
74,1.22,264207.0,2355.51,1.232436716,19.08972973
75,0.8,317833.0,1625.84,6.355702395,15.84108635
76,3.9,264499.0,2231.58,1.633147082,15.52244365
77,0.94,230758.0,802.44,5.104461051,13.64214519
78,2.06,247641.0,1923.42,1.54628532,17.83596497
79,1.91,139751.0,695.39,4.106053673,16.23407557
80,3.26,366529.0,2012.65,5.303672444,17.21634741
81,0.55,388038.0,1986.75,7.406962904,15.80022277
82,1.55,132098.0,1875.79,5.877419483,14.34320558
83,1.42,108080.0,2035.69,2.175801507,15.54335646
84,1.68,157534.0,1884.92,2.448354764,16.22512905
85,1.06,358092.0,1460.48,3.575890246,16.63889236
86,1.12,155420.0,586.86,6.602039689,16.67343681
87,1.64,258947.0,3397.98,3.996617078,13.89921434
