,Yield (tons/acre),Time Since Sown (Days),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,0.67,804,319449.0,5006.9,2.723852212,15.46537505
1,1.13,439,104810.0,870.06,5.337250791,15.18267703
2,1.83,839,359950.0,1656.39,5.073817191,13.20020933
3,2.44,312,359981.0,2322.01,5.23024146,15.12534881
4,1.31,786,355921.0,4626.88,3.477711933,16.34507047
5,0.72,467,356572.0,1712.26,1.889031316,17.35985805
6,1.9,1130,240942.0,782.47,3.805903424,17.18004557
7,0.81,742,120855.0,2208.93,2.062766352,17.03182799
8,0.76,472,138755.0,2058.28,7.045487586,15.778251
9,1.94,1111,375742.0,2236.44,0.709656867,12.82940204
10,2.22,786,135075.0,1921.45,3.894124015,16.07281591
11,0.52,825,355855.0,2499.63,1.218399823,15.39745027
12,2.37,755,241368.0,3604.45,5.518651173,16.33574813
13,1.53,425,160158.0,1480.53,7.101847813,18.08323772
14,0.61,388,330114.0,1949.97,0.689709733,12.21840446
15,1.3,727,348554.0,2298.49,4.625745036,16.16035654
16,0.56,750,345831.0,1712.69,1.376239219,16.21477849
17,1.38,357,236380.0,3196.71,5.442606331,16.15935111
18,1.86,402,371345.0,3641.17,1.4045921,17.26886743
19,1.38,760,84272.0,3793.5,1.45480507,15.98986009
20,1.15,1186,236996.0,3041.37,7.203673126,15.74600885
21,1.5,812,130739.0,1968.37,2.279752845,16.00283209
22,0.51,459,133531.0,1898.08,7.448890775,17.8229447
23,0.65,857,361327.0,1378.15,1.416326554,15.6438553
24,1.87,820,256442.0,2118.96,5.004630136,15.94423915
25,0.69,381,328535.0,3430.66,3.59290702,16.93891958
26,1.39,625,139953.0,2274.97,6.2888272,16.68576029
27,1.07,1384,253800.0,1505.26,6.142811744,17.10881739
28,1.81,1163,357120.0,748.89,2.220302132,15.78290195
29,1.69,410,350200.0,4007.21,3.063569391,13.4052152
30,1.29,277,231512.0,2613.14,0.056540526,13.6409043
31,2.46,782,354001.0,2315.31,5.653866886,13.11917608
32,0.57,783,108075.0,1423.82,1.594201631,15.81271166
33,1.17,803,252011.0,1960.58,5.968331145,16.08638703
34,2.04,737,117809.0,2040.09,4.600308493,16.89802893
35,1.62,310,251073.0,2181.15,5.334835739,17.21775083
36,1.3,1093,364289.0,1415.28,2.114439781,13.82846094
37,1.29,861,355606.0,1789.51,2.021047061,15.9518108
38,2.0,714,246011.0,1801.05,5.076640814,15.90437819
39,0.61,797,244942.0,1372.23,7.132422427,16.6534942
40,1.01,813,112085.0,1311.43,4.413363348,15.97006337
