,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,3.11,276621.0,2196.0,1.126638652,13.37990049
1,1.39,359538.0,2112.28,2.644742083,15.82346888
2,1.34,100851.0,2269.76,3.934802938,13.99871481
3,1.3,117736.0,959.62,6.344432028,15.97703287
4,1.69,260521.0,819.84,3.852393645,17.35930259
5,2.71,357549.0,1710.84,4.137686257,17.34703983
6,1.27,262138.0,966.71,3.095988748,16.25914908
7,0.6,135016.0,753.78,1.933404637,15.99207109
8,0.46,279755.0,2695.05,3.830755396,15.97056468
9,2.65,356669.0,4129.31,1.815208792,12.82151873
10,0.68,242377.0,698.64,1.879377145,16.07333919
11,1.73,139849.0,786.09,1.995313463,16.1133627
12,1.89,143801.0,613.89,1.743477368,16.78064285
13,0.56,143453.0,687.53,5.307865057,16.40128223
14,1.57,276567.0,2576.43,2.038611422,15.76977133
15,1.93,239376.0,971.47,2.758055712,15.46732294
16,1.75,397536.0,2842.74,3.6879904,16.15115541
17,1.64,154310.0,818.63,4.536283805,14.75345692
18,1.05,157109.0,1847.92,5.845542174,15.62497417
19,1.41,233621.0,668.59,2.385041003,11.91221169
20,1.89,383234.0,1948.73,5.107111333,15.9570934
21,1.25,363556.0,1357.99,4.163583008,16.20858706
22,1.22,249841.0,2251.42,2.728632899,12.44262701
23,1.73,126769.0,2599.12,0.74040049,12.65261401
24,1.3,256781.0,4491.35,3.155931186,15.5904925
25,2.22,254341.0,717.47,1.669166272,15.83746359
26,1.31,380680.0,1449.42,3.597524498,12.58098997
27,2.11,117802.0,931.48,2.873519739,14.98996903
28,2.42,157145.0,2278.7,5.986160033,13.99907215
29,2.01,133843.0,1502.39,0.681123899,16.22550146
30,1.62,257184.0,1790.89,2.35424708,15.45828491
31,0.96,165919.0,783.86,3.59384195,16.96710683
32,2.12,351928.0,1408.27,2.819524576,16.18815947
33,1.86,250048.0,1215.67,4.277684947,17.37722384
34,2.02,251574.0,4142.08,6.447686418,16.01421252
35,1.91,159342.0,2164.27,4.783160864,16.86869211
36,1.5,95008.0,856.0,3.547773165,15.24773556
37,1.01,137780.0,2161.44,1.660682259,16.06033571
38,1.24,253014.0,2128.5,5.60056584,15.92328934
39,0.94,173613.0,3891.95,6.433646715,15.73991597
40,1.72,252061.0,1502.53,3.201178319,17.5928214
41,2.25,345693.0,1032.13,2.273416299,15.94222542
42,4.24,262196.0,2384.41,1.291235976,15.38130728
43,1.88,243749.0,2156.72,2.763348341,16.37121178
44,1.91,126728.0,887.68,1.085579078,15.39727704
45,1.95,126398.0,784.23,4.519986875,16.47505574
46,3.15,121919.0,1613.66,3.804463932,13.68274276
47,1.06,122721.0,870.94,2.634776336,17.7231247
